,other_parties_cat,savings_status_cat,class_cat,other_payment_plans_cat,credit_history_cat,personal_status_cat,property_magnitude_cat,num_dependents_num,purpose_cat,credit_amount_num
331,none,100<=X<500,bad,none,critical/other existing credit,female div/dep/mar,real estate,1.0,education,1864.0
332,none,100<=X<500,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,7408.0
333,none,100<=X<500,bad,bank,critical/other existing credit,female div/dep/mar,car,1.0,used car,11590.0
334,none,<100,bad,bank,no credits/all paid,male single,no known property,2.0,furniture/equipment,4110.0
335,none,<100,bad,none,critical/other existing credit,male div/sep,real estate,1.0,furniture/equipment,3384.0
336,guarantor,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,radio/tv,2101.0
337,none,no known savings,bad,none,existing paid,female div/dep/mar,car,1.0,domestic appliance,1275.0
338,none,<100,good,none,existing paid,male single,life insurance,1.0,furniture/equipment,4169.0
339,none,<100,good,none,existing paid,male div/sep,car,1.0,furniture/equipment,1521.0
340,none,<100,good,none,critical/other existing credit,female div/dep/mar,no known property,1.0,education,5743.0
341,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,3599.0
342,none,500<=X<1000,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,3213.0
343,co applicant,<100,good,bank,existing paid,male single,real estate,1.0,business,4439.0
344,guarantor,<100,good,none,existing paid,male single,life insurance,2.0,new car,3949.0
345,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,1459.0
346,guarantor,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,882.0
347,none,500<=X<1000,good,none,existing paid,female div/dep/mar,no known property,1.0,radio/tv,3758.0
348,none,100<=X<500,good,none,delayed previously,male single,real estate,1.0,business,1743.0
349,none,>=1000,bad,none,critical/other existing credit,male single,no known property,2.0,education,1136.0
350,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,domestic appliance,1236.0
351,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,959.0
352,none,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,used car,3229.0
353,none,<100,bad,none,no credits/all paid,male single,life insurance,1.0,radio/tv,6199.0
354,none,500<=X<1000,good,none,existing paid,male single,no known property,1.0,education,727.0
355,none,<100,bad,stores,existing paid,male single,real estate,1.0,new car,1246.0
356,co applicant,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,2331.0
357,none,<100,bad,none,delayed previously,male single,car,1.0,radio/tv,4463.0
358,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,776.0
359,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,2406.0
360,none,no known savings,good,none,existing paid,male single,no known property,1.0,education,1239.0
361,none,no known savings,good,none,existing paid,male single,car,1.0,radio/tv,3399.0
362,none,<100,good,stores,delayed previously,female div/dep/mar,car,1.0,new car,2247.0
363,none,<100,good,none,existing paid,male mar/wid,life insurance,1.0,furniture/equipment,1766.0
364,none,<100,bad,none,existing paid,male single,car,1.0,furniture/equipment,2473.0
365,none,<100,good,none,existing paid,male single,car,1.0,business,1542.0
366,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,3850.0
367,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,3650.0
368,none,<100,bad,none,existing paid,male single,car,2.0,furniture/equipment,3446.0
369,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,3001.0
370,none,no known savings,good,none,existing paid,male single,real estate,1.0,new car,3079.0
371,none,<100,good,none,critical/other existing credit,male single,car,1.0,radio/tv,6070.0
372,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,furniture/equipment,2146.0
373,none,no known savings,good,bank,critical/other existing credit,male single,no known property,1.0,new car,13756.0
374,none,100<=X<500,bad,bank,all paid,female div/dep/mar,no known property,1.0,other,14782.0
375,guarantor,<100,bad,none,all paid,female div/dep/mar,car,1.0,business,7685.0
376,none,<100,good,none,delayed previously,male mar/wid,real estate,1.0,radio/tv,2320.0
377,none,no known savings,good,none,delayed previously,male single,no known property,1.0,radio/tv,846.0
378,none,<100,bad,none,existing paid,male single,no known property,1.0,new car,14318.0
379,none,100<=X<500,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,362.0
380,none,no known savings,good,none,existing paid,male single,car,1.0,furniture/equipment,2212.0
381,none,<100,bad,none,existing paid,female div/dep/mar,no known property,1.0,used car,12976.0
382,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1283.0
383,none,<100,good,none,existing paid,male single,real estate,1.0,new car,1330.0
384,none,100<=X<500,good,none,delayed previously,male single,life insurance,1.0,business,4272.0
385,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,2238.0
386,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1126.0
387,none,<100,good,stores,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,7374.0
388,none,500<=X<1000,good,bank,critical/other existing credit,male single,car,1.0,business,2326.0
389,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,business,1449.0
390,none,<100,good,none,existing paid,male mar/wid,life insurance,1.0,new car,1820.0
391,none,>=1000,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,983.0
392,none,<100,good,bank,existing paid,male single,no known property,2.0,new car,3249.0
393,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,1957.0
394,none,<100,good,none,critical/other existing credit,male single,car,1.0,furniture/equipment,2406.0
395,none,100<=X<500,good,none,delayed previously,male single,no known property,1.0,education,11760.0
396,none,<100,good,none,existing paid,female div/dep/mar,no known property,1.0,furniture/equipment,2578.0
397,none,<100,good,none,critical/other existing credit,male mar/wid,life insurance,1.0,furniture/equipment,2348.0
398,none,<100,bad,none,existing paid,male div/sep,real estate,1.0,new car,1223.0
399,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,1516.0
400,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1473.0
401,none,no known savings,good,bank,critical/other existing credit,male mar/wid,real estate,1.0,business,1887.0
402,none,<100,bad,bank,delayed previously,male single,car,1.0,business,8648.0
403,none,<100,good,none,delayed previously,male single,car,1.0,new car,802.0
404,none,no known savings,good,none,delayed previously,male single,car,2.0,new car,2899.0
405,none,<100,bad,none,existing paid,male mar/wid,life insurance,1.0,radio/tv,2039.0
406,none,no known savings,good,none,critical/other existing credit,male single,car,2.0,used car,2197.0
407,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1053.0
408,none,500<=X<1000,good,none,existing paid,male div/sep,car,1.0,radio/tv,3235.0
409,none,500<=X<1000,bad,none,critical/other existing credit,male mar/wid,real estate,1.0,new car,939.0
410,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1967.0
411,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,7253.0
412,none,<100,bad,stores,critical/other existing credit,male single,car,1.0,business,2292.0
413,none,500<=X<1000,good,none,existing paid,male single,no known property,2.0,new car,1597.0
414,none,no known savings,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1381.0
415,none,<100,good,none,critical/other existing credit,male single,life insurance,2.0,used car,5842.0
416,none,<100,bad,none,existing paid,male single,real estate,2.0,new car,2579.0
417,none,no known savings,good,none,delayed previously,female div/dep/mar,car,1.0,education,8471.0
418,none,500<=X<1000,good,bank,existing paid,female div/dep/mar,car,1.0,new car,2782.0
419,none,no known savings,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1042.0
420,none,>=1000,good,none,existing paid,female div/dep/mar,car,1.0,new car,3186.0
421,none,no known savings,good,none,existing paid,male single,car,1.0,used car,2028.0
422,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,958.0
423,none,100<=X<500,good,none,delayed previously,male single,real estate,1.0,furniture/equipment,1591.0
424,none,no known savings,bad,bank,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,2762.0
425,none,<100,good,none,existing paid,male mar/wid,car,1.0,used car,2779.0
426,none,<100,good,none,critical/other existing credit,male single,car,1.0,radio/tv,2743.0
427,none,>=1000,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1149.0
428,none,<100,good,none,existing paid,male single,car,1.0,furniture/equipment,1313.0
429,none,<100,bad,none,critical/other existing credit,female div/dep/mar,no known property,2.0,repairs,1190.0
430,none,<100,good,none,existing paid,male single,real estate,1.0,business,3448.0
431,co applicant,<100,bad,bank,existing paid,male single,car,1.0,other,11328.0
432,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,furniture/equipment,1872.0
433,none,<100,good,none,critical/other existing credit,male div/sep,real estate,1.0,repairs,2058.0
434,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,2136.0
435,none,no known savings,bad,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1484.0
436,none,500<=X<1000,good,none,existing paid,male mar/wid,real estate,1.0,repairs,660.0
437,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,1287.0
438,co applicant,<100,good,none,critical/other existing credit,male single,car,1.0,repairs,3394.0
439,none,<100,bad,none,all paid,female div/dep/mar,real estate,1.0,business,609.0
440,none,<100,good,none,existing paid,male single,car,1.0,new car,1884.0
441,co applicant,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,1620.0
442,none,<100,good,bank,delayed previously,male single,car,1.0,other,2629.0
443,none,<100,bad,bank,existing paid,male single,car,2.0,education,719.0
444,none,<100,bad,none,critical/other existing credit,female div/dep/mar,car,1.0,furniture/equipment,5096.0
445,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,education,1244.0
446,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,1842.0
447,guarantor,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,2576.0
448,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1424.0
449,none,>=1000,bad,stores,delayed previously,male mar/wid,life insurance,1.0,repairs,1512.0
450,none,no known savings,good,none,critical/other existing credit,male single,car,1.0,used car,11054.0
451,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,518.0
452,none,<100,good,none,no credits/all paid,male single,life insurance,1.0,furniture/equipment,2759.0
453,none,<100,good,none,existing paid,male single,car,1.0,used car,2670.0
454,co applicant,<100,bad,none,existing paid,male single,life insurance,1.0,new car,4817.0
455,none,<100,good,none,existing paid,female div/dep/mar,no known property,1.0,used car,2679.0
456,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,3905.0
457,none,<100,bad,none,existing paid,male single,no known property,1.0,used car,3386.0
458,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,domestic appliance,343.0
459,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,4594.0
460,guarantor,<100,good,none,existing paid,male single,life insurance,2.0,furniture/equipment,3620.0
461,none,<100,good,none,existing paid,male single,real estate,1.0,new car,1721.0
462,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,3017.0
463,none,no known savings,good,none,existing paid,male single,life insurance,1.0,retraining,754.0
464,none,<100,good,stores,existing paid,male single,car,1.0,business,1950.0
465,guarantor,<100,good,bank,existing paid,male single,no known property,2.0,used car,2924.0
466,none,<100,bad,none,delayed previously,female div/dep/mar,car,1.0,radio/tv,1659.0
467,none,no known savings,good,bank,delayed previously,male single,car,2.0,radio/tv,7238.0
468,none,<100,good,none,delayed previously,female div/dep/mar,car,1.0,business,2764.0
469,none,<100,good,none,delayed previously,male single,car,1.0,used car,4679.0
470,none,100<=X<500,bad,none,existing paid,male mar/wid,car,1.0,radio/tv,3092.0
471,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,education,448.0
472,none,<100,bad,none,existing paid,male single,car,1.0,new car,654.0
473,none,no known savings,good,none,existing paid,male single,life insurance,2.0,retraining,1238.0
474,none,<100,bad,none,critical/other existing credit,male mar/wid,car,1.0,radio/tv,1245.0
475,none,<100,bad,none,no credits/all paid,female div/dep/mar,life insurance,1.0,furniture/equipment,3114.0
476,none,500<=X<1000,good,none,existing paid,male single,car,1.0,used car,2569.0
477,none,<100,good,bank,existing paid,male single,car,1.0,radio/tv,5152.0
478,none,100<=X<500,good,none,existing paid,male single,real estate,1.0,business,1037.0
479,none,<100,good,none,critical/other existing credit,male single,car,2.0,furniture/equipment,1478.0
480,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,3573.0
481,none,<100,good,none,existing paid,male single,life insurance,1.0,new car,1201.0
482,none,>=1000,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,3622.0
483,none,>=1000,good,none,delayed previously,female div/dep/mar,life insurance,1.0,furniture/equipment,960.0
484,none,500<=X<1000,good,none,critical/other existing credit,male single,real estate,1.0,new car,1163.0
485,none,<100,bad,none,delayed previously,male single,life insurance,1.0,new car,1209.0
486,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,3077.0
487,co applicant,<100,good,none,existing paid,female div/dep/mar,no known property,1.0,new car,3757.0
488,none,100<=X<500,good,none,existing paid,male single,real estate,1.0,new car,1418.0
489,guarantor,<100,good,none,existing paid,male single,life insurance,1.0,new car,3518.0
490,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,radio/tv,1934.0
491,none,<100,bad,none,no credits/all paid,female div/dep/mar,no known property,1.0,business,8318.0
492,none,100<=X<500,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,radio/tv,1237.0
493,none,no known savings,good,none,existing paid,male single,life insurance,1.0,radio/tv,368.0
494,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,2122.0
495,none,no known savings,bad,none,existing paid,male mar/wid,car,1.0,furniture/equipment,2996.0
496,co applicant,100<=X<500,bad,none,existing paid,male single,no known property,1.0,furniture/equipment,9034.0
497,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,1585.0
498,guarantor,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1301.0
499,none,100<=X<500,good,none,critical/other existing credit,male div/sep,car,2.0,new car,1323.0
500,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,3123.0
501,none,<100,good,none,existing paid,male single,no known property,2.0,used car,5493.0
502,none,100<=X<500,good,none,existing paid,male div/sep,real estate,1.0,radio/tv,1126.0
503,none,100<=X<500,bad,bank,critical/other existing credit,male single,no known property,2.0,radio/tv,1216.0
504,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1207.0
505,guarantor,no known savings,bad,none,existing paid,male single,life insurance,1.0,new car,1309.0
506,none,500<=X<1000,good,none,critical/other existing credit,male single,car,1.0,used car,2360.0
507,none,100<=X<500,bad,none,all paid,male single,life insurance,2.0,new car,6850.0
508,none,<100,good,none,existing paid,male mar/wid,life insurance,1.0,radio/tv,1413.0
509,none,100<=X<500,good,none,existing paid,male single,car,1.0,used car,8588.0
510,none,<100,bad,none,existing paid,male single,real estate,1.0,new car,759.0
511,none,<100,good,none,existing paid,male single,no known property,1.0,used car,4686.0
512,none,<100,good,none,existing paid,male single,life insurance,1.0,business,2687.0
513,co applicant,<100,good,none,delayed previously,male mar/wid,real estate,1.0,radio/tv,585.0
514,none,no known savings,good,none,existing paid,male single,life insurance,1.0,new car,2255.0
515,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,new car,609.0
516,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1361.0
517,none,<100,bad,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,7127.0
518,none,100<=X<500,good,none,existing paid,male single,life insurance,1.0,new car,1203.0
519,none,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,radio/tv,700.0
520,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,repairs,5507.0
521,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,3190.0
522,none,<100,bad,none,no credits/all paid,male single,no known property,2.0,furniture/equipment,7119.0
523,none,100<=X<500,good,none,existing paid,female div/dep/mar,car,1.0,used car,3488.0
524,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,2.0,radio/tv,1113.0
525,none,<100,good,none,existing paid,male single,car,1.0,used car,7966.0
526,none,100<=X<500,good,none,critical/other existing credit,female div/dep/mar,car,1.0,education,1532.0
527,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,radio/tv,1503.0
528,none,<100,bad,none,existing paid,male div/sep,car,1.0,radio/tv,2302.0
529,none,<100,good,none,existing paid,male single,real estate,2.0,new car,662.0
530,none,<100,good,none,existing paid,male single,car,2.0,education,2273.0
531,none,100<=X<500,bad,none,existing paid,female div/dep/mar,car,1.0,new car,2631.0
532,none,<100,good,none,delayed previously,male mar/wid,real estate,1.0,used car,1503.0
533,none,100<=X<500,good,none,existing paid,male mar/wid,life insurance,1.0,radio/tv,1311.0
534,none,no known savings,good,none,existing paid,male single,car,1.0,radio/tv,3105.0
535,none,<100,bad,none,critical/other existing credit,male div/sep,car,1.0,education,2319.0
536,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1374.0
537,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,3612.0
538,none,<100,bad,bank,existing paid,male single,no known property,1.0,new car,7763.0
539,none,<100,good,stores,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,3049.0
540,none,<100,bad,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1534.0
541,none,<100,good,none,delayed previously,male single,no known property,1.0,new car,2032.0
542,none,no known savings,bad,none,existing paid,male single,life insurance,1.0,furniture/equipment,6350.0
543,none,<100,bad,none,existing paid,male single,real estate,2.0,furniture/equipment,2864.0
544,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,new car,1255.0
545,none,<100,bad,none,delayed previously,male single,real estate,2.0,new car,1333.0
546,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,2022.0
547,none,<100,good,bank,existing paid,male single,car,2.0,radio/tv,1552.0
548,none,<100,bad,bank,all paid,female div/dep/mar,real estate,1.0,radio/tv,626.0
549,none,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,used car,8858.0
550,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,repairs,996.0
551,none,500<=X<1000,good,bank,all paid,male single,life insurance,2.0,radio/tv,1750.0
552,guarantor,<100,bad,none,existing paid,male mar/wid,real estate,1.0,radio/tv,6999.0
553,none,100<=X<500,good,none,critical/other existing credit,male single,car,1.0,new car,1995.0
554,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,education,1199.0
555,none,<100,bad,stores,existing paid,male single,car,1.0,radio/tv,1331.0
556,none,100<=X<500,bad,none,no credits/all paid,female div/dep/mar,car,1.0,new car,2278.0
557,none,no known savings,bad,bank,no credits/all paid,female div/dep/mar,life insurance,1.0,new car,5003.0
558,none,<100,bad,bank,all paid,male single,car,1.0,furniture/equipment,3552.0
559,none,<100,bad,none,critical/other existing credit,male single,real estate,1.0,furniture/equipment,1928.0
560,none,no known savings,good,bank,existing paid,male single,no known property,2.0,used car,2964.0
561,guarantor,<100,bad,bank,all paid,male single,car,1.0,radio/tv,1546.0
562,none,<100,good,bank,delayed previously,female div/dep/mar,life insurance,1.0,radio/tv,683.0
563,none,no known savings,bad,none,existing paid,male single,no known property,1.0,new car,12389.0
564,none,no known savings,good,bank,delayed previously,male single,life insurance,1.0,business,4712.0
565,none,100<=X<500,good,none,delayed previously,female div/dep/mar,life insurance,1.0,radio/tv,1553.0
566,none,<100,bad,none,existing paid,male div/sep,car,1.0,new car,1372.0
567,none,>=1000,good,none,critical/other existing credit,male single,car,1.0,radio/tv,2578.0
568,none,no known savings,good,none,existing paid,male single,car,2.0,radio/tv,3979.0
569,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,radio/tv,6758.0
570,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,3234.0
571,co applicant,<100,good,none,critical/other existing credit,male single,car,1.0,radio/tv,5954.0
572,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,used car,5433.0
573,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,business,806.0
574,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,1082.0
575,co applicant,<100,good,bank,critical/other existing credit,female div/dep/mar,car,1.0,furniture/equipment,2788.0
576,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,2930.0
577,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,car,1.0,education,1927.0
578,none,<100,bad,none,critical/other existing credit,male div/sep,car,1.0,new car,2820.0
579,none,<100,good,none,existing paid,male mar/wid,car,1.0,retraining,937.0
580,guarantor,<100,bad,bank,critical/other existing credit,male single,real estate,1.0,new car,1056.0
581,none,<100,good,bank,critical/other existing credit,male single,real estate,2.0,new car,3124.0
582,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1388.0
583,none,<100,bad,none,existing paid,male single,no known property,1.0,repairs,2384.0
584,none,no known savings,good,none,existing paid,female div/dep/mar,no known property,1.0,new car,2133.0
585,none,<100,bad,bank,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,2039.0
586,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,2799.0
587,guarantor,<100,good,none,existing paid,male single,life insurance,1.0,furniture/equipment,1289.0
588,none,<100,bad,none,existing paid,male mar/wid,real estate,1.0,domestic appliance,1217.0
589,none,<100,bad,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,2246.0
590,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,385.0
591,none,no known savings,good,none,delayed previously,female div/dep/mar,car,1.0,new car,1965.0
592,none,>=1000,good,bank,existing paid,female div/dep/mar,real estate,1.0,business,1572.0
593,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,2718.0
594,none,no known savings,bad,stores,all paid,male single,car,1.0,other,1358.0
595,none,100<=X<500,bad,stores,all paid,female div/dep/mar,life insurance,1.0,new car,931.0
596,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,1442.0
597,none,<100,bad,none,no credits/all paid,male single,real estate,1.0,business,4241.0
598,none,<100,bad,bank,critical/other existing credit,male single,life insurance,1.0,new car,2775.0
599,none,<100,good,none,delayed previously,male single,no known property,1.0,business,3863.0
600,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,2329.0
601,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,918.0
602,none,<100,bad,bank,all paid,female div/dep/mar,no known property,1.0,education,1837.0
603,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,3349.0
604,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,1275.0
605,none,500<=X<1000,good,stores,all paid,male single,real estate,1.0,furniture/equipment,2828.0
606,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,business,4526.0
607,co applicant,100<=X<500,bad,none,existing paid,female div/dep/mar,no known property,1.0,radio/tv,2671.0
608,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,2051.0
609,none,no known savings,good,bank,existing paid,male single,no known property,2.0,used car,1300.0
610,none,100<=X<500,bad,none,existing paid,female div/dep/mar,life insurance,1.0,domestic appliance,741.0
611,none,100<=X<500,bad,none,existing paid,female div/dep/mar,no known property,2.0,new car,1240.0
612,none,>=1000,good,bank,existing paid,female div/dep/mar,car,1.0,radio/tv,3357.0
613,guarantor,<100,good,bank,all paid,female div/dep/mar,car,1.0,used car,3632.0
614,none,<100,bad,none,delayed previously,female div/dep/mar,real estate,1.0,furniture/equipment,1808.0
615,none,no known savings,good,bank,no credits/all paid,male single,car,1.0,business,12204.0
616,none,no known savings,good,none,delayed previously,male single,no known property,1.0,radio/tv,9157.0
617,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,3676.0
618,co applicant,100<=X<500,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,3441.0
619,none,<100,good,none,existing paid,male div/sep,real estate,1.0,new car,640.0
620,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,business,3652.0
621,none,<100,bad,bank,critical/other existing credit,male single,life insurance,1.0,new car,1530.0
622,none,no known savings,bad,bank,existing paid,male div/sep,real estate,1.0,business,3914.0
623,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,1858.0
624,none,<100,bad,none,existing paid,male single,no known property,1.0,radio/tv,2600.0
625,none,no known savings,good,none,existing paid,male single,car,1.0,radio/tv,1979.0
626,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,2116.0
627,none,100<=X<500,bad,none,all paid,male single,no known property,1.0,new car,1437.0
628,none,500<=X<1000,good,none,critical/other existing credit,male single,real estate,1.0,furniture/equipment,4042.0
629,none,no known savings,good,none,existing paid,male single,real estate,1.0,education,3832.0
630,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,3660.0
631,none,<100,bad,bank,all paid,male single,car,1.0,furniture/equipment,1553.0
632,none,no known savings,good,none,existing paid,male single,life insurance,1.0,radio/tv,1444.0
633,co applicant,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,1980.0
634,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,1355.0
635,none,<100,good,bank,existing paid,male single,life insurance,2.0,education,1393.0
636,none,500<=X<1000,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1376.0
637,none,<100,good,none,delayed previously,male single,car,1.0,radio/tv,15653.0
638,none,<100,good,none,existing paid,female div/dep/mar,car,2.0,radio/tv,1493.0
639,none,<100,bad,bank,delayed previously,male single,life insurance,2.0,radio/tv,4370.0
640,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,education,750.0
641,none,<100,good,none,existing paid,male single,car,1.0,repairs,1308.0
642,none,100<=X<500,bad,none,existing paid,male single,life insurance,1.0,education,4623.0
643,guarantor,<100,good,none,critical/other existing credit,male mar/wid,car,1.0,radio/tv,1851.0
644,none,<100,good,none,critical/other existing credit,male mar/wid,life insurance,1.0,radio/tv,1880.0
645,none,no known savings,bad,none,delayed previously,male single,car,1.0,business,7980.0
646,guarantor,<100,good,none,no credits/all paid,male div/sep,real estate,1.0,furniture/equipment,4583.0
647,none,500<=X<1000,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1386.0
648,none,<100,bad,bank,existing paid,male single,no known property,2.0,new car,947.0
649,none,<100,bad,none,existing paid,male single,car,2.0,education,684.0
650,none,<100,good,none,existing paid,male single,no known property,1.0,education,7476.0
651,none,<100,bad,none,existing paid,male single,life insurance,1.0,furniture/equipment,1922.0
652,co applicant,<100,bad,none,existing paid,male single,real estate,1.0,new car,2303.0
653,none,100<=X<500,bad,none,delayed previously,male single,car,1.0,new car,8086.0
654,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,2346.0
655,none,<100,good,none,existing paid,male single,no known property,1.0,new car,3973.0
656,none,<100,bad,bank,existing paid,male single,car,2.0,new car,888.0
657,none,no known savings,good,stores,existing paid,male single,car,1.0,radio/tv,10222.0
658,none,<100,good,none,no credits/all paid,female div/dep/mar,car,1.0,business,4221.0
659,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,furniture/equipment,6361.0
660,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1297.0
661,none,no known savings,bad,none,existing paid,male mar/wid,car,1.0,new car,900.0
662,none,<100,good,none,existing paid,male single,real estate,1.0,furniture/equipment,2241.0
663,none,<100,good,stores,delayed previously,male single,life insurance,1.0,furniture/equipment,1050.0
