,Number_of_children_ever_born_num,Wifes_age_num,Wifes_religion_cat,Contraceptive_method_used_cat,Husbands_occupation_cat
1144,3,33,0,1,1
1145,1,45,1,1,1
1146,1,26,1,1,3
1147,1,45,1,1,1
1148,1,25,1,1,2
1149,3,36,1,1,3
1150,2,31,1,1,3
1151,2,22,1,1,3
1152,10,46,1,1,1
1153,3,26,1,1,3
1154,1,25,1,1,3
1155,0,20,0,1,2
1156,3,31,0,1,2
1157,3,36,0,1,2
1158,5,47,1,1,4
1159,2,43,0,1,3
1160,0,20,1,1,3
1161,4,24,1,1,1
1162,3,33,0,1,2
1163,3,41,0,1,2
1164,4,48,0,1,2
1165,1,32,0,1,1
1166,4,38,0,1,3
1167,8,48,1,1,3
1168,4,34,1,1,3
1169,6,31,1,1,3
1170,7,46,1,1,3
1171,7,45,1,1,3
1172,4,34,0,1,3
1173,1,16,1,1,3
1174,1,18,1,1,3
1175,1,22,1,1,3
1176,2,32,1,1,2
1177,3,41,1,1,2
1178,2,22,1,1,2
1179,0,23,1,1,2
1180,0,22,1,1,3
1181,6,40,1,1,2
1182,1,29,0,1,2
1183,0,42,0,1,3
1184,2,29,1,1,3
1185,1,31,1,1,3
1186,3,28,0,1,1
1187,0,21,1,1,3
1188,2,26,1,1,1
1189,0,37,1,1,3
1190,2,24,1,1,2
1191,0,25,0,1,2
1192,0,22,1,1,2
1193,1,45,1,1,1
1194,1,47,1,1,1
1195,5,28,1,1,3
1196,4,24,1,1,3
1197,6,34,1,1,2
1198,5,47,1,1,1
1199,2,31,1,1,1
1200,1,26,1,1,3
1201,3,25,1,1,1
1202,4,47,1,1,2
1203,8,48,1,1,1
1204,10,38,1,1,3
1205,4,32,1,1,2
1206,2,47,1,1,2
1207,3,27,1,1,1
1208,0,40,1,1,3
1209,6,46,1,1,1
1210,3,33,1,1,3
1211,5,49,1,1,2
1212,3,21,1,1,3
1213,0,31,0,1,2
1214,4,42,1,2,3
1215,3,35,1,2,1
1216,4,31,1,2,3
1217,6,42,1,2,1
1218,4,49,1,2,3
1219,1,21,1,2,1
1220,3,28,1,2,1
1221,1,22,1,2,1
1222,3,36,1,2,1
1223,9,45,1,2,3
1224,4,40,1,2,1
1225,7,30,1,2,3
1226,5,35,1,2,1
1227,2,26,1,2,1
1228,3,45,1,2,1
1229,2,27,1,2,3
1230,4,32,1,2,1
1231,3,27,1,2,1
1232,2,28,0,2,1
1233,3,30,1,2,2
1234,4,34,1,2,2
1235,3,26,1,2,2
1236,2,44,1,2,1
1237,3,29,1,2,1
1238,2,26,1,2,3
1239,8,41,1,2,1
1240,4,32,1,2,3
1241,1,23,1,2,3
1242,4,38,1,2,1
1243,1,22,1,2,2
1244,3,34,0,2,1
1245,7,38,0,2,2
1246,1,21,1,2,1
1247,4,43,1,2,1
1248,9,44,1,2,1
1249,1,24,1,2,2
1250,1,27,1,2,3
1251,4,34,1,2,3
1252,2,29,1,2,1
1253,1,26,1,2,2
1254,7,37,1,2,1
1255,3,21,1,2,1
1256,4,47,0,2,2
1257,3,41,1,2,2
1258,3,29,1,2,1
1259,1,25,1,2,1
1260,2,33,0,2,1
1261,1,23,0,2,1
1262,4,32,1,2,2
1263,3,45,1,2,1
1264,4,37,1,2,1
1265,4,35,0,2,3
1266,3,37,1,2,3
1267,5,35,1,2,2
1268,1,23,1,2,3
1269,8,38,1,2,2
1270,4,41,0,2,2
1271,9,35,1,2,3
1272,3,29,1,2,3
1273,2,26,1,2,1
1274,2,22,1,2,3
1275,5,30,1,2,3
1276,3,36,1,2,3
1277,3,26,1,2,1
1278,2,32,1,2,3
1279,3,39,0,2,2
1280,3,29,1,2,1
1281,5,40,1,2,1
1282,6,43,1,2,3
1283,6,44,1,2,3
1284,2,24,1,2,2
1285,3,42,1,2,1
1286,2,33,1,2,1
1287,1,24,0,2,2
1288,2,28,0,2,2
1289,5,32,1,2,2
1290,4,26,1,2,3
1291,1,27,1,2,1
1292,3,41,0,2,2
1293,2,28,0,2,3
1294,1,23,1,2,3
1295,4,31,1,2,4
1296,3,33,0,2,2
1297,5,35,1,2,1
1298,5,39,1,2,3
1299,2,27,1,2,1
1300,3,48,0,2,1
1301,2,25,1,2,3
1302,4,38,1,2,2
1303,7,48,1,2,1
1304,4,34,1,2,3
1305,4,36,1,2,1
1306,3,34,1,2,3
1307,4,42,0,2,2
1308,5,45,0,2,1
1309,4,37,0,2,2
1310,3,38,0,2,2
1311,4,42,0,2,3
1312,5,42,0,2,2
1313,6,41,1,2,1
1314,5,43,0,2,1
1315,2,34,0,2,3
1316,1,44,0,2,2
1317,4,41,0,2,1
1318,3,36,1,2,1
1319,5,34,1,2,3
1320,5,32,1,3,3
1321,6,34,1,3,1
1322,2,24,1,3,3
1323,1,21,0,3,3
1324,9,38,1,3,3
1325,3,39,1,3,1
1326,6,35,1,3,2
1327,7,30,1,3,3
1328,1,17,1,3,3
1329,3,32,1,3,3
1330,5,43,0,3,1
1331,4,31,1,3,3
1332,3,24,1,3,3
1333,3,26,1,3,1
1334,4,35,1,3,1
1335,4,46,1,3,3
1336,3,29,1,3,3
1337,1,21,1,3,3
1338,5,31,1,3,1
1339,2,24,1,3,3
1340,3,24,1,3,3
1341,4,36,1,3,1
1342,9,37,1,3,3
1343,6,37,1,3,3
1344,11,37,1,3,1
1345,4,44,0,3,2
1346,6,35,1,3,2
1347,3,25,1,3,3
1348,2,21,1,3,2
1349,3,24,1,3,3
1350,1,16,1,3,3
1351,1,21,1,3,3
1352,2,25,1,3,2
1353,1,26,1,3,2
1354,2,43,1,3,1
1355,1,24,1,3,1
1356,3,30,0,3,3
1357,3,30,1,3,3
1358,2,26,1,3,3
1359,4,29,1,3,3
1360,4,24,1,3,3
1361,2,29,1,3,3
1362,1,29,1,3,3
1363,1,22,1,3,2
1364,4,30,1,3,3
1365,1,24,1,3,2
1366,2,25,1,3,1
1367,5,44,1,3,1
1368,3,28,1,3,2
1369,1,22,1,3,3
1370,6,30,1,3,2
1371,3,25,1,3,2
1372,2,25,1,3,3
1373,2,33,1,3,1
1374,4,33,1,3,2
1375,2,26,1,3,2
1376,5,29,1,3,3
1377,4,32,1,3,2
1378,1,30,1,3,3
1379,1,37,0,3,1
1380,4,31,1,3,3
1381,4,36,1,3,3
1382,7,36,1,3,2
1383,2,26,1,3,2
1384,3,36,1,3,1
1385,1,28,1,3,2
1386,5,33,1,3,3
1387,2,25,1,3,2
1388,2,31,0,3,1
1389,4,38,1,3,1
1390,5,35,1,3,3
1391,3,33,0,3,2
1392,2,30,1,3,3
1393,2,20,1,3,2
1394,1,18,1,3,2
1395,3,30,1,3,3
1396,6,35,1,3,3
1397,2,22,1,3,3
1398,7,28,1,3,3
1399,1,21,1,3,3
1400,4,27,1,3,3
1401,3,30,1,3,3
1402,2,25,1,3,3
1403,3,26,1,3,3
1404,5,37,1,3,1
1405,9,47,1,3,3
1406,5,36,1,3,3
1407,6,36,1,3,2
1408,3,36,1,3,2
1409,4,28,1,3,3
1410,2,21,1,3,3
1411,2,25,1,3,2
1412,3,30,1,3,3
1413,3,22,1,3,3
1414,2,23,1,3,2
1415,9,36,1,3,3
1416,2,28,1,3,3
1417,5,46,1,3,2
1418,5,47,1,3,3
1419,5,41,1,3,2
1420,5,44,1,3,3
1421,3,34,0,3,3
1422,6,37,1,3,3
1423,2,34,0,3,1
1424,2,22,1,3,3
1425,4,33,1,3,2
1426,3,21,1,3,3
1427,4,31,1,3,3
1428,5,41,1,3,3
1429,4,30,1,3,3
1430,5,32,1,3,3
1431,2,27,0,3,2
1432,1,26,0,3,2
1433,5,42,0,3,2
1434,1,24,1,3,1
1435,6,37,1,3,1
1436,5,30,1,3,3
1437,1,27,1,3,1
1438,6,34,1,3,3
1439,5,32,0,3,1
1440,1,28,0,3,2
1441,1,29,0,3,2
1442,3,42,0,3,2
1443,0,21,0,3,4
1444,2,22,1,3,3
1445,3,36,0,3,3
1446,3,45,0,3,2
1447,2,34,0,3,2
1448,5,35,1,3,3
1449,1,19,1,3,2
1450,4,27,1,3,3
1451,4,37,1,3,2
1452,4,26,1,3,3
1453,5,28,1,3,3
1454,5,31,1,3,1
1455,6,32,1,3,2
1456,4,40,0,3,2
1457,5,27,1,3,2
1458,3,27,1,3,2
1459,5,37,0,3,2
1460,1,22,1,3,2
1461,4,27,1,3,1
1462,1,21,0,3,2
1463,2,30,1,3,3
1464,1,23,1,3,2
1465,3,25,1,3,1
1466,6,42,1,3,2
1467,3,29,1,3,1
1468,2,33,1,3,2
1469,3,33,1,3,1
1470,8,39,1,3,1
1471,4,33,1,3,2
1472,1,17,1,3,2
