,A3_num,A13_cat,A7_cat,A2_num,A6_cat,A10_cat,A4_cat,A1_cat
624,0.79,g,v,21.58,cc,f,y,b
625,12.0,s,v,23.75,c,f,u,b
626,7.835,g,bb,22.0,i,f,y,b
627,2.54,g,ff,36.08,ff,f,u,b
628,13.0,g,h,29.25,d,f,u,b
629,0.665,g,v,19.58,w,f,u,a
630,1.25,g,v,22.92,q,f,u,a
631,0.29,g,h,27.25,m,t,u,a
632,1.5,g,ff,38.75,ff,f,u,a
633,2.165,g,ff,32.42,k,f,y,b
634,0.71,g,v,23.75,w,t,u,a
635,2.46,g,n,18.17,c,t,u,b
636,0.5,g,v,40.92,m,f,y,b
637,9.585,g,v,19.5,aa,f,u,b
638,3.625,g,v,28.58,aa,f,u,b
639,0.75,g,v,35.58,k,f,u,b
640,2.75,g,bb,34.17,i,f,u,b
641,2.25,g,v,33.17,cc,f,y,
642,0.75,g,v,31.58,aa,f,y,b
643,7.0,g,h,52.5,aa,f,u,a
644,0.42,g,v,36.17,w,f,y,b
645,2.665,g,v,37.33,cc,f,u,b
646,8.5,g,v,20.83,c,f,u,a
647,9.0,g,v,24.08,aa,f,u,b
648,0.335,g,h,25.58,k,f,u,b
649,3.75,g,ff,35.17,ff,t,u,a
650,3.75,g,bb,48.08,i,f,u,b
651,7.625,g,v,15.83,q,t,u,a
652,0.415,s,v,22.5,i,f,u,a
653,11.5,g,v,21.5,i,f,u,b
654,0.83,g,v,23.58,q,t,u,a
655,5.0,g,ff,21.08,ff,f,y,a
656,3.25,g,h,25.67,c,t,u,b
657,1.665,g,v,38.92,aa,f,u,a
658,0.375,g,v,15.75,c,f,u,a
659,3.75,g,v,28.58,c,t,u,a
660,9.0,g,v,22.25,aa,f,u,b
661,3.5,g,v,29.83,c,f,u,b
662,1.5,g,v,23.5,w,f,u,a
663,4.0,g,v,32.08,cc,f,y,b
664,1.5,s,v,31.08,w,f,y,b
665,0.04,g,v,31.83,m,f,y,b
666,11.75,g,v,21.75,c,f,u,a
667,0.54,g,v,17.92,c,t,u,a
668,0.5,s,h,30.33,d,f,u,b
669,2.04,g,ff,51.83,ff,f,y,b
670,5.835,g,v,47.17,w,f,u,b
671,12.835,g,v,25.83,cc,f,u,b
672,0.835,g,v,50.25,aa,f,u,a
673,2.0,g,h,29.5,e,f,y,
674,2.5,g,h,37.33,i,f,u,a
675,1.04,g,v,41.58,aa,f,u,a
676,10.665,g,h,30.58,q,t,u,a
677,7.25,g,v,19.42,m,t,u,b
678,10.21,g,ff,17.92,ff,f,u,a
679,1.25,g,v,20.08,c,f,u,a
680,0.29,g,v,19.5,k,f,u,b
681,1.0,g,h,27.83,d,f,y,b
682,3.29,g,v,17.08,i,f,u,b
683,0.75,g,v,36.42,d,f,y,b
684,3.29,s,v,40.58,m,f,u,b
685,10.085,g,h,21.08,e,f,y,b
686,0.75,g,v,22.67,c,t,u,a
687,13.5,g,ff,25.25,ff,t,y,a
688,0.205,g,v,17.92,aa,f,u,b
689,3.375,g,h,35.0,c,f,u,b
