,abdominocentesis_appearance_cat,abdomen_cat,rectal_temperature_num,nasogastric_tube_cat,total_protein_num,rectal_examination_cat,pain_cat,pulse_num,Age_cat,packed_cell_volume_num,temp_extremities_cat,peripheral_pulse_cat
323,serosanguinous,distended small intestine,38.4,slight,7.5,absent,intermittent severe pain,84.0,adult,47.0,cool,normal
324,,distended small intestine,38.1,none,6.8,,continuous severe pain,84.0,adult,60.0,cold,
325,,firm feces in large intestine,38.7,,74.0,normal,alert no pain,52.0,adult,4.0,normal,normal
326,,firm feces in large intestine,38.1,,6.8,normal,intermittent mild pain,44.0,adult,35.0,warm,normal
327,clear,distended large intestine,38.4,slight,63.0,decreased,alert no pain,52.0,adult,41.0,warm,normal
328,cloudy,distended small intestine,38.2,none,6.2,absent,depressed,60.0,adult,43.0,normal,
329,,firm feces in large intestine,37.7,none,3.5,decreased,intermittent mild pain,40.0,adult,36.0,normal,normal
330,,distended small intestine,39.1,,,absent,depressed,60.0,adult,,,normal
331,,firm feces in large intestine,37.8,slight,7.5,absent,,48.0,adult,43.0,normal,normal
332,serosanguinous,,39.0,slight,8.2,,depressed,120.0,adult,65.0,cold,reduced
333,cloudy,distended large intestine,38.2,none,6.5,normal,continuous severe pain,76.0,adult,35.0,warm,reduced
334,,,38.3,,,,,88.0,adult,,,
335,,,38.0,,8.3,,,80.0,adult,48.0,cool,reduced
336,cloudy,distended small intestine,,none,,absent,depressed,,adult,,cool,normal
337,cloudy,normal,37.6,,,normal,alert no pain,40.0,adult,,normal,normal
338,cloudy,,37.5,,5.8,,intermittent mild pain,44.0,adult,45.0,normal,normal
339,clear,,38.2,,60.0,normal,alert no pain,42.0,adult,35.0,normal,normal
340,cloudy,,38.0,slight,70.0,absent,,56.0,adult,47.0,cool,reduced
341,,,38.3,slight,,absent,depressed,45.0,adult,,cool,reduced
342,clear,distended small intestine,,slight,8.0,normal,,48.0,adult,42.0,normal,normal
343,,distended large intestine,37.7,,,absent,depressed,55.0,adult,,warm,normal
344,cloudy,distended large intestine,36.0,none,5.7,absent,depressed,100.0,adult,74.0,cold,reduced
345,cloudy,distended small intestine,37.1,,8.5,decreased,intermittent mild pain,60.0,adult,64.0,warm,
346,serosanguinous,firm feces in large intestine,37.1,,,,depressed,114.0,adult,32.0,cool,
347,serosanguinous,distended large intestine,38.1,slight,56.0,decreased,intermittent severe pain,72.0,adult,37.0,cool,reduced
348,serosanguinous,other,37.0,,6.7,absent,alert no pain,44.0,adult,40.0,cool,normal
349,,,38.6,,75.0,decreased,intermittent severe pain,48.0,adult,37.0,cool,normal
350,serosanguinous,distended small intestine,,,65.0,absent,depressed,82.0,adult,53.0,cool,normal
351,serosanguinous,,38.2,,5.8,normal,intermittent mild pain,78.0,young,59.0,cold,absent
352,,,37.8,none,73.0,decreased,depressed,60.0,adult,41.0,normal,normal
353,,,38.7,,69.0,,depressed,34.0,adult,33.0,warm,
354,,distended large intestine,,none,,normal,alert no pain,36.0,adult,44.0,normal,normal
355,,,38.3,,36.0,,,44.0,adult,6.4,,
356,cloudy,distended large intestine,37.4,slight,7.1,absent,intermittent mild pain,54.0,adult,30.0,cool,
357,serosanguinous,,,,76.0,,depressed,,adult,54.0,cold,reduced
358,,,36.6,none,56.0,,intermittent severe pain,48.0,adult,27.0,cool,normal
359,,distended large intestine,38.5,slight,79.0,absent,intermittent mild pain,90.0,adult,47.0,normal,normal
360,clear,,,,8.5,,continuous severe pain,75.0,adult,58.0,normal,normal
361,cloudy,other,38.2,slight,5.9,decreased,alert no pain,42.0,adult,35.0,cool,normal
362,serosanguinous,,38.2,,5.8,normal,intermittent mild pain,78.0,young,59.0,cold,absent
363,clear,,38.6,none,6.0,,intermittent severe pain,60.0,adult,40.0,normal,normal
364,,firm feces in large intestine,37.8,,6.2,decreased,alert no pain,42.0,adult,36.0,normal,normal
365,serosanguinous,distended small intestine,38.0,none,65.0,normal,depressed,60.0,adult,44.0,normal,normal
366,,normal,38.0,,5.8,,alert no pain,42.0,adult,37.0,cool,
367,,,37.6,none,6.0,,intermittent mild pain,88.0,adult,44.0,cool,normal
