,Class_cat,top-left-square_cat,top-middle-square_cat,top-right-square_cat,middle-left-square_cat,middle-middle-square_cat,middle-right-square_cat,bottom-left-square_cat,bottom-middle-square_cat,bottom-right-square_cat
600,positive,b,b,x,o,b,x,o,b,x
601,positive,b,b,x,o,b,x,b,o,x
602,positive,b,b,x,b,x,o,x,o,b
603,positive,b,b,x,b,x,o,x,b,o
604,positive,b,b,x,b,x,b,x,o,o
605,positive,b,b,x,b,o,x,o,b,x
606,positive,b,b,x,b,o,x,b,o,x
607,positive,b,b,x,b,b,x,o,o,x
608,positive,b,b,o,x,x,x,x,o,o
609,positive,b,b,o,x,x,x,o,x,o
610,positive,b,b,o,x,x,x,o,o,x
611,positive,b,b,o,x,x,x,o,b,b
612,positive,b,b,o,x,x,x,b,o,b
613,positive,b,b,o,x,x,x,b,b,o
614,positive,b,b,o,x,o,o,x,x,x
615,positive,b,b,o,o,x,o,x,x,x
616,positive,b,b,o,o,o,x,x,x,x
617,positive,b,b,o,o,b,b,x,x,x
618,positive,b,b,o,b,o,b,x,x,x
619,positive,b,b,o,b,b,o,x,x,x
620,positive,b,b,b,x,x,x,o,o,b
621,positive,b,b,b,x,x,x,o,b,o
622,positive,b,b,b,x,x,x,b,o,o
623,positive,b,b,b,o,o,b,x,x,x
624,positive,b,b,b,o,b,o,x,x,x
625,positive,b,b,b,b,o,o,x,x,x
626,negative,x,x,o,x,x,o,o,b,o
627,negative,x,x,o,x,x,o,b,o,o
628,negative,x,x,o,x,x,b,o,o,o
629,negative,x,x,o,x,o,x,o,o,b
630,negative,x,x,o,x,o,x,o,b,o
631,negative,x,x,o,x,o,o,o,x,b
632,negative,x,x,o,x,o,o,o,b,x
633,negative,x,x,o,x,o,o,b,x,o
634,negative,x,x,o,x,o,b,o,x,o
635,negative,x,x,o,x,o,b,o,o,x
636,negative,x,x,o,x,o,b,o,b,b
637,negative,x,x,o,x,b,x,o,o,o
638,negative,x,x,o,x,b,o,o,x,o
639,negative,x,x,o,x,b,o,b,b,o
640,negative,x,x,o,o,x,o,x,b,o
641,negative,x,x,o,o,o,x,o,x,b
642,negative,x,x,o,o,o,x,o,b,x
643,negative,x,x,o,o,o,o,x,x,b
644,negative,x,x,o,o,o,o,x,b,x
645,negative,x,x,o,o,o,o,b,x,x
646,negative,x,x,o,o,o,b,o,x,x
647,negative,x,x,o,o,b,o,x,x,o
648,negative,x,x,o,b,x,x,o,o,o
649,negative,x,x,o,b,x,o,x,o,o
650,negative,x,x,o,b,x,o,b,b,o
651,negative,x,x,o,b,o,x,o,x,o
652,negative,x,x,o,b,o,x,o,o,x
653,negative,x,x,o,b,o,x,o,b,b
654,negative,x,x,o,b,o,o,x,x,o
655,negative,x,x,o,b,o,o,o,x,x
656,negative,x,x,o,b,o,b,o,x,b
657,negative,x,x,o,b,o,b,o,b,x
658,negative,x,x,o,b,b,o,x,b,o
659,negative,x,x,o,b,b,o,b,x,o
660,negative,x,x,b,x,x,o,o,o,o
661,negative,x,x,b,x,o,x,o,o,o
662,negative,x,x,b,x,b,b,o,o,o
663,negative,x,x,b,o,x,x,o,o,o
664,negative,x,x,b,o,o,o,x,x,o
665,negative,x,x,b,o,o,o,x,o,x
666,negative,x,x,b,o,o,o,x,b,b
667,negative,x,x,b,o,o,o,o,x,x
668,negative,x,x,b,o,o,o,b,x,b
669,negative,x,x,b,o,o,o,b,b,x
670,negative,x,x,b,b,x,b,o,o,o
671,negative,x,x,b,b,b,x,o,o,o
672,negative,x,o,x,x,x,b,o,o,o
673,negative,x,o,x,x,o,x,o,o,b
674,negative,x,o,x,x,o,x,b,o,o
675,negative,x,o,x,x,o,o,b,o,x
676,negative,x,o,x,x,o,b,o,o,x
677,negative,x,o,x,x,o,b,b,o,b
678,negative,x,o,x,x,b,x,o,o,o
679,negative,x,o,x,o,o,x,x,o,b
680,negative,x,o,x,o,o,o,x,x,b
681,negative,x,o,x,o,o,o,x,b,x
682,negative,x,o,x,o,o,o,b,x,x
683,negative,x,o,x,o,o,b,x,o,x
684,negative,x,o,x,b,x,x,o,o,o
685,negative,x,o,x,b,o,x,x,o,o
686,negative,x,o,x,b,o,x,b,o,b
687,negative,x,o,x,b,o,o,x,o,x
688,negative,x,o,x,b,o,b,x,o,b
689,negative,x,o,x,b,o,b,b,o,x
690,negative,x,o,o,x,x,o,b,x,o
691,negative,x,o,o,x,o,x,o,x,b
692,negative,x,o,o,x,o,x,o,b,x
693,negative,x,o,o,x,o,x,b,o,x
694,negative,x,o,o,x,o,b,o,x,x
695,negative,x,o,o,b,x,o,x,x,o
696,negative,x,o,o,b,o,x,x,o,x
697,negative,x,o,o,b,o,x,o,x,x
698,negative,x,o,b,x,o,x,o,o,x
699,negative,x,o,b,x,o,x,b,o,b
700,negative,x,o,b,x,o,b,b,o,x
701,negative,x,o,b,o,o,x,x,o,x
702,negative,x,o,b,b,o,x,x,o,b
703,negative,x,o,b,b,o,x,b,o,x
704,negative,x,o,b,b,o,b,x,o,x
705,negative,x,b,x,x,x,o,o,o,o
706,negative,x,b,x,x,o,x,o,o,o
707,negative,x,b,x,x,b,b,o,o,o
708,negative,x,b,x,o,x,x,o,o,o
709,negative,x,b,x,o,o,o,x,x,o
710,negative,x,b,x,o,o,o,x,o,x
711,negative,x,b,x,o,o,o,x,b,b
712,negative,x,b,x,o,o,o,o,x,x
713,negative,x,b,x,o,o,o,b,x,b
714,negative,x,b,x,o,o,o,b,b,x
715,negative,x,b,x,b,x,b,o,o,o
716,negative,x,b,x,b,b,x,o,o,o
717,negative,x,b,o,x,x,o,o,x,o
718,negative,x,b,o,x,x,o,b,b,o
719,negative,x,b,o,x,o,x,o,x,o
720,negative,x,b,o,x,o,x,o,o,x
721,negative,x,b,o,x,o,x,o,b,b
722,negative,x,b,o,x,o,o,o,x,x
723,negative,x,b,o,x,o,b,o,x,b
724,negative,x,b,o,x,o,b,o,b,x
725,negative,x,b,o,x,b,o,b,x,o
726,negative,x,b,o,o,x,o,x,x,o
727,negative,x,b,o,o,o,x,o,x,x
728,negative,x,b,o,b,x,o,x,b,o
729,negative,x,b,o,b,x,o,b,x,o
730,negative,x,b,o,b,o,x,o,x,b
731,negative,x,b,o,b,o,x,o,b,x
732,negative,x,b,o,b,o,b,o,x,x
733,negative,x,b,o,b,b,o,x,x,o
734,negative,x,b,b,x,x,b,o,o,o
735,negative,x,b,b,x,b,x,o,o,o
736,negative,x,b,b,o,o,o,x,x,b
737,negative,x,b,b,o,o,o,x,b,x
738,negative,x,b,b,o,o,o,b,x,x
739,negative,x,b,b,b,x,x,o,o,o
740,negative,o,x,x,x,x,b,o,o,o
741,negative,o,x,x,x,o,x,o,b,o
742,negative,o,x,x,x,o,x,b,o,o
743,negative,o,x,x,x,o,o,x,b,o
744,negative,o,x,x,x,o,o,b,x,o
745,negative,o,x,x,x,o,b,x,o,o
746,negative,o,x,x,x,o,b,o,x,o
747,negative,o,x,x,x,o,b,b,b,o
748,negative,o,x,x,x,b,x,o,o,o
749,negative,o,x,x,o,x,x,o,o,b
750,negative,o,x,x,o,x,x,o,b,o
751,negative,o,x,x,o,x,o,o,b,x
752,negative,o,x,x,o,x,b,o,o,x
753,negative,o,x,x,o,x,b,o,b,b
754,negative,o,x,x,o,o,x,x,b,o
755,negative,o,x,x,o,o,x,o,x,b
756,negative,o,x,x,o,o,x,b,x,o
757,negative,o,x,x,o,o,o,x,x,b
758,negative,o,x,x,o,o,o,x,b,x
759,negative,o,x,x,o,o,o,b,x,x
760,negative,o,x,x,o,o,b,x,x,o
761,negative,o,x,x,o,o,b,o,x,x
762,negative,o,x,x,o,b,x,o,x,o
763,negative,o,x,x,o,b,x,o,b,b
764,negative,o,x,x,o,b,o,o,x,x
765,negative,o,x,x,o,b,b,o,x,b
766,negative,o,x,x,o,b,b,o,b,x
767,negative,o,x,x,b,x,x,o,o,o
768,negative,o,x,x,b,o,x,x,o,o
769,negative,o,x,x,b,o,x,o,x,o
770,negative,o,x,x,b,o,x,b,b,o
771,negative,o,x,x,b,o,o,x,x,o
772,negative,o,x,x,b,o,b,x,b,o
773,negative,o,x,x,b,o,b,b,x,o
774,negative,o,x,o,x,x,o,x,b,o
775,negative,o,x,o,x,o,x,x,b,o
776,negative,o,x,o,x,o,x,o,x,b
777,negative,o,x,o,x,o,x,o,b,x
778,negative,o,x,o,x,o,x,b,x,o
779,negative,o,x,o,x,o,b,x,x,o
780,negative,o,x,o,x,o,b,o,x,x
781,negative,o,x,o,x,b,o,x,x,o
782,negative,o,x,o,o,x,x,o,b,x
783,negative,o,x,o,o,b,x,o,x,x
784,negative,o,x,o,b,o,x,x,x,o
785,negative,o,x,o,b,o,x,o,x,x
786,negative,o,x,b,x,o,x,x,o,o
787,negative,o,x,b,x,o,x,o,x,o
788,negative,o,x,b,x,o,x,b,b,o
789,negative,o,x,b,x,o,o,x,x,o
790,negative,o,x,b,x,o,b,x,b,o
791,negative,o,x,b,x,o,b,b,x,o
792,negative,o,x,b,o,x,x,o,o,x
793,negative,o,x,b,o,x,x,o,b,b
794,negative,o,x,b,o,x,b,o,b,x
795,negative,o,x,b,o,o,x,x,x,o
796,negative,o,x,b,o,o,x,o,x,x
797,negative,o,x,b,o,b,x,o,x,b
798,negative,o,x,b,o,b,x,o,b,x
799,negative,o,x,b,o,b,b,o,x,x
800,negative,o,x,b,b,o,x,x,b,o
801,negative,o,x,b,b,o,x,b,x,o
802,negative,o,x,b,b,o,b,x,x,o
803,negative,o,o,x,x,o,x,x,o,b
804,negative,o,o,x,x,o,x,x,b,o
805,negative,o,o,x,x,o,x,b,x,o
806,negative,o,o,x,x,o,b,x,x,o
807,negative,o,o,x,x,o,b,x,o,x
808,negative,o,o,x,o,x,x,o,x,b
809,negative,o,o,x,o,x,b,o,x,x
810,negative,o,o,x,b,o,x,x,x,o
811,negative,o,o,o,x,x,o,x,x,b
812,negative,o,o,o,x,x,o,x,b,x
813,negative,o,o,o,x,x,o,b,x,x
814,negative,o,o,o,x,x,b,x,x,o
815,negative,o,o,o,x,x,b,x,o,x
816,negative,o,o,o,x,x,b,x,b,b
817,negative,o,o,o,x,x,b,o,x,x
818,negative,o,o,o,x,x,b,b,x,b
819,negative,o,o,o,x,x,b,b,b,x
820,negative,o,o,o,x,o,x,x,x,b
821,negative,o,o,o,x,o,x,x,b,x
822,negative,o,o,o,x,o,x,b,x,x
823,negative,o,o,o,x,b,x,x,x,o
824,negative,o,o,o,x,b,x,x,o,x
825,negative,o,o,o,x,b,x,x,b,b
826,negative,o,o,o,x,b,x,o,x,x
827,negative,o,o,o,x,b,x,b,x,b
828,negative,o,o,o,x,b,x,b,b,x
829,negative,o,o,o,x,b,b,x,x,b
830,negative,o,o,o,x,b,b,x,b,x
831,negative,o,o,o,x,b,b,b,x,x
832,negative,o,o,o,o,x,x,x,x,b
833,negative,o,o,o,o,x,x,x,b,x
834,negative,o,o,o,o,x,x,b,x,x
835,negative,o,o,o,b,x,x,x,x,o
836,negative,o,o,o,b,x,x,x,o,x
837,negative,o,o,o,b,x,x,x,b,b
838,negative,o,o,o,b,x,x,o,x,x
839,negative,o,o,o,b,x,x,b,x,b
840,negative,o,o,o,b,x,x,b,b,x
841,negative,o,o,o,b,x,b,x,x,b
842,negative,o,o,o,b,x,b,x,b,x
843,negative,o,o,o,b,x,b,b,x,x
844,negative,o,o,o,b,b,x,x,x,b
845,negative,o,o,o,b,b,x,x,b,x
846,negative,o,o,o,b,b,x,b,x,x
847,negative,o,o,b,x,o,x,x,x,o
848,negative,o,o,b,x,o,x,x,o,x
849,negative,o,o,b,o,x,x,o,x,x
850,negative,o,b,x,x,o,x,x,o,o
851,negative,o,b,x,x,o,x,o,x,o
852,negative,o,b,x,x,o,x,b,b,o
853,negative,o,b,x,x,o,o,x,x,o
854,negative,o,b,x,x,o,b,x,b,o
855,negative,o,b,x,x,o,b,b,x,o
856,negative,o,b,x,o,x,x,o,x,o
857,negative,o,b,x,o,x,x,o,b,b
858,negative,o,b,x,o,x,o,o,x,x
859,negative,o,b,x,o,x,b,o,x,b
860,negative,o,b,x,o,x,b,o,b,x
861,negative,o,b,x,o,o,x,x,x,o
862,negative,o,b,x,o,b,x,o,x,b
863,negative,o,b,x,o,b,b,o,x,x
864,negative,o,b,x,b,o,x,x,b,o
865,negative,o,b,x,b,o,x,b,x,o
866,negative,o,b,x,b,o,b,x,x,o
867,negative,o,b,o,x,x,o,x,x,o
868,negative,o,b,o,x,o,x,x,x,o
869,negative,o,b,o,x,o,x,o,x,x
870,negative,o,b,o,o,x,x,o,x,x
871,negative,o,b,b,x,o,x,x,b,o
872,negative,o,b,b,x,o,x,b,x,o
873,negative,o,b,b,x,o,b,x,x,o
874,negative,o,b,b,o,x,x,o,x,b
875,negative,o,b,b,o,x,x,o,b,x
876,negative,o,b,b,o,x,b,o,x,x
877,negative,o,b,b,o,b,x,o,x,x
878,negative,o,b,b,b,o,x,x,x,o
879,negative,b,x,x,x,x,o,o,o,o
880,negative,b,x,x,x,o,x,o,o,o
881,negative,b,x,x,x,b,b,o,o,o
882,negative,b,x,x,o,x,x,o,o,o
883,negative,b,x,x,o,o,o,x,x,o
884,negative,b,x,x,o,o,o,x,o,x
885,negative,b,x,x,o,o,o,x,b,b
886,negative,b,x,x,o,o,o,o,x,x
887,negative,b,x,x,o,o,o,b,x,b
888,negative,b,x,x,o,o,o,b,b,x
889,negative,b,x,x,b,x,b,o,o,o
890,negative,b,x,x,b,b,x,o,o,o
891,negative,b,x,o,x,x,o,x,o,o
892,negative,b,x,o,x,x,o,b,b,o
893,negative,b,x,o,x,o,x,o,x,o
894,negative,b,x,o,x,o,x,o,o,x
895,negative,b,x,o,x,o,x,o,b,b
896,negative,b,x,o,x,o,o,x,x,o
897,negative,b,x,o,x,o,o,o,x,x
898,negative,b,x,o,x,o,b,o,x,b
899,negative,b,x,o,x,o,b,o,b,x
900,negative,b,x,o,x,b,o,x,b,o
901,negative,b,x,o,x,b,o,b,x,o
902,negative,b,x,o,o,o,x,o,x,x
903,negative,b,x,o,b,x,o,x,b,o
904,negative,b,x,o,b,o,x,o,x,b
905,negative,b,x,o,b,o,x,o,b,x
906,negative,b,x,o,b,o,b,o,x,x
907,negative,b,x,o,b,b,o,x,x,o
908,negative,b,x,b,x,x,b,o,o,o
909,negative,b,x,b,x,b,x,o,o,o
910,negative,b,x,b,o,o,o,x,x,b
911,negative,b,x,b,o,o,o,x,b,x
912,negative,b,x,b,o,o,o,b,x,x
913,negative,b,x,b,b,x,x,o,o,o
914,negative,b,o,x,x,o,x,x,o,o
915,negative,b,o,x,x,o,x,b,o,b
916,negative,b,o,x,x,o,o,x,o,x
917,negative,b,o,x,x,o,b,x,o,b
918,negative,b,o,x,x,o,b,b,o,x
919,negative,b,o,x,b,o,x,x,o,b
920,negative,b,o,x,b,o,b,x,o,x
921,negative,b,o,o,x,x,o,x,x,o
922,negative,b,o,o,x,o,x,x,o,x
923,negative,b,o,o,x,o,x,o,x,x
924,negative,b,o,b,x,o,x,x,o,b
925,negative,b,o,b,x,o,x,b,o,x
926,negative,b,o,b,x,o,b,x,o,x
927,negative,b,o,b,b,o,x,x,o,x
928,negative,b,b,x,x,x,b,o,o,o
929,negative,b,b,x,x,b,x,o,o,o
930,negative,b,b,x,o,o,o,x,x,b
931,negative,b,b,x,o,o,o,x,b,x
932,negative,b,b,x,o,o,o,b,x,x
933,negative,b,b,x,b,x,x,o,o,o
934,negative,b,b,o,x,x,o,x,b,o
935,negative,b,b,o,x,x,o,b,x,o
936,negative,b,b,o,x,o,x,o,x,b
937,negative,b,b,o,x,o,x,o,b,x
938,negative,b,b,o,x,o,b,o,x,x
939,negative,b,b,o,x,b,o,x,x,o
940,negative,b,b,o,b,x,o,x,x,o
941,negative,b,b,o,b,o,x,o,x,x
942,negative,x,x,o,o,x,x,x,o,o
943,negative,x,x,o,o,o,x,x,x,o
944,negative,x,x,o,o,o,x,x,o,x
945,negative,x,o,x,x,x,o,o,x,o
946,negative,x,o,x,x,o,x,o,x,o
947,negative,x,o,x,x,o,o,o,x,x
948,negative,x,o,x,o,x,x,o,x,o
949,negative,x,o,x,o,o,x,x,x,o
950,negative,x,o,o,o,x,x,x,x,o
951,negative,o,x,x,x,x,o,o,o,x
952,negative,o,x,x,x,o,o,x,o,x
953,negative,o,x,x,x,o,o,o,x,x
954,negative,o,x,o,x,x,o,x,o,x
955,negative,o,x,o,x,o,x,x,o,x
956,negative,o,x,o,o,x,x,x,o,x
957,negative,o,o,x,x,x,o,o,x,x
