,spore-print-color_cat,veil-color_cat,cap-color_cat,stalk-surface-below-ring_cat,ring-type_cat,veil-type_cat,stalk-shape_cat,bruises%3F_cat,cap-surface_cat,ring-number_cat,gill-attachment_cat,gill-spacing_cat
1975,n,w,w,s,p,p,e,t,y,o,f,c
1976,n,w,n,s,p,p,t,t,f,o,f,c
1977,n,w,g,s,p,p,t,t,f,o,f,c
1978,n,w,n,f,e,p,t,f,f,o,f,w
1979,k,w,e,s,p,p,t,t,f,o,f,c
1980,n,w,w,s,e,p,t,f,f,o,f,w
1981,k,w,w,f,e,p,t,f,f,o,f,w
1982,k,w,w,s,p,p,e,t,y,o,f,c
1983,n,w,w,s,e,p,t,f,s,o,f,w
1984,n,w,g,s,p,p,t,t,y,o,f,c
1985,k,w,g,s,p,p,t,t,f,o,f,c
1986,n,w,g,s,e,p,t,f,s,o,f,w
1987,n,w,w,s,p,p,e,t,y,o,f,c
1988,n,w,e,s,p,p,t,t,f,o,f,c
1989,k,w,n,s,p,p,e,t,s,o,f,c
1990,n,w,n,s,p,p,e,t,y,o,f,c
1991,n,w,g,s,p,p,t,t,f,o,f,c
1992,n,w,n,f,e,p,t,f,s,o,f,w
1993,n,w,g,s,p,p,t,t,f,o,f,c
1994,k,w,n,f,e,p,t,f,f,o,f,w
1995,n,w,n,s,p,p,t,t,f,o,f,c
1996,n,w,n,s,e,p,t,f,s,o,f,w
1997,k,w,n,f,e,p,t,f,f,o,f,w
1998,k,w,n,f,e,p,t,f,s,o,f,w
1999,k,w,n,f,e,p,t,f,s,o,f,w
2000,n,w,n,s,p,p,t,t,f,o,f,c
2001,n,w,e,s,p,p,t,t,y,o,f,c
2002,k,w,n,f,e,p,t,f,s,o,f,w
2003,k,w,n,s,p,p,t,t,f,o,f,c
2004,n,w,w,s,p,p,e,t,y,o,f,c
2005,n,w,y,y,p,p,e,t,y,o,f,c
2006,k,w,n,s,p,p,e,t,s,o,f,c
2007,n,w,w,s,e,p,t,f,f,o,f,w
2008,k,w,n,f,e,p,t,f,f,o,f,w
2009,n,w,n,s,p,p,e,t,s,o,f,c
2010,n,w,n,f,e,p,t,f,s,o,f,w
2011,k,w,n,f,e,p,t,f,f,o,f,w
2012,k,w,e,s,p,p,t,t,f,o,f,c
2013,k,w,n,s,e,p,t,f,f,o,f,w
2014,n,w,w,s,e,p,t,f,f,o,f,w
2015,n,w,g,s,e,p,t,f,s,o,f,w
2016,k,w,w,s,e,p,t,f,f,o,f,w
2017,n,w,y,s,p,p,t,t,s,o,f,w
2018,n,w,w,s,p,p,t,t,f,o,f,w
2019,n,w,n,f,e,p,t,f,f,o,f,w
2020,n,w,n,s,p,p,t,t,f,o,f,c
2021,k,w,g,s,p,p,t,t,y,o,f,c
2022,n,w,n,s,p,p,t,t,f,o,f,c
2023,k,w,n,f,e,p,t,f,f,o,f,w
2024,n,w,g,s,p,p,t,t,f,o,f,c
2025,k,w,n,s,p,p,t,t,f,o,f,c
2026,k,w,g,s,e,p,t,f,f,o,f,w
2027,n,w,n,s,p,p,t,t,f,o,f,c
2028,k,w,n,f,e,p,t,f,s,o,f,w
2029,k,w,w,s,p,p,e,t,y,o,f,c
2030,k,w,e,s,p,p,t,t,y,o,f,c
2031,n,w,n,f,e,p,t,f,s,o,f,w
2032,k,w,e,s,p,p,t,t,f,o,f,c
2033,k,w,n,s,p,p,t,t,y,o,f,c
2034,k,w,g,s,p,p,t,t,y,o,f,c
2035,n,w,g,s,e,p,t,f,s,o,f,w
2036,k,w,n,s,e,p,t,f,s,o,f,w
2037,n,w,g,f,e,p,t,f,f,o,f,w
2038,k,w,g,s,e,p,t,f,s,o,f,w
2039,k,w,e,s,p,p,t,t,y,o,f,c
2040,n,w,g,s,p,p,t,t,f,o,f,c
2041,k,w,n,s,p,p,t,t,f,o,f,c
2042,n,w,n,f,e,p,t,f,f,o,f,w
2043,n,w,n,f,e,p,t,f,s,o,f,w
2044,k,w,w,s,e,p,t,f,f,o,f,w
2045,n,w,y,y,p,p,e,t,y,o,f,c
2046,n,w,e,s,p,p,t,t,f,o,f,c
2047,k,w,n,s,e,p,t,f,f,o,f,w
2048,k,w,n,s,p,p,t,t,y,o,f,c
2049,n,w,g,s,p,p,t,t,f,o,f,c
2050,n,w,w,s,e,p,t,f,f,o,f,w
2051,k,w,w,s,p,p,e,t,y,o,f,c
2052,n,w,n,s,e,p,t,f,s,o,f,w
2053,n,w,w,s,e,p,t,f,s,o,f,w
2054,n,w,n,s,p,p,t,t,f,o,f,c
2055,k,w,w,f,e,p,t,f,f,o,f,w
2056,n,w,g,s,p,p,t,t,f,o,f,c
2057,n,w,n,s,p,p,t,t,f,o,f,c
2058,n,w,w,f,e,p,t,f,f,o,f,w
2059,k,w,w,s,p,p,e,t,s,o,f,c
2060,n,w,g,s,e,p,t,f,s,o,f,w
2061,n,w,n,s,p,p,e,t,y,o,f,c
2062,n,w,g,s,e,p,t,f,f,o,f,w
2063,n,w,n,s,p,p,t,t,f,o,f,c
2064,n,w,w,f,e,p,t,f,f,o,f,w
2065,k,w,n,s,p,p,t,t,y,o,f,c
2066,n,w,e,s,p,p,t,t,y,o,f,c
2067,k,w,n,s,p,p,e,t,s,o,f,c
2068,n,w,g,s,e,p,t,f,s,o,f,w
2069,k,w,g,s,p,p,t,t,f,o,f,c
2070,k,w,g,s,p,p,t,t,f,o,f,c
2071,k,w,g,s,p,p,t,t,f,o,f,c
2072,n,w,g,s,p,p,t,t,f,o,f,c
2073,k,w,n,s,p,p,t,t,f,o,f,c
2074,n,w,w,s,p,p,e,t,s,o,f,c
2075,k,w,y,s,p,p,e,t,s,o,f,c
2076,n,w,n,s,p,p,t,t,f,o,f,c
2077,n,w,n,s,p,p,t,t,y,o,f,c
2078,n,w,g,f,e,p,t,f,s,o,f,w
2079,n,w,e,s,p,p,t,t,y,o,f,c
2080,n,w,g,s,e,p,t,f,f,o,f,w
2081,n,w,w,s,e,p,t,f,s,o,f,w
2082,n,w,n,s,p,p,t,t,f,o,f,c
2083,n,w,n,s,p,p,t,t,f,o,f,c
2084,k,w,g,f,e,p,t,f,f,o,f,w
2085,k,w,g,s,e,p,t,f,f,o,f,w
2086,n,w,n,f,e,p,t,f,f,o,f,w
2087,k,w,g,s,p,p,t,t,f,o,f,c
2088,n,w,e,s,p,p,t,t,f,o,f,c
2089,k,w,n,s,p,p,e,t,y,o,f,c
2090,k,w,g,s,p,p,t,t,y,o,f,c
2091,n,w,w,f,e,p,t,f,s,o,f,w
2092,n,w,w,s,p,p,e,t,s,o,f,c
2093,n,w,w,f,e,p,t,f,s,o,f,w
2094,k,w,n,f,e,p,t,f,f,o,f,w
2095,k,w,g,s,p,p,t,t,y,o,f,c
2096,n,w,g,s,p,p,t,t,f,o,f,c
2097,k,w,g,s,e,p,t,f,f,o,f,w
2098,k,w,w,s,p,p,e,t,s,o,f,c
2099,n,w,n,s,e,p,t,f,s,o,f,w
2100,k,w,g,s,p,p,t,t,y,o,f,c
2101,n,w,g,s,p,p,t,t,f,o,f,c
2102,n,w,n,s,p,p,t,t,y,o,f,c
2103,n,w,e,s,p,p,t,t,f,o,f,c
2104,n,w,n,s,p,p,t,t,f,o,f,c
2105,k,w,e,s,p,p,t,t,f,o,f,c
2106,n,w,n,s,p,p,t,t,f,o,f,c
2107,k,w,e,s,p,p,t,t,y,o,f,c
2108,k,w,g,s,p,p,t,t,f,o,f,c
2109,k,w,g,s,p,p,t,t,f,o,f,c
2110,k,w,e,s,p,p,t,t,f,o,f,c
2111,n,w,e,s,p,p,t,t,y,o,f,c
2112,n,w,w,s,p,p,e,t,s,o,f,c
2113,n,w,e,s,p,p,t,t,f,o,f,c
2114,k,w,g,s,p,p,t,t,y,o,f,c
2115,n,w,n,s,p,p,t,t,f,o,f,c
2116,k,w,e,s,p,p,t,t,y,o,f,c
2117,k,w,g,s,p,p,t,t,y,o,f,c
2118,k,w,g,s,p,p,t,t,f,o,f,c
2119,k,w,g,s,p,p,t,t,y,o,f,c
2120,n,w,e,s,p,p,t,t,f,o,f,c
2121,n,w,e,s,p,p,t,t,y,o,f,c
2122,k,w,n,s,p,p,t,t,f,o,f,c
2123,k,w,n,s,p,p,t,t,f,o,f,c
2124,k,w,g,s,p,p,t,t,y,o,f,c
2125,n,w,e,s,p,p,t,t,y,o,f,c
2126,n,w,g,s,p,p,t,t,f,o,f,c
2127,k,w,g,s,p,p,t,t,y,o,f,c
2128,h,w,g,k,l,p,e,f,f,o,f,c
2129,k,w,w,s,p,p,e,t,s,o,f,c
2130,k,w,e,s,p,p,t,t,f,o,f,c
2131,n,w,w,s,e,p,t,f,f,o,f,w
2132,n,w,n,s,p,p,t,t,y,o,f,c
2133,n,w,n,s,p,p,t,t,f,o,f,c
2134,n,w,n,s,p,p,t,t,f,o,f,c
2135,n,w,g,s,p,p,t,t,y,o,f,c
2136,n,w,g,s,p,p,t,t,y,o,f,c
2137,k,w,e,s,p,p,t,t,f,o,f,c
2138,n,w,n,s,p,p,t,t,y,o,f,c
2139,k,w,g,s,p,p,t,t,f,o,f,c
2140,k,w,e,s,p,p,t,t,f,o,f,c
2141,k,w,e,s,p,p,t,t,y,o,f,c
2142,n,w,n,s,p,p,t,t,y,o,f,c
2143,k,w,e,s,p,p,t,t,y,o,f,c
2144,n,w,n,s,p,p,t,t,y,o,f,c
2145,k,w,n,s,p,p,t,t,y,o,f,c
2146,n,w,n,s,p,p,t,t,y,o,f,c
2147,n,w,n,s,p,p,e,t,s,o,f,c
2148,n,w,e,s,p,p,t,t,f,o,f,c
2149,k,w,w,s,p,p,e,t,s,o,f,c
2150,k,w,e,s,p,p,t,t,f,o,f,c
2151,k,w,n,s,p,p,t,t,f,o,f,c
2152,n,w,n,s,p,p,t,t,y,o,f,c
2153,n,w,e,s,p,p,t,t,f,o,f,c
2154,n,w,e,s,p,p,t,t,f,o,f,c
2155,n,w,g,s,p,p,t,t,f,o,f,c
2156,n,w,n,s,p,p,t,t,y,o,f,c
2157,n,w,n,s,p,p,t,t,f,o,f,c
2158,n,w,n,s,p,p,t,t,f,o,f,c
2159,k,w,e,s,p,p,t,t,f,o,f,c
2160,k,w,n,s,p,p,t,t,f,o,f,c
2161,n,w,e,s,p,p,t,t,f,o,f,c
2162,k,w,g,s,p,p,t,t,f,o,f,c
2163,k,w,n,s,p,p,t,t,y,o,f,c
2164,n,w,n,s,p,p,t,t,f,o,f,c
2165,n,w,e,s,p,p,t,t,f,o,f,c
2166,n,w,e,s,p,p,t,t,y,o,f,c
2167,k,w,g,s,p,p,t,t,f,o,f,c
2168,k,w,g,s,p,p,t,t,y,o,f,c
2169,n,w,e,s,p,p,t,t,y,o,f,c
2170,k,w,g,s,p,p,t,t,y,o,f,c
2171,n,w,g,s,p,p,t,t,f,o,f,c
2172,n,w,g,s,p,p,t,t,f,o,f,c
2173,k,w,g,s,p,p,t,t,y,o,f,c
2174,n,w,e,s,p,p,t,t,y,o,f,c
2175,k,w,n,s,p,p,t,t,f,o,f,c
2176,k,w,n,s,p,p,t,t,f,o,f,c
2177,n,w,e,s,p,p,t,t,y,o,f,c
2178,h,w,g,k,l,p,e,f,f,o,f,c
2179,k,w,g,s,p,p,t,t,y,o,f,c
2180,n,w,e,s,p,p,t,t,f,o,f,c
2181,n,w,n,s,p,p,t,t,y,o,f,c
2182,n,w,n,s,p,p,t,t,f,o,f,c
2183,k,w,e,s,p,p,t,t,y,o,f,c
2184,k,w,n,s,p,p,t,t,f,o,f,c
2185,k,w,n,s,p,p,t,t,y,o,f,c
2186,k,w,g,s,p,p,t,t,f,o,f,c
2187,k,w,e,s,p,p,t,t,f,o,f,c
2188,k,w,g,s,p,p,t,t,f,o,f,c
2189,n,w,g,s,p,p,t,t,f,o,f,c
2190,k,w,n,s,p,p,t,t,f,o,f,c
2191,k,w,g,s,p,p,t,t,f,o,f,c
2192,n,w,g,s,e,p,t,f,s,o,f,w
2193,k,w,e,s,p,p,t,t,y,o,f,c
2194,k,w,g,s,p,p,t,t,f,o,f,c
2195,n,w,e,s,p,p,t,t,y,o,f,c
2196,k,w,g,s,p,p,t,t,f,o,f,c
2197,k,w,g,s,p,p,t,t,f,o,f,c
2198,n,w,g,s,p,p,t,t,f,o,f,c
2199,n,w,g,s,p,p,t,t,f,o,f,c
2200,n,w,w,f,e,p,t,f,s,o,f,w
2201,n,w,n,s,p,p,t,t,f,o,f,c
2202,k,w,n,s,p,p,t,t,f,o,f,c
2203,k,w,g,s,p,p,t,t,f,o,f,c
2204,k,w,g,s,p,p,t,t,y,o,f,c
2205,n,w,e,s,p,p,t,t,f,o,f,c
2206,k,w,e,s,p,p,t,t,y,o,f,c
2207,k,w,n,s,p,p,t,t,f,o,f,c
2208,k,w,g,s,p,p,t,t,y,o,f,c
2209,n,w,g,s,p,p,t,t,y,o,f,c
2210,n,w,p,s,p,p,e,f,s,o,f,w
2211,n,w,n,s,p,p,t,t,y,o,f,c
2212,k,w,g,s,p,p,t,t,f,o,f,c
2213,k,w,e,s,p,p,t,t,y,o,f,c
2214,n,w,n,s,p,p,t,t,f,o,f,c
2215,n,w,n,s,p,p,t,t,y,o,f,c
2216,n,w,g,s,p,p,t,t,f,o,f,c
2217,n,w,n,s,p,p,t,t,f,o,f,c
2218,k,w,n,s,p,p,t,t,y,o,f,c
2219,k,w,n,s,p,p,t,t,y,o,f,c
2220,n,w,e,s,p,p,t,t,f,o,f,c
2221,k,w,g,s,p,p,t,t,f,o,f,c
2222,n,w,e,s,p,p,t,t,y,o,f,c
2223,n,w,e,s,p,p,t,t,y,o,f,c
2224,n,w,n,s,p,p,t,t,f,o,f,c
2225,k,w,e,s,p,p,t,t,f,o,f,c
2226,n,w,e,s,p,p,t,t,f,o,f,c
2227,n,w,w,f,e,p,t,f,f,o,f,w
2228,k,w,g,s,p,p,t,t,y,o,f,c
2229,k,w,e,s,p,p,t,t,f,o,f,c
2230,n,w,g,s,p,p,t,t,y,o,f,c
2231,k,w,e,s,p,p,t,t,f,o,f,c
2232,n,w,g,s,p,p,t,t,f,o,f,c
2233,n,w,e,s,p,p,t,t,y,o,f,c
2234,k,w,g,s,p,p,t,t,y,o,f,c
2235,k,w,e,s,p,p,t,t,y,o,f,c
2236,n,w,g,s,p,p,t,t,y,o,f,c
2237,k,w,g,f,e,p,t,f,f,o,f,w
2238,h,w,g,k,l,p,e,f,f,o,f,c
2239,k,w,e,s,p,p,t,t,f,o,f,c
2240,n,w,e,s,p,p,t,t,y,o,f,c
2241,k,w,w,s,p,p,e,t,s,o,f,c
2242,k,w,n,s,p,p,t,t,y,o,f,c
2243,n,w,e,s,p,p,t,t,f,o,f,c
2244,k,w,e,s,p,p,t,t,y,o,f,c
2245,k,w,g,s,p,p,t,t,f,o,f,c
2246,n,w,g,s,p,p,t,t,y,o,f,c
2247,n,w,g,f,e,p,t,f,f,o,f,w
2248,n,w,n,s,p,p,t,t,f,o,f,c
2249,k,w,e,s,p,p,t,t,f,o,f,c
2250,n,w,g,s,p,p,t,t,y,o,f,c
2251,k,w,n,s,p,p,t,t,f,o,f,c
2252,n,w,g,f,e,p,t,f,f,o,f,w
2253,n,w,g,s,p,p,t,t,f,o,f,c
2254,k,w,n,s,p,p,t,t,y,o,f,c
2255,k,w,g,s,p,p,t,t,f,o,f,c
2256,n,w,n,s,p,p,t,t,y,o,f,c
2257,n,w,g,s,p,p,t,t,f,o,f,c
2258,n,w,e,s,p,p,t,t,y,o,f,c
2259,n,w,n,s,p,p,t,t,y,o,f,c
2260,n,w,g,s,e,p,t,f,s,o,f,w
2261,k,w,n,s,p,p,t,t,f,o,f,c
2262,k,w,n,s,p,p,t,t,f,o,f,c
2263,n,w,e,s,p,p,t,t,y,o,f,c
2264,k,w,e,s,p,p,t,t,y,o,f,c
2265,k,w,n,s,p,p,t,t,y,o,f,c
2266,k,w,w,f,e,p,t,f,s,o,f,w
2267,n,w,n,s,p,p,t,t,y,o,f,c
2268,k,w,e,s,p,p,t,t,y,o,f,c
2269,n,w,g,s,p,p,t,t,f,o,f,c
2270,n,w,g,s,p,p,t,t,f,o,f,c
2271,k,w,n,f,e,p,t,f,f,o,f,w
2272,k,w,g,s,p,p,t,t,f,o,f,c
2273,k,w,e,s,p,p,t,t,y,o,f,c
2274,k,w,g,s,p,p,t,t,f,o,f,c
2275,n,w,n,s,p,p,t,t,y,o,f,c
2276,k,w,e,s,p,p,t,t,f,o,f,c
2277,n,w,n,s,p,p,t,t,f,o,f,c
2278,n,w,g,s,p,p,t,t,f,o,f,c
2279,n,w,g,s,p,p,t,t,f,o,f,c
2280,k,w,n,s,p,p,t,t,f,o,f,c
2281,n,w,n,s,p,p,t,t,y,o,f,c
2282,n,w,e,s,p,p,t,t,f,o,f,c
2283,k,w,g,s,p,p,t,t,f,o,f,c
2284,k,w,n,s,p,p,t,t,y,o,f,c
2285,k,w,p,s,p,p,e,f,s,o,f,w
2286,k,w,g,s,p,p,t,t,y,o,f,c
2287,n,w,n,s,p,p,t,t,f,o,f,c
2288,k,w,n,s,p,p,e,t,s,o,f,c
2289,k,w,n,s,p,p,t,t,y,o,f,c
2290,k,w,g,s,p,p,t,t,y,o,f,c
2291,k,w,e,s,p,p,t,t,y,o,f,c
2292,n,w,e,s,p,p,t,t,y,o,f,c
2293,k,w,e,s,p,p,t,t,y,o,f,c
2294,n,w,g,s,p,p,t,t,f,o,f,c
2295,k,w,w,s,e,p,t,f,s,o,f,w
2296,n,w,g,s,p,p,t,t,y,o,f,c
2297,n,w,n,f,e,p,t,f,f,o,f,w
2298,n,w,n,s,p,p,t,t,f,o,f,c
2299,k,w,g,s,p,p,t,t,y,o,f,c
2300,n,w,e,s,p,p,t,t,y,o,f,c
2301,k,w,n,s,p,p,t,t,y,o,f,c
2302,n,w,g,s,p,p,t,t,f,o,f,c
2303,k,w,g,s,p,p,t,t,f,o,f,c
2304,k,w,g,s,p,p,t,t,y,o,f,c
2305,n,w,g,s,p,p,t,t,y,o,f,c
2306,n,w,g,s,p,p,t,t,y,o,f,c
2307,k,w,e,s,p,p,t,t,f,o,f,c
2308,k,w,e,s,p,p,t,t,y,o,f,c
2309,n,w,n,s,p,p,t,t,f,o,f,c
2310,n,w,n,s,p,p,t,t,f,o,f,c
2311,k,w,n,s,p,p,t,t,f,o,f,c
2312,n,w,n,s,p,p,t,t,f,o,f,c
2313,n,w,g,s,p,p,t,t,y,o,f,c
2314,k,w,e,s,p,p,t,t,f,o,f,c
2315,k,w,n,s,p,p,t,t,y,o,f,c
2316,k,w,e,s,p,p,t,t,y,o,f,c
2317,k,w,n,s,p,p,t,t,y,o,f,c
2318,k,w,g,s,p,p,t,t,y,o,f,c
2319,n,w,n,s,p,p,t,t,f,o,f,c
2320,k,w,g,s,p,p,t,t,y,o,f,c
2321,k,w,e,s,p,p,t,t,y,o,f,c
2322,k,w,n,s,p,p,t,t,y,o,f,c
2323,k,w,g,s,p,p,t,t,f,o,f,c
2324,n,w,e,s,p,p,t,t,f,o,f,c
2325,k,w,n,s,p,p,t,t,f,o,f,c
2326,n,w,n,s,p,p,t,t,f,o,f,c
2327,n,w,g,s,p,p,t,t,y,o,f,c
2328,k,w,n,s,p,p,t,t,f,o,f,c
2329,k,w,e,s,p,p,t,t,y,o,f,c
2330,k,w,n,s,p,p,t,t,f,o,f,c
2331,k,w,n,s,p,p,t,t,y,o,f,c
2332,k,w,n,s,p,p,t,t,f,o,f,c
2333,n,w,e,s,p,p,t,t,y,o,f,c
2334,n,w,e,s,p,p,t,t,y,o,f,c
2335,n,w,g,s,p,p,t,t,f,o,f,c
2336,n,w,g,s,p,p,t,t,f,o,f,c
2337,n,w,e,s,p,p,t,t,f,o,f,c
2338,n,w,n,s,p,p,t,t,f,o,f,c
2339,n,w,e,s,p,p,t,t,y,o,f,c
2340,n,w,g,s,p,p,t,t,y,o,f,c
2341,k,w,g,s,p,p,t,t,y,o,f,c
2342,n,w,e,s,p,p,t,t,f,o,f,c
2343,n,w,n,s,p,p,t,t,f,o,f,c
2344,n,w,n,s,p,p,t,t,y,o,f,c
2345,k,w,g,s,p,p,t,t,y,o,f,c
2346,n,w,w,f,e,p,t,f,f,o,f,w
2347,n,w,g,s,p,p,t,t,y,o,f,c
2348,n,w,g,f,e,p,t,f,s,o,f,w
2349,n,w,n,s,p,p,t,t,f,o,f,c
2350,k,w,e,s,p,p,t,t,y,o,f,c
2351,n,w,w,s,p,p,e,t,y,o,f,c
2352,k,w,g,s,p,p,t,t,y,o,f,c
2353,k,w,n,s,p,p,t,t,f,o,f,c
2354,n,w,g,s,p,p,t,t,f,o,f,c
2355,k,w,e,s,p,p,t,t,f,o,f,c
2356,k,w,g,s,p,p,t,t,f,o,f,c
2357,n,w,n,s,p,p,t,t,y,o,f,c
2358,k,w,e,s,p,p,t,t,y,o,f,c
2359,n,w,n,s,p,p,t,t,y,o,f,c
2360,n,w,n,s,p,p,t,t,y,o,f,c
2361,k,w,n,s,p,p,t,t,f,o,f,c
2362,k,w,g,s,p,p,t,t,y,o,f,c
2363,k,w,n,s,p,p,t,t,y,o,f,c
2364,k,w,e,s,p,p,t,t,f,o,f,c
2365,k,w,n,s,p,p,t,t,f,o,f,c
2366,k,w,e,s,p,p,t,t,f,o,f,c
2367,n,w,w,s,e,p,t,f,s,o,f,w
2368,k,w,n,s,p,p,t,t,y,o,f,c
2369,k,w,g,s,p,p,t,t,f,o,f,c
2370,k,w,n,s,p,p,t,t,f,o,f,c
2371,n,w,e,s,p,p,t,t,f,o,f,c
2372,k,w,n,s,p,p,t,t,f,o,f,c
2373,n,w,n,s,p,p,t,t,f,o,f,c
2374,n,w,n,s,p,p,t,t,y,o,f,c
2375,n,w,w,s,p,p,e,t,s,o,f,c
2376,k,w,g,s,p,p,t,t,f,o,f,c
2377,k,w,w,s,e,p,t,f,s,o,f,w
2378,n,w,g,f,e,p,t,f,s,o,f,w
2379,k,w,g,s,p,p,t,t,f,o,f,c
2380,k,w,n,s,p,p,t,t,f,o,f,c
2381,k,w,e,s,p,p,t,t,f,o,f,c
2382,k,w,g,s,p,p,t,t,y,o,f,c
2383,k,w,n,s,p,p,t,t,f,o,f,c
2384,n,w,n,s,p,p,t,t,f,o,f,c
2385,h,w,g,k,l,p,e,f,f,o,f,c
2386,k,w,e,s,p,p,t,t,y,o,f,c
2387,k,w,n,s,e,p,t,f,f,o,f,w
2388,n,w,w,s,p,p,e,t,s,o,f,c
2389,n,w,g,s,p,p,t,t,y,o,f,c
2390,n,w,n,s,p,p,t,t,f,o,f,c
2391,k,w,n,s,p,p,t,t,f,o,f,c
2392,k,w,g,s,p,p,t,t,y,o,f,c
2393,k,w,g,s,p,p,t,t,y,o,f,c
2394,n,w,n,s,p,p,t,t,f,o,f,c
2395,k,w,n,s,p,p,t,t,f,o,f,c
2396,k,w,g,s,p,p,t,t,f,o,f,c
2397,n,w,g,s,p,p,t,t,f,o,f,c
2398,n,w,e,s,p,p,t,t,y,o,f,c
2399,k,w,e,s,p,p,t,t,f,o,f,c
2400,k,w,w,s,p,p,e,t,s,o,f,c
2401,k,w,g,s,p,p,t,t,f,o,f,c
2402,k,w,g,s,p,p,t,t,f,o,f,c
2403,k,w,e,s,p,p,t,t,y,o,f,c
2404,k,w,g,s,p,p,t,t,y,o,f,c
2405,n,w,n,s,p,p,t,t,y,o,f,c
2406,n,w,e,s,p,p,t,t,y,o,f,c
2407,n,w,e,s,p,p,t,t,f,o,f,c
2408,k,w,e,s,p,p,t,t,y,o,f,c
2409,n,w,g,s,p,p,t,t,f,o,f,c
2410,k,w,g,s,p,p,t,t,f,o,f,c
2411,n,w,n,s,p,p,t,t,f,o,f,c
2412,n,w,n,s,p,p,t,t,y,o,f,c
2413,k,w,g,s,p,p,t,t,y,o,f,c
2414,n,w,g,s,p,p,t,t,f,o,f,c
2415,k,w,n,s,p,p,t,t,y,o,f,c
2416,n,w,n,s,p,p,t,t,f,o,f,c
2417,k,w,n,s,p,p,t,t,y,o,f,c
2418,k,w,n,s,p,p,t,t,y,o,f,c
2419,k,w,n,s,p,p,t,t,f,o,f,c
2420,n,w,n,s,p,p,t,t,f,o,f,c
2421,n,w,n,s,p,p,t,t,f,o,f,c
2422,k,w,n,s,p,p,t,t,y,o,f,c
2423,n,w,g,s,p,p,t,t,f,o,f,c
2424,n,w,e,s,p,p,t,t,f,o,f,c
2425,n,w,n,s,p,p,t,t,f,o,f,c
2426,k,w,p,s,p,p,e,f,s,o,f,c
2427,n,w,e,s,p,p,t,t,f,o,f,c
2428,k,w,n,s,p,p,t,t,f,o,f,c
2429,k,w,n,s,p,p,t,t,f,o,f,c
2430,n,w,e,s,p,p,t,t,f,o,f,c
2431,k,w,e,s,p,p,t,t,y,o,f,c
2432,n,w,g,s,p,p,t,t,f,o,f,c
2433,n,w,g,s,p,p,t,t,f,o,f,c
2434,k,w,g,s,p,p,t,t,f,o,f,c
2435,n,w,g,s,p,p,t,t,f,o,f,c
2436,n,w,g,s,p,p,t,t,f,o,f,c
2437,n,w,e,s,p,p,t,t,f,o,f,c
2438,k,w,n,s,p,p,t,t,y,o,f,c
2439,k,w,e,s,p,p,t,t,y,o,f,c
2440,n,w,g,s,p,p,t,t,y,o,f,c
2441,k,w,g,s,p,p,t,t,y,o,f,c
2442,k,w,g,s,p,p,t,t,f,o,f,c
2443,h,w,g,k,l,p,e,f,f,o,f,c
2444,k,w,n,s,p,p,t,t,y,o,f,c
2445,n,w,e,s,p,p,t,t,y,o,f,c
2446,k,w,n,s,p,p,t,t,f,o,f,c
2447,n,w,n,s,p,p,t,t,f,o,f,c
2448,k,w,n,s,p,p,t,t,f,o,f,c
2449,k,w,g,s,p,p,t,t,f,o,f,c
2450,n,w,g,s,p,p,t,t,f,o,f,c
2451,n,w,g,s,p,p,t,t,y,o,f,c
2452,n,w,g,f,e,p,t,f,f,o,f,w
2453,k,w,g,s,p,p,t,t,y,o,f,c
2454,k,w,e,s,p,p,t,t,f,o,f,c
2455,k,w,n,s,p,p,t,t,f,o,f,c
2456,n,w,e,s,p,p,t,t,y,o,f,c
2457,n,w,g,s,p,p,t,t,f,o,f,c
2458,k,w,n,s,p,p,t,t,f,o,f,c
2459,n,w,e,s,p,p,t,t,y,o,f,c
2460,k,w,n,s,p,p,t,t,f,o,f,c
2461,k,w,g,s,p,p,t,t,f,o,f,c
2462,k,w,g,s,p,p,t,t,y,o,f,c
2463,k,w,g,s,p,p,t,t,y,o,f,c
2464,n,w,n,s,p,p,t,t,f,o,f,c
2465,k,w,g,s,p,p,t,t,f,o,f,c
2466,n,w,n,s,p,p,t,t,f,o,f,c
2467,k,w,e,s,p,p,t,t,y,o,f,c
2468,k,w,n,s,p,p,t,t,f,o,f,c
2469,k,w,g,s,p,p,t,t,y,o,f,c
2470,k,w,g,s,p,p,t,t,f,o,f,c
2471,n,w,g,s,p,p,t,t,f,o,f,c
2472,k,w,n,s,p,p,t,t,f,o,f,c
2473,n,w,g,s,p,p,t,t,y,o,f,c
2474,n,w,g,s,p,p,t,t,y,o,f,c
2475,n,w,e,s,p,p,t,t,y,o,f,c
2476,k,w,n,s,p,p,t,t,y,o,f,c
2477,k,w,g,s,p,p,t,t,y,o,f,c
2478,k,w,n,s,p,p,e,t,y,o,f,c
2479,n,w,g,s,e,p,t,f,s,o,f,w
2480,k,w,g,s,p,p,t,t,f,o,f,c
2481,k,w,e,s,p,p,t,t,f,o,f,c
2482,n,w,p,s,p,p,e,f,s,o,f,w
2483,k,w,n,s,p,p,t,t,y,o,f,c
2484,k,w,e,s,p,p,t,t,f,o,f,c
2485,n,w,n,s,p,p,t,t,y,o,f,c
2486,k,w,e,s,p,p,t,t,y,o,f,c
2487,n,w,w,s,e,p,t,f,s,o,f,w
2488,n,w,g,s,p,p,t,t,f,o,f,c
