,pathology_cp_data_cat,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temperature_of_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_-_feces_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat,site_of_lesion_cat,type_of_lesion_cat,subtype_of_lesion_cat
220,2,1,1,39.2,88.0,58.0,4,4,,2,5,4,,,,,,,,,2,2.0,3,2,3205,0,0
221,2,1,1,38.5,92.0,40.0,4,3,,1,2,4,3,,,,4,,46.0,67.0,2,2.0,1,1,2208,0,0
222,1,1,1,,112.0,13.0,4,4,4,1,2,3,1,2,1,4.5,4,4,60.0,6.3,3,,1,1,2205,0,0
223,1,1,1,37.7,66.0,12.0,1,1,3,1,3,3,2,2,,,4,4,31.5,6.2,2,1.6,1,1,2208,0,0
224,2,1,1,38.8,50.0,14.0,1,1,1,1,3,1,1,1,1,,3,5,38.0,58.0,,,1,1,3111,0,0
225,1,2,1,38.4,54.0,24.0,1,1,1,1,1,3,1,2,1,,3,2,49.0,7.2,1,8.0,1,2,3111,0,0
226,2,1,1,39.2,120.0,20.0,4,3,5,2,2,3,3,1,3,,,4,60.0,8.8,3,,2,1,2205,0,0
227,1,1,9,,,,,,,,,,,,,,,,45.0,6.5,2,,1,1,9000,0,0
228,2,1,1,37.3,90.0,40.0,3,,6,2,5,4,3,2,2,,1,5,65.0,50.0,3,2.0,3,1,3205,0,0
229,2,1,9,38.5,120.0,70.0,,,,,,1,,2,,,1,,35.0,54.0,1,1.0,1,1,4205,3111,2209
230,2,1,1,38.5,104.0,40.0,3,3,,1,4,3,4,,,,,,,,,,1,1,2124,0,0
231,2,2,1,39.5,92.0,28.0,3,3,6,1,5,4,1,,3,,4,,72.0,6.4,,3.6,2,2,3300,0,0
232,2,1,1,38.5,30.0,18.0,,,,,,,,,,,,,40.0,7.7,,,1,1,2113,0,0
233,1,1,1,38.3,72.0,30.0,4,3,3,2,3,3,3,2,1,,3,5,43.0,7.0,2,3.9,1,1,3113,0,0
234,2,2,1,37.5,48.0,30.0,4,1,3,1,,2,1,1,1,,1,1,48.0,8.6,,,1,2,400,0,0
235,1,1,1,38.1,52.0,24.0,1,1,5,1,4,3,1,2,3,7.0,1,,54.0,7.5,2,2.6,2,1,2206,0,0
236,2,2,1,38.2,42.0,26.0,1,1,1,1,3,1,2,,,,1,,36.0,6.9,,,1,2,3111,0,0
237,2,2,1,37.9,54.0,42.0,2,1,5,1,3,1,1,,1,,,2,47.0,54.0,3,1.0,1,2,0,0,0
238,1,2,1,36.1,88.0,,3,3,3,1,3,3,2,2,3,,,4,45.0,7.0,3,4.8,3,1,2209,0,0
239,2,1,1,38.1,70.0,22.0,,1,,1,5,3,,,,,,5,36.0,65.0,,,3,1,3205,0,0
240,2,1,1,38.0,90.0,30.0,4,3,4,2,5,4,4,,,,4,5,55.0,6.1,,,2,1,3205,0,0
241,1,1,1,38.2,52.0,16.0,1,1,2,1,1,2,1,1,1,,1,,43.0,8.1,,,1,2,0,0,0
242,2,1,1,,36.0,32.0,1,1,4,1,5,3,3,2,3,4.0,,4,41.0,5.9,,,2,1,2205,0,0
243,1,1,1,38.4,92.0,20.0,1,,,2,,3,3,,,,1,,,,,,1,1,2208,0,0
244,1,1,9,38.2,124.0,88.0,1,3,2,1,2,3,4,,,,,,47.0,8.0,1,,1,1,9400,0,0
245,2,2,1,,96.0,,3,3,3,2,5,4,4,,1,,4,5,60.0,,,,2,1,41110,0,0
246,2,1,1,37.6,68.0,32.0,3,,3,1,4,2,4,2,2,6.5,1,5,47.0,7.2,1,,1,1,3209,0,0
247,2,1,1,38.1,88.0,24.0,3,3,4,1,5,4,3,2,1,,3,4,41.0,4.6,,,2,1,2209,0,0
248,2,1,1,38.0,108.0,60.0,2,3,4,1,4,3,3,2,,,3,4,,,3,,1,1,2205,0,0
249,2,2,1,38.2,48.0,,2,,1,2,3,3,1,2,1,,,2,34.0,6.6,,,1,2,3111,0,0
250,2,1,1,39.3,100.0,51.0,4,4,6,1,2,4,1,1,3,2.0,,4,66.0,13.0,3,2.0,3,1,2113,0,0
251,2,2,1,36.6,42.0,18.0,3,3,2,1,1,4,1,1,1,,,5,52.0,7.1,,,2,1,5111,0,0
252,1,1,9,38.8,124.0,36.0,3,1,2,1,2,3,4,1,1,,4,4,50.0,7.6,3,,2,1,2208,0,0
253,1,2,1,,112.0,24.0,3,3,4,2,5,4,2,,,,4,,40.0,5.3,3,2.6,1,2,400,0,0
254,2,1,1,,80.0,,3,3,3,1,4,4,4,,,,4,5,43.0,70.0,,,1,1,3111,0,0
255,2,1,9,38.8,184.0,84.0,1,,1,1,4,1,3,,,,2,,33.0,3.3,,,2,1,7111,0,0
256,2,1,1,37.5,72.0,,2,1,1,1,2,1,1,1,1,,1,,35.0,65.0,2,2.0,3,1,7209,0,0
257,1,1,1,38.7,96.0,28.0,3,3,4,1,,4,,,3,7.5,,,64.0,9.0,,,2,1,2205,0,0
258,2,2,1,37.5,52.0,12.0,1,1,1,1,2,3,2,2,1,,3,5,36.0,61.0,1,1.0,1,2,0,0,0
259,1,1,1,40.8,72.0,42.0,3,3,1,1,2,3,1,2,1,,,,54.0,7.4,3,,2,1,11400,0,0
260,2,2,1,38.0,40.0,25.0,,1,1,1,4,3,2,1,1,,4,,37.0,69.0,,,1,2,0,0,0
261,1,2,1,38.4,48.0,16.0,2,1,1,1,1,,2,2,1,,,2,39.0,6.5,,,1,2,3111,0,0
262,2,2,9,38.6,88.0,28.0,,,,,,,,,,,,,35.0,5.9,,,1,2,0,0,0
263,1,1,1,37.1,75.0,36.0,,,3,2,4,4,2,2,3,5.0,4,4,48.0,7.4,3,3.2,2,1,12208,0,0
264,1,1,1,38.3,44.0,21.0,3,1,2,1,3,3,3,2,1,,1,5,44.0,6.5,2,4.4,1,1,2209,0,0
265,2,2,1,,56.0,68.0,3,1,1,1,3,3,1,2,1,,1,,40.0,6.0,,,3,1,5206,0,0
266,1,2,1,38.6,68.0,20.0,2,1,3,1,3,3,2,1,1,,1,5,38.0,6.5,1,,1,2,5124,0,0
267,1,2,1,38.3,54.0,18.0,3,1,2,1,2,3,2,,3,5.4,,4,44.0,7.2,3,,1,2,2124,0,0
268,2,1,1,38.2,42.0,20.0,,,1,1,,3,,,,,3,,47.0,60.0,,,1,2,0,0,0
269,2,1,1,39.3,64.0,90.0,2,3,1,1,,3,1,1,2,6.5,1,5,39.0,6.7,,,1,1,31110,0,0
270,2,1,1,37.5,60.0,50.0,3,3,1,1,3,3,2,2,2,3.5,3,4,35.0,6.5,,,2,1,2209,0,0
271,2,1,1,37.7,80.0,,3,3,6,1,5,4,1,2,3,,3,1,50.0,55.0,3,2.0,1,1,4206,0,0
272,2,1,1,,100.0,30.0,3,3,4,2,5,4,4,3,3,,4,4,52.0,6.6,,,1,1,2124,0,0
273,1,1,1,37.7,120.0,28.0,3,3,3,1,5,3,3,1,1,,,,65.0,7.0,3,,2,1,4205,0,0
274,2,1,1,,76.0,,,3,,,,4,4,,,,,5,,,,,3,1,11124,0,0
275,2,1,9,38.8,150.0,50.0,1,3,6,2,5,3,2,1,1,,,,50.0,6.2,,,2,1,4207,0,0
276,2,1,1,38.0,36.0,16.0,3,1,1,1,4,2,2,3,3,2.0,3,,37.0,75.0,2,1.0,3,2,3111,0,0
277,2,2,1,36.9,50.0,40.0,2,3,3,1,1,3,2,3,1,7.0,,,37.5,6.5,,,1,2,3111,0,0
278,2,2,1,37.8,40.0,16.0,1,1,1,1,1,1,1,,,,1,1,37.0,6.8,,,1,2,0,0,0
279,1,2,1,38.2,56.0,40.0,4,3,1,1,2,4,3,2,2,7.5,,,47.0,7.2,1,2.5,1,2,8300,0,0
280,2,1,1,38.6,48.0,12.0,,,1,,1,1,,,,,,,36.0,67.0,,,1,2,0,0,0
281,1,2,1,40.0,78.0,,3,3,5,1,2,3,1,1,1,,4,1,66.0,6.5,,,2,1,8400,0,0
282,2,1,1,,70.0,16.0,3,4,5,2,2,3,2,2,1,,4,5,60.0,7.5,,,2,1,1400,0,0
283,2,1,1,38.2,72.0,18.0,,,,,,,,,,,,,35.0,6.4,,,1,1,3124,0,0
284,1,2,1,38.5,54.0,,1,1,1,1,3,1,1,2,1,,1,,40.0,6.8,2,7.0,1,2,0,0,0
285,1,1,1,38.5,66.0,24.0,1,1,1,1,3,3,1,2,1,,4,5,40.0,6.7,1,,1,1,31110,0,0
286,2,2,1,37.8,82.0,12.0,3,1,1,2,4,,3,1,3,,,,50.0,7.0,,,3,1,2205,0,0
287,2,2,9,39.5,84.0,30.0,,,,1,,,,,,,,,28.0,5.0,,,1,2,0,0,0
288,2,1,1,,,,,,,,,,,,,,,,,,,,1,1,2124,0,0
289,1,1,1,38.0,50.0,36.0,,1,1,1,3,2,2,,,,3,,39.0,6.6,1,5.3,1,1,8400,0,0
290,2,2,1,38.6,45.0,16.0,2,1,2,1,1,1,,,,,1,1,43.0,58.0,,,1,2,0,0,0
291,2,1,1,38.9,80.0,44.0,3,3,3,1,2,3,3,2,2,7.0,3,1,54.0,6.5,3,,2,1,7111,0,0
292,2,1,1,37.0,66.0,20.0,1,3,2,1,4,3,3,1,,,1,5,35.0,6.9,2,,2,1,31110,0,0
293,2,1,1,,78.0,24.0,3,3,3,1,,3,,2,1,,,4,43.0,62.0,,2.0,3,2,2209,0,0
294,2,2,1,38.5,40.0,16.0,1,1,1,1,2,1,1,,,,3,2,37.0,67.0,,,1,2,0,0,0
295,2,1,1,,120.0,70.0,4,,4,2,2,4,,,,,,5,55.0,65.0,,,3,2,3205,0,0
296,1,2,1,37.2,72.0,24.0,3,2,4,2,4,3,3,3,1,,4,4,44.0,,3,3.3,3,1,2208,0,0
297,2,1,1,37.5,72.0,30.0,4,3,4,1,4,4,3,2,1,,3,5,60.0,6.8,,,2,1,3205,0,0
298,1,1,1,36.5,100.0,24.0,3,3,3,1,3,3,3,3,1,,4,4,50.0,6.0,3,3.4,1,1,2208,0,0
299,2,1,1,37.2,40.0,20.0,,,,,,,,,,,4,1,36.0,62.0,1,1.0,3,2,6112,0,0
300,1,2,1,38.5,54.0,20.0,,1,2,2,3,4,1,2,2,5.9,,2,42.0,6.3,,,1,2,3111,0,0
301,1,2,1,37.6,48.0,36.0,,,1,1,,3,,,,,,,44.0,6.3,1,5.0,1,2,3111,0,0
302,2,1,1,37.7,44.0,28.0,,4,3,2,5,4,4,1,1,,3,5,45.0,70.0,3,2.0,1,1,3205,0,0
303,2,1,1,37.0,56.0,24.0,3,1,4,2,4,4,3,1,1,,,,35.0,61.0,3,2.0,3,2,2205,2208,0
304,2,2,1,38.0,42.0,12.0,3,,3,1,1,,1,,,,,2,37.0,5.8,,,1,2,3111,0,0
305,2,1,1,,60.0,40.0,3,,1,1,,4,,3,2,,,5,42.0,72.0,,,1,1,3111,0,0
306,2,2,1,38.4,80.0,60.0,3,2,2,1,3,2,1,2,2,,1,1,54.0,6.9,,,1,2,0,0,0
307,1,2,1,37.8,48.0,12.0,2,1,2,1,3,,1,2,,,2,,48.0,7.3,1,,1,2,0,0,0
308,2,,1,38.0,65.0,40.0,,1,4,2,2,,,,,,,5,,,,,,1,3111,3205,0
309,1,2,1,37.9,45.0,36.0,3,3,3,2,2,3,1,2,1,,3,,33.0,5.7,3,,1,1,2205,0,0
310,1,2,1,39.0,84.0,12.0,3,1,5,1,2,4,2,1,2,7.0,,4,62.0,5.9,2,2.2,2,1,2208,0,0
311,1,2,1,38.2,60.0,24.0,3,1,3,2,3,3,2,3,3,,4,4,53.0,7.5,2,1.4,1,2,1124,0,0
312,2,1,1,,140.0,,,,4,2,5,4,4,1,1,,,5,30.0,69.0,,,2,2,6112,0,0
313,1,1,1,37.9,120.0,60.0,3,3,3,1,5,4,4,2,2,7.5,4,5,52.0,6.6,3,1.8,2,1,3205,0,0
314,1,2,1,38.0,72.0,36.0,1,1,3,1,3,,2,2,1,,3,5,38.0,6.8,2,2.0,1,2,3124,0,0
315,1,2,9,38.0,92.0,28.0,1,1,2,1,1,3,2,3,,7.2,,,37.0,6.1,1,1.1,1,2,0,0,0
316,2,1,1,38.3,66.0,30.0,2,3,1,1,2,4,3,3,2,8.5,4,5,37.0,6.0,,,1,1,5111,0,0
317,1,2,1,37.5,48.0,24.0,3,1,1,1,2,1,,1,1,,3,2,43.0,6.0,1,2.8,1,2,7111,0,0
318,2,1,1,37.5,88.0,20.0,2,3,3,1,4,3,3,,,,,,35.0,6.4,1,,2,1,2205,0,0
319,2,2,9,,150.0,60.0,4,4,4,2,5,4,4,,,,,,,,,,2,1,1400,0,0
320,2,1,1,39.7,100.0,30.0,,,6,2,4,4,3,1,,,4,5,65.0,75.0,,,3,1,3205,0,0
321,1,1,1,38.3,80.0,,3,3,4,2,5,4,3,2,1,,4,4,45.0,7.5,2,4.6,1,1,3209,0,0
322,1,2,1,37.5,40.0,32.0,3,1,3,1,3,2,3,2,1,,,5,32.0,6.4,1,1.1,1,1,3124,0,0
323,2,1,1,38.4,84.0,30.0,3,1,5,2,4,3,3,2,3,6.5,4,4,47.0,7.5,3,,2,1,6111,0,0
324,1,1,1,38.1,84.0,44.0,4,,4,2,5,3,1,1,3,5.0,,4,60.0,6.8,,5.7,2,1,2209,0,0
325,2,2,1,38.7,52.0,,1,1,1,1,1,3,1,,,,1,3,4.0,74.0,,,1,2,0,0,0
326,2,2,1,38.1,44.0,40.0,2,1,3,1,3,3,1,,,,1,3,35.0,6.8,,,1,2,0,0,0
327,2,2,1,38.4,52.0,20.0,2,1,3,1,1,3,2,2,1,,3,5,41.0,63.0,1,1.0,1,2,0,0,0
328,1,1,1,38.2,60.0,,1,,3,1,2,1,1,1,1,,4,4,43.0,6.2,2,3.9,1,1,2206,0,0
329,2,2,1,37.7,40.0,18.0,1,1,1,,3,2,1,1,1,,3,3,36.0,3.5,,,1,2,400,0,0
330,2,1,1,39.1,60.0,10.0,,1,1,,2,3,,,,,4,4,,,,,1,1,2113,0,0
331,2,2,1,37.8,48.0,16.0,1,1,1,1,,1,1,2,1,,4,3,43.0,7.5,,,1,2,0,0,0
332,2,1,1,39.0,120.0,,4,3,5,2,2,4,3,2,3,8.0,,,65.0,8.2,3,4.6,1,2,5110,0,0
333,1,1,1,38.2,76.0,,2,3,2,1,5,3,3,1,2,6.0,1,5,35.0,6.5,2,0.9,1,1,3205,0,0
334,2,2,1,38.3,88.0,,,,6,,,,,,,,,,,,,,2,2,2300,0,0
335,2,1,1,38.0,80.0,30.0,3,3,3,1,,,,,,6.0,,,48.0,8.3,,4.3,1,1,2111,0,0
336,1,1,1,,,,3,1,1,1,2,3,3,1,3,6.0,4,4,,,2,,2,1,2113,0,0
337,1,1,1,37.6,40.0,,1,1,1,1,1,1,1,,,,1,1,,,2,2.1,1,1,31110,0,0
338,1,2,1,37.5,44.0,,1,1,1,1,3,3,2,,,,,,45.0,5.8,2,1.4,1,2,3111,0,0
339,2,2,1,38.2,42.0,16.0,1,1,3,1,1,3,1,,,,1,,35.0,60.0,1,1.0,1,2,0,0,0
340,2,2,1,38.0,56.0,44.0,3,3,3,,,1,1,2,1,,4,,47.0,70.0,2,1.0,1,2,0,0,0
341,2,2,1,38.3,45.0,20.0,3,3,2,2,2,4,1,2,,,4,,,,,,1,2,0,0,0
342,2,1,1,,48.0,96.0,1,1,3,1,,4,1,2,1,,1,4,42.0,8.0,1,,1,1,2208,0,0
343,2,1,1,37.7,55.0,28.0,2,1,2,1,2,3,3,,3,5.0,4,5,,,,,1,1,3209,0,0
344,1,2,1,36.0,100.0,20.0,4,3,6,2,2,4,3,1,1,,4,5,74.0,5.7,2,2.5,3,1,3205,0,0
345,1,1,1,37.1,60.0,20.0,2,,4,1,3,,3,,2,5.0,3,4,64.0,8.5,2,,1,1,7111,0,0
346,2,2,1,37.1,114.0,40.0,3,,3,2,2,2,1,,,,,3,32.0,,3,6.5,1,2,400,0,0
347,2,1,1,38.1,72.0,30.0,3,3,3,1,4,4,3,2,1,,3,5,37.0,56.0,3,1.0,1,1,4206,0,0
348,2,1,1,37.0,44.0,12.0,3,1,1,2,1,1,1,,,,4,2,40.0,6.7,3,8.0,1,1,2208,0,0
349,2,1,1,38.6,48.0,20.0,3,1,1,1,4,3,1,,,,3,,37.0,75.0,,,1,1,3111,0,0
350,2,1,1,,82.0,72.0,3,1,4,1,2,3,3,,3,,4,4,53.0,65.0,3,2.0,3,1,2209,3205,0
351,1,1,9,38.2,78.0,60.0,4,4,6,,3,3,3,,,,1,,59.0,5.8,3,3.1,2,1,1400,0,0
352,2,2,1,37.8,60.0,16.0,1,1,3,1,2,3,2,1,2,,3,,41.0,73.0,,,3,2,4124,0,0
353,2,1,1,38.7,34.0,30.0,2,,3,1,2,3,,,,,,,33.0,69.0,,2.0,3,1,7113,0,0
354,1,1,1,,36.0,12.0,1,1,1,1,1,2,1,1,1,,1,5,44.0,,,,1,1,31110,0,0
355,2,2,1,38.3,44.0,60.0,,,1,1,,,,,,,,,6.4,36.0,,,1,1,0,0,0
356,1,2,1,37.4,54.0,18.0,3,,1,1,3,4,3,2,2,,4,5,30.0,7.1,2,,1,1,7111,0,0
357,2,1,1,,,,4,3,,2,2,4,1,,,,,,54.0,76.0,3,2.0,1,1,8405,0,0
358,2,1,1,36.6,48.0,16.0,3,1,3,1,4,1,1,1,1,,,,27.0,56.0,,,3,1,4206,0,0
359,2,1,1,38.5,90.0,,1,1,3,1,3,3,3,2,3,2.0,4,5,47.0,79.0,,,1,1,6112,0,0
360,1,1,1,,75.0,12.0,1,1,4,1,5,3,3,,3,5.8,,,58.0,8.5,1,,1,1,2209,0,0
361,2,2,1,38.2,42.0,,3,1,1,1,1,1,2,2,1,,3,2,35.0,5.9,2,,1,2,3113,0,0
362,1,1,9,38.2,78.0,60.0,4,4,6,,3,3,3,,,,1,,59.0,5.8,3,3.1,2,1,2205,0,0
363,2,2,1,38.6,60.0,30.0,1,1,3,1,4,2,2,1,1,,,,40.0,6.0,1,,1,1,3205,0,0
364,2,2,1,37.8,42.0,40.0,1,1,1,1,1,3,1,,,,3,3,36.0,6.2,,,1,2,4124,0,0
365,2,1,1,38.0,60.0,12.0,1,1,2,1,2,1,1,1,1,,1,4,44.0,65.0,3,2.0,3,1,2209,0,0
366,2,2,1,38.0,42.0,12.0,3,,3,1,1,1,1,,,,,1,37.0,5.8,,,1,2,3111,0,0
367,2,2,1,37.6,88.0,36.0,3,1,1,1,3,3,2,1,3,1.5,,,44.0,6.0,,,2,1,2112,0,0
