,spore-print-color_cat,class_cat,population_cat,gill-attachment_cat,stalk-color-above-ring_cat,veil-type_cat,cap-color_cat,stalk-surface-above-ring_cat,gill-color_cat,bruises%3F_cat,stalk-shape_cat,odor_cat
1642,n,e,v,f,g,p,n,s,n,t,t,n
1643,k,e,a,f,w,p,w,f,p,f,t,n
1644,n,e,s,f,w,p,w,f,n,f,t,n
1645,k,e,a,f,w,p,w,f,k,f,t,n
1646,n,e,n,f,w,p,y,s,n,t,e,l
1647,n,e,a,f,w,p,g,f,n,f,t,n
1648,n,e,s,f,w,p,w,s,h,f,t,n
1649,n,e,s,f,w,p,n,s,n,f,t,n
1650,n,e,a,f,w,p,n,f,p,f,t,n
1651,n,e,s,f,w,p,w,s,n,f,t,n
1652,k,e,s,f,w,p,n,f,h,f,t,n
1653,n,e,s,f,w,p,g,f,h,f,t,n
1654,k,e,s,f,w,p,g,s,p,f,t,n
1655,n,e,s,f,w,p,w,s,p,f,t,n
1656,k,e,a,f,w,p,n,f,n,f,t,n
1657,n,e,s,f,w,p,g,s,p,f,t,n
1658,k,e,s,f,w,p,w,s,h,f,t,n
1659,n,e,a,f,w,p,w,s,n,f,t,n
1660,k,e,s,f,w,p,g,f,h,f,t,n
1661,k,e,a,f,w,p,g,s,p,f,t,n
1662,k,e,n,f,w,p,y,s,g,t,e,a
1663,k,e,n,f,w,p,y,s,n,t,e,l
1664,k,e,a,f,w,p,w,s,p,f,t,n
1665,k,p,s,f,w,p,n,s,k,t,e,p
1666,n,e,s,f,w,p,w,s,k,f,t,n
1667,k,p,s,f,w,p,w,s,w,t,e,p
1668,n,e,v,f,p,p,g,s,n,t,t,n
1669,k,p,v,f,w,p,w,s,w,t,e,p
1670,n,e,s,f,w,p,y,s,g,t,e,l
1671,n,e,n,f,w,p,w,s,n,t,e,l
1672,n,e,y,f,w,p,n,s,n,t,e,l
1673,n,e,s,f,w,p,w,s,n,f,t,n
1674,k,e,s,f,w,p,n,f,p,f,t,n
1675,k,e,a,f,w,p,g,s,p,f,t,n
1676,k,e,a,f,w,p,w,f,n,f,t,n
1677,n,e,s,f,w,p,n,f,h,f,t,n
1678,k,e,a,f,w,p,n,s,n,f,t,n
1679,k,e,s,f,w,p,g,f,n,f,t,n
1680,n,e,n,f,w,p,w,s,n,t,e,l
1681,k,e,s,f,w,p,g,s,p,f,t,n
1682,k,e,s,f,w,p,y,s,w,t,e,l
1683,k,p,v,f,w,p,w,s,n,t,e,p
1684,k,e,s,f,w,p,w,f,p,f,t,n
1685,k,e,s,f,w,p,n,f,h,f,t,n
1686,n,e,s,f,w,p,g,s,n,f,t,n
1687,n,e,s,f,w,p,g,f,h,f,t,n
1688,n,e,y,f,g,p,n,s,p,t,t,n
1689,k,e,y,f,g,p,n,s,n,t,t,n
1690,n,e,y,f,w,p,y,s,n,t,e,a
1691,k,e,y,f,p,p,g,s,w,t,t,n
1692,n,e,a,f,w,p,g,f,p,f,t,n
1693,k,e,s,f,w,p,n,f,h,f,t,n
1694,n,e,a,f,w,p,w,s,n,f,t,n
1695,n,e,a,f,w,p,g,f,k,f,t,n
1696,k,e,s,f,w,p,w,f,n,f,t,n
1697,n,e,a,f,w,p,g,f,n,f,t,n
1698,n,e,a,f,w,p,g,s,k,f,t,n
1699,n,e,a,f,w,p,n,s,k,f,t,n
1700,k,e,y,f,w,p,n,s,w,t,t,n
1701,n,e,s,f,w,p,w,s,k,f,t,n
1702,k,e,s,f,w,p,n,f,n,f,t,n
1703,k,p,s,f,w,p,n,s,w,t,e,p
1704,k,e,y,f,p,p,n,s,n,t,t,n
1705,k,e,s,f,w,p,n,f,p,f,t,n
1706,k,e,s,f,w,p,w,s,n,f,t,n
1707,n,p,v,f,w,p,n,s,n,t,e,p
1708,k,e,s,f,w,p,g,s,k,f,t,n
1709,k,e,v,f,w,p,g,s,n,t,t,n
1710,k,e,a,f,w,p,w,f,p,f,t,n
1711,k,e,s,f,w,p,g,f,h,f,t,n
1712,n,e,v,f,g,p,n,s,w,t,t,n
1713,n,e,a,f,w,p,g,s,h,f,t,n
1714,n,e,a,f,w,p,w,s,p,f,t,n
1715,k,e,y,f,p,p,g,s,u,t,t,n
1716,k,e,n,f,w,p,w,s,w,t,e,l
1717,n,e,n,f,w,p,w,s,k,t,e,l
1718,n,e,s,f,w,p,g,f,p,f,t,n
1719,k,e,a,f,w,p,w,s,k,f,t,n
1720,k,e,s,f,w,p,n,f,n,f,t,n
1721,k,e,a,f,w,p,w,f,p,f,t,n
1722,n,e,a,f,w,p,n,s,h,f,t,n
1723,n,e,s,f,w,p,n,s,n,f,t,n
1724,n,e,n,f,w,p,y,s,g,t,e,a
1725,k,p,v,f,w,p,w,s,k,t,e,p
1726,k,e,a,f,w,p,n,s,k,f,t,n
1727,k,e,s,f,w,p,n,f,k,f,t,n
1728,k,e,s,f,w,p,n,s,n,t,e,a
1729,n,e,a,f,w,p,g,f,n,f,t,n
1730,n,e,a,f,w,p,w,f,k,f,t,n
1731,k,p,v,f,w,p,n,s,n,t,e,p
1732,k,e,a,f,w,p,g,f,n,f,t,n
1733,n,e,s,f,w,p,w,f,p,f,t,n
1734,k,p,v,f,w,p,n,s,n,t,e,p
1735,n,e,a,f,w,p,n,s,p,f,t,n
1736,k,e,a,f,w,p,n,f,p,f,t,n
1737,k,e,v,f,g,p,n,s,u,t,t,n
1738,k,e,s,f,w,p,w,f,p,f,t,n
1739,n,p,v,f,w,p,w,s,p,t,e,p
1740,k,e,a,f,w,p,w,s,h,f,t,n
1741,n,e,s,f,w,p,n,s,h,f,t,n
1742,n,e,s,f,w,p,g,f,p,f,t,n
1743,k,e,a,f,w,p,w,f,n,f,t,n
1744,n,e,y,f,w,p,n,s,w,t,e,l
1745,n,p,s,f,w,p,w,s,w,t,e,p
1746,n,e,a,f,w,p,w,s,p,f,t,n
1747,k,e,y,f,w,p,n,s,p,f,e,n
1748,n,p,s,f,w,p,n,s,w,t,e,p
1749,n,e,s,f,w,p,w,s,n,f,t,n
1750,n,e,s,f,w,p,g,f,k,f,t,n
1751,n,e,y,f,w,p,y,s,n,t,e,a
1752,n,e,s,f,w,p,w,f,h,f,t,n
1753,k,e,a,f,w,p,w,f,h,f,t,n
1754,n,p,s,f,w,p,n,s,n,t,e,p
1755,k,e,s,f,w,p,n,f,h,f,t,n
1756,n,e,s,f,w,p,g,s,k,f,t,n
1757,k,e,s,f,w,p,n,s,n,f,t,n
1758,n,e,v,f,p,p,n,s,p,t,t,n
1759,k,e,s,f,w,p,g,f,k,f,t,n
1760,k,e,a,f,w,p,g,f,n,f,t,n
1761,k,e,s,f,w,p,w,f,k,f,t,n
1762,n,e,s,f,w,p,g,s,h,f,t,n
1763,k,e,y,f,w,p,n,s,n,t,t,n
1764,n,e,s,f,w,p,w,f,p,f,t,n
1765,n,p,s,f,w,p,w,s,n,t,e,p
1766,n,e,a,f,w,p,g,s,n,f,t,n
1767,n,e,s,f,w,p,n,s,k,f,t,n
1768,k,e,v,f,w,p,n,s,p,t,t,n
1769,n,e,y,f,w,p,y,s,p,t,e,a
1770,k,e,a,f,w,p,g,f,k,f,t,n
1771,k,e,a,f,w,p,n,f,h,f,t,n
1772,k,e,a,f,w,p,w,s,k,f,t,n
1773,n,e,s,f,w,p,y,s,k,t,e,a
1774,k,e,y,f,g,p,n,s,p,t,t,n
1775,k,e,a,f,w,p,w,s,p,f,t,n
1776,k,e,a,f,w,p,w,f,n,f,t,n
1777,n,p,s,f,w,p,n,s,n,t,e,p
1778,k,p,v,f,w,p,w,s,k,t,e,p
1779,k,e,a,f,w,p,n,s,p,f,t,n
1780,n,e,v,f,w,p,g,s,n,f,e,n
1781,k,e,s,f,w,p,n,f,p,f,t,n
1782,k,e,a,f,w,p,w,f,k,f,t,n
1783,k,p,s,f,w,p,w,s,w,t,e,p
1784,n,e,s,f,w,p,y,s,k,t,e,a
1785,k,e,a,f,w,p,n,f,h,f,t,n
1786,k,p,s,f,w,p,n,s,n,t,e,p
1787,k,e,a,f,w,p,g,f,h,f,t,n
1788,n,e,s,f,w,p,g,s,k,f,t,n
1789,k,e,s,f,w,p,w,f,n,f,t,n
1790,n,p,v,f,w,p,w,s,n,t,e,p
1791,k,e,a,f,w,p,w,f,k,f,t,n
1792,n,e,a,f,w,p,n,f,h,f,t,n
1793,n,e,s,f,w,p,n,s,p,f,t,n
1794,n,e,a,f,w,p,n,f,p,f,t,n
1795,k,p,v,f,w,p,n,s,k,t,e,p
1796,n,e,s,f,w,p,w,s,p,f,t,n
1797,n,e,a,f,w,p,w,f,p,f,t,n
1798,k,p,v,f,w,p,w,s,k,t,e,p
1799,k,e,a,f,w,p,g,s,p,f,t,n
1800,n,e,v,f,w,p,n,s,w,t,t,n
1801,n,e,a,f,w,p,g,s,h,f,t,n
1802,k,e,v,f,w,p,g,s,u,t,t,n
1803,n,e,v,f,p,p,n,s,p,t,t,n
1804,n,e,y,f,p,p,n,s,n,t,t,n
1805,k,e,v,f,p,p,e,s,p,t,t,n
1806,n,e,s,f,w,p,g,f,h,f,t,n
1807,n,e,y,f,p,p,g,s,u,t,t,n
1808,k,e,y,f,g,p,g,s,p,t,t,n
1809,n,e,s,f,w,p,g,f,p,f,t,n
1810,n,p,s,f,w,p,n,s,n,t,e,p
1811,k,e,v,f,g,p,n,s,n,t,t,n
1812,k,p,v,f,w,p,n,s,n,t,e,p
1813,n,e,s,f,w,p,w,s,n,t,e,a
1814,k,e,a,f,w,p,w,s,h,f,t,n
1815,n,e,s,f,w,p,y,s,g,t,e,a
1816,h,p,y,f,n,p,g,k,h,f,e,f
1817,n,e,a,f,w,p,n,f,k,f,t,n
1818,n,e,s,f,w,p,w,f,p,f,t,n
1819,k,e,v,f,g,p,n,s,p,t,t,n
1820,k,e,s,f,w,p,n,s,h,f,t,n
1821,k,e,s,f,w,p,n,s,h,f,t,n
1822,k,p,v,f,w,p,w,s,p,t,e,p
1823,n,e,y,f,p,p,n,s,p,t,t,n
1824,n,e,n,f,w,p,w,s,k,t,e,l
1825,k,e,s,f,w,p,g,f,n,f,t,n
1826,n,e,v,f,w,p,e,s,n,t,t,n
1827,k,e,s,f,w,p,w,s,n,f,t,n
1828,n,e,a,f,w,p,g,f,p,f,t,n
1829,k,e,v,f,w,p,n,s,n,t,t,n
1830,n,e,y,f,w,p,g,s,w,t,t,n
1831,k,e,v,f,g,p,g,s,u,t,t,n
1832,n,e,a,f,w,p,w,f,n,f,t,n
1833,k,e,v,f,p,p,g,s,u,t,t,n
1834,n,e,v,f,g,p,n,s,u,t,t,n
1835,n,e,v,f,g,p,e,s,w,t,t,n
1836,n,e,y,f,p,p,n,s,w,t,t,n
1837,n,e,s,f,w,p,w,f,h,f,t,n
1838,k,e,y,f,p,p,n,s,p,t,t,n
1839,k,e,s,f,w,p,g,s,n,f,t,n
1840,k,e,a,f,w,p,g,f,h,f,t,n
1841,n,e,a,f,w,p,w,s,p,f,t,n
1842,k,e,v,f,w,p,g,s,p,t,t,n
1843,n,p,s,f,w,p,n,s,k,t,e,p
1844,k,e,v,f,p,p,e,s,p,t,t,n
1845,k,e,s,f,w,p,w,s,p,f,t,n
1846,n,e,a,f,w,p,g,f,h,f,t,n
1847,n,e,v,f,g,p,g,s,w,t,t,n
1848,k,e,v,f,p,p,g,s,p,t,t,n
1849,k,e,v,f,g,p,n,s,w,t,t,n
1850,k,e,v,f,w,p,e,s,n,t,t,n
1851,n,e,a,f,w,p,w,f,h,f,t,n
1852,n,e,v,f,w,p,e,s,w,t,t,n
1853,k,e,v,f,w,p,n,s,p,t,t,n
1854,k,e,y,f,w,p,g,s,u,t,t,n
1855,n,e,y,f,p,p,n,s,n,t,t,n
1856,n,e,v,f,w,p,y,s,w,t,t,a
1857,n,e,v,f,g,p,e,s,w,t,t,n
1858,n,p,v,f,w,p,w,s,w,t,e,p
1859,k,e,s,f,w,p,w,f,h,f,t,n
1860,n,e,y,f,g,p,e,s,u,t,t,n
1861,k,e,v,f,p,p,n,s,w,t,t,n
1862,k,e,a,f,w,p,w,f,h,f,t,n
1863,n,e,y,f,p,p,g,s,w,t,t,n
1864,n,e,s,f,w,p,g,s,n,f,t,n
1865,n,e,y,f,p,p,e,s,w,t,t,n
1866,n,e,v,f,p,p,n,s,u,t,t,n
1867,k,e,a,f,w,p,w,f,p,f,t,n
1868,k,e,a,f,w,p,n,s,n,f,t,n
1869,k,e,s,f,w,p,w,s,n,f,t,n
1870,k,e,s,f,w,p,n,s,n,f,t,n
1871,n,e,y,f,p,p,e,s,n,t,t,n
1872,k,e,a,f,w,p,w,s,n,f,t,n
1873,k,e,a,f,w,p,g,s,k,f,t,n
1874,n,e,v,f,g,p,e,s,w,t,t,n
1875,n,e,y,f,p,p,e,s,p,t,t,n
1876,n,e,v,f,w,p,g,s,u,t,t,n
1877,k,e,y,f,w,p,e,s,p,t,t,n
1878,n,e,s,f,w,p,n,s,h,f,t,n
1879,k,e,a,f,w,p,w,s,n,f,t,n
1880,k,e,a,f,w,p,w,s,h,f,t,n
1881,n,e,a,f,w,p,w,s,k,f,t,n
1882,n,e,v,f,g,p,e,s,u,t,t,n
1883,n,e,y,f,g,p,n,s,u,t,t,n
1884,k,e,v,f,g,p,n,s,w,t,t,n
1885,n,e,v,f,w,p,w,s,p,t,t,l
1886,k,e,a,f,w,p,w,f,k,f,t,n
1887,k,p,s,f,w,p,w,s,n,t,e,p
1888,k,e,v,f,g,p,g,s,n,t,t,n
1889,n,e,v,f,w,p,n,s,w,t,t,n
1890,n,e,a,f,w,p,w,f,k,f,t,n
1891,n,e,a,f,w,p,w,f,h,f,t,n
1892,n,e,a,f,w,p,n,s,h,f,t,n
1893,n,e,a,f,w,p,n,s,n,f,t,n
1894,n,e,a,f,w,p,g,s,h,f,t,n
1895,n,e,v,f,g,p,n,s,w,t,t,n
1896,n,e,y,f,p,p,n,s,u,t,t,n
1897,n,e,s,f,w,p,g,f,k,f,t,n
1898,k,e,a,f,w,p,n,f,n,f,t,n
1899,n,e,s,f,w,p,g,f,p,f,t,n
1900,k,e,y,f,p,p,g,s,n,t,t,n
1901,n,e,a,f,w,p,w,f,h,f,t,n
1902,n,e,a,f,w,p,n,s,k,f,t,n
1903,k,e,s,f,w,p,w,f,h,f,t,n
1904,n,e,s,f,w,p,g,s,k,f,t,n
1905,n,e,a,f,w,p,n,s,k,f,t,n
1906,k,e,a,f,w,p,n,f,p,f,t,n
1907,n,e,v,f,w,p,n,s,w,t,t,n
1908,k,e,a,f,w,p,g,s,h,f,t,n
1909,n,e,s,f,w,p,w,f,n,f,t,n
1910,k,e,v,f,g,p,e,s,p,t,t,n
1911,k,e,v,f,g,p,g,s,u,t,t,n
1912,k,e,v,f,g,p,e,s,n,t,t,n
1913,k,e,s,f,w,p,g,s,h,f,t,n
1914,n,e,a,f,w,p,g,f,p,f,t,n
1915,n,e,y,f,w,p,y,s,p,t,e,l
1916,k,p,v,f,w,p,w,s,w,t,e,p
1917,k,e,a,f,w,p,n,f,h,f,t,n
1918,k,e,s,f,w,p,n,s,k,f,t,n
1919,k,e,v,f,g,p,n,s,p,t,t,n
1920,k,e,y,f,g,p,e,s,u,t,t,n
1921,n,e,a,f,w,p,g,s,p,f,t,n
1922,k,e,s,f,w,p,n,f,n,f,t,n
1923,n,e,s,f,w,p,g,f,h,f,t,n
1924,n,e,v,f,g,p,e,s,w,t,t,n
1925,k,e,v,f,g,p,n,s,w,t,t,n
1926,k,e,s,f,w,p,n,s,p,f,t,n
1927,k,e,a,f,w,p,n,s,p,f,t,n
1928,k,e,s,f,w,p,w,s,h,f,t,n
1929,k,e,s,f,w,p,g,s,p,f,t,n
1930,k,p,s,f,w,p,w,s,w,t,e,p
1931,n,e,s,f,w,p,w,s,k,t,e,a
1932,n,e,v,f,g,p,n,s,w,t,t,n
1933,k,e,a,f,w,p,g,f,k,f,t,n
1934,n,e,s,f,w,p,n,f,k,f,t,n
1935,n,e,s,f,w,p,n,s,k,f,t,n
1936,u,e,v,f,w,p,w,s,n,t,t,l
1937,n,e,a,f,w,p,w,s,h,f,t,n
1938,k,e,a,f,w,p,w,f,h,f,t,n
1939,k,e,s,f,w,p,g,f,k,f,t,n
1940,k,e,v,f,w,p,e,s,p,t,t,n
1941,k,e,v,f,g,p,n,s,n,t,t,n
1942,k,e,v,f,w,p,n,s,n,t,t,n
1943,k,e,s,f,w,p,w,s,k,f,t,n
1944,n,e,s,f,w,p,n,f,n,f,t,n
1945,n,p,v,f,w,p,w,s,k,t,e,p
1946,n,e,s,f,w,p,n,f,p,f,t,n
1947,n,e,y,f,g,p,g,s,w,t,t,n
1948,n,e,v,f,g,p,g,s,n,t,t,n
1949,n,e,a,f,w,p,g,s,p,f,t,n
1950,n,e,v,f,p,p,g,s,w,t,t,n
1951,n,e,v,f,p,p,e,s,u,t,t,n
1952,k,e,y,f,g,p,g,s,p,t,t,n
1953,n,e,v,f,p,p,g,s,u,t,t,n
1954,k,e,v,f,p,p,n,s,p,t,t,n
1955,k,p,v,f,w,p,w,s,p,t,e,p
1956,k,e,s,f,w,p,n,s,k,f,t,n
1957,n,e,v,f,p,p,n,s,w,t,t,n
1958,n,e,y,f,w,p,g,s,p,t,t,n
1959,n,p,s,f,w,p,n,s,w,t,e,p
1960,k,e,y,f,w,p,g,s,u,t,t,n
1961,k,e,s,f,w,p,g,s,h,f,t,n
1962,k,e,v,f,g,p,e,s,u,t,t,n
1963,n,e,s,f,w,p,n,f,k,f,t,n
1964,n,e,a,f,w,p,w,f,h,f,t,n
1965,k,e,s,f,w,p,n,s,p,f,t,n
1966,n,e,v,f,w,p,e,s,w,t,t,n
1967,k,e,s,f,w,p,n,f,k,f,t,n
1968,n,e,v,f,p,p,n,s,n,t,t,n
1969,k,e,s,f,w,p,w,s,h,f,t,n
1970,k,e,a,f,w,p,n,f,k,f,t,n
1971,n,e,s,f,w,p,n,s,h,f,t,n
1972,k,p,v,f,w,p,n,s,w,t,e,p
1973,k,e,y,f,w,p,n,s,p,t,t,n
1974,n,e,s,f,w,p,n,f,k,f,t,n
1975,n,p,s,f,w,p,w,s,n,t,e,p
1976,n,e,v,f,p,p,n,s,n,t,t,n
1977,n,e,y,f,w,p,g,s,u,t,t,n
1978,n,e,a,f,w,p,n,f,p,f,t,n
1979,k,e,v,f,g,p,e,s,p,t,t,n
1980,n,e,s,f,w,p,w,s,p,f,t,n
1981,k,e,s,f,w,p,w,f,h,f,t,n
1982,k,e,n,f,w,p,w,s,k,t,e,l
1983,n,e,s,f,w,p,w,f,p,f,t,n
1984,n,e,v,f,p,p,g,s,u,t,t,n
1985,k,e,y,f,g,p,g,s,n,t,t,n
1986,n,e,a,f,w,p,g,f,n,f,t,n
1987,n,p,s,f,w,p,w,s,n,t,e,p
1988,n,e,v,f,w,p,e,s,w,t,t,n
1989,k,p,s,f,w,p,n,s,n,t,e,p
1990,n,p,v,f,w,p,n,s,w,t,e,p
1991,n,e,v,f,p,p,g,s,p,t,t,n
1992,n,e,a,f,w,p,n,s,h,f,t,n
1993,n,e,y,f,g,p,g,s,p,t,t,n
1994,k,e,a,f,w,p,n,s,h,f,t,n
1995,n,e,y,f,p,p,n,s,w,t,t,n
1996,n,e,s,f,w,p,n,f,p,f,t,n
1997,k,e,a,f,w,p,n,s,p,f,t,n
1998,k,e,a,f,w,p,n,f,k,f,t,n
1999,k,e,s,f,w,p,n,s,k,f,t,n
2000,n,e,v,f,g,p,n,s,w,t,t,n
2001,n,e,v,f,g,p,e,s,u,t,t,n
2002,k,e,a,f,w,p,n,f,k,f,t,n
2003,k,e,y,f,g,p,n,s,w,t,t,n
2004,n,p,v,f,w,p,w,s,w,t,e,p
2005,n,e,s,f,w,p,y,s,n,t,e,l
2006,k,p,s,f,w,p,n,s,p,t,e,p
2007,n,e,s,f,w,p,w,f,h,f,t,n
2008,k,e,a,f,w,p,n,f,n,f,t,n
2009,n,p,v,f,w,p,n,s,w,t,e,p
2010,n,e,a,f,w,p,n,f,k,f,t,n
2011,k,e,s,f,w,p,n,s,n,f,t,n
2012,k,e,v,f,g,p,e,s,u,t,t,n
2013,k,e,a,f,w,p,n,s,k,f,t,n
2014,n,e,s,f,w,p,w,s,k,f,t,n
2015,n,e,a,f,w,p,g,f,p,f,t,n
2016,k,e,s,f,w,p,w,f,h,f,t,n
2017,n,e,v,f,w,p,y,s,n,t,t,a
2018,n,e,v,f,w,p,w,s,n,t,t,a
2019,n,e,a,f,w,p,n,s,p,f,t,n
2020,n,e,y,f,w,p,n,s,u,t,t,n
2021,k,e,y,f,g,p,g,s,n,t,t,n
2022,n,e,y,f,w,p,n,s,u,t,t,n
2023,k,e,s,f,w,p,n,s,k,f,t,n
2024,n,e,y,f,w,p,g,s,u,t,t,n
2025,k,e,v,f,p,p,n,s,n,t,t,n
2026,k,e,a,f,w,p,g,f,p,f,t,n
2027,n,e,v,f,w,p,n,s,n,t,t,n
2028,k,e,a,f,w,p,n,f,h,f,t,n
2029,k,e,s,f,w,p,w,s,k,t,e,l
2030,k,e,v,f,w,p,e,s,u,t,t,n
2031,n,e,s,f,w,p,n,s,h,f,t,n
2032,k,e,y,f,p,p,e,s,w,t,t,n
2033,k,e,y,f,g,p,n,s,p,t,t,n
2034,k,e,v,f,p,p,g,s,u,t,t,n
2035,n,e,a,f,w,p,g,s,p,f,t,n
2036,k,e,s,f,w,p,n,f,k,f,t,n
2037,n,e,a,f,w,p,g,f,p,f,t,n
2038,k,e,a,f,w,p,g,s,n,f,t,n
2039,k,e,y,f,w,p,e,s,w,t,t,n
2040,n,e,y,f,p,p,g,s,w,t,t,n
2041,k,e,y,f,p,p,n,s,n,t,t,n
2042,n,e,s,f,w,p,n,f,k,f,t,n
2043,n,e,s,f,w,p,n,s,n,f,t,n
2044,k,e,s,f,w,p,w,s,n,f,t,n
2045,n,e,s,f,w,p,y,s,p,t,e,a
2046,n,e,v,f,w,p,e,s,u,t,t,n
2047,k,e,s,f,w,p,n,f,h,f,t,n
2048,k,e,v,f,w,p,n,s,p,t,t,n
2049,n,e,y,f,w,p,g,s,n,t,t,n
2050,n,e,a,f,w,p,w,f,k,f,t,n
2051,k,e,s,f,w,p,w,s,k,t,e,a
2052,n,e,s,f,w,p,n,s,p,f,t,n
2053,n,e,a,f,w,p,w,s,p,f,t,n
2054,n,e,v,f,g,p,n,s,u,t,t,n
2055,k,e,s,f,w,p,w,f,k,f,t,n
2056,n,e,v,f,g,p,g,s,u,t,t,n
2057,n,e,y,f,w,p,n,s,p,t,t,n
2058,n,e,a,f,w,p,w,s,p,f,t,n
2059,k,e,n,f,w,p,w,s,n,t,e,a
2060,n,e,s,f,w,p,g,f,n,f,t,n
2061,n,p,v,f,w,p,n,s,n,t,e,p
2062,n,e,s,f,w,p,g,f,p,f,t,n
2063,n,e,v,f,p,p,n,s,n,t,t,n
2064,n,e,s,f,w,p,w,s,n,f,t,n
2065,k,e,v,f,p,p,n,s,u,t,t,n
2066,n,e,v,f,p,p,e,s,p,t,t,n
2067,k,p,v,f,w,p,n,s,n,t,e,p
2068,n,e,a,f,w,p,g,s,p,f,t,n
2069,k,e,y,f,w,p,g,s,n,t,t,n
2070,k,e,y,f,g,p,g,s,n,t,t,n
2071,k,e,v,f,w,p,g,s,n,t,t,n
2072,n,e,y,f,p,p,g,s,w,t,t,n
2073,k,e,y,f,p,p,n,s,u,t,t,n
2074,n,p,v,f,w,p,w,s,p,t,e,p
2075,k,e,n,f,w,p,y,s,k,t,e,l
2076,n,e,v,f,p,p,n,s,n,t,t,n
2077,n,e,y,f,w,p,n,s,w,t,t,n
2078,n,e,s,f,w,p,g,f,n,f,t,n
2079,n,e,y,f,w,p,e,s,u,t,t,n
2080,n,e,s,f,w,p,g,f,k,f,t,n
2081,n,e,s,f,w,p,w,f,p,f,t,n
2082,n,e,v,f,g,p,n,s,n,t,t,n
2083,n,e,v,f,w,p,n,s,u,t,t,n
2084,k,e,s,f,w,p,g,s,n,f,t,n
2085,k,e,s,f,w,p,g,s,n,f,t,n
2086,n,e,s,f,w,p,n,f,h,f,t,n
2087,k,e,y,f,g,p,g,s,p,t,t,n
2088,n,e,y,f,p,p,e,s,n,t,t,n
2089,k,p,s,f,w,p,n,s,p,t,e,p
2090,k,e,v,f,g,p,g,s,p,t,t,n
2091,n,e,a,f,w,p,w,s,k,f,t,n
2092,n,e,s,f,w,p,w,s,g,t,e,a
2093,n,e,s,f,w,p,w,f,h,f,t,n
2094,k,e,s,f,w,p,n,f,k,f,t,n
2095,k,e,y,f,g,p,g,s,p,t,t,n
2096,n,e,v,f,w,p,g,s,n,t,t,n
2097,k,e,s,f,w,p,g,f,p,f,t,n
2098,k,p,s,f,w,p,w,s,n,t,e,p
2099,n,e,a,f,w,p,n,s,k,f,t,n
2100,k,e,y,f,w,p,g,s,p,t,t,n
2101,n,e,v,f,w,p,g,s,p,t,t,n
2102,n,e,v,f,p,p,n,s,w,t,t,n
2103,n,e,y,f,p,p,e,s,p,t,t,n
2104,n,e,y,f,g,p,n,s,w,t,t,n
2105,k,e,y,f,g,p,e,s,u,t,t,n
2106,n,e,v,f,w,p,n,s,p,t,t,n
2107,k,e,y,f,p,p,e,s,u,t,t,n
2108,k,e,v,f,p,p,g,s,w,t,t,n
2109,k,e,v,f,w,p,g,s,p,t,t,n
2110,k,e,v,f,g,p,e,s,w,t,t,n
2111,n,e,v,f,g,p,e,s,u,t,t,n
2112,n,p,v,f,w,p,w,s,w,t,e,p
2113,n,e,v,f,p,p,e,s,n,t,t,n
2114,k,e,v,f,w,p,g,s,p,t,t,n
2115,n,e,y,f,g,p,n,s,p,t,t,n
2116,k,e,y,f,w,p,e,s,w,t,t,n
2117,k,e,v,f,g,p,g,s,n,t,t,n
2118,k,e,v,f,p,p,g,s,n,t,t,n
2119,k,e,v,f,g,p,g,s,u,t,t,n
2120,n,e,y,f,w,p,e,s,p,t,t,n
2121,n,e,y,f,w,p,e,s,n,t,t,n
2122,k,e,v,f,g,p,n,s,p,t,t,n
2123,k,e,v,f,w,p,n,s,u,t,t,n
2124,k,e,v,f,p,p,g,s,w,t,t,n
2125,n,e,v,f,p,p,e,s,u,t,t,n
2126,n,e,y,f,g,p,g,s,p,t,t,n
2127,k,e,v,f,w,p,g,s,n,t,t,n
2128,h,p,y,f,b,p,g,k,p,f,e,f
2129,k,p,s,f,w,p,w,s,p,t,e,p
2130,k,e,v,f,p,p,e,s,n,t,t,n
2131,n,e,s,f,w,p,w,s,h,f,t,n
2132,n,e,v,f,g,p,n,s,u,t,t,n
2133,n,e,y,f,g,p,n,s,n,t,t,n
2134,n,e,v,f,p,p,n,s,w,t,t,n
2135,n,e,y,f,p,p,g,s,u,t,t,n
2136,n,e,v,f,g,p,g,s,w,t,t,n
2137,k,e,v,f,w,p,e,s,u,t,t,n
2138,n,e,y,f,w,p,n,s,n,t,t,n
2139,k,e,y,f,p,p,g,s,w,t,t,n
2140,k,e,v,f,p,p,e,s,w,t,t,n
2141,k,e,v,f,w,p,e,s,u,t,t,n
2142,n,e,y,f,p,p,n,s,p,t,t,n
2143,k,e,y,f,w,p,e,s,n,t,t,n
2144,n,e,v,f,w,p,n,s,p,t,t,n
2145,k,e,v,f,p,p,n,s,n,t,t,n
2146,n,e,v,f,g,p,n,s,n,t,t,n
2147,n,p,v,f,w,p,n,s,n,t,e,p
2148,n,e,y,f,w,p,e,s,u,t,t,n
2149,k,p,s,f,w,p,w,s,w,t,e,p
2150,k,e,y,f,g,p,e,s,u,t,t,n
2151,k,e,y,f,g,p,n,s,p,t,t,n
2152,n,e,v,f,p,p,n,s,u,t,t,n
2153,n,e,v,f,w,p,e,s,p,t,t,n
2154,n,e,y,f,w,p,e,s,n,t,t,n
2155,n,e,v,f,g,p,g,s,p,t,t,n
