,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temp_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat
180,yes,adult,38.4,84.0,30.0,cool,normal,bright red,>=3,intermittent severe pain,hypomotile,moderate,slight,<1l,6.5,absent,distended small intestine,47.0,7.5,serosanguinous,,died,yes
181,no,adult,37.8,48.0,14.0,,,normal pink,<3,intermittent mild pain,,slight,none,<1l,5.3,normal,,35.0,7.5,,,lived,no
182,yes,adult,38.0,,24.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,,,,68.0,7.8,,,died,yes
183,no,adult,37.8,56.0,16.0,normal,normal,bright pink,<3,depressed,hypermotile,none,slight,none,,normal,,44.0,68.0,clear,1.0,lived,no
184,no,adult,38.2,68.0,32.0,warm,increased,bright pink,<3,alert no pain,hypermotile,none,significant,none,,normal,normal,43.0,65.0,,,lived,no
185,yes,adult,38.5,120.0,60.0,cold,reduced,dark cyanotic,>=3,,hypomotile,,,,,,,54.0,,,,lived,yes
186,yes,adult,39.3,64.0,90.0,warm,reduced,normal pink,<3,,hypomotile,none,none,>1l,,,,39.0,6.7,,,lived,yes
187,yes,adult,38.4,80.0,30.0,cold,reduced,normal pink,<3,intermittent mild pain,hypomotile,moderate,significant,<1l,,absent,distended large intestine,32.0,6.1,serosanguinous,4.3,lived,yes
188,yes,adult,38.5,60.0,,normal,normal,,<3,,hypermotile,none,,,,,,33.0,53.0,clear,,lived,yes
189,yes,adult,38.3,60.0,16.0,cool,normal,normal pink,<3,depressed,hypermotile,none,slight,>1l,3.0,normal,distended small intestine,30.0,6.0,clear,3.0,lived,yes
190,yes,adult,37.1,40.0,8.0,,normal,pale cyanotic,<3,intermittent mild pain,hypomotile,none,none,none,,decreased,firm feces in large intestine,23.0,6.7,serosanguinous,,lived,yes
191,no,young,,100.0,44.0,warm,normal,normal pink,<3,intermittent severe pain,hypermotile,none,,,,normal,,37.0,4.7,,,lived,no
192,yes,adult,38.2,48.0,18.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,none,>1l,,absent,,48.0,74.0,clear,2.0,lived,yes
193,yes,adult,,60.0,48.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,hypomotile,severe,,,,,,58.0,7.6,,,died,yes
194,no,adult,37.9,88.0,24.0,normal,normal,bright pink,<3,depressed,normal,none,,,,absent,normal,37.0,56.0,,,lived,no
195,no,adult,38.0,44.0,12.0,cool,normal,normal pink,,,hypermotile,slight,,,,normal,,42.0,64.0,,,lived,no
196,no,adult,38.5,60.0,20.0,normal,normal,bright red,>=3,depressed,normal,none,slight,none,,increased,firm feces in large intestine,63.0,7.5,cloudy,2.3,euthanized,no
197,no,adult,38.5,96.0,36.0,cool,reduced,,>=3,depressed,absent,slight,none,>1l,,absent,distended large intestine,70.0,8.5,,,died,yes
198,no,adult,38.3,60.0,20.0,normal,normal,normal pink,>=3,alert no pain,hypomotile,none,,,,decreased,,34.0,66.0,,,lived,no
199,no,adult,38.5,60.0,40.0,cool,normal,bright pink,<3,depressed,hypermotile,slight,,,,decreased,other,49.0,59.0,,,lived,no
200,yes,adult,37.3,48.0,12.0,normal,,pale pink,<3,intermittent mild pain,hypermotile,moderate,slight,none,,decreased,firm feces in large intestine,40.0,6.6,cloudy,,lived,yes
201,yes,adult,38.5,86.0,,normal,normal,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,,decreased,distended large intestine,45.0,7.4,clear,3.4,died,yes
202,yes,adult,37.5,48.0,40.0,,,,,,,,none,none,,,distended large intestine,41.0,55.0,serosanguinous,2.0,euthanized,yes
203,no,adult,37.2,36.0,9.0,normal,normal,normal pink,<3,depressed,hypomotile,none,slight,none,,absent,normal,35.0,5.7,,,lived,no
204,yes,adult,39.2,,23.0,cool,normal,pale pink,<3,intermittent severe pain,absent,slight,slight,,,,,36.0,6.6,clear,3.0,lived,yes
205,no,adult,38.5,100.0,,cool,reduced,bright red,>=3,intermittent severe pain,hypomotile,severe,slight,none,,absent,distended large intestine,,,,,euthanized,no
206,yes,adult,38.5,96.0,30.0,warm,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,slight,none,,decreased,distended large intestine,50.0,65.0,,,lived,yes
207,yes,adult,,,,,,,,,,,,,,,,45.0,8.7,,,died,yes
208,yes,adult,37.8,88.0,80.0,cool,reduced,bright red,>=3,,hypomotile,moderate,slight,<1l,,absent,distended large intestine,64.0,89.0,,,euthanized,yes
209,no,adult,37.5,44.0,10.0,cool,normal,normal pink,<3,intermittent mild pain,hypermotile,slight,slight,,,decreased,firm feces in large intestine,43.0,51.0,clear,1.0,lived,no
210,yes,adult,37.9,68.0,20.0,,normal,bright pink,<3,depressed,absent,slight,,,,normal,distended large intestine,45.0,4.0,serosanguinous,2.8,died,yes
211,yes,adult,38.0,86.0,24.0,cold,reduced,pale cyanotic,<3,depressed,absent,severe,none,none,,absent,distended large intestine,45.0,5.5,clear,10.1,died,yes
212,yes,young,38.9,120.0,30.0,normal,reduced,bright pink,>=3,intermittent mild pain,hypomotile,moderate,significant,none,3.0,,,47.0,6.3,clear,,lived,no
213,yes,adult,37.6,45.0,12.0,cool,normal,pale pink,<3,,normal,slight,slight,none,,normal,distended small intestine,39.0,7.0,cloudy,1.5,lived,yes
214,no,adult,38.6,56.0,32.0,warm,normal,normal pink,<3,alert no pain,hypermotile,none,slight,,,increased,,40.0,7.0,cloudy,2.1,lived,no
215,yes,adult,37.8,40.0,12.0,normal,normal,normal pink,<3,alert no pain,normal,none,slight,none,,normal,other,38.0,7.0,,,lived,yes
216,no,adult,,,,,,,,,,,,,,,,,,,,lived,no
217,yes,adult,38.0,76.0,18.0,,,,>=3,,,,,,,,,71.0,11.0,,,lived,yes
218,yes,adult,38.1,40.0,36.0,normal,increased,bright pink,<3,depressed,normal,,,,,,,,,,,euthanized,yes
219,yes,adult,,52.0,28.0,cool,reduced,pale cyanotic,<3,intermittent mild pain,absent,moderate,slight,none,,absent,distended small intestine,37.0,8.1,,,lived,yes
220,yes,adult,39.2,88.0,58.0,cold,absent,,>=3,continuous severe pain,absent,,,,,,,,,cloudy,2.0,euthanized,no
221,yes,adult,38.5,92.0,40.0,cold,reduced,,<3,depressed,absent,moderate,,,,absent,,46.0,67.0,cloudy,2.0,lived,yes
222,yes,adult,,112.0,13.0,cold,absent,pale cyanotic,<3,depressed,hypomotile,none,slight,none,4.5,absent,distended small intestine,60.0,6.3,serosanguinous,,lived,yes
223,yes,adult,37.7,66.0,12.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,slight,,,absent,distended small intestine,31.5,6.2,cloudy,1.6,lived,yes
224,yes,adult,38.8,50.0,14.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,none,none,,decreased,distended large intestine,38.0,58.0,,,lived,yes
225,no,adult,38.4,54.0,24.0,normal,normal,normal pink,<3,alert no pain,hypomotile,none,slight,none,,decreased,other,49.0,7.2,clear,8.0,lived,no
226,yes,adult,39.2,120.0,20.0,cold,reduced,bright red,>=3,depressed,hypomotile,moderate,none,<1l,,,distended small intestine,60.0,8.8,serosanguinous,,died,yes
227,yes,young,,,,,,,,,,,,,,,,45.0,6.5,cloudy,,lived,yes
228,yes,adult,37.3,90.0,40.0,cool,,dark cyanotic,>=3,continuous severe pain,absent,moderate,slight,>1l,,normal,distended large intestine,65.0,50.0,serosanguinous,2.0,euthanized,yes
229,yes,young,38.5,120.0,70.0,,,,,,hypermotile,,slight,,,normal,,35.0,54.0,clear,1.0,lived,yes
230,yes,adult,38.5,104.0,40.0,cool,reduced,,<3,intermittent severe pain,hypomotile,severe,,,,,,,,,,lived,yes
231,no,adult,39.5,92.0,28.0,cool,reduced,dark cyanotic,<3,continuous severe pain,absent,none,,<1l,,absent,,72.0,6.4,,3.6,died,no
232,yes,adult,38.5,30.0,18.0,,,,,,,,,,,,,40.0,7.7,,,lived,yes
233,yes,adult,38.3,72.0,30.0,cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,,decreased,distended large intestine,43.0,7.0,cloudy,3.9,lived,yes
234,no,adult,37.5,48.0,30.0,cold,normal,pale pink,<3,,normal,none,none,none,,normal,normal,48.0,8.6,,,lived,no
235,yes,adult,38.1,52.0,24.0,normal,normal,bright red,<3,intermittent severe pain,hypomotile,none,slight,<1l,7.0,normal,,54.0,7.5,cloudy,2.6,died,yes
236,no,adult,38.2,42.0,26.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,slight,,,,normal,,36.0,6.9,,,lived,no
237,no,adult,37.9,54.0,42.0,warm,normal,bright red,<3,intermittent mild pain,hypermotile,none,,none,,,other,47.0,54.0,serosanguinous,1.0,lived,no
238,no,adult,36.1,88.0,,cool,reduced,pale pink,<3,intermittent mild pain,hypomotile,slight,slight,<1l,,,distended small intestine,45.0,7.0,serosanguinous,4.8,euthanized,yes
239,yes,adult,38.1,70.0,22.0,,normal,,<3,continuous severe pain,hypomotile,,,,,,distended large intestine,36.0,65.0,,,euthanized,yes
240,yes,adult,38.0,90.0,30.0,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,,,,absent,distended large intestine,55.0,6.1,,,died,yes
241,yes,adult,38.2,52.0,16.0,normal,normal,bright pink,<3,alert no pain,normal,none,none,none,,normal,,43.0,8.1,,,lived,no
242,yes,adult,,36.0,32.0,normal,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,slight,<1l,4.0,,distended small intestine,41.0,5.9,,,died,yes
243,yes,adult,38.4,92.0,20.0,normal,,,>=3,,hypomotile,moderate,,,,normal,,,,,,lived,yes
244,yes,young,38.2,124.0,88.0,normal,reduced,bright pink,<3,depressed,hypomotile,severe,,,,,,47.0,8.0,clear,,lived,yes
245,no,adult,,96.0,,cool,reduced,pale pink,>=3,continuous severe pain,absent,severe,,none,,absent,distended large intestine,60.0,,,,died,yes
246,yes,adult,37.6,68.0,32.0,cool,,pale pink,<3,intermittent severe pain,normal,severe,slight,>1l,6.5,normal,distended large intestine,47.0,7.2,clear,,lived,yes
247,yes,adult,38.1,88.0,24.0,cool,reduced,pale cyanotic,<3,continuous severe pain,absent,moderate,slight,none,,decreased,distended small intestine,41.0,4.6,,,died,yes
248,yes,adult,38.0,108.0,60.0,warm,reduced,pale cyanotic,<3,intermittent severe pain,hypomotile,moderate,slight,,,decreased,distended small intestine,,,serosanguinous,,lived,yes
249,no,adult,38.2,48.0,,warm,,normal pink,>=3,intermittent mild pain,hypomotile,none,slight,none,,,other,34.0,6.6,,,lived,no
250,yes,adult,39.3,100.0,51.0,cold,absent,dark cyanotic,<3,depressed,absent,none,none,<1l,2.0,,distended small intestine,66.0,13.0,serosanguinous,2.0,euthanized,yes
251,no,adult,36.6,42.0,18.0,cool,reduced,bright pink,<3,alert no pain,absent,none,none,none,,,distended large intestine,52.0,7.1,,,died,yes
252,yes,young,38.8,124.0,36.0,cool,normal,bright pink,<3,depressed,hypomotile,severe,none,none,,absent,distended small intestine,50.0,7.6,serosanguinous,,died,yes
253,no,adult,,112.0,24.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,slight,,,,absent,,40.0,5.3,serosanguinous,2.6,lived,no
254,yes,adult,,80.0,,cool,reduced,pale pink,<3,intermittent severe pain,absent,severe,,,,absent,distended large intestine,43.0,70.0,,,lived,yes
255,yes,young,38.8,184.0,84.0,normal,,normal pink,<3,intermittent severe pain,hypermotile,moderate,,,,increased,,33.0,3.3,,,died,yes
256,yes,adult,37.5,72.0,,warm,normal,normal pink,<3,depressed,hypermotile,none,none,none,,normal,,35.0,65.0,cloudy,2.0,euthanized,yes
257,yes,adult,38.7,96.0,28.0,cool,reduced,pale cyanotic,<3,,absent,,,<1l,7.5,,,64.0,9.0,,,died,yes
258,no,adult,37.5,52.0,12.0,normal,normal,normal pink,<3,depressed,hypomotile,slight,slight,none,,decreased,distended large intestine,36.0,61.0,clear,1.0,lived,no
259,yes,adult,40.8,72.0,42.0,cool,reduced,normal pink,<3,depressed,hypomotile,none,slight,none,,,,54.0,7.4,serosanguinous,,died,yes
260,no,adult,38.0,40.0,25.0,,normal,normal pink,<3,intermittent severe pain,hypomotile,slight,none,none,,absent,,37.0,69.0,,,lived,no
261,no,adult,38.4,48.0,16.0,warm,normal,normal pink,<3,alert no pain,,slight,slight,none,,,other,39.0,6.5,,,lived,no
262,no,young,38.6,88.0,28.0,,,,,,,,,,,,,35.0,5.9,,,lived,no
263,yes,adult,37.1,75.0,36.0,,,pale pink,>=3,intermittent severe pain,absent,slight,slight,<1l,5.0,absent,distended small intestine,48.0,7.4,serosanguinous,3.2,died,yes
264,yes,adult,38.3,44.0,21.0,cool,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,normal,distended large intestine,44.0,6.5,cloudy,4.4,lived,yes
265,no,adult,,56.0,68.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,,normal,,40.0,6.0,,,euthanized,yes
266,no,adult,38.6,68.0,20.0,warm,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,,normal,distended large intestine,38.0,6.5,clear,,lived,no
267,no,adult,38.3,54.0,18.0,cool,normal,bright pink,<3,depressed,hypomotile,slight,,<1l,5.4,,distended small intestine,44.0,7.2,serosanguinous,,lived,no
268,yes,adult,38.2,42.0,20.0,,,normal pink,<3,,hypomotile,,,,,decreased,,47.0,60.0,,,lived,no
269,yes,adult,39.3,64.0,90.0,warm,reduced,normal pink,<3,,hypomotile,none,none,>1l,6.5,normal,distended large intestine,39.0,6.7,,,lived,yes
270,yes,adult,37.5,60.0,50.0,cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,slight,>1l,3.5,decreased,distended small intestine,35.0,6.5,,,died,yes
271,yes,adult,37.7,80.0,,cool,reduced,dark cyanotic,<3,continuous severe pain,absent,none,slight,<1l,,decreased,normal,50.0,55.0,serosanguinous,2.0,lived,yes
272,yes,adult,,100.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,,absent,distended small intestine,52.0,6.6,,,lived,yes
273,yes,adult,37.7,120.0,28.0,cool,reduced,pale pink,<3,continuous severe pain,hypomotile,moderate,none,none,,,,65.0,7.0,serosanguinous,,died,yes
274,yes,adult,,76.0,,,reduced,,,,absent,severe,,,,,distended large intestine,,,,,euthanized,yes
275,yes,young,38.8,150.0,50.0,normal,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,slight,none,none,,,,50.0,6.2,,,died,yes
276,yes,adult,38.0,36.0,16.0,cool,normal,normal pink,<3,intermittent severe pain,normal,slight,significant,<1l,2.0,decreased,,37.0,75.0,cloudy,1.0,euthanized,no
277,no,adult,36.9,50.0,40.0,warm,reduced,pale pink,<3,alert no pain,hypomotile,slight,significant,none,7.0,,,37.5,6.5,,,lived,no
278,no,adult,37.8,40.0,16.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,,normal,normal,37.0,6.8,,,lived,no
279,no,adult,38.2,56.0,40.0,cold,reduced,normal pink,<3,depressed,absent,moderate,slight,>1l,7.5,,,47.0,7.2,clear,2.5,lived,no
280,yes,adult,38.6,48.0,12.0,,,normal pink,,alert no pain,hypermotile,,,,,,,36.0,67.0,,,lived,no
281,no,adult,40.0,78.0,,cool,reduced,bright red,<3,depressed,hypomotile,none,none,none,,absent,normal,66.0,6.5,,,died,yes
282,yes,adult,,70.0,16.0,cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,,absent,distended large intestine,60.0,7.5,,,died,yes
283,yes,adult,38.2,72.0,18.0,,,,,,,,,,,,,35.0,6.4,,,lived,yes
284,no,adult,38.5,54.0,,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,slight,none,,normal,,40.0,6.8,cloudy,7.0,lived,no
285,yes,adult,38.5,66.0,24.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,,absent,distended large intestine,40.0,6.7,clear,,lived,yes
286,no,adult,37.8,82.0,12.0,cool,normal,normal pink,>=3,intermittent severe pain,,moderate,none,<1l,,,,50.0,7.0,,,euthanized,yes
287,no,young,39.5,84.0,30.0,,,,<3,,,,,,,,,28.0,5.0,,,lived,no
288,yes,adult,,,,,,,,,,,,,,,,,,,,lived,yes
289,yes,adult,38.0,50.0,36.0,,normal,normal pink,<3,intermittent mild pain,normal,slight,,,,decreased,,39.0,6.6,clear,5.3,lived,yes
290,no,adult,38.6,45.0,16.0,warm,normal,bright pink,<3,alert no pain,hypermotile,,,,,normal,normal,43.0,58.0,,,lived,no
291,yes,adult,38.9,80.0,44.0,cool,reduced,pale pink,<3,depressed,hypomotile,moderate,slight,>1l,7.0,decreased,normal,54.0,6.5,serosanguinous,,died,yes
292,yes,adult,37.0,66.0,20.0,normal,reduced,bright pink,<3,intermittent severe pain,hypomotile,moderate,none,,,normal,distended large intestine,35.0,6.9,cloudy,,died,yes
293,yes,adult,,78.0,24.0,cool,reduced,pale pink,<3,,hypomotile,,slight,none,,,distended small intestine,43.0,62.0,,2.0,euthanized,no
294,no,adult,38.5,40.0,16.0,normal,normal,normal pink,<3,depressed,hypermotile,none,,,,decreased,other,37.0,67.0,,,lived,no
295,yes,adult,,120.0,70.0,cold,,pale cyanotic,>=3,depressed,absent,,,,,,distended large intestine,55.0,65.0,,,euthanized,no
296,no,adult,37.2,72.0,24.0,cool,increased,pale cyanotic,>=3,intermittent severe pain,hypomotile,moderate,significant,none,,absent,distended small intestine,44.0,,serosanguinous,3.3,euthanized,yes
297,yes,adult,37.5,72.0,30.0,cold,reduced,pale cyanotic,<3,intermittent severe pain,absent,moderate,slight,none,,decreased,distended large intestine,60.0,6.8,,,died,yes
298,yes,adult,36.5,100.0,24.0,cool,reduced,pale pink,<3,intermittent mild pain,hypomotile,moderate,significant,none,,absent,distended small intestine,50.0,6.0,serosanguinous,3.4,lived,yes
299,yes,adult,37.2,40.0,20.0,,,,,,,,,,,absent,normal,36.0,62.0,clear,1.0,euthanized,no
300,no,adult,38.5,54.0,20.0,,normal,bright pink,>=3,intermittent mild pain,absent,none,slight,>1l,5.9,,other,42.0,6.3,,,lived,no
301,no,adult,37.6,48.0,36.0,,,normal pink,<3,,hypomotile,,,,,,,44.0,6.3,clear,5.0,lived,no
302,yes,adult,37.7,44.0,28.0,,absent,pale pink,>=3,continuous severe pain,absent,severe,none,none,,decreased,distended large intestine,45.0,70.0,serosanguinous,2.0,lived,yes
303,yes,adult,37.0,56.0,24.0,cool,normal,pale cyanotic,>=3,intermittent severe pain,absent,moderate,none,none,,,,35.0,61.0,serosanguinous,2.0,euthanized,no
304,no,adult,38.0,42.0,12.0,cool,,pale pink,<3,alert no pain,,none,,,,,other,37.0,5.8,,,lived,no
305,yes,adult,,60.0,40.0,cool,,normal pink,<3,,absent,,significant,>1l,,,distended large intestine,42.0,72.0,,,lived,yes
306,no,adult,38.4,80.0,60.0,cool,increased,bright pink,<3,intermittent mild pain,normal,none,slight,>1l,,normal,normal,54.0,6.9,,,lived,no
307,no,adult,37.8,48.0,12.0,warm,normal,bright pink,<3,intermittent mild pain,,none,slight,,,increased,,48.0,7.3,clear,,lived,no
308,,adult,38.0,65.0,40.0,,normal,pale cyanotic,>=3,depressed,,,,,,,distended large intestine,,,,,,yes
309,no,adult,37.9,45.0,36.0,cool,reduced,pale pink,>=3,depressed,hypomotile,none,slight,none,,decreased,,33.0,5.7,serosanguinous,,lived,yes
310,no,adult,39.0,84.0,12.0,cool,normal,bright red,<3,depressed,absent,slight,none,>1l,7.0,,distended small intestine,62.0,5.9,cloudy,2.2,died,yes
311,no,adult,38.2,60.0,24.0,cool,normal,pale pink,>=3,intermittent mild pain,hypomotile,slight,significant,<1l,,absent,distended small intestine,53.0,7.5,cloudy,1.4,lived,no
312,yes,adult,,140.0,,,,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,,,distended large intestine,30.0,69.0,,,died,no
313,yes,adult,37.9,120.0,60.0,cool,reduced,pale pink,<3,continuous severe pain,absent,severe,slight,>1l,7.5,absent,distended large intestine,52.0,6.6,serosanguinous,1.8,died,yes
314,no,adult,38.0,72.0,36.0,normal,normal,pale pink,<3,intermittent mild pain,,slight,slight,none,,decreased,distended large intestine,38.0,6.8,cloudy,2.0,lived,no
315,no,young,38.0,92.0,28.0,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,significant,,7.2,,,37.0,6.1,clear,1.1,lived,no
316,yes,adult,38.3,66.0,30.0,warm,reduced,normal pink,<3,depressed,absent,moderate,significant,>1l,8.5,absent,distended large intestine,37.0,6.0,,,lived,yes
317,no,adult,37.5,48.0,24.0,cool,normal,normal pink,<3,depressed,hypermotile,,none,none,,decreased,other,43.0,6.0,clear,2.8,lived,no
318,yes,adult,37.5,88.0,20.0,warm,reduced,pale pink,<3,intermittent severe pain,hypomotile,moderate,,,,,,35.0,6.4,clear,,died,yes
319,no,young,,150.0,60.0,cold,absent,pale cyanotic,>=3,continuous severe pain,absent,severe,,,,,,,,,,died,yes
320,yes,adult,39.7,100.0,30.0,,,dark cyanotic,>=3,intermittent severe pain,absent,moderate,none,,,absent,distended large intestine,65.0,75.0,,,euthanized,yes
321,yes,adult,38.3,80.0,,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,slight,none,,absent,distended small intestine,45.0,7.5,cloudy,4.6,lived,yes
322,no,adult,37.5,40.0,32.0,cool,normal,pale pink,<3,intermittent mild pain,normal,moderate,slight,none,,,distended large intestine,32.0,6.4,clear,1.1,lived,yes
323,yes,adult,38.4,84.0,30.0,cool,normal,bright red,>=3,intermittent severe pain,hypomotile,moderate,slight,<1l,6.5,absent,distended small intestine,47.0,7.5,serosanguinous,,died,yes
324,yes,adult,38.1,84.0,44.0,cold,,pale cyanotic,>=3,continuous severe pain,hypomotile,none,none,<1l,5.0,,distended small intestine,60.0,6.8,,5.7,died,yes
325,no,adult,38.7,52.0,,normal,normal,normal pink,<3,alert no pain,hypomotile,none,,,,normal,firm feces in large intestine,4.0,74.0,,,lived,no
326,no,adult,38.1,44.0,40.0,warm,normal,pale pink,<3,intermittent mild pain,hypomotile,none,,,,normal,firm feces in large intestine,35.0,6.8,,,lived,no
327,no,adult,38.4,52.0,20.0,warm,normal,pale pink,<3,alert no pain,hypomotile,slight,slight,none,,decreased,distended large intestine,41.0,63.0,clear,1.0,lived,no
328,yes,adult,38.2,60.0,,normal,,pale pink,<3,depressed,hypermotile,none,none,none,,absent,distended small intestine,43.0,6.2,cloudy,3.9,lived,yes
329,no,adult,37.7,40.0,18.0,normal,normal,normal pink,,intermittent mild pain,normal,none,none,none,,decreased,firm feces in large intestine,36.0,3.5,,,lived,no
330,yes,adult,39.1,60.0,10.0,,normal,normal pink,,depressed,hypomotile,,,,,absent,distended small intestine,,,,,lived,yes
331,no,adult,37.8,48.0,16.0,normal,normal,normal pink,<3,,hypermotile,none,slight,none,,absent,firm feces in large intestine,43.0,7.5,,,lived,no
332,yes,adult,39.0,120.0,,cold,reduced,bright red,>=3,depressed,absent,moderate,slight,<1l,8.0,,,65.0,8.2,serosanguinous,4.6,lived,no
333,yes,adult,38.2,76.0,,warm,reduced,bright pink,<3,continuous severe pain,hypomotile,moderate,none,>1l,6.0,normal,distended large intestine,35.0,6.5,cloudy,0.9,lived,yes
334,no,adult,38.3,88.0,,,,dark cyanotic,,,,,,,,,,,,,,died,no
335,yes,adult,38.0,80.0,30.0,cool,reduced,pale pink,<3,,,,,,6.0,,,48.0,8.3,,4.3,lived,yes
336,yes,adult,,,,cool,normal,normal pink,<3,depressed,hypomotile,moderate,none,<1l,6.0,absent,distended small intestine,,,cloudy,,died,yes
337,yes,adult,37.6,40.0,,normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,,normal,normal,,,cloudy,2.1,lived,yes
338,no,adult,37.5,44.0,,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,,,45.0,5.8,cloudy,1.4,lived,no
339,no,adult,38.2,42.0,16.0,normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,,normal,,35.0,60.0,clear,1.0,lived,no
340,no,adult,38.0,56.0,44.0,cool,reduced,pale pink,,,hypermotile,none,slight,none,,absent,,47.0,70.0,cloudy,1.0,lived,no
341,no,adult,38.3,45.0,20.0,cool,reduced,bright pink,>=3,depressed,absent,none,slight,,,absent,,,,,,lived,no
342,yes,adult,,48.0,96.0,normal,normal,pale pink,<3,,absent,none,slight,none,,normal,distended small intestine,42.0,8.0,clear,,lived,yes
343,yes,adult,37.7,55.0,28.0,warm,normal,bright pink,<3,depressed,hypomotile,moderate,,<1l,5.0,absent,distended large intestine,,,,,lived,yes
344,no,adult,36.0,100.0,20.0,cold,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,none,,absent,distended large intestine,74.0,5.7,cloudy,2.5,euthanized,yes
345,yes,adult,37.1,60.0,20.0,warm,,pale cyanotic,<3,intermittent mild pain,,moderate,,>1l,5.0,decreased,distended small intestine,64.0,8.5,cloudy,,lived,yes
346,no,adult,37.1,114.0,40.0,cool,,pale pink,>=3,depressed,normal,none,,,,,firm feces in large intestine,32.0,,serosanguinous,6.5,lived,no
347,yes,adult,38.1,72.0,30.0,cool,reduced,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,,decreased,distended large intestine,37.0,56.0,serosanguinous,1.0,lived,yes
348,yes,adult,37.0,44.0,12.0,cool,normal,normal pink,>=3,alert no pain,hypermotile,none,,,,absent,other,40.0,6.7,serosanguinous,8.0,lived,yes
349,yes,adult,38.6,48.0,20.0,cool,normal,normal pink,<3,intermittent severe pain,hypomotile,none,,,,decreased,,37.0,75.0,,,lived,yes
350,yes,adult,,82.0,72.0,cool,normal,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,,absent,distended small intestine,53.0,65.0,serosanguinous,2.0,euthanized,yes
351,yes,young,38.2,78.0,60.0,cold,absent,dark cyanotic,,intermittent mild pain,hypomotile,moderate,,,,normal,,59.0,5.8,serosanguinous,3.1,died,yes
352,no,adult,37.8,60.0,16.0,normal,normal,pale pink,<3,depressed,hypomotile,slight,none,>1l,,decreased,,41.0,73.0,,,euthanized,no
353,yes,adult,38.7,34.0,30.0,warm,,pale pink,<3,depressed,hypomotile,,,,,,,33.0,69.0,,2.0,euthanized,yes
354,yes,adult,,36.0,12.0,normal,normal,normal pink,<3,alert no pain,normal,none,none,none,,normal,distended large intestine,44.0,,,,lived,yes
355,no,adult,38.3,44.0,60.0,,,normal pink,<3,,,,,,,,,6.4,36.0,,,lived,yes
356,no,adult,37.4,54.0,18.0,cool,,normal pink,<3,intermittent mild pain,absent,moderate,slight,>1l,,absent,distended large intestine,30.0,7.1,cloudy,,lived,yes
357,yes,adult,,,,cold,reduced,,>=3,depressed,absent,none,,,,,,54.0,76.0,serosanguinous,2.0,lived,yes
358,yes,adult,36.6,48.0,16.0,cool,normal,pale pink,<3,intermittent severe pain,hypermotile,none,none,none,,,,27.0,56.0,,,euthanized,yes
359,yes,adult,38.5,90.0,,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,moderate,slight,<1l,2.0,absent,distended large intestine,47.0,79.0,,,lived,yes
360,yes,adult,,75.0,12.0,normal,normal,pale cyanotic,<3,continuous severe pain,hypomotile,moderate,,<1l,5.8,,,58.0,8.5,clear,,lived,yes
361,no,adult,38.2,42.0,,cool,normal,normal pink,<3,alert no pain,hypermotile,slight,slight,none,,decreased,other,35.0,5.9,cloudy,,lived,no
