,abdominocentesis_appearance_cat,surgical_lesion_cat,abdomcentesis_total_protein_num,temp_extremities_cat,nasogastric_reflux_cat,rectal_examination_cat,rectal_temperature_num,abdominal_distension_cat,capillary_refill_time_cat,pulse_num,pain_cat,respiratory_rate_num
350,serosanguinous,yes,2.0,cool,<1l,absent,,moderate,<3,82.0,depressed,72.0
351,serosanguinous,yes,3.1,cold,,normal,38.2,moderate,,78.0,intermittent mild pain,60.0
352,,no,,normal,>1l,decreased,37.8,slight,<3,60.0,depressed,16.0
353,,yes,2.0,warm,,,38.7,,<3,34.0,depressed,30.0
354,,yes,,normal,none,normal,,none,<3,36.0,alert no pain,12.0
355,,yes,,,,,38.3,,<3,44.0,,60.0
356,cloudy,yes,,cool,>1l,absent,37.4,moderate,<3,54.0,intermittent mild pain,18.0
357,serosanguinous,yes,2.0,cold,,,,none,>=3,,depressed,
358,,yes,,cool,none,,36.6,none,<3,48.0,intermittent severe pain,16.0
359,,yes,,normal,<1l,absent,38.5,moderate,<3,90.0,intermittent mild pain,
360,clear,yes,,normal,<1l,,,moderate,<3,75.0,continuous severe pain,12.0
361,cloudy,no,,cool,none,decreased,38.2,slight,<3,42.0,alert no pain,
362,serosanguinous,yes,3.1,cold,,normal,38.2,moderate,,78.0,intermittent mild pain,60.0
363,clear,yes,,normal,none,,38.6,slight,<3,60.0,intermittent severe pain,30.0
364,,no,,normal,,decreased,37.8,none,<3,42.0,alert no pain,40.0
365,serosanguinous,yes,2.0,normal,none,normal,38.0,none,<3,60.0,depressed,12.0
366,,no,,cool,,,38.0,none,<3,42.0,alert no pain,12.0
367,,yes,,cool,<1l,,37.6,slight,<3,88.0,intermittent mild pain,36.0
