,handicapped-infants_cat,water-project-cost-sharing_cat,adoption-of-the-budget-resolution_cat,physician-fee-freeze_cat,el-salvador-aid_cat,religious-groups-in-schools_cat,anti-satellite-test-ban_cat,aid-to-nicaraguan-contras_cat,mx-missile_cat,immigration_cat,synfuels-corporation-cutback_cat,education-spending_cat,superfund-right-to-sue_cat,crime_cat,duty-free-exports_cat,export-administration-act-south-africa_cat,Class_cat
369,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
370,y,y,y,n,,y,y,y,n,y,,,n,n,y,y,democrat
371,y,y,y,n,,n,y,y,y,y,n,n,n,n,y,,democrat
372,n,y,y,y,y,y,n,n,n,n,y,y,,y,n,n,democrat
373,n,y,y,,y,y,n,y,n,y,,n,y,y,,y,democrat
374,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
375,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,democrat
376,y,,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
377,n,y,n,y,y,y,,,n,n,,,y,,,,republican
378,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
380,y,y,y,n,n,y,,y,y,n,y,n,y,n,y,y,democrat
381,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,,democrat
382,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,,democrat
383,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
384,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
385,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,democrat
386,n,,y,n,y,y,n,y,n,n,y,n,n,n,n,,democrat
387,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,,democrat
388,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,,democrat
389,y,n,y,n,n,n,y,y,y,,y,n,n,n,y,,democrat
390,,,n,n,,y,,n,n,n,y,y,n,y,n,,democrat
391,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,democrat
392,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
393,,,,,n,y,n,y,y,n,n,y,y,n,n,,republican
394,y,y,,,,y,n,n,n,n,y,n,y,n,n,y,democrat
395,y,y,y,,n,n,n,y,n,n,y,,n,n,y,y,democrat
396,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,democrat
397,y,y,n,n,y,,n,n,n,n,y,n,y,y,n,y,democrat
398,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
399,n,y,n,y,,y,n,n,n,y,n,y,y,y,n,n,republican
400,n,y,n,y,y,y,n,,n,n,,,,y,n,,republican
401,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
402,,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,republican
403,n,y,n,y,y,y,n,n,n,y,n,y,,y,n,n,republican
404,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
405,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
406,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,democrat
407,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
408,y,n,y,n,n,y,y,y,y,n,n,y,,y,y,y,democrat
409,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
410,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
411,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
412,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
413,y,y,y,y,y,y,y,y,n,y,,,,y,n,y,republican
414,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
415,n,y,y,n,n,y,y,y,,y,n,n,n,n,n,y,democrat
416,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
417,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,democrat
418,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,democrat
419,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
420,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
421,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,democrat
422,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
423,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
424,n,y,y,n,n,,y,y,y,y,y,n,,y,y,y,democrat
425,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,,democrat
426,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
427,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
428,,,,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
429,y,n,y,n,,n,y,y,y,y,n,y,n,,y,y,democrat
430,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
431,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
432,n,,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
433,n,n,n,y,y,y,,,,,n,y,y,y,n,y,republican
434,n,y,n,y,y,y,n,n,n,y,n,y,y,y,,n,republican
