,Wifes_education_cat,Media_exposure_cat,Wifes_now_working%3F_cat,Number_of_children_ever_born_num,Contraceptive_method_used_cat
1144,4,0,0,3,1
1145,4,0,0,1,1
1146,2,1,0,1,1
1147,4,0,1,1,1
1148,3,0,0,1,1
1149,4,0,0,3,1
1150,3,0,0,2,1
1151,3,0,1,2,1
1152,4,0,1,10,1
1153,2,0,1,3,1
1154,3,0,0,1,1
1155,4,0,0,0,1
1156,3,0,0,3,1
1157,3,1,0,3,1
1158,3,0,1,5,1
1159,3,0,1,2,1
1160,3,0,1,0,1
1161,4,0,1,4,1
1162,2,0,0,3,1
1163,3,0,1,3,1
1164,3,0,1,4,1
1165,4,0,1,1,1
1166,3,1,0,4,1
1167,3,0,1,8,1
1168,1,0,0,4,1
1169,1,0,1,6,1
1170,1,1,1,7,1
1171,2,1,1,7,1
1172,3,1,1,4,1
1173,2,0,1,1,1
1174,3,0,1,1,1
1175,2,1,1,1,1
1176,2,0,1,2,1
1177,1,0,0,3,1
1178,3,0,1,2,1
1179,3,0,1,0,1
1180,3,0,0,0,1
1181,2,1,1,6,1
1182,3,0,1,1,1
1183,4,0,0,0,1
1184,3,0,1,2,1
1185,3,0,1,1,1
1186,4,0,0,3,1
1187,2,0,1,0,1
1188,4,0,1,2,1
1189,3,0,1,0,1
1190,3,0,1,2,1
1191,4,0,1,0,1
1192,2,0,1,0,1
1193,4,0,1,1,1
1194,4,0,1,1,1
1195,4,0,0,5,1
1196,2,0,1,4,1
1197,3,0,1,6,1
1198,2,0,1,5,1
1199,3,0,1,2,1
1200,1,0,1,1,1
1201,4,0,1,3,1
1202,1,0,1,4,1
1203,1,1,1,8,1
1204,2,0,1,10,1
1205,1,1,1,4,1
1206,1,0,1,2,1
1207,4,0,1,3,1
1208,1,0,1,0,1
1209,4,0,1,6,1
1210,3,0,1,3,1
1211,1,1,0,5,1
1212,2,0,1,3,1
1213,4,0,0,0,1
1214,4,0,1,4,2
1215,4,0,1,3,2
1216,4,0,1,4,2
1217,4,0,1,6,2
1218,3,0,1,4,2
1219,4,0,1,1,2
1220,3,0,1,3,2
1221,4,0,1,1,2
1222,4,0,0,3,2
1223,2,0,1,9,2
1224,4,0,1,4,2
1225,2,0,1,7,2
1226,4,0,0,5,2
1227,2,0,1,2,2
1228,4,0,1,3,2
1229,3,0,1,2,2
1230,4,0,1,4,2
1231,4,0,1,3,2
1232,4,0,1,2,2
1233,4,0,1,3,2
1234,4,0,1,4,2
1235,3,0,1,3,2
1236,1,0,1,2,2
1237,4,0,1,3,2
1238,3,0,1,2,2
1239,4,0,1,8,2
1240,3,0,0,4,2
1241,3,0,0,1,2
1242,2,0,1,4,2
1243,4,0,0,1,2
1244,3,0,1,3,2
1245,3,0,1,7,2
1246,4,0,1,1,2
1247,1,0,1,4,2
1248,3,0,1,9,2
1249,4,0,1,1,2
1250,4,0,0,1,2
1251,3,0,1,4,2
1252,3,0,1,2,2
1253,4,0,0,1,2
1254,4,0,1,7,2
1255,3,0,1,3,2
1256,4,0,1,4,2
1257,4,0,0,3,2
1258,3,0,1,3,2
1259,4,0,0,1,2
1260,4,0,0,2,2
1261,4,0,1,1,2
1262,4,0,1,4,2
1263,4,0,1,3,2
1264,4,0,1,4,2
1265,2,0,1,4,2
1266,4,0,1,3,2
1267,4,0,1,5,2
1268,4,0,1,1,2
1269,2,0,1,8,2
1270,4,0,0,4,2
1271,1,0,0,9,2
1272,4,0,1,3,2
1273,3,0,1,2,2
1274,3,0,1,2,2
1275,2,1,1,5,2
1276,4,0,1,3,2
1277,3,0,1,3,2
1278,4,0,0,2,2
1279,4,0,1,3,2
1280,3,0,1,3,2
1281,4,0,1,5,2
1282,3,0,0,6,2
1283,3,0,1,6,2
1284,4,0,1,2,2
1285,4,0,0,3,2
1286,3,0,1,2,2
1287,4,0,1,1,2
1288,3,0,1,2,2
1289,2,0,0,5,2
1290,2,0,1,4,2
1291,4,0,1,1,2
1292,3,0,1,3,2
1293,3,0,1,2,2
1294,4,0,0,1,2
1295,2,1,1,4,2
1296,4,0,1,3,2
1297,4,0,1,5,2
1298,3,0,1,5,2
1299,4,0,1,2,2
1300,4,0,1,3,2
1301,3,0,0,2,2
1302,4,0,1,4,2
1303,4,0,0,7,2
1304,4,0,0,4,2
1305,3,0,1,4,2
1306,4,0,0,3,2
1307,4,0,0,4,2
1308,3,0,1,5,2
1309,4,0,1,4,2
1310,4,0,0,3,2
1311,3,0,1,4,2
1312,2,0,1,5,2
1313,4,0,1,6,2
1314,4,0,1,5,2
1315,4,0,0,2,2
1316,2,0,1,1,2
1317,4,0,1,4,2
1318,4,0,1,3,2
1319,1,0,1,5,2
1320,3,0,1,5,3
1321,3,0,1,6,3
1322,4,0,0,2,3
1323,3,0,1,1,3
1324,4,0,1,9,3
1325,4,0,0,3,3
1326,2,1,0,6,3
1327,2,0,1,7,3
1328,3,0,1,1,3
1329,2,0,1,3,3
1330,4,0,1,5,3
1331,2,0,1,4,3
1332,1,0,1,3,3
1333,2,0,1,3,3
1334,3,0,0,4,3
1335,3,0,0,4,3
1336,2,0,1,3,3
1337,3,0,0,1,3
1338,4,0,0,5,3
1339,4,0,1,2,3
1340,2,0,1,3,3
1341,4,0,1,4,3
1342,2,0,1,9,3
1343,3,0,1,6,3
1344,3,0,1,11,3
1345,4,0,1,4,3
1346,2,0,1,6,3
1347,4,0,1,3,3
1348,4,0,1,2,3
1349,1,0,1,3,3
1350,2,0,1,1,3
1351,3,1,1,1,3
1352,2,0,1,2,3
1353,4,0,0,1,3
1354,4,0,1,2,3
1355,4,0,1,1,3
1356,3,0,1,3,3
1357,2,0,1,3,3
1358,4,0,1,2,3
1359,2,0,1,4,3
1360,3,0,1,4,3
1361,3,0,1,2,3
1362,1,0,1,1,3
1363,4,0,1,1,3
1364,3,0,0,4,3
1365,4,0,1,1,3
1366,4,0,1,2,3
1367,4,0,0,5,3
1368,2,0,1,3,3
1369,3,0,1,1,3
1370,2,0,0,6,3
1371,3,0,1,3,3
1372,4,0,1,2,3
1373,4,0,0,2,3
1374,3,0,0,4,3
1375,3,0,0,2,3
1376,3,0,1,5,3
1377,3,0,1,4,3
1378,4,0,0,1,3
1379,4,0,1,1,3
1380,1,0,1,4,3
1381,1,1,1,4,3
1382,2,1,0,7,3
1383,3,0,0,2,3
1384,4,0,1,3,3
1385,4,0,1,1,3
1386,4,0,1,5,3
1387,3,0,0,2,3
1388,4,0,1,2,3
1389,4,0,0,4,3
1390,1,0,1,5,3
1391,4,0,0,3,3
1392,2,0,1,2,3
1393,3,1,1,2,3
1394,3,0,1,1,3
1395,3,0,1,3,3
1396,2,0,0,6,3
1397,3,0,1,2,3
1398,2,0,1,7,3
1399,3,0,1,1,3
1400,3,0,1,4,3
1401,3,0,1,3,3
1402,3,0,1,2,3
1403,4,0,1,3,3
1404,2,0,1,5,3
1405,1,0,0,9,3
1406,1,0,1,5,3
1407,2,0,1,6,3
1408,4,0,1,3,3
1409,4,0,1,4,3
1410,4,0,1,2,3
1411,4,0,1,2,3
1412,3,0,1,3,3
1413,3,0,1,3,3
1414,4,0,0,2,3
1415,3,0,1,9,3
1416,4,0,1,2,3
1417,2,0,1,5,3
1418,4,0,1,5,3
1419,1,0,0,5,3
1420,4,0,1,5,3
1421,2,1,1,3,3
1422,2,0,1,6,3
1423,4,0,1,2,3
1424,2,0,1,2,3
1425,2,0,1,4,3
1426,3,0,1,3,3
1427,4,0,0,4,3
1428,4,0,0,5,3
1429,4,0,1,4,3
1430,2,0,1,5,3
1431,4,0,0,2,3
1432,4,0,0,1,3
1433,4,0,1,5,3
1434,4,0,1,1,3
1435,4,0,1,6,3
1436,2,0,0,5,3
1437,4,0,1,1,3
1438,2,0,1,6,3
1439,3,0,1,5,3
1440,4,0,0,1,3
1441,3,0,0,1,3
1442,4,0,1,3,3
1443,2,0,1,0,3
1444,4,0,1,2,3
1445,4,0,1,3,3
1446,2,0,0,3,3
1447,4,0,0,2,3
1448,2,0,1,5,3
1449,4,0,1,1,3
1450,4,0,1,4,3
1451,2,0,0,4,3
1452,3,0,1,4,3
1453,1,0,1,5,3
1454,3,0,1,5,3
1455,2,0,1,6,3
1456,2,0,0,4,3
1457,3,0,1,5,3
1458,2,1,1,3,3
1459,4,0,0,5,3
1460,4,0,1,1,3
1461,4,1,1,4,3
1462,4,0,1,1,3
1463,1,0,1,2,3
1464,2,0,1,1,3
1465,2,0,1,3,3
1466,2,0,1,6,3
1467,4,0,1,3,3
1468,4,0,0,2,3
1469,4,0,1,3,3
1470,3,0,0,8,3
1471,3,0,0,4,3
1472,3,0,1,1,3
