,class_cat,Unnamed: 0,A1_cat,A2_num,A3_num,A4_cat,A5_cat,A6_cat,A7_cat,A8_num,A9_cat,A10_cat,A11_num,A12_cat,A13_cat,A14_num,A15_num
285,-,285,b,17.58,10.0,u,g,w,h,0.165,f,t,1.0,f,g,120.0,1.0
286,-,286,a,,1.5,u,g,ff,ff,0.0,f,t,2.0,t,g,200.0,105.0
287,-,287,b,29.5,0.58,u,g,w,v,0.29,f,t,1.0,f,g,340.0,2803.0
288,-,288,b,18.83,0.415,y,p,c,v,0.165,f,t,1.0,f,g,200.0,1.0
289,-,289,a,21.75,1.75,y,p,j,j,0.0,f,f,0.0,f,g,160.0,0.0
290,-,290,b,23.0,0.75,u,g,m,v,0.5,f,f,0.0,t,s,320.0,0.0
291,-,291,a,18.25,10.0,u,g,w,v,1.0,f,t,1.0,f,g,120.0,1.0
292,-,292,b,25.42,0.54,u,g,w,v,0.165,f,t,1.0,f,g,272.0,444.0
293,-,293,b,35.75,2.415,u,g,w,v,0.125,f,t,2.0,f,g,220.0,1.0
294,-,294,a,16.08,0.335,u,g,ff,ff,0.0,f,t,1.0,f,g,160.0,126.0
295,-,295,a,31.92,3.125,u,g,ff,ff,3.04,f,t,2.0,t,g,200.0,4.0
296,-,296,b,69.17,9.0,u,g,ff,ff,4.0,f,t,1.0,f,g,70.0,6.0
297,-,297,b,32.92,2.5,u,g,aa,v,1.75,f,t,2.0,t,g,720.0,0.0
298,-,298,b,16.33,2.75,u,g,aa,v,0.665,f,t,1.0,f,g,80.0,21.0
299,-,299,b,22.17,12.125,u,g,c,v,3.335,f,t,2.0,t,g,180.0,173.0
300,-,300,a,57.58,2.0,u,g,ff,ff,6.5,f,t,1.0,f,g,0.0,10.0
301,-,301,b,18.25,0.165,u,g,d,v,0.25,f,f,0.0,t,s,280.0,0.0
302,-,302,b,23.42,1.0,u,g,c,v,0.5,f,f,0.0,t,s,280.0,0.0
303,-,303,a,15.92,2.875,u,g,q,v,0.085,f,f,0.0,f,g,120.0,0.0
304,-,304,a,24.75,13.665,u,g,q,h,1.5,f,f,0.0,f,g,280.0,1.0
305,-,305,b,48.75,26.335,y,p,ff,ff,0.0,t,f,0.0,t,g,0.0,0.0
306,-,306,b,23.5,2.75,u,g,ff,ff,4.5,f,f,0.0,f,g,160.0,25.0
307,-,307,b,18.58,10.29,u,g,ff,ff,0.415,f,f,0.0,f,g,80.0,0.0
308,-,308,b,27.75,1.29,u,g,k,h,0.25,f,f,0.0,t,s,140.0,0.0
309,-,309,a,31.75,3.0,y,p,j,j,0.0,f,f,0.0,f,g,160.0,20.0
310,-,310,a,24.83,4.5,u,g,w,v,1.0,f,f,0.0,t,g,360.0,6.0
311,-,311,b,19.0,1.75,y,p,c,v,2.335,f,f,0.0,t,g,112.0,6.0
312,-,312,a,16.33,0.21,u,g,aa,v,0.125,f,f,0.0,f,g,200.0,1.0
313,-,313,a,18.58,10.0,u,g,d,v,0.415,f,f,0.0,f,g,80.0,42.0
314,-,314,b,16.25,0.0,y,p,aa,v,0.25,f,f,0.0,f,g,60.0,0.0
315,-,315,b,23.0,0.75,u,g,m,v,0.5,t,f,0.0,t,s,320.0,0.0
316,-,316,b,21.17,0.25,y,p,c,h,0.25,f,f,0.0,f,g,280.0,204.0
317,+,317,b,17.5,22.0,l,gg,ff,o,0.0,f,f,0.0,t,p,450.0,100000.0
318,+,318,b,19.17,0.0,y,p,m,bb,0.0,f,f,0.0,t,s,500.0,1.0
319,+,319,b,36.75,0.125,y,p,c,v,1.5,f,f,0.0,t,g,232.0,113.0
320,+,320,b,21.25,1.5,u,g,w,v,1.5,f,f,0.0,f,g,150.0,8.0
321,+,321,a,18.08,0.375,l,gg,cc,ff,10.0,f,f,0.0,t,s,300.0,0.0
322,+,322,a,33.67,0.375,u,g,cc,v,0.375,f,f,0.0,f,g,300.0,44.0
323,+,323,b,48.58,0.205,y,p,k,v,0.25,t,t,11.0,f,g,380.0,2732.0
324,-,324,b,33.67,1.25,u,g,w,v,1.165,f,f,0.0,f,g,120.0,0.0
325,-,325,a,29.5,1.085,y,p,x,v,1.0,f,f,0.0,f,g,280.0,13.0
326,-,326,b,30.17,1.085,y,p,c,v,0.04,f,f,0.0,f,g,170.0,179.0
327,-,327,,40.83,3.5,u,g,i,bb,0.5,f,f,0.0,f,s,1160.0,0.0
328,-,328,b,34.83,2.5,y,p,w,v,3.0,f,f,0.0,f,s,200.0,0.0
329,-,329,b,,4.0,y,p,i,v,0.085,f,f,0.0,t,g,411.0,0.0
330,-,330,b,20.42,0.0,,,,,0.0,f,f,0.0,f,p,,0.0
331,-,331,a,33.25,2.5,y,p,c,v,2.5,f,f,0.0,t,g,0.0,2.0
332,-,332,b,34.08,2.5,u,g,c,v,1.0,f,f,0.0,f,g,460.0,16.0
333,-,333,a,25.25,12.5,u,g,d,v,1.0,f,f,0.0,t,g,180.0,1062.0
334,-,334,b,34.75,2.5,u,g,cc,bb,0.5,f,f,0.0,f,g,348.0,0.0
335,-,335,b,27.67,0.75,u,g,q,h,0.165,f,f,0.0,t,g,220.0,251.0
336,-,336,b,47.33,6.5,u,g,c,v,1.0,f,f,0.0,t,g,0.0,228.0
337,-,337,a,34.83,1.25,y,p,i,h,0.5,f,f,0.0,t,g,160.0,0.0
338,-,338,a,33.25,3.0,y,p,aa,v,2.0,f,f,0.0,f,g,180.0,0.0
339,-,339,b,28.0,3.0,u,g,w,v,0.75,f,f,0.0,t,g,300.0,67.0
340,-,340,a,39.08,4.0,u,g,c,v,3.0,f,f,0.0,f,g,480.0,0.0
341,-,341,b,42.75,4.085,u,g,aa,v,0.04,f,f,0.0,f,g,108.0,100.0
342,-,342,b,26.92,2.25,u,g,i,bb,0.5,f,f,0.0,t,g,640.0,4000.0
343,-,343,b,33.75,2.75,u,g,i,bb,0.0,f,f,0.0,f,g,180.0,0.0
344,-,344,b,38.92,1.75,u,g,k,v,0.5,f,f,0.0,t,g,300.0,2.0
345,-,345,b,62.75,7.0,u,g,e,z,0.0,f,f,0.0,f,g,0.0,12.0
346,-,346,,32.25,1.5,u,g,c,v,0.25,f,f,0.0,t,g,372.0,122.0
347,-,347,b,26.75,4.5,y,p,c,bb,2.5,f,f,0.0,f,g,200.0,1210.0
348,-,348,b,63.33,0.54,u,g,c,v,0.585,t,t,3.0,t,g,180.0,0.0
349,-,349,b,27.83,1.5,u,g,w,v,2.25,f,t,1.0,t,g,100.0,3.0
350,-,350,a,26.17,2.0,u,g,j,j,0.0,f,f,0.0,t,g,276.0,1.0
351,-,351,b,22.17,0.585,y,p,ff,ff,0.0,f,f,0.0,f,g,100.0,0.0
352,-,352,b,22.5,11.5,y,p,m,v,1.5,f,f,0.0,t,g,0.0,4000.0
353,-,353,b,30.75,1.585,u,g,d,v,0.585,f,f,0.0,t,s,0.0,0.0
354,-,354,b,36.67,2.0,u,g,i,v,0.25,f,f,0.0,t,g,221.0,0.0
355,-,355,a,16.0,0.165,u,g,aa,v,1.0,f,t,2.0,t,g,320.0,1.0
356,-,356,b,41.17,1.335,u,g,d,v,0.165,f,f,0.0,f,g,168.0,0.0
357,-,357,a,19.5,0.165,u,g,q,v,0.04,f,f,0.0,t,g,380.0,0.0
358,-,358,b,32.42,3.0,u,g,d,v,0.165,f,f,0.0,t,g,120.0,0.0
359,-,359,a,36.75,4.71,u,g,ff,ff,0.0,f,f,0.0,f,g,160.0,0.0
360,-,360,a,30.25,5.5,u,g,k,v,5.5,f,f,0.0,t,s,100.0,0.0
361,-,361,b,23.08,2.5,u,g,ff,ff,0.085,f,f,0.0,t,g,100.0,4208.0
362,-,362,b,26.83,0.54,u,g,k,ff,0.0,f,f,0.0,f,g,100.0,0.0
363,-,363,b,16.92,0.335,y,p,k,v,0.29,f,f,0.0,f,s,200.0,0.0
364,-,364,b,24.42,2.0,u,g,e,dd,0.165,f,t,2.0,f,g,320.0,1300.0
365,-,365,b,42.83,1.25,u,g,m,v,13.875,f,t,1.0,t,g,352.0,112.0
366,-,366,a,22.75,6.165,u,g,aa,v,0.165,f,f,0.0,f,g,220.0,1000.0
367,-,367,b,39.42,1.71,y,p,m,v,0.165,f,f,0.0,f,s,400.0,0.0
368,-,368,a,23.58,11.5,y,p,k,h,3.0,f,f,0.0,t,g,20.0,16.0
369,-,369,b,21.42,0.75,y,p,r,n,0.75,f,f,0.0,t,g,132.0,2.0
370,-,370,b,33.0,2.5,y,p,w,v,7.0,f,f,0.0,t,g,280.0,0.0
371,-,371,b,26.33,13.0,u,g,e,dd,0.0,f,f,0.0,t,g,140.0,1110.0
372,-,372,a,45.0,4.585,u,g,k,h,1.0,f,f,0.0,t,s,240.0,0.0
373,-,373,b,26.25,1.54,u,g,w,v,0.125,f,f,0.0,f,g,100.0,0.0
374,-,374,,28.17,0.585,u,g,aa,v,0.04,f,f,0.0,f,g,260.0,1004.0
375,-,375,a,20.83,0.5,y,p,e,dd,1.0,f,f,0.0,f,g,260.0,0.0
376,-,376,b,28.67,14.5,u,g,d,v,0.125,f,f,0.0,f,g,0.0,286.0
377,-,377,b,20.67,0.835,y,p,c,v,2.0,f,f,0.0,t,s,240.0,0.0
378,-,378,b,34.42,1.335,u,g,i,bb,0.125,f,f,0.0,t,g,440.0,4500.0
379,-,379,b,33.58,0.25,u,g,i,bb,4.0,f,f,0.0,t,s,420.0,0.0
380,-,380,b,43.17,5.0,u,g,i,bb,2.25,f,f,0.0,t,g,141.0,0.0
381,-,381,a,22.67,7.0,u,g,c,v,0.165,f,f,0.0,f,g,160.0,0.0
382,-,382,a,24.33,2.5,y,p,i,bb,4.5,f,f,0.0,f,g,200.0,456.0
383,-,383,a,56.83,4.25,y,p,ff,ff,5.0,f,f,0.0,t,g,0.0,4.0
384,-,384,b,22.08,11.46,u,g,k,v,1.585,f,f,0.0,t,g,100.0,1212.0
385,-,385,b,34.0,5.5,y,p,c,v,1.5,f,f,0.0,t,g,60.0,0.0
386,-,386,b,22.58,1.5,y,p,aa,v,0.54,f,f,0.0,t,g,120.0,67.0
387,-,387,b,21.17,0.0,u,g,c,v,0.5,f,f,0.0,t,s,0.0,0.0
388,-,388,b,26.67,14.585,u,g,i,bb,0.0,f,f,0.0,t,g,178.0,0.0
389,-,389,b,22.92,0.17,u,g,m,v,0.085,f,f,0.0,f,s,0.0,0.0
390,-,390,b,15.17,7.0,u,g,e,v,1.0,f,f,0.0,f,g,600.0,0.0
391,-,391,b,39.92,5.0,u,g,i,bb,0.21,f,f,0.0,f,g,550.0,0.0
392,-,392,b,27.42,12.5,u,g,aa,bb,0.25,f,f,0.0,t,g,720.0,0.0
393,-,393,b,24.75,0.54,u,g,m,v,1.0,f,f,0.0,t,g,120.0,1.0
394,-,394,b,41.17,1.25,y,p,w,v,0.25,f,f,0.0,f,g,0.0,195.0
395,-,395,a,33.08,1.625,u,g,d,v,0.54,f,f,0.0,t,g,0.0,0.0
396,-,396,b,29.83,2.04,y,p,x,h,0.04,f,f,0.0,f,g,128.0,1.0
397,-,397,a,23.58,0.585,y,p,ff,ff,0.125,f,f,0.0,f,g,120.0,87.0
398,-,398,b,26.17,12.5,y,p,k,h,1.25,f,f,0.0,t,g,0.0,17.0
399,-,399,b,31.0,2.085,u,g,c,v,0.085,f,f,0.0,f,g,300.0,0.0
400,-,400,b,20.75,5.085,y,p,j,v,0.29,f,f,0.0,f,g,140.0,184.0
401,-,401,b,28.92,0.375,u,g,c,v,0.29,f,f,0.0,f,g,220.0,140.0
402,-,402,a,51.92,6.5,u,g,i,bb,3.085,f,f,0.0,t,g,73.0,0.0
403,-,403,a,22.67,0.335,u,g,q,v,0.75,f,f,0.0,f,s,160.0,0.0
404,-,404,b,34.0,5.085,y,p,i,bb,1.085,f,f,0.0,t,g,480.0,0.0
405,-,405,a,69.5,6.0,u,g,ff,ff,0.0,f,f,0.0,f,s,0.0,0.0
406,-,406,a,40.33,8.125,y,p,k,v,0.165,f,t,2.0,f,g,,18.0
407,-,407,a,19.58,0.665,y,p,c,v,1.0,f,t,1.0,f,g,2000.0,2.0
408,-,408,b,16.0,3.125,u,g,w,v,0.085,f,t,1.0,f,g,0.0,6.0
409,-,409,b,17.08,0.25,u,g,q,v,0.335,f,t,4.0,f,g,160.0,8.0
410,-,410,b,31.25,2.835,u,g,ff,ff,0.0,f,t,5.0,f,g,176.0,146.0
411,-,411,b,25.17,3.0,u,g,c,v,1.25,f,t,1.0,f,g,0.0,22.0
412,-,412,a,22.67,0.79,u,g,i,v,0.085,f,f,0.0,f,g,144.0,0.0
413,-,413,b,40.58,1.5,u,g,i,bb,0.0,f,f,0.0,f,s,300.0,0.0
414,-,414,b,22.25,0.46,u,g,k,v,0.125,f,f,0.0,t,g,280.0,55.0
415,-,415,a,22.25,1.25,y,p,ff,ff,3.25,f,f,0.0,f,g,280.0,0.0
416,-,416,b,22.5,0.125,y,p,k,v,0.125,f,f,0.0,f,g,200.0,70.0
417,-,417,b,23.58,1.79,u,g,c,v,0.54,f,f,0.0,t,g,136.0,1.0
418,-,418,b,38.42,0.705,u,g,c,v,0.375,f,t,2.0,f,g,225.0,500.0
419,-,419,a,26.58,2.54,y,p,ff,ff,0.0,f,f,0.0,t,g,180.0,60.0
420,-,420,b,35.0,2.5,u,g,i,v,1.0,f,f,0.0,t,g,210.0,0.0
421,-,421,b,20.42,1.085,u,g,q,v,1.5,f,f,0.0,f,g,108.0,7.0
422,-,422,b,29.42,1.25,u,g,w,v,1.75,f,f,0.0,f,g,200.0,0.0
423,-,423,b,26.17,0.835,u,g,cc,v,1.165,f,f,0.0,f,g,100.0,0.0
424,-,424,b,33.67,2.165,u,g,c,v,1.5,f,f,0.0,f,p,120.0,0.0
425,-,425,b,24.58,1.25,u,g,c,v,0.25,f,f,0.0,f,g,110.0,0.0
426,-,426,a,27.67,2.04,u,g,w,v,0.25,f,f,0.0,t,g,180.0,50.0
427,-,427,b,37.5,0.835,u,g,e,v,0.04,f,f,0.0,f,g,120.0,5.0
428,-,428,b,49.17,2.29,u,g,ff,ff,0.29,f,f,0.0,f,g,200.0,3.0
429,-,429,b,33.58,0.335,y,p,cc,v,0.085,f,f,0.0,f,g,180.0,0.0
430,-,430,b,51.83,3.0,y,p,ff,ff,1.5,f,f,0.0,f,g,180.0,4.0
431,-,431,b,22.92,3.165,y,p,c,v,0.165,f,f,0.0,f,g,160.0,1058.0
432,-,432,b,21.83,1.54,u,g,k,v,0.085,f,f,0.0,t,g,356.0,0.0
433,-,433,b,25.25,1.0,u,g,aa,v,0.5,f,f,0.0,f,g,200.0,0.0
434,-,434,b,58.58,2.71,u,g,c,v,2.415,f,f,0.0,t,g,320.0,0.0
435,-,435,b,19.0,0.0,y,p,ff,ff,0.0,f,t,4.0,f,g,45.0,1.0
436,-,436,b,19.58,0.585,u,g,ff,ff,0.0,f,t,3.0,f,g,350.0,769.0
437,-,437,a,53.33,0.165,u,g,ff,ff,0.0,f,f,0.0,t,s,62.0,27.0
438,-,438,a,27.17,1.25,u,g,ff,ff,0.0,f,t,1.0,f,g,92.0,300.0
439,-,439,b,25.92,0.875,u,g,k,v,0.375,f,t,2.0,t,g,174.0,3.0
440,-,440,b,23.08,0.0,u,g,k,v,1.0,f,t,11.0,f,s,0.0,0.0
441,-,441,b,39.58,5.0,u,g,ff,ff,0.0,f,t,2.0,f,g,17.0,1.0
442,-,442,b,30.58,2.71,y,p,m,v,0.125,f,f,0.0,t,s,80.0,0.0
443,-,443,b,17.25,3.0,u,g,k,v,0.04,f,f,0.0,t,g,160.0,40.0
444,-,444,a,17.67,0.0,y,p,j,ff,0.0,f,f,0.0,f,g,86.0,0.0
445,-,445,a,,11.25,u,g,ff,ff,0.0,f,f,0.0,f,g,,5200.0
446,-,446,b,16.5,0.125,u,g,c,v,0.165,f,f,0.0,f,g,132.0,0.0
447,-,447,a,27.33,1.665,u,g,ff,ff,0.0,f,f,0.0,f,g,340.0,1.0
448,-,448,b,31.25,1.125,u,g,ff,ff,0.0,f,t,1.0,f,g,96.0,19.0
449,-,449,b,20.0,7.0,u,g,c,v,0.5,f,f,0.0,f,g,0.0,0.0
450,-,450,b,,3.0,y,p,i,bb,7.0,f,f,0.0,f,g,0.0,1.0
451,-,451,b,39.5,1.625,u,g,c,v,1.5,f,f,0.0,f,g,0.0,316.0
452,-,452,b,36.5,4.25,u,g,q,v,3.5,f,f,0.0,f,g,454.0,50.0
453,-,453,,29.75,0.665,u,g,w,v,0.25,f,f,0.0,t,g,300.0,0.0
454,-,454,b,52.42,1.5,u,g,d,v,3.75,f,f,0.0,t,g,0.0,350.0
455,-,455,b,36.17,18.125,u,g,w,v,0.085,f,f,0.0,f,g,320.0,3552.0
456,-,456,b,34.58,0.0,,,,,0.0,f,f,0.0,f,p,,0.0
457,-,457,b,29.67,0.75,y,p,c,v,0.04,f,f,0.0,f,g,240.0,0.0
458,-,458,b,36.17,5.5,u,g,i,bb,5.0,f,f,0.0,f,g,210.0,687.0
459,-,459,b,25.67,0.29,y,p,c,v,1.5,f,f,0.0,t,g,160.0,0.0
460,-,460,a,24.5,2.415,y,p,c,v,0.0,f,f,0.0,f,g,120.0,0.0
461,-,461,b,24.08,0.875,u,g,m,v,0.085,f,t,4.0,f,g,254.0,1950.0
462,-,462,b,21.92,0.5,u,g,c,v,0.125,f,f,0.0,f,g,360.0,0.0
463,-,463,a,36.58,0.29,u,g,ff,ff,0.0,f,t,10.0,f,g,200.0,18.0
464,-,464,a,23.0,1.835,u,g,j,j,0.0,f,t,1.0,f,g,200.0,53.0
465,-,465,a,27.58,3.0,u,g,m,v,2.79,f,t,1.0,t,g,280.0,10.0
466,-,466,b,31.08,3.085,u,g,c,v,2.5,f,t,2.0,t,g,160.0,41.0
467,-,467,a,30.42,1.375,u,g,w,h,0.04,f,t,3.0,f,g,0.0,33.0
468,-,468,b,22.08,2.335,u,g,k,v,0.75,f,f,0.0,f,g,180.0,0.0
469,-,469,b,16.33,4.085,u,g,i,h,0.415,f,f,0.0,t,g,120.0,0.0
470,-,470,a,21.92,11.665,u,g,k,h,0.085,f,f,0.0,f,g,320.0,5.0
471,-,471,b,21.08,4.125,y,p,i,h,0.04,f,f,0.0,f,g,140.0,100.0
472,-,472,b,17.42,6.5,u,g,i,v,0.125,f,f,0.0,f,g,60.0,100.0
473,-,473,b,19.17,4.0,y,p,i,v,1.0,f,f,0.0,t,g,360.0,1000.0
474,-,474,b,20.67,0.415,u,g,c,v,0.125,f,f,0.0,f,g,0.0,44.0
475,-,475,b,26.75,2.0,u,g,d,v,0.75,f,f,0.0,t,g,80.0,0.0
476,-,476,b,23.58,0.835,u,g,i,h,0.085,f,f,0.0,t,g,220.0,5.0
477,-,477,b,39.17,2.5,y,p,i,h,10.0,f,f,0.0,t,s,200.0,0.0
478,-,478,b,22.75,11.5,u,g,i,v,0.415,f,f,0.0,f,g,0.0,0.0
479,-,479,,26.5,2.71,y,p,,,0.085,f,f,0.0,f,s,80.0,0.0
480,-,480,a,16.92,0.5,u,g,i,v,0.165,f,t,6.0,t,g,240.0,35.0
481,-,481,b,23.5,3.165,y,p,k,v,0.415,f,t,1.0,t,g,280.0,80.0
482,-,482,a,17.33,9.5,u,g,aa,v,1.75,f,t,10.0,t,g,0.0,10.0
483,-,483,b,23.75,0.415,y,p,c,v,0.04,f,t,2.0,f,g,128.0,6.0
484,-,484,b,34.67,1.08,u,g,m,v,1.165,f,f,0.0,f,s,28.0,0.0
485,-,485,b,74.83,19.0,y,p,ff,ff,0.04,f,t,2.0,f,g,0.0,351.0
486,-,486,b,28.17,0.125,y,p,k,v,0.085,f,f,0.0,f,g,216.0,2100.0
487,-,487,b,24.5,13.335,y,p,aa,v,0.04,f,f,0.0,t,g,120.0,475.0
488,-,488,b,18.83,3.54,y,p,ff,ff,0.0,f,f,0.0,t,g,180.0,1.0
489,-,489,,45.33,1.0,u,g,q,v,0.125,f,f,0.0,t,g,263.0,0.0
490,+,490,a,47.25,0.75,u,g,q,h,2.75,t,t,1.0,f,g,333.0,892.0
491,+,491,b,24.17,0.875,u,g,q,v,4.625,t,t,2.0,t,g,520.0,2000.0
492,+,492,b,39.25,9.5,u,g,m,v,6.5,t,t,14.0,f,g,240.0,4607.0
493,+,493,a,20.5,11.835,u,g,c,h,6.0,t,f,0.0,f,g,340.0,0.0
494,+,494,a,18.83,4.415,y,p,c,h,3.0,t,f,0.0,f,g,240.0,0.0
495,+,495,b,19.17,9.5,u,g,w,v,1.5,t,f,0.0,f,g,120.0,2206.0
496,+,496,a,25.0,0.875,u,g,x,h,1.04,t,f,0.0,t,g,160.0,5860.0
497,+,497,b,20.17,9.25,u,g,c,v,1.665,t,t,3.0,t,g,40.0,28.0
498,+,498,b,25.75,0.5,u,g,c,v,1.46,t,t,5.0,t,g,312.0,0.0
499,+,499,b,20.42,7.0,u,g,c,v,1.625,t,t,3.0,f,g,200.0,1391.0
500,+,500,b,,4.0,u,g,x,v,5.0,t,t,3.0,t,g,290.0,2279.0
501,+,501,b,39.0,5.0,u,g,cc,v,3.5,t,t,10.0,t,g,0.0,0.0
502,+,502,a,64.08,0.165,u,g,ff,ff,0.0,t,t,1.0,f,g,232.0,100.0
503,+,503,b,28.25,5.125,u,g,x,v,4.75,t,t,2.0,f,g,420.0,7.0
504,+,504,a,28.75,3.75,u,g,c,v,1.085,t,t,1.0,t,g,371.0,0.0
505,+,505,b,31.33,19.5,u,g,c,v,7.0,t,t,16.0,f,g,0.0,5000.0
506,+,506,a,18.92,9.0,u,g,aa,v,0.75,t,t,2.0,f,g,88.0,591.0
507,+,507,a,24.75,3.0,u,g,q,h,1.835,t,t,19.0,f,g,0.0,500.0
508,+,508,a,30.67,12.0,u,g,c,v,2.0,t,t,1.0,f,g,220.0,19.0
509,+,509,b,21.0,4.79,y,p,w,v,2.25,t,t,1.0,t,g,80.0,300.0
510,+,510,b,13.75,4.0,y,p,w,v,1.75,t,t,2.0,t,g,120.0,1000.0
511,+,511,a,46.0,4.0,u,g,j,j,0.0,t,f,0.0,f,g,100.0,960.0
512,+,512,a,44.33,0.0,u,g,c,v,2.5,t,f,0.0,f,g,0.0,0.0
513,+,513,b,20.25,9.96,u,g,e,dd,0.0,t,f,0.0,f,g,0.0,0.0
514,+,514,b,22.67,2.54,y,p,c,h,2.585,t,f,0.0,f,g,0.0,0.0
515,+,515,b,,10.5,u,g,x,v,6.5,t,f,0.0,f,g,0.0,0.0
516,+,516,a,60.92,5.0,u,g,aa,v,4.0,t,t,4.0,f,g,0.0,99.0
517,+,517,b,16.08,0.75,u,g,c,v,1.75,t,t,5.0,t,g,352.0,690.0
518,+,518,a,28.17,0.375,u,g,q,v,0.585,t,t,4.0,f,g,80.0,0.0
519,+,519,b,39.17,1.71,u,g,x,v,0.125,t,t,5.0,t,g,480.0,0.0
520,+,520,,20.42,7.5,u,g,k,v,1.5,t,t,1.0,f,g,160.0,234.0
521,+,521,a,30.0,5.29,u,g,e,dd,2.25,t,t,5.0,t,g,99.0,500.0
522,+,522,b,22.83,3.0,u,g,m,v,1.29,t,t,1.0,f,g,260.0,800.0
523,-,523,a,22.5,8.5,u,g,q,v,1.75,t,t,10.0,f,g,80.0,990.0
524,-,524,a,28.58,1.665,u,g,q,v,2.415,t,f,0.0,t,g,440.0,0.0
525,-,525,b,45.17,1.5,u,g,c,v,2.5,t,f,0.0,t,g,140.0,0.0
526,-,526,b,41.58,1.75,u,g,k,v,0.21,t,f,0.0,f,g,160.0,0.0
527,-,527,a,57.08,0.335,u,g,i,bb,1.0,t,f,0.0,t,g,252.0,2197.0
528,-,528,a,55.75,7.08,u,g,k,h,6.75,t,t,3.0,t,g,100.0,50.0
529,-,529,b,43.25,25.21,u,g,q,h,0.21,t,t,1.0,f,g,760.0,90.0
530,-,530,a,25.33,2.085,u,g,c,h,2.75,t,f,0.0,t,g,360.0,1.0
531,-,531,a,24.58,0.67,u,g,aa,h,1.75,t,f,0.0,f,g,400.0,0.0
532,-,532,b,43.17,2.25,u,g,i,bb,0.75,t,f,0.0,f,g,560.0,0.0
533,-,533,b,40.92,0.835,u,g,ff,ff,0.0,t,f,0.0,f,g,130.0,1.0
534,-,534,b,31.83,2.5,u,g,aa,v,7.5,t,f,0.0,t,g,523.0,0.0
535,-,535,a,33.92,1.585,y,p,ff,ff,0.0,t,f,0.0,f,g,320.0,0.0
536,-,536,a,24.92,1.25,u,g,ff,ff,0.0,t,f,0.0,f,g,80.0,0.0
537,-,537,b,35.25,3.165,u,g,x,h,3.75,t,f,0.0,t,g,680.0,0.0
538,-,538,b,34.25,1.75,u,g,w,bb,0.25,t,f,0.0,t,g,163.0,0.0
539,-,539,b,80.25,5.5,u,g,,,0.54,t,f,0.0,f,g,0.0,340.0
540,-,540,b,19.42,1.5,y,p,cc,v,2.0,t,f,0.0,t,g,100.0,20.0
541,-,541,b,42.75,3.0,u,g,i,bb,1.0,t,f,0.0,f,g,0.0,200.0
542,-,542,b,19.67,10.0,y,p,k,h,0.835,t,f,0.0,t,g,140.0,0.0
543,-,543,b,36.33,3.79,u,g,w,v,1.165,t,f,0.0,t,g,200.0,0.0
544,-,544,b,30.08,1.04,y,p,i,bb,0.5,t,t,10.0,t,g,132.0,28.0
545,-,545,b,44.25,11.0,y,p,d,v,1.5,t,f,0.0,f,s,0.0,0.0
546,-,546,b,23.58,0.46,y,p,w,v,2.625,t,t,6.0,t,g,208.0,347.0
547,+,547,b,23.92,1.5,u,g,d,h,1.875,t,t,6.0,f,g,200.0,327.0
548,+,548,b,33.17,1.0,u,g,x,v,0.75,t,t,7.0,t,g,340.0,4071.0
549,+,549,b,48.33,12.0,u,g,m,v,16.0,t,f,0.0,f,s,110.0,0.0
550,+,550,b,76.75,22.29,u,g,e,z,12.75,t,t,1.0,t,g,0.0,109.0
551,+,551,b,51.33,10.0,u,g,i,bb,0.0,t,t,11.0,f,g,0.0,1249.0
552,+,552,b,34.75,15.0,u,g,r,n,5.375,t,t,9.0,t,g,0.0,134.0
553,+,553,b,38.58,3.335,u,g,w,v,4.0,t,t,14.0,f,g,383.0,1344.0
554,+,554,a,22.42,11.25,y,p,x,h,0.75,t,t,4.0,f,g,0.0,321.0
555,+,555,b,41.92,0.42,u,g,c,h,0.21,t,t,6.0,f,g,220.0,948.0
556,+,556,b,29.58,4.5,u,g,w,v,7.5,t,t,2.0,t,g,330.0,0.0
557,+,557,a,32.17,1.46,u,g,w,v,1.085,t,t,16.0,f,g,120.0,2079.0
558,+,558,b,51.42,0.04,u,g,x,h,0.04,t,f,0.0,f,g,0.0,3000.0
559,+,559,a,22.83,2.29,u,g,q,h,2.29,t,t,7.0,t,g,140.0,2384.0
560,+,560,a,25.0,12.33,u,g,cc,h,3.5,t,t,6.0,f,g,400.0,458.0
561,+,561,b,26.75,1.125,u,g,x,h,1.25,t,f,0.0,f,g,0.0,5298.0
562,+,562,b,23.33,1.5,u,g,c,h,1.415,t,f,0.0,f,g,422.0,200.0
563,+,563,b,24.42,12.335,u,g,q,h,1.585,t,f,0.0,t,g,120.0,0.0
564,+,564,b,42.17,5.04,u,g,q,h,12.75,t,f,0.0,t,g,92.0,0.0
565,+,565,a,20.83,3.0,u,g,aa,v,0.04,t,f,0.0,f,g,100.0,0.0
566,+,566,b,23.08,11.5,u,g,w,h,2.125,t,t,11.0,t,g,290.0,284.0
567,+,567,a,25.17,2.875,u,g,x,h,0.875,t,f,0.0,f,g,360.0,0.0
568,+,568,b,43.08,0.375,y,p,c,v,0.375,t,t,8.0,t,g,300.0,162.0
569,+,569,a,35.75,0.915,u,g,aa,v,0.75,t,t,4.0,f,g,0.0,1583.0
570,+,570,b,59.5,2.75,u,g,w,v,1.75,t,t,5.0,t,g,60.0,58.0
571,+,571,b,21.0,3.0,y,p,d,v,1.085,t,t,8.0,t,g,160.0,1.0
