,Number_of_faculty-all_ranks_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
295,1443,IN,I,721.0,485.0,423.0,562,920.0,631.0,548.0,722,603,411,400,29
296,247,IN,IIA,519.0,413.0,364.0,405,677.0,541.0,479.0,530,47,105,74,21
297,101,IN,IIB,608.0,522.0,447.0,549,797.0,679.0,568.0,715,51,29,21,0
298,37,IN,IIB,,334.0,313.0,316,,393.0,371.0,373,3,8,21,5
299,45,IN,IIB,373.0,374.0,312.0,344,486.0,478.0,400.0,443,13,12,19,1
300,23,IN,IIB,324.0,264.0,235.0,265,426.0,350.0,316.0,353,6,6,9,2
301,44,IN,IIB,307.0,234.0,199.0,232,382.0,295.0,246.0,290,11,11,18,4
302,117,IN,IIB,524.0,391.0,331.0,388,675.0,509.0,435.0,505,21,43,52,1
303,15,IN,IIB,357.0,,,332,405.0,,,376,6,3,5,1
304,95,IN,IIB,404.0,352.0,300.0,355,555.0,486.0,382.0,480,36,31,25,3
305,64,IN,IIB,395.0,324.0,291.0,340,485.0,395.0,356.0,415,23,28,10,3
306,644,IN,I,798.0,562.0,470.0,637,985.0,701.0,573.0,787,274,195,164,11
307,204,IN,IIA,559.0,423.0,372.0,446,681.0,525.0,459.0,548,67,58,74,5
308,74,IN,IIB,612.0,474.0,371.0,501,770.0,602.0,482.0,637,31,22,20,1
309,548,IN,I,500.0,394.0,343.0,423,647.0,513.0,438.0,545,248,133,151,16
310,52,KS,IIB,369.0,318.0,288.0,327,443.0,396.0,346.0,397,18,18,16,0
311,51,KS,IIB,335.0,280.0,248.0,281,415.0,360.0,308.0,350,16,9,24,2
312,48,KS,IIB,325.0,285.0,267.0,285,408.0,356.0,336.0,358,16,19,8,5
313,232,KS,IIA,446.0,378.0,325.0,377,556.0,475.0,412.0,474,84,56,71,21
314,291,KS,IIA,450.0,381.0,331.0,375,567.0,484.0,425.0,477,103,76,70,4
315,238,KS,IIA,435.0,390.0,330.0,367,553.0,499.0,427.0,471,67,67,78,26
316,858,KS,I,550.0,419.0,368.0,440,686.0,530.0,466.0,554,305,231,259,63
317,38,KS,IIB,337.0,290.0,265.0,293,394.0,343.0,299.0,340,11,14,10,3
318,37,KS,IIB,318.0,274.0,254.0,272,397.0,353.0,313.0,342,7,16,11,3
319,55,KS,IIB,338.0,292.0,264.0,284,410.0,348.0,309.0,338,13,12,22,8
320,39,KS,IIB,340.0,318.0,278.0,311,415.0,388.0,341.0,380,16,10,10,3
321,43,KS,IIB,336.0,301.0,261.0,282,390.0,358.0,313.0,335,10,11,15,5
322,24,KS,IIB,304.0,,222.0,257,385.0,,282.0,326,8,5,8,3
323,981,KS,I,579.0,422.0,367.0,485,714.0,529.0,458.0,603,474,297,204,6
324,201,KS,IIA,594.0,438.0,333.0,457,719.0,540.0,416.0,561,76,55,59,11
325,467,KS,IIA,555.0,417.0,361.0,415,679.0,518.0,450.0,514,101,154,188,24
326,60,KS,IIB,371.0,305.0,265.0,300,457.0,378.0,329.0,372,18,12,24,6
327,50,KS,IIB,335.0,316.0,278.0,296,374.0,368.0,327.0,342,11,16,16,7
328,84,KY,IIA,473.0,385.0,326.0,394,583.0,480.0,396.0,482,32,18,27,7
329,112,KY,IIB,552.0,428.0,355.0,436,675.0,518.0,421.0,525,32,43,31,6
330,32,KY,IIB,,322.0,273.0,299,,390.0,324.0,357,4,10,14,4
331,46,KY,IIB,342.0,278.0,252.0,277,422.0,350.0,318.0,347,12,11,16,7
332,66,KY,IIB,359.0,315.0,289.0,313,416.0,370.0,333.0,363,15,22,26,3
333,73,KY,IIB,521.0,418.0,351.0,431,653.0,514.0,423.0,532,27,21,21,4
334,97,KY,IIB,354.0,291.0,272.0,286,438.0,362.0,337.0,355,17,23,32,20
335,586,KY,IIA,519.0,439.0,371.0,442,648.0,551.0,468.0,555,237,135,185,29
336,72,KY,IIB,398.0,338.0,297.0,343,493.0,418.0,352.0,420,29,18,19,6
337,118,KY,IIB,460.0,403.0,329.0,377,576.0,505.0,416.0,474,26,35,52,5
338,51,KY,IIB,383.0,326.0,292.0,327,474.0,404.0,358.0,405,17,18,11,5
339,38,KY,IIB,,359.0,278.0,294,,427.0,331.0,349,2,7,11,18
340,336,KY,IIA,478.0,395.0,322.0,373,600.0,498.0,410.0,472,87,89,123,37
341,336,KY,IIA,462.0,396.0,342.0,383,601.0,520.0,451.0,503,95,101,101,7
342,51,KY,IIB,359.0,314.0,275.0,304,434.0,377.0,332.0,367,8,25,15,3
343,63,KY,IIB,447.0,393.0,318.0,384,627.0,526.0,424.0,521,18,25,18,2
344,48,KY,IIB,314.0,287.0,255.0,277,383.0,353.0,304.0,335,11,20,8,9
345,1200,KY,I,634.0,473.0,418.0,521,760.0,574.0,504.0,628,470,416,308,6
346,674,KY,I,584.0,442.0,368.0,476,715.0,547.0,449.0,584,276,208,169,12
347,62,KY,IIB,352.0,324.0,277.0,312,432.0,394.0,345.0,382,12,30,18,1
348,553,KY,IIA,485.0,408.0,347.0,413,613.0,517.0,442.0,524,223,135,144,43
349,341,KY,IIA,506.0,427.0,350.0,388,623.0,529.0,432.0,478,83,96,90,14
350,66,LA,IIB,499.0,380.0,324.0,412,625.0,468.0,396.0,512,28,20,16,2
351,96,LA,IIB,494.0,373.0,342.0,350,567.0,437.0,398.0,406,8,15,59,10
352,286,LA,IIB,440.0,361.0,316.0,338,535.0,439.0,385.0,412,72,67,82,40
353,265,LA,IIA,442.0,392.0,329.0,349,491.0,437.0,369.0,391,48,48,124,45
354,60,LA,IIB,375.0,324.0,308.0,338,484.0,427.0,401.0,440,25,13,18,4
355,389,LA,IIA,472.0,408.0,344.0,391,549.0,494.0,418.0,467,129,93,131,36
356,1439,LA,I,594.0,437.0,379.0,464,711.0,527.0,461.0,559,561,387,313,178
357,156,LA,IIA,458.0,414.0,337.0,385,539.0,498.0,403.0,458,53,37,48,18
358,510,LA,IIA,512.0,378.0,352.0,404,609.0,453.0,423.0,483,199,128,116,67
359,241,LA,IIA,593.0,451.0,393.0,476,728.0,560.0,482.0,587,77,103,45,2
360,290,LA,IIA,456.0,374.0,323.0,363,554.0,458.0,398.0,446,76,77,104,33
361,449,LA,IIA,459.0,376.0,325.0,343,559.0,458.0,396.0,418,88,102,159,100
362,223,LA,IIA,418.0,360.0,312.0,335,500.0,432.0,375.0,403,44,47,98,34
363,25,LA,IIB,,306.0,325.0,314,,378.0,400.0,385,1,9,9,6
364,389,LA,IIA,468.0,405.0,329.0,348,566.0,486.0,398.0,421,68,68,163,90
365,120,LA,IIB,406.0,329.0,298.0,320,487.0,397.0,361.0,387,23,22,64,11
366,456,LA,I,713.0,514.0,418.0,564,876.0,646.0,514.0,699,172,166,115,3
367,548,LA,I,533.0,409.0,359.0,402,633.0,493.0,434.0,483,147,136,167,98
368,203,LA,IIA,459.0,389.0,332.0,352,546.0,456.0,386.0,413,37,41,91,34
369,446,LA,IIA,455.0,392.0,336.0,367,538.0,464.0,398.0,434,100,88,210,48
370,153,MA,IIB,726.0,516.0,425.0,610,917.0,661.0,546.0,774,87,23,43,0
371,33,MA,IIB,407.0,364.0,318.0,341,499.0,470.0,377.0,416,6,9,14,4
372,107,MA,IIB,479.0,400.0,325.0,385,610.0,518.0,413.0,492,22,42,40,3
373,125,MA,IIB,507.0,393.0,326.0,395,652.0,518.0,407.0,510,24,63,38,0
374,119,MA,IIB,787.0,613.0,557.0,633,975.0,769.0,700.0,790,31,45,31,3
375,198,MA,IIA,717.0,566.0,493.0,575,894.0,708.0,599.0,712,48,84,56,10
376,139,MA,IIB,504.0,402.0,329.0,381,605.0,491.0,405.0,466,17,59,61,2
377,556,MA,I,784.0,569.0,496.0,614,964.0,717.0,604.0,761,165,245,126,10
378,41,MA,IIB,447.0,352.0,310.0,346,557.0,450.0,384.0,435,9,18,8,6
379,299,MA,I,687.0,493.0,403.0,550,859.0,619.0,496.0,686,142,71,40,3
380,160,MA,IIA,664.0,469.0,395.0,522,822.0,593.0,488.0,651,58,64,38,0
381,52,MA,IIB,431.0,353.0,305.0,342,524.0,429.0,371.0,415,10,18,19,5
382,186,MA,IIB,695.0,506.0,406.0,519,875.0,627.0,500.0,644,44,84,54,4
383,92,MA,IIA,669.0,502.0,386.0,488,874.0,652.0,494.0,632,21,33,35,3
384,71,MA,IIB,432.0,352.0,319.0,381,578.0,467.0,424.0,505,35,18,13,5
385,1172,MA,I,1009.0,559.0,500.0,793,1236.0,723.0,653.0,989,654,149,255,8
386,27,MA,IIB,,336.0,322.0,320,,403.0,389.0,387,3,7,13,4
387,476,MA,I,664.0,539.0,464.0,587,805.0,662.0,577.0,717,223,191,52,10
388,989,MA,I,903.0,637.0,528.0,757,1124.0,806.0,678.0,951,583,177,164,36
389,255,MA,IIA,517.0,440.0,400.0,468,672.0,583.0,542.0,617,144,53,41,17
390,224,MA,IIA,512.0,429.0,395.0,444,644.0,540.0,501.0,560,87,56,70,11
391,91,MA,IIB,510.0,394.0,361.0,428,642.0,507.0,468.0,546,34,34,21,2
392,169,MA,IIA,523.0,419.0,378.0,457,662.0,530.0,478.0,578,79,46,44,0
393,168,MA,IIA,528.0,456.0,370.0,463,669.0,585.0,483.0,593,81,44,30,13
394,191,MA,IIB,694.0,505.0,400.0,541,866.0,645.0,496.0,678,73,47,51,3
395,730,MA,I,688.0,525.0,460.0,543,880.0,689.0,599.0,705,236,260,176,0
396,46,MA,IIB,504.0,425.0,345.0,407,627.0,542.0,426.0,513,9,20,14,1
397,167,MA,IIA,589.0,471.0,386.0,477,724.0,592.0,482.0,593,54,54,53,6
398,262,MA,IIA,732.0,514.0,405.0,591,932.0,646.0,502.0,747,127,70,59,6
399,321,MA,IIA,572.0,482.0,420.0,526,722.0,611.0,535.0,665,203,61,32,1
400,174,MA,IIA,520.0,404.0,321.0,376,643.0,501.0,399.0,467,34,45,78,17
401,116,MA,IIB,513.0,428.0,354.0,423,657.0,541.0,458.0,539,24,56,36,0
402,232,MA,IIA,727.0,548.0,484.0,611,925.0,706.0,599.0,777,111,73,33,15
403,405,MA,I,735.0,549.0,447.0,592,964.0,710.0,607.0,777,148,157,98,2
404,1172,MA,I,704.0,537.0,438.0,607,880.0,680.0,557.0,762,650,306,146,7
405,473,MA,IIA,656.0,543.0,445.0,549,813.0,679.0,563.0,686,154,186,100,1
406,222,MA,IIB,757.0,550.0,453.0,603,988.0,712.0,570.0,779,97,44,74,4
407,131,MA,IIA,659.0,497.0,437.0,543,823.0,632.0,545.0,682,54,42,29,6
408,91,MA,IIB,602.0,435.0,357.0,486,740.0,539.0,448.0,601,44,16,25,6
409,49,MA,IIA,545.0,420.0,362.0,415,662.0,518.0,433.0,505,8,20,20,1
410,213,MA,IIB,707.0,503.0,417.0,543,923.0,669.0,566.0,719,77,36,88,0
411,212,MA,IIA,659.0,527.0,451.0,546,842.0,680.0,557.0,693,75,70,58,4
412,17,MD,IIB,,344.0,,352,,406.0,,416,5,7,5,0
413,127,MD,IIA,510.0,433.0,349.0,401,647.0,554.0,452.0,515,31,28,51,14
414,76,MD,IIB,443.0,377.0,309.0,362,493.0,441.0,365.0,419,19,25,29,3
415,42,MD,IIB,308.0,297.0,293.0,296,344.0,329.0,325.0,329,17,9,11,5
416,103,MD,IIB,557.0,435.0,366.0,431,707.0,559.0,476.0,554,26,32,36,4
417,228,MD,IIA,498.0,423.0,366.0,416,646.0,538.0,468.0,530,76,56,70,8
418,75,MD,IIB,529.0,387.0,358.0,411,661.0,489.0,452.0,518,21,27,23,4
419,76,MD,IIA,516.0,425.0,352.0,402,665.0,530.0,434.0,502,14,21,40,1
420,767,MD,I,798.0,542.0,435.0,593,972.0,677.0,551.0,734,330,110,160,52
421,222,MD,IIA,632.0,500.0,397.0,482,802.0,640.0,511.0,617,50,76,89,5
422,229,MD,IIA,594.0,517.0,439.0,450,743.0,651.0,558.0,571,26,41,91,42
423,85,MD,IIB,465.0,384.0,311.0,358,563.0,487.0,382.0,448,14,29,34,4
424,240,MD,IIA,543.0,445.0,357.0,404,679.0,562.0,458.0,513,54,63,78,8
425,43,MD,IIB,,,,437,,,,572,0,0,0,0
426,97,MD,IIB,560.0,426.0,347.0,426,686.0,533.0,430.0,526,24,35,29,9
427,471,MD,IIA,531.0,433.0,388.0,439,692.0,565.0,505.0,573,141,136,169,25
428,299,MD,IIB,595.0,455.0,377.0,492,721.0,556.0,466.0,600,125,100,67,7
429,166,MD,IIA,680.0,560.0,490.0,582,833.0,693.0,612.0,719,62,50,54,0
430,1285,MD,I,703.0,487.0,406.0,539,865.0,608.0,505.0,669,535,388,163,133
431,353,MD,I,638.0,455.0,395.0,464,783.0,571.0,491.0,577,87,119,104,32
432,113,MD,IIA,500.0,455.0,388.0,379,630.0,572.0,493.0,482,8,33,25,5
433,60,MD,IIB,496.0,419.0,348.0,443,637.0,532.0,421.0,562,33,12,15,0
434,79,MD,IIB,477.0,379.0,313.0,412,612.0,489.0,400.0,530,36,30,10,3
435,67,ME,IIB,439.0,354.0,302.0,343,562.0,453.0,389.0,440,15,19,25,4
436,127,ME,IIB,671.0,490.0,404.0,518,824.0,600.0,494.0,635,45,31,45,6
437,123,ME,IIB,738.0,527.0,418.0,554,918.0,651.0,503.0,682,41,40,35,4
438,140,ME,IIB,745.0,515.0,383.0,524,904.0,622.0,453.0,629,43,33,60,4
439,101,ME,IIB,464.0,348.0,292.0,385,594.0,448.0,377.0,496,47,26,13,14
440,33,ME,IIB,436.0,347.0,320.0,356,555.0,442.0,415.0,456,9,10,12,2
441,49,ME,IIB,407.0,358.0,302.0,334,454.0,401.0,338.0,374,12,13,18,6
442,76,ME,IIA,450.0,380.0,323.0,354,545.0,468.0,396.0,434,11,22,39,4
443,45,ME,IIB,,321.0,283.0,295,,391.0,353.0,370,4,8,33,0
444,17,ME,IIB,,338.0,297.0,318,,404.0,341.0,374,2,7,8,0
445,452,ME,I,574.0,436.0,366.0,449,716.0,552.0,463.0,566,122,197,102,19
446,39,ME,IIB,465.0,355.0,284.0,360,582.0,459.0,366.0,462,7,24,8,0
447,31,ME,IIB,355.0,261.0,261.0,285,418.0,313.0,313.0,340,8,7,16,0
448,291,ME,IIA,584.0,439.0,362.0,459,724.0,558.0,459.0,578,78,144,61,7
449,66,MI,IIB,439.0,365.0,316.0,386,559.0,466.0,407.0,493,37,8,14,7
450,109,MI,IIB,562.0,443.0,346.0,462,716.0,573.0,437.0,589,47,27,33,2
451,75,MI,IIB,523.0,408.0,335.0,422,645.0,515.0,423.0,527,25,27,21,2
452,90,MI,IIB,387.0,313.0,275.0,319,491.0,376.0,331.0,392,27,32,27,4
453,212,MI,IIB,471.0,410.0,363.0,446,604.0,527.0,461.0,571,152,33,20,7
454,581,MI,IIA,588.0,460.0,397.0,490,768.0,612.0,534.0,648,230,191,137,23
455,40,MI,IIB,342.0,304.0,257.0,289,428.0,377.0,340.0,369,10,12,15,3
456,7,MI,IIB,309.0,,,295,377.0,,,362,1,2,4,0
457,729,MI,IIA,560.0,447.0,389.0,462,722.0,590.0,519.0,605,318,171,160,17
458,477,MI,IIA,546.0,470.0,409.0,467,713.0,631.0,566.0,628,143,160,151,10
459,44,MI,IIB,353.0,287.0,254.0,283,474.0,376.0,326.0,371,9,19,12,4
460,321,MI,IIB,568.0,479.0,387.0,467,726.0,619.0,508.0,604,91,105,118,7
461,159,MI,IIB,515.0,420.0,350.0,443,681.0,559.0,455.0,585,70,49,38,2
462,92,MI,IIB,553.0,440.0,352.0,452,696.0,569.0,440.0,571,36,25,24,7
463,84,MI,IIB,482.0,395.0,352.0,382,576.0,465.0,430.0,459,19,12,42,11
464,49,MI,IIB,433.0,365.0,290.0,348,534.0,450.0,358.0,429,7,26,13,3
465,1840,MI,I,651.0,493.0,413.0,555,843.0,663.0,569.0,732,949,494,350,47
466,338,MI,IIA,668.0,482.0,420.0,511,854.0,638.0,563.0,671,99,124,95,11
467,112,MI,IIB,510.0,446.0,357.0,422,661.0,596.0,473.0,557,32,35,38,7
468,329,MI,IIA,571.0,459.0,347.0,467,749.0,609.0,468.0,619,149,72,61,21
469,358,MI,IIA,633.0,518.0,432.0,534,831.0,690.0,582.0,710,123,142,85,8
470,44,MI,IIB,400.0,,306.0,329,487.0,,357.0,390,13,4,23,2
471,174,MI,IIA,499.0,448.0,364.0,446,642.0,586.0,482.0,580,91,40,29,6
472,57,MI,IIB,,342.0,300.0,325,,443.0,383.0,418,2,31,23,1
473,62,MI,IIB,368.0,321.0,284.0,320,455.0,398.0,370.0,400,22,15,19,6
474,219,MI,IIA,552.0,452.0,408.0,451,701.0,583.0,531.0,582,70,66,51,0
475,184,MI,IIA,566.0,460.0,409.0,437,708.0,582.0,522.0,555,43,46,57,1
476,925,MI,I,683.0,525.0,447.0,535,846.0,664.0,560.0,669,317,267,216,8
477,731,MI,I,603.0,489.0,396.0,502,755.0,620.0,505.0,633,285,233,189,24
478,36,MI,IIB,,,370.0,385,,,481.0,496,5,4,25,2
479,48,MI,IIB,401.0,333.0,263.0,360,489.0,413.0,331.0,442,29,11,6,2
480,1968,MI,I,777.0,577.0,460.0,605,955.0,731.0,595.0,760,850,419,472,9
481,123,MN,IIB,432.0,356.0,314.0,357,559.0,449.0,387.0,450,35,29,58,1
482,192,MN,IIA,490.0,403.0,341.0,419,629.0,520.0,443.0,539,91,40,50,11
483,155,MN,IIB,638.0,486.0,394.0,521,807.0,604.0,505.0,659,68,36,45,4
484,125,MN,IIB,493.0,404.0,334.0,381,595.0,512.0,405.0,468,18,50,47,8
485,143,MN,IIB,428.0,369.0,326.0,356,515.0,448.0,385.0,427,27,53,54,9
486,119,MN,IIB,461.0,374.0,327.0,345,568.0,466.0,421.0,436,14,31,50,18
487,310,MN,IIA,563.0,429.0,366.0,402,702.0,538.0,465.0,508,31,104,146,29
488,166,MN,IIB,527.0,419.0,356.0,413,638.0,503.0,426.0,496,47,38,60,21
489,50,MN,IIB,407.0,363.0,319.0,353,493.0,443.0,394.0,433,14,12,23,1
490,162,MN,IIB,486.0,402.0,338.0,408,625.0,507.0,423.0,518,59,47,44,12
491,128,MN,IIA,556.0,451.0,342.0,461,706.0,575.0,424.0,583,58,29,27,8
492,121,MN,IIB,639.0,492.0,406.0,514,807.0,622.0,500.0,645,46,32,36,7
493,489,MN,IIA,523.0,441.0,371.0,453,662.0,567.0,482.0,580,210,138,125,16
494,345,MN,IIA,512.0,421.0,353.0,419,651.0,544.0,461.0,540,131,65,120,29
495,57,MN,IIB,373.0,339.0,313.0,333,510.0,454.0,406.0,441,13,16,27,1
496,117,MN,IIB,525.0,417.0,355.0,459,686.0,551.0,466.0,602,57,40,19,1
497,573,MN,IIA,518.0,417.0,354.0,441,662.0,546.0,464.0,570,259,143,146,25
498,126,MN,IIB,512.0,412.0,353.0,418,672.0,523.0,435.0,532,37,44,38,6
499,81,MN,IIA,488.0,396.0,295.0,389,595.0,483.0,358.0,473,28,23,27,3
500,235,MN,IIB,551.0,417.0,355.0,446,673.0,509.0,430.0,543,82,93,49,11
501,285,MN,IIA,551.0,446.0,386.0,458,719.0,591.0,520.0,606,90,112,72,11
502,112,MN,IIB,533.0,399.0,334.0,389,697.0,534.0,457.0,522,27,23,45,17
503,293,MN,IIB,515.0,420.0,358.0,430,652.0,537.0,454.0,547,118,73,85,17
504,1538,MN,I,662.0,468.0,418.0,557,842.0,613.0,552.0,719,785,468,271,12
505,110,MN,IIB,430.0,356.0,313.0,375,597.0,464.0,404.0,503,43,48,12,7
506,52,MO,IIB,379.0,340.0,295.0,317,459.0,404.0,349.0,377,10,13,17,12
507,56,MO,IIB,402.0,336.0,252.0,310,478.0,403.0,308.0,374,11,20,22,3
508,451,MO,IIA,517.0,440.0,379.0,429,630.0,538.0,467.0,526,158,103,135,53
509,46,MO,IIB,362.0,307.0,273.0,299,437.0,375.0,336.0,364,10,11,22,3
510,52,MO,IIB,396.0,348.0,297.0,332,463.0,406.0,347.0,388,9,20,22,1
511,87,MO,IIB,448.0,394.0,323.0,375,546.0,483.0,400.0,460,26,23,31,2
512,40,MO,IIB,350.0,298.0,302.0,304,431.0,370.0,374.0,377,12,6,8,14
513,47,MO,IIB,440.0,,299.0,373,535.0,,357.0,450,26,1,13,7
514,119,MO,IIA,414.0,335.0,282.0,308,506.0,413.0,350.0,381,22,22,45,30
515,97,MO,IIA,416.0,367.0,306.0,340,477.0,422.0,354.0,392,15,27,55,0
516,78,MO,IIA,449.0,355.0,310.0,359,548.0,434.0,378.0,442,26,13,27,12
517,187,MO,IIB,489.0,406.0,349.0,389,592.0,496.0,430.0,476,42,50,67,28
518,47,MO,IIB,,318.0,285.0,302,,379.0,334.0,357,4,18,22,3
519,161,MO,IIB,473.0,393.0,334.0,385,580.0,483.0,414.0,474,44,44,64,9
520,328,MO,IIA,505.0,411.0,342.0,385,615.0,502.0,422.0,473,54,103,142,27
521,231,MO,IIA,526.0,404.0,348.0,379,634.0,490.0,425.0,461,48,49,85,36
522,45,MO,IIB,341.0,320.0,283.0,299,407.0,388.0,336.0,356,10,8,24,3
523,88,MO,IIB,448.0,380.0,350.0,369,548.0,460.0,422.0,448,15,31,33,9
524,79,MO,IIB,446.0,392.0,350.0,393,547.0,483.0,425.0,482,27,25,23,4
525,363,MO,IIA,505.0,432.0,359.0,416,612.0,527.0,441.0,508,113,99,106,45
526,671,MO,IIA,516.0,422.0,364.0,417,617.0,510.0,441.0,502,247,151,180,43
527,395,MO,I,657.0,475.0,402.0,500,783.0,575.0,484.0,600,133,111,120,31
528,62,MO,IIB,,,,282,,,,364,0,0,0,0
529,899,MO,I,603.0,456.0,407.0,485,729.0,560.0,499.0,592,336,256,244,63
530,253,MO,I,663.0,508.0,454.0,564,802.0,626.0,557.0,686,114,79,56,4
531,434,MO,I,580.0,445.0,381.0,473,702.0,545.0,467.0,577,151,167,107,9
532,304,MO,I,576.0,460.0,412.0,476,699.0,561.0,503.0,579,86,103,110,5
533,620,MO,I,782.0,534.0,451.0,601,952.0,652.0,540.0,730,264,136,175,18
534,115,MO,IIA,505.0,435.0,325.0,395,623.0,542.0,414.0,495,28,29,55,0
535,50,MO,IIB,451.0,390.0,298.0,381,549.0,481.0,361.0,465,17,17,12,4
536,88,MO,IIB,422.0,342.0,306.0,364,529.0,458.0,391.0,463,42,12,31,3
537,45,MO,IIB,370.0,303.0,290.0,312,476.0,374.0,350.0,390,13,13,13,5
538,29,MO,IIB,,294.0,281.0,265,,389.0,360.0,344,1,7,10,11
539,38,MO,IIB,,284.0,248.0,258,,366.0,308.0,324,4,8,21,5
540,168,MS,IIB,419.0,371.0,326.0,320,534.0,473.0,414.0,406,25,35,35,73
541,34,MS,IIB,364.0,304.0,298.0,314,423.0,355.0,348.0,366,9,8,15,2
542,25,MS,IIB,284.0,259.0,,263,347.0,315.0,,322,6,12,5,2
543,175,MS,IIA,400.0,337.0,314.0,337,487.0,413.0,386.0,413,60,32,47,36
544,328,MS,IIA,425.0,391.0,337.0,362,511.0,471.0,407.0,436,81,79,114,54
545,85,MS,IIB,498.0,376.0,322.0,387,615.0,478.0,381.0,475,25,27,29,4
546,112,MS,IIA,400.0,,306.0,324,492.0,,379.0,400,33,5,44,30
547,669,MS,I,540.0,432.0,389.0,455,649.0,521.0,471.0,548,278,191,155,40
548,106,MS,IIB,359.0,331.0,287.0,297,456.0,423.0,370.0,382,25,17,38,26
549,61,MS,IIB,341.0,280.0,302.0,285,382.0,313.0,337.0,318,11,8,24,18
550,66,MS,IIB,300.0,267.0,244.0,262,370.0,327.0,289.0,318,17,22,18,9
551,439,MS,I,558.0,428.0,384.0,440,676.0,524.0,471.0,537,138,111,158,29
552,563,MS,I,562.0,438.0,352.0,438,664.0,520.0,420.0,520,183,162,160,58
553,64,MT,IIB,394.0,343.0,285.0,326,478.0,413.0,344.0,394,12,23,29,0
554,43,MT,IIB,361.0,305.0,258.0,299,459.0,367.0,312.0,364,10,19,7,7
555,141,MT,IIA,409.0,358.0,292.0,348,500.0,440.0,364.0,430,47,41,48,5
556,86,MT,IIA,481.0,395.0,336.0,420,583.0,484.0,416.0,512,45,17,18,6
557,468,MT,I,497.0,397.0,346.0,407,602.0,487.0,427.0,498,154,146,144,24
558,79,MT,IIA,403.0,342.0,309.0,332,493.0,425.0,384.0,411,15,19,41,3
559,390,MT,I,446.0,365.0,323.0,392,537.0,442.0,395.0,474,200,79,95,16
560,46,MT,IIA,388.0,330.0,289.0,313,473.0,407.0,359.0,386,8,12,22,4
561,361,NC,IIA,524.0,448.0,409.0,432,637.0,547.0,496.0,526,68,106,116,15
562,545,NC,IIA,491.0,413.0,366.0,424,598.0,505.0,448.0,518,249,117,113,19
563,147,NC,IIB,533.0,436.0,350.0,417,647.0,532.0,430.0,510,40,41,37,4
564,84,NC,IIB,348.0,312.0,299.0,311,411.0,372.0,349.0,365,18,25,37,3
565,52,NC,IIB,352.0,312.0,287.0,297,412.0,360.0,335.0,347,13,12,14,13
566,46,NC,IIB,348.0,316.0,281.0,309,434.0,392.0,350.0,384,8,21,17,0
567,52,NC,IIB,351.0,377.0,300.0,323,418.0,437.0,346.0,375,9,16,16,11
568,66,NC,IIB,395.0,326.0,288.0,342,490.0,394.0,345.0,418,30,12,23,1
569,130,NC,IIB,626.0,460.0,356.0,506,801.0,591.0,440.0,644,60,34,32,4
570,620,NC,I,854.0,584.0,459.0,699,1055.0,728.0,553.0,862,330,149,141,0
571,792,NC,IIA,554.0,430.0,377.0,415,672.0,525.0,462.0,507,189,187,261,11
572,105,NC,IIB,472.0,415.0,338.0,398,580.0,510.0,420.0,489,32,32,16,3
573,138,NC,IIB,459.0,388.0,331.0,372,572.0,482.0,401.0,456,30,38,64,6
574,193,NC,IIA,525.0,437.0,375.0,407,640.0,536.0,460.0,499,27,72,50,4
575,87,NC,IIB,348.0,305.0,294.0,312,414.0,357.0,349.0,371,39,7,26,15
576,44,NC,IIB,377.0,331.0,309.0,333,456.0,400.0,367.0,404,11,21,10,2
577,90,NC,IIB,492.0,414.0,338.0,410,615.0,505.0,407.0,503,32,22,29,5
578,94,NC,IIB,475.0,397.0,330.0,349,591.0,496.0,407.0,435,14,25,35,9
579,84,NC,IIB,408.0,357.0,303.0,327,485.0,427.0,367.0,394,11,27,34,12
580,91,NC,IIB,377.0,323.0,295.0,345,462.0,410.0,357.0,426,47,26,17,1
581,53,NC,IIB,,257.0,263.0,259,,292.0,298.0,294,5,12,22,14
582,80,NC,IIB,356.0,308.0,259.0,309,426.0,378.0,309.0,372,35,16,18,11
583,103,NC,IIB,440.0,373.0,328.0,366,517.0,442.0,387.0,431,26,30,31,16
584,62,NC,IIB,348.0,309.0,295.0,316,416.0,371.0,353.0,379,21,21,19,1
585,24,NC,IIB,,304.0,274.0,299,,393.0,355.0,393,4,12,8,0
586,263,NC,IIA,551.0,447.0,373.0,423,670.0,547.0,460.0,518,56,84,70,9
587,45,NC,IIB,384.0,317.0,299.0,320,478.0,385.0,360.0,389,10,13,20,2
588,143,NC,IIA,538.0,403.0,341.0,413,655.0,495.0,421.0,505,49,32,31,2
589,49,NC,IIB,395.0,322.0,269.0,337,471.0,381.0,321.0,401,23,9,15,2
590,63,NC,IIB,427.0,360.0,319.0,350,511.0,437.0,384.0,422,14,21,20,8
591,44,NC,IIB,378.0,349.0,283.0,324,466.0,451.0,349.0,407,9,15,17,3
592,92,NC,IIB,,321.0,293.0,292,,383.0,348.0,345,5,19,43,25
593,1235,NC,I,665.0,475.0,417.0,505,797.0,578.0,508.0,610,463,345,200,12
