,binaryClass_cat,country_code_num,year_num,strike_volume_num,unemployment_num,inflation_num,parliamentary_representation_num
477,N,14.0,1978.0,39.0,1.8,8.2,52.0
478,N,14.0,1979.0,4.0,1.9,4.8,52.0
479,N,14.0,1980.0,63.0,1.7,10.9,52.0
480,N,14.0,1981.0,17.0,2.0,13.6,52.0
481,N,14.0,1982.0,167.0,2.6,11.4,46.7
482,N,14.0,1983.0,3.0,3.3,8.4,46.7
483,N,14.0,1984.0,61.0,3.0,6.3,46.7
484,N,14.0,1985.0,37.0,2.5,5.7,46.7
485,N,15.0,1951.0,217.0,1.8,15.8,52.2
486,N,15.0,1952.0,32.0,2.4,7.7,52.2
487,N,15.0,1953.0,237.0,2.8,1.6,50.0
488,N,15.0,1954.0,10.0,2.6,0.8,50.0
489,N,15.0,1955.0,63.0,2.5,3.1,50.0
490,N,15.0,1956.0,2.0,1.5,4.5,50.0
491,N,15.0,1957.0,21.0,1.9,4.4,48.5
492,N,15.0,1958.0,6.0,2.5,4.4,50.2
493,N,15.0,1959.0,9.0,2.0,0.8,50.2
494,N,15.0,1960.0,7.0,1.8,4.1,50.2
495,N,15.0,1961.0,1.0,1.7,2.2,51.3
496,N,15.0,1962.0,2.0,1.5,4.8,51.3
497,N,15.0,1963.0,8.0,1.7,2.9,51.3
498,N,15.0,1964.0,11.0,1.6,3.4,51.3
499,N,15.0,1965.0,1.0,1.2,5.0,51.9
500,N,15.0,1966.0,109.0,1.6,6.4,51.9
501,N,15.0,1967.0,0.0,2.1,4.3,51.9
502,N,15.0,1968.0,0.0,2.2,1.9,51.9
503,N,15.0,1969.0,34.0,1.9,2.7,54.9
504,N,15.0,1970.0,45.0,1.5,7.0,54.9
505,N,15.0,1971.0,242.0,2.5,7.4,51.4
506,N,15.0,1972.0,3.0,2.7,6.0,51.4
507,N,15.0,1973.0,3.0,2.5,6.7,51.4
508,N,15.0,1974.0,16.0,2.0,9.9,50.0
509,N,15.0,1975.0,98.0,1.6,9.8,50.0
510,N,15.0,1976.0,7.0,1.6,10.3,50.0
511,N,15.0,1977.0,23.0,1.8,11.5,48.4
512,N,15.0,1978.0,10.0,2.2,9.9,48.4
513,N,15.0,1979.0,7.0,2.1,7.2,48.4
514,N,15.0,1980.0,1150.0,2.0,13.7,49.9
515,N,15.0,1981.0,54.0,2.5,12.1,49.9
516,N,15.0,1982.0,0.0,3.1,8.6,49.9
517,N,15.0,1983.0,9.0,3.5,8.9,53.3
518,N,15.0,1984.0,8.0,3.1,8.0,53.3
519,N,15.0,1985.0,127.0,2.8,7.4,53.3
520,N,16.0,1951.0,5.0,0.8,4.8,28.4
521,N,16.0,1952.0,7.0,0.9,2.5,27.6
522,N,16.0,1953.0,35.0,0.9,-0.6,27.6
523,N,16.0,1954.0,15.0,0.8,0.7,27.6
524,N,16.0,1955.0,1.0,0.5,0.9,27.6
525,N,16.0,1956.0,1.0,0.6,1.5,29.1
526,N,16.0,1957.0,0.0,0.4,2.0,29.1
527,N,16.0,1958.0,1.0,0.4,1.8,29.1
528,N,16.0,1959.0,1.0,0.4,-0.7,29.1
529,N,16.0,1960.0,1.0,0.0,1.4,27.6
530,N,16.0,1961.0,0.0,0.0,1.9,27.6
531,N,16.0,1962.0,1.0,0.0,4.3,27.6
532,N,16.0,1963.0,32.0,0.0,3.4,27.6
533,N,16.0,1964.0,2.0,0.0,3.1,28.5
534,N,16.0,1965.0,0.0,0.0,3.4,28.5
535,N,16.0,1966.0,0.0,0.0,4.8,28.5
536,N,16.0,1967.0,1.0,0.0,4.0,28.5
537,N,16.0,1968.0,1.0,0.0,2.4,28.0
538,N,16.0,1969.0,0.0,0.0,2.5,28.0
539,N,16.0,1970.0,1.0,0.0,3.6,28.0
540,N,16.0,1971.0,3.0,0.0,6.6,28.0
541,N,16.0,1972.0,1.0,0.0,6.7,25.5
542,N,16.0,1973.0,0.0,0.0,8.8,25.5
543,N,16.0,1974.0,1.0,0.0,9.8,25.5
544,N,16.0,1975.0,1.0,0.4,6.7,25.5
545,N,16.0,1976.0,8.0,0.7,1.7,29.5
546,N,16.0,1977.0,2.0,0.4,1.3,29.5
547,N,16.0,1978.0,2.0,0.3,1.1,29.5
548,N,16.0,1979.0,1.0,0.3,3.7,29.5
549,N,16.0,1980.0,2.0,0.2,4.0,27.0
550,N,16.0,1981.0,0.0,0.2,6.5,27.0
551,N,16.0,1982.0,0.0,0.4,5.7,27.0
552,N,16.0,1983.0,2.0,0.9,3.0,27.0
553,N,16.0,1984.0,0.0,1.1,2.9,24.0
554,N,16.0,1985.0,0.0,0.9,3.4,24.0
555,P,17.0,1951.0,81.0,0.9,9.7,47.2
556,P,17.0,1952.0,86.0,1.4,6.1,47.2
557,P,17.0,1953.0,104.0,1.3,1.9,47.2
558,P,17.0,1954.0,114.0,1.0,1.9,47.2
559,P,17.0,1955.0,173.0,0.8,3.1,44.0
560,P,17.0,1956.0,95.0,0.9,4.2,44.0
561,P,17.0,1957.0,380.0,1.1,2.4,44.0
562,P,17.0,1958.0,158.0,1.7,2.9,44.0
563,P,17.0,1959.0,239.0,1.7,0.7,41.0
564,P,17.0,1960.0,135.0,1.3,1.0,41.0
565,P,17.0,1961.0,134.0,1.1,3.6,41.0
566,P,17.0,1962.0,252.0,1.6,4.1,41.0
567,P,17.0,1963.0,76.0,2.0,2.1,41.0
568,P,17.0,1964.0,100.0,1.4,3.2,50.3
569,P,17.0,1965.0,127.0,1.2,4.8,50.3
570,P,17.0,1966.0,103.0,1.1,3.9,57.8
571,P,17.0,1967.0,122.0,2.0,2.4,57.8
572,P,17.0,1968.0,207.0,2.1,4.7,57.8
573,P,17.0,1969.0,303.0,2.0,5.5,57.8
574,P,17.0,1970.0,488.0,2.2,6.4,45.7
575,P,17.0,1971.0,612.0,2.8,9.4,45.7
576,P,17.0,1972.0,1080.0,3.1,7.1,45.7
577,P,17.0,1973.0,317.0,2.2,9.2,45.7
578,P,17.0,1974.0,647.0,2.1,15.9,47.4
579,P,17.0,1975.0,265.0,3.2,24.2,50.2
580,P,17.0,1976.0,146.0,4.8,16.5,50.2
581,P,17.0,1977.0,448.0,5.2,15.9,50.2
582,P,17.0,1978.0,413.0,5.1,8.2,50.2
583,P,17.0,1979.0,1272.0,4.6,13.5,42.4
584,P,17.0,1980.0,520.0,5.6,18.0,42.4
585,P,17.0,1981.0,195.0,9.0,11.9,42.4
586,P,17.0,1982.0,248.0,10.4,8.6,42.4
587,P,17.0,1983.0,178.0,11.2,4.6,32.2
588,P,17.0,1984.0,1278.0,11.2,5.0,32.2
589,P,17.0,1985.0,298.0,11.5,6.1,32.2
590,P,18.0,1951.0,466.0,3.2,8.0,51.0
591,P,18.0,1952.0,1190.0,2.9,2.2,51.0
592,P,18.0,1953.0,559.0,2.8,0.8,49.0
593,P,18.0,1954.0,456.0,5.3,0.4,49.0
594,P,18.0,1955.0,529.0,4.2,-0.3,51.0
595,P,18.0,1956.0,616.0,4.0,1.5,51.0
596,P,18.0,1957.0,311.0,4.2,3.4,51.0
597,P,18.0,1958.0,438.0,6.6,2.7,51.0
598,P,18.0,1959.0,1236.0,5.3,0.9,65.3
599,P,18.0,1960.0,341.0,5.4,1.5,65.3
600,P,18.0,1961.0,284.0,6.5,1.1,64.0
601,P,18.0,1962.0,317.0,5.4,1.1,64.0
602,P,18.0,1963.0,267.0,5.5,1.2,68.0
603,P,18.0,1964.0,385.0,5.0,1.3,68.0
604,P,18.0,1965.0,379.0,4.4,1.7,68.0
605,P,18.0,1966.0,399.0,3.7,3.0,68.0
606,P,18.0,1967.0,636.0,3.7,2.8,64.0
607,P,18.0,1968.0,723.0,3.5,4.2,64.0
608,P,18.0,1969.0,615.0,3.4,5.4,58.0
609,P,18.0,1970.0,940.0,4.8,5.9,58.0
610,P,18.0,1971.0,668.0,5.8,4.3,54.0
611,P,18.0,1972.0,366.0,5.5,3.3,54.0
612,P,18.0,1973.0,625.0,4.8,6.2,56.0
613,P,18.0,1974.0,612.0,5.5,11.0,56.0
614,P,18.0,1975.0,403.0,8.3,9.1,62.0
615,P,18.0,1976.0,298.0,7.6,5.7,62.0
616,P,18.0,1977.0,255.0,6.9,6.5,61.0
617,P,18.0,1978.0,273.0,6.0,7.7,61.0
618,P,18.0,1979.0,228.0,5.8,11.3,58.0
619,P,18.0,1980.0,232.0,7.0,13.5,58.0
620,P,18.0,1981.0,186.0,7.5,10.3,46.0
621,P,18.0,1982.0,101.0,9.5,6.2,46.0
622,P,18.0,1983.0,192.0,9.5,3.2,46.0
623,P,18.0,1984.0,89.0,7.4,4.3,46.0
624,P,18.0,1985.0,73.0,7.1,3.6,47.0
