,history_num,session_num,user_cat
1137,176,quota emacs,USER2
1138,182,quota emcas emacs,USER2
1139,185,netscape & cd <1> a.out <1> a.out <1> a.out <1>,USER2
1140,188,netscape &,USER2
1141,191,quota emacs,USER2
1142,197,netscape & finger <1> finger <1> finger <1> finger <1>,USER2
1143,200,setenv <2> emacs quota fg ls logout,USER2
1144,201,ls ls | more ls | more cp <2> emacs rm <1> uncompree uncompress <1> emacs logout,USER2
1145,202,quota emacs,USER2
1146,205,quota emacs compress <1> quota cd <1> cd <1> cd <1> cd <1> rm <1> rm <1> cd <1> cd <1> rm <3> quota ls ls <1> cd <1> cd <1> compress <1> cd <1> rm <1> quota cd <1> cd <1> cd <1> cd <1> ls | mre ls | more cd <1> compress <1> quota cd <1> ls | more rm <1> rmdir <1> quota cd <1> ls <1> rmdir <1> man <1> ls rmdir -r <1> rm -r <1> cache quato quota cd finger <1> logout,USER2
1147,206,quota mkdir <1> ls uncompress <1> emacs,USER2
1148,209,cd <1> xcc <2> a.out <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd cd <1> more <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd netscape &,USER2
1149,212,finger <1> more <1> emacs,USER2
1150,215,netscape &,USER2
1151,218,cd <1> netscape & more <1>,USER2
1152,221,quota emacs,USER2
1153,227,cd <1> a.out <1> im <1> & cls ls cp <2>,USER2
1154,230,emacs,USER2
1155,233,logout,USER2
1156,237,mail <1> < <1>,USER2
1157,240,cd <1> ls -l | more volcheck cd <1> cd cd <1> cptof <1> ls <1> cptof <1> cd <1> ls -l cd eject logout,USER2
1158,241,cd <1> ls -l rlogin <1> xcc <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1>,USER2
1159,244,cd <1> volcheck ls <1> eject volcheck ls <1> cpfrf <1> ls diff <2> diff <2> eject logout,USER2
1160,245,cd <1> xcc <2> xcc <1> xcc <1> xcc <1> xcc <2> a.out <1> a.out <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> rlogin <1> rm <1>,USER2
1161,247,cd <1> volcheck ls <1> cptof <1> cptof <1> eject logout,USER2
1162,248,quota emacs ls rm <1> quota,USER2
1163,249,ls netscape & volcheck cd <1> ls -l mv <2> mv <2> ls <1> ls <1> cpfrf <1> ls cptof <1> cptof <1> cptof <1> cptof <1> ls <1> rm <4> ls,USER2
1164,250,eject cd <1> cd <1> xdvi <1> cd <1> cd <1> cd <1> xcc <1> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1>,USER2
1165,251,quota emacs,USER2
1166,252,cd <1> xcc <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1>,USER2
1167,254,cd <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> ls cp <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> volcheck ls <1> alias <1> alias <1> lsf ls -l <1> ls <1> ls cptof <1> cptof <1> eject,USER2
1168,256,quota emacs cd <1> rm <1>,USER2
1169,257,quota ls,USER2
1170,258,netscape &,USER2
1171,260,finger <1> netscape & rlogin <1> emacs cd <1> cd <1> ls -l <1> ls <1> rlogin <1> emacs,USER2
1172,262,cd <1> volcheck ls -l mv <2> mv <2> cptof <1> cptof <1> ls alias <3> lsf alias <1> alias <3> cd <1> more <1> alias <3> :1* cd <1> lsf ls <1> cpfrf <1> cpfrf <1> cpfrf <1> ls quota logout,USER2
1173,263,ls <1> ls -l <1> ls -l <1> 'ls -l ' <1> ls <2> ls -la <1> man <1> ls  <1> ls -Ll <1> ls -LRl <1> ls -LFl <1> cd <1> cd source <1> lsf more <1> lsf lsfr source <1> lafs lsfr lsf alias -Ll <3> :1 alias -LlR <3> :1 lsf ls -LlR <1> cd <1> xcc <1>,USER2
1174,264,cd <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls rm <2> ls rm <1> rm <1> rm <1> cp <2> dem <1> > <1> dem <2> more <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> cp <2> cp <2> tm <1> rm <1> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> rm <2> cp <2> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <2> xcc <1> xcc <1> xcc <1> xcc <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> alias <1> <GENSYM:12>/X11R6 cd <1> cd <1> cd <1> more <1> man <1> ls grep <2> grep <2> man <1> grep <2> cd cd <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc -g <2> rm <1> dbx <1> cp <2> dem <2> cc -g <2> xcc <2> xcc -g <2> xcc -g <2> xcc -g <2> xcc <1> xcc -g <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> rm <2> cp <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> volcheck lsf lsf <1> cptof <1> ff eject,USER2
1175,265,netscape & quota emacs emacs,USER2
1176,266,cd <1> rm <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> volcheck volcheck ls cptof <1> cptof <1> eject,USER2
1177,267,cd <1> cp <2> rm <1>,USER2
1178,268,quota emacs netscape &,USER2
1179,270,cd <1> rm <1> cp <2> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> xcc <2> a.out <1> rm <1> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> 1A a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls mv <2> ls mv <2>,USER2
1180,271,cd <1>,USER2
1181,272,quota cd <1> mv <2> volcheck lsf alias <1> lsf <1> cptof <1> ls rm <1> cpfrf <1> ls xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> xcc <2> cp <2> dem <2> xcc <1> dem <1> alias <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> cc  <1> | cb | grep -v <1> | more xcc <1>,USER2
1182,274,cd <1> xcc <1> xcc <1> cc  <1> > <1> xcc <1> more <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls xcc <1> quota emacs xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls dem <2> dem <2> xcc <1>,USER2
1183,275,"cd <1> cp <2> xcc <1> ls xcc <1> cd <1> mv <2> cd <1> xcc <1> volcheck lsf lsf <1> cptof <1> cptof <1> eject h ""tt2.c"" <12> ""tt2.c"" <8> ""tt2.c"" <12> ""tt2.c"" <7> ""tt2.c"" <7> ""tt2.c"" <12> ""tt2.c"" <7> ""tt2.c"" <12> ""tt2.c"" <10> ""tt2.c"" <8> cc: <4> <GENSYM:14>/seg > <1> <GENSYM:14>/seg > <1> <GENSYM:14>/seg > <1> Bad arg <1> <GENSYM:14>/seg > <1> 246 -rwxrwxrwx <8>",USER2
1184,276,cd <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> | more xcc <1> | more > <1> xcc <1> > <1> rm <1> xcc <1> > <1> less <1> cat <1> rm <1> rm <1> dem <2> xcc <1> xcc <1> ls diff <2> xcc <1> xcc <1> emacs <1> xcc <1>,USER2
1185,277,cd <1> volcheck ff mv <2> ls lsf <1> cpfrf <1> ls xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> rm <1> xcc -g <2> dbx <1> a.out <1> rm <1> dbx <1> xcc -g <2> xcc -g <2> a.out <1> rm <1> dbx <1> ls rm <2> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> cd <1> quota uncompress <1> ls cd <1> cd <1> uncompress <1> cd <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> quota rm <1> ff a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & lsf lsf <1> cptof <1> ff quota eject,USER2
1186,278,cd <1> im <1> &,USER2
1187,279,ls cd <1> volcheck cptof <1> cptof <1> rm <2> rm <2> ls xcc <1> xcc <1> xcc <2> ls cp <2> cp <2> ls diff <2> rm <1> cptof <1> rm <2> rm <1> ls cptof <1> rm <1> ls cptof <1> cptof <1> cd <1> rm <1> rm <1> ls cd cd <1> rm <2> ls xcc <2> a.out <1> more <1> more <1> a.out <1> a.out <1> xcc <2> xcc <2> a.out <1> xcc <2> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> more <1> a.out <1> a.out <1> a.out <1> lsf lsf <1> cd <1> mv <2> mv <2> cd cd <1> cptof <1> cptof <1> cptof <1> cptof <1> rm <1> ls,USER2
1188,281,eject,USER2
1189,283,quota emacs cd <1> matlab lp -d <2> cd <1> lp -d <2> lp -d <2> lp -d <2>,USER2
1190,285,ls cd <1> lwinfo <1> lpstat -o cd <1> lp -d <2> lpp <1> lpp <1> logout,USER2
1191,286,cd <1> cd <1> rm <1> rm <3> ls matlab ls lp -d <2> lp -d <2> lp -d <2> lp -d <2> cd cd <1> cd <1> xcc <2> a.out <1>,USER2
1192,288,cd <1> cd <1> cd <1> load <1> matlab,USER2
1193,290,quota emacs cd <1> quota cd <1> cd <1> uncompress <1>,USER2
1194,292,cd <1> mkdir <1> mv <2> cd <1> a.out rm <1> a.out cd <1> cd <1> cd <1> cd <1> cd cd <1> ls -l cd <1> rm <1> rm <1> quota cd,USER2
1195,294,quota emacs quota ls mv <2> uncompress <1> cd <1> rm <1> ls ls -l eject cptof <1>,USER2
1196,295,rlogin <1>,USER2
1197,296,volcheck lsf lsf lsf <1> eject volcheck lsf <1> cptof <1> ls cd <1> cptof <1> cptof <1> eject logout,USER2
1198,297,quota emacs,USER2
1199,299,finger <1> finger <1> finger <1> cd <1> ls cd <1> cd <1> mkdir <1> cd <1> rlogin <1> latex <1> ls xdvi <1> xdvi <1> xdvi <1> dvips <1> ph <1> lname <1> finger <1> ls lp -d <2> quota cd <1> cd <1> mkdir <1> cd <1> mail <2> < <1> mail <1> < <1> mail <1> < <1> cd cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2>,USER2
1200,300,quota emacs emacs cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> ls <1> ls <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> cd <1> quota emacs cd <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> xcc <1> xcc <1> rm <1> dem <2> xcc <1> xcc <1> rm <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> xcc <2> xcc <2> a.out <1> cp <2> a.out <1> a.out <1> rm <1> xcc -g <2> dbx <1> xxgdb dbx <1> rm <1> dem <2> xcc -g <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> a.out <1> rm <1> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> rm <1> dem <2> xcc <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1>,USER2
1201,301,ls cd <1> ls -l mv <2> mv <2> ls volcheck cpfrf <1> lsf lsf <1> cd <1> cd <1> cd <1> lsf <1> cpfrf <1> ls cd <1> cd <1> eject volcheck ls lsf <1> cpfrf <1> cpfrf <1> eject logout,USER2
1202,302,ls cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <1> ls <1> cd cd <1> a.out <1> a.out <1> a.out <1> im <1> & cd <1> cd <1> quota cd <1> cd <1> cd a.out <1> cd <1> a.out <1> im <1> &,USER2
1203,303,ls cd <1> volcheck ff cptof <1> cptof <1> ff cptof <1> cptof <1> cptof <1> cptof <1> eject,USER2
1204,304,quota emacs rlogin <1> ls cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1>,USER2
1205,306,volcheck cd <1> ls -l mv <1> mv <2> ls lsf <1> cpfrf <1> ls eject logout,USER2
1206,307,xcc <1> cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <2> xcc <2> xcc <2> xcc <2> xcc -g <2> dbx dbx <1> xcc -g <2> a.out <1> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> where dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> dbx <1> cp <2> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> dbx <1> a.out <1> rm <1> xcc -g <2> a.out <1> dbx <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> dbx <1> rm <1> cp <2> xcc -g <2> a.out <1> rm <1> dbx <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1>,USER2
1207,308,cd <1> cp <2> a.out <1> rm <1>,USER2
1208,310,ls cd <1> rm <4> cp <2> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc <1> xcc -g <2> a.out <1> rm <1> a.out <1> dbx <1> a.out <1> rm <1> a.out <1> a.out <1> a.out <1>,USER2
1209,312,quota emacs,USER2
1210,314,a.out <1> cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> more <1> xcc -g <2> a.out <1> quota cd emacs rm <1>,USER2
1211,315,cd <1>,USER2
1212,316,emacs emacs,USER2
1213,318,diff <2> cd <1> diff <2> rm <2> cp <2> xcc -g <2> a.out <1> mv <2> xcc <2> a.out <1> mv <2> z2 <1> z <1> z2 <1> z <1> z <1> z2 <1> more <1> a.out <1> z <1> z2 <1> z <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & quota emac emacs diff <2> xcc <2> diff <2> rm <1> ls mv <2> rm <2> ls diff <2> diff <2> > <1> more <1> netscape & ls volcheck lsf <1> ff cptof <1> cptof <1> ls ls -l eject,USER2
1214,320,quota emacs,USER2
1215,322,quota emacs,USER2
1216,326,cd <1> a.out <1> a.out a.out <1> a.out <1> a.out <1> a.out <1> .out <1> a.out <1> a.out <1> a.out <1> ls ls -l netscape &,USER2
1217,328,quota cd <1> volcheck ff ls -l mv <2> cptof <1> lsf <1> ls cpfrf <1> cpfrf <1> xcc <1> xcc <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> rm <1> dbx <1> rm <1> dem <2> xcc -g <2> xcc -g <2> dbx <1> xcc -g <2> a.out <1> rm <1> dbx <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> > <1> more <1> ls rm <1> xcc -g <2> a.out <1> > <1> rm <1> xcc -g <2> a.out <1> > <1> rm <1> a.out <1> > <1> a.out <1> > <1> lsf lsf <1> cptof <1> cptof <1> cptof <1> eject,USER2
1218,332,cd <1> xcc -g <2> xcc -g <2> xcc -g <2> a.out > <1> a.out <1> > <1> rm <1> a.out <1> > <1> rm <1> cp <2> ls xcc -g <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> rm <1> dbx <1>,USER2
1219,333,finger cd <1> ls,USER2
1220,334,cd <1> mv <2> ls cp <2> xcc -g <2> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> xcc -g <2> a.out <1> > <1> ls quota netscape & quota ls rm <6> ls rm <7> quota rm <1> ls cd rm <1> unrm ls rm <1> quota compress <2> cd <1> rm <1> quota more <1> rm <1> ls compress <1> quota uncompress <1> compress <1>,USER2
1221,336,cd <1> uncompress <1> dem <2> xcc -g <2> xcc -g <2> a.out <1>,USER2
1222,340,cd <1> a.out <1> > <1> xcc <2> a.out <1> > <1> xcc <2> a.out <1> > <1> xcc <2> a.out <1> > <1> netscape & xcc -g <2> a.out <1> > <1> rm <1> a.out <1> > <1> xcc -g <2> a.out > <1> rm <1> a.out <1> > <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out a.out <1> a.out <1> ls rm <10> ls rm <1> ls more <1> ls rm <1> ls rm <1> ls,USER2
1223,342,cd <1> xcc <1> xcc <1> xcc <1> xcc <1> xcc <2> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.ot <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> ls -l lsf <1> volcheck lsf <1> cd <1> ls cd <1> cd <1> cd cd <1> cptof <1> cptof <1> cptof <1> eject,USER2
1224,346,quota emacs,USER2
1225,350,help <1> man <1> man <1> man <1> man -k <1> xterm help <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> man <1> logout,USER2
1226,351,quota emacs cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> quota ls cd uncompress <1> ls emacs a.out <1> cd <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> im <1> & a.out <1> a.out <1> a.out <1> ls -l,USER2
1227,354,ls ls mv <2> ls more <1>,USER2
1228,355,cd <1> xcc <2> a.out <1> a.out <1> > <1>,USER2
1229,359,quota ls ls rm <1> ls emacs,USER2
1230,362,quota emacs quota ls rm <1> rm <1> quota cd <1> rm <1> rm <1> more <1> rm <1> ls rm <1> quota netscape cd <1> netscape & quota netscape & quota ls compress <1> quota uncompress <1> ls cd <1> xcc <2> a.out <1> a.out <1> > <1> more <1> a.out <1> > <1> a.out <1> > <1> a.out <1> > <1> a.out <1> > <1> a.out <1> a.out <1> a.out <1> im <1> & cd <1> cd <1> more <1> cd <1> uncompress <1> im <1> & <GENSYM:15>/im <1> & cd <1> a.out <1>,USER2
1231,364,quota emacs,USER2
1232,368,netscape & quota quota emacs,USER2
1233,371,netscape &,USER2
1234,374,quota emacs cd <1> a.out <1> > <1> a.out <1> > <1> im <1> & im <1> g bg ls <1> im <1> im <1> bg im <1> &,USER2
1235,377,quota emacs,USER2
1236,383,netscape & quota emacs cd <1> im <1> im <1> im <1> ls a.out <1>,USER2
1237,385,cd <1> cd <1> cd <1> cd <1> cd <1> <GENSYM:16>/im <1> cd cd <1>,USER2
1238,392,pgp -ka <1> pgp -kxa <2> mail <1> < <1> pgp -ka <1> pgp -kxa <2> mail <1> < <1> mail <1> < <1> ls <1> pgp -kvv pgp -ka <1> pgp -ka <1> pgp -kvv mail <2> mail <1> < <1>,USER2
1239,393,mkdir <1> rmdir <1> mkdir <1> pgp -kg pgp -kv pgp -ks <1> pgp -kvv pgp -kxa <1> more <1> cd <1> cd <1> more <1> mail <1> < <1> mail <1> < <1> mail <1> < <1> pgp -kvc emacs,USER2
1240,394,netscape & ls rm <6> ls rm <1> rm <1> ls more <1>,USER2
1241,395,quota emacs cd <1> im <1> more <1> ls <1> im <1> bg a.out <1> a.out <2>,USER2
1242,398,quota emacs logout,USER2
1243,399,emacs logout,USER2
1244,400,mail <1> < <1>,USER2
1245,403,quota netscape & quota cd <1> rm <7> rm <1> quota cd <1> cd <1> more <1> more <1> xcc <1> ls <1> a.out <2> > <1> im <2> cd <1> rm <1> cd <1> mv <2> quota cd <1> compress <1> quota ls cd <1> rm <1> quota compress <1> quota cd <1> cd <1> rm <1> rm <1> cd <1> rmdir <1> quota ls cd <1> ls compress <1> compress <1> quota ls compress <1> compress <1> quota compress <1> quota compress <1> quota cd <1> cd <1> xcc <2> a.out <2> ls <1> cd <1> uncompress <1> cd <1> a.out <2> a.out <2> im <1> & a.out <2>,USER2
1246,406,emacs finger <1> finger <1> finger <1> finger <1> finger <1> finger <1> quota emacs,USER2
1247,409,quota emacs logout,USER2
1248,410,matlab finger,USER2
1249,411,cd <1> mv <2> ls rlogin <1> rlogin <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> xcc -g <2> dbx <1> a.out <1> rm <1> dbx <1> xcc <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> a.out <1> rm <1> dbx <1> xcc -g <2> a.out <1> a.out <1> a.out <1> xcc -g <2> a.out <1> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> a.out <1> > <1> more <1> xcc -g <2> rm <1> a.out <1> > <1> more <1> rm <1> xcc -g <2> a.out <1> > <1> more <1> a.out <1> xcc -g <2> a.out <1> ls more <1> xcc -g <2> a.out <1> xcc -g <2> a.out <1> & rm <1> a.out <1> & a.out <1> & a.out <1> more <1> a.out <1> a.out <1> a.out <1> a.out <1> rm <1> ls,USER2
1250,412,cd <1> uncompress <1> latex <1> bibtex <1> latex <1> latex <1> xdvi <1> dvips <1> compress <1> latex <1> dvips <1> gs <1> mail <1> < <1> ls rm <5> ls rm <1> cd <1> latex <1> ls uncompress <1> latex <1> bibtex <2> bibtex <1> latex <1> latex <1> dvips <1> gs <1> mail <1> < <1> ls rm <6>,USER2
1251,413,cd <1> volcheck lsf <1> cpfrf <1> ls eject xcc <2> xcc <2> xcc <2> xcc <2> a.out <1> rm <1> xcc -g <2> dbx <1> xcc -g <2> a.out <1> logout,USER2
1252,414,volcheck cd <1> cptof <1> eject a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1> a.out <1>,USER2
1253,417,mail <1> < <1> quota emacs,USER2
