,binaryClass_cat,OBS._num,TOWN_cat,TOWN_ID_num,TRACT_num,LON_num,LAT_num,MEDV_num,CMEDV_num,CRIM_num,ZN_num,INDUS_num,CHAS_cat,NOX_num,RM_num,AGE_num,DIS_num,RAD_cat,TAX_num,PTRATIO_num,B_num
159,P,160.0,Cambridge,28.0,3538.0,-71.065,42.2223,23.3,23.3,1.42502,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403.0,14.7,364.31
160,P,161.0,Cambridge,28.0,3539.0,-71.07,42.2214,27.0,27.0,1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403.0,14.7,338.92
161,P,162.0,Cambridge,28.0,3540.0,-71.0735,42.2282,50.0,50.0,1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403.0,14.7,374.43
162,P,163.0,Cambridge,28.0,3541.0,-71.077,42.225,50.0,50.0,1.83377,0.0,19.58,1,0.605,7.802,98.2,2.0407,5,403.0,14.7,389.61
163,P,164.0,Cambridge,28.0,3542.0,-71.0815,42.225,50.0,50.0,1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403.0,14.7,388.45
164,P,165.0,Cambridge,28.0,3543.0,-71.0918,42.2265,22.7,22.7,2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403.0,14.7,395.11
165,P,166.0,Cambridge,28.0,3544.0,-71.082,42.2295,25.0,25.0,2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403.0,14.7,240.16
166,P,167.0,Cambridge,28.0,3545.0,-71.077,42.2305,50.0,50.0,2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403.0,14.7,369.3
167,P,168.0,Cambridge,28.0,3546.0,-71.0866,42.2345,23.8,23.8,1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403.0,14.7,227.61
168,P,169.0,Cambridge,28.0,3547.0,-71.074,42.2331,23.8,23.8,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403.0,14.7,297.09
169,P,170.0,Cambridge,28.0,3548.0,-71.0775,42.2351,22.3,22.3,2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403.0,14.7,330.04
170,N,171.0,Cambridge,28.0,3549.0,-71.081,42.2368,17.4,17.4,1.20742,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403.0,14.7,292.29
171,P,172.0,Cambridge,28.0,3550.0,-71.0792,42.239,19.1,19.1,2.3139,0.0,19.58,0,0.605,5.88,97.3,2.3887,5,403.0,14.7,348.13
172,N,173.0,Arlington,29.0,3561.0,-71.087,42.2416,23.1,23.1,0.13914,0.0,4.05,0,0.51,5.572,88.5,2.5961,5,296.0,16.6,396.9
173,P,174.0,Arlington,29.0,3562.0,-71.0855,42.245,23.6,23.6,0.09178,0.0,4.05,0,0.51,6.416,84.1,2.6463,5,296.0,16.6,395.5
174,P,175.0,Arlington,29.0,3563.0,-71.0833,42.2475,22.6,22.6,0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296.0,16.6,393.23
175,P,176.0,Arlington,29.0,3564.0,-71.094,42.2575,29.4,29.4,0.06664,0.0,4.05,0,0.51,6.546,33.1,3.1323,5,296.0,16.6,390.96
176,P,177.0,Arlington,29.0,3565.0,-71.1125,42.255,23.2,23.2,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,393.23
177,P,178.0,Arlington,29.0,3566.0,-71.106,42.2512,24.6,24.6,0.05425,0.0,4.05,0,0.51,6.315,73.4,3.3175,5,296.0,16.6,395.6
178,P,179.0,Arlington,29.0,3567.0,-71.0965,42.247,29.9,29.9,0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296.0,16.6,391.27
179,P,180.0,Belmont,30.0,3571.0,-71.1,42.2408,37.2,37.2,0.0578,0.0,2.46,0,0.488,6.98,58.4,2.829,3,193.0,17.8,396.9
180,P,181.0,Belmont,30.0,3572.0,-71.0995,42.2345,39.8,39.8,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.741,3,193.0,17.8,395.56
181,P,182.0,Belmont,30.0,3573.0,-71.0966,42.2282,36.2,36.2,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193.0,17.8,396.9
182,P,183.0,Belmont,30.0,3574.0,-71.1005,42.2287,37.9,37.9,0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193.0,17.8,394.12
183,P,184.0,Belmont,30.0,3575.0,-71.1065,42.23,32.5,32.5,0.10008,0.0,2.46,0,0.488,6.563,95.6,2.847,3,193.0,17.8,396.9
184,N,185.0,Belmont,30.0,3576.0,-71.112,42.23,26.4,26.4,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193.0,17.8,391.0
185,N,186.0,Belmont,30.0,3577.0,-71.1175,42.235,29.6,29.6,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193.0,17.8,387.11
186,P,187.0,Belmont,30.0,3578.0,-71.1115,42.2442,50.0,50.0,0.05602,0.0,2.46,0,0.488,7.831,53.6,3.1992,3,193.0,17.8,392.63
187,P,188.0,Lexington,31.0,3581.0,-71.122,42.2565,32.0,32.0,0.07875,45.0,3.44,0,0.437,6.782,41.1,3.7886,5,398.0,15.2,393.87
188,P,189.0,Lexington,31.0,3583.0,-71.1408,42.255,29.8,29.8,0.12579,45.0,3.44,0,0.437,6.556,29.1,4.5667,5,398.0,15.2,382.84
189,P,190.0,Lexington,31.0,3584.0,-71.145,42.2651,34.9,34.9,0.0837,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398.0,15.2,396.9
190,P,191.0,Lexington,31.0,3585.0,-71.1216,42.27,37.0,33.0,0.09068,45.0,3.44,0,0.437,6.951,21.5,6.4798,5,398.0,15.2,377.68
191,P,192.0,Lexington,31.0,3586.0,-71.1485,42.2765,30.5,30.5,0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398.0,15.2,389.71
192,P,193.0,Lexington,31.0,3587.0,-71.134,42.2785,36.4,36.4,0.08664,45.0,3.44,0,0.437,7.178,26.3,6.4798,5,398.0,15.2,390.49
193,P,194.0,Bedford,32.0,3591.0,-71.1525,42.3,31.1,31.1,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265.0,15.6,393.37
194,P,195.0,Bedford,32.0,3592.0,-71.1633,42.303,29.1,29.1,0.01439,60.0,2.93,0,0.401,6.604,18.8,6.2196,1,265.0,15.6,376.7
195,P,196.0,Lincoln,33.0,3602.0,-71.189,42.2525,50.0,50.0,0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255.0,14.4,394.23
196,P,197.0,Concord,34.0,3611.0,-71.22,42.2715,33.3,33.3,0.04011,80.0,1.52,0,0.404,7.287,34.1,7.309,2,329.0,12.6,396.9
197,P,198.0,Concord,34.0,3612.0,-71.24,42.2725,30.3,30.3,0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329.0,12.6,354.31
198,P,199.0,Concord,34.0,3613.0,-71.222,42.289,34.6,34.6,0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329.0,12.6,392.2
199,P,200.0,Sudbury,35.0,3651.0,-71.244,42.2425,34.9,34.9,0.0315,95.0,1.47,0,0.403,6.975,15.3,7.6534,3,402.0,17.0,396.9
200,P,201.0,Sudbury,35.0,3652.0,-71.263,42.2225,32.9,32.9,0.01778,95.0,1.47,0,0.403,7.135,13.9,7.6534,3,402.0,17.0,384.3
201,P,202.0,Wayland,36.0,3661.0,-71.2185,42.1955,24.1,24.1,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348.0,14.7,393.77
202,P,203.0,Wayland,36.0,3662.0,-71.214,42.218,42.3,42.3,0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348.0,14.7,395.38
203,P,204.0,Weston,37.0,3671.0,-71.199,42.232,48.5,48.5,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224.0,14.7,392.78
204,P,205.0,Weston,37.0,3672.0,-71.199,42.2058,50.0,50.0,0.02009,95.0,2.68,0,0.4161,8.034,31.9,5.118,4,224.0,14.7,390.55
205,P,206.0,Waltham,38.0,3681.0,-71.1475,42.2445,22.6,22.6,0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277.0,18.6,396.9
206,P,207.0,Waltham,38.0,3682.0,-71.15,42.2308,24.4,24.4,0.22969,0.0,10.59,0,0.489,6.326,52.5,4.3549,4,277.0,18.6,394.87
207,N,208.0,Waltham,38.0,3683.0,-71.149,42.2268,22.5,22.5,0.25199,0.0,10.59,0,0.489,5.783,72.7,4.3549,4,277.0,18.6,389.43
208,N,209.0,Waltham,38.0,3684.0,-71.1503,42.222,24.4,24.4,0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277.0,18.6,381.32
209,N,210.0,Waltham,38.0,3685.0,-71.143,42.2217,20.0,20.0,0.43571,0.0,10.59,1,0.489,5.344,100.0,3.875,4,277.0,18.6,396.9
210,N,211.0,Waltham,38.0,3686.0,-71.1435,42.2177,21.7,21.7,0.17446,0.0,10.59,1,0.489,5.96,92.1,3.8771,4,277.0,18.6,393.25
211,N,212.0,Waltham,38.0,3687.0,-71.138,42.2216,19.3,19.3,0.37578,0.0,10.59,1,0.489,5.404,88.6,3.665,4,277.0,18.6,395.24
212,N,213.0,Waltham,38.0,3688.0,-71.1335,42.225,22.4,22.4,0.21719,0.0,10.59,1,0.489,5.807,53.8,3.6526,4,277.0,18.6,390.94
213,P,214.0,Waltham,38.0,3689.0,-71.1375,42.2355,28.1,28.1,0.14052,0.0,10.59,0,0.489,6.375,32.3,3.9454,4,277.0,18.6,385.81
214,N,215.0,Waltham,38.0,3690.0,-71.127,42.235,23.7,23.7,0.28955,0.0,10.59,0,0.489,5.412,9.8,3.5875,4,277.0,18.6,348.93
215,P,216.0,Waltham,38.0,3691.0,-71.1245,42.2277,25.0,25.0,0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277.0,18.6,393.63
216,N,217.0,Watertown,39.0,3701.0,-71.1166,42.223,23.3,23.3,0.0456,0.0,13.89,1,0.55,5.888,56.0,3.1121,5,276.0,16.4,392.8
217,P,218.0,Watertown,39.0,3702.0,-71.105,42.2235,28.7,28.7,0.07013,0.0,13.89,0,0.55,6.642,85.1,3.4211,5,276.0,16.4,392.78
218,N,219.0,Watertown,39.0,3703.0,-71.0933,42.222,21.5,21.5,0.11069,0.0,13.89,1,0.55,5.951,93.8,2.8893,5,276.0,16.4,396.9
219,P,220.0,Watertown,39.0,3704.0,-71.106,42.2185,23.0,23.0,0.11425,0.0,13.89,1,0.55,6.373,92.4,3.3633,5,276.0,16.4,393.74
220,P,221.0,Newton,40.0,3731.0,-71.11,42.2137,26.7,26.7,0.35809,0.0,6.2,1,0.507,6.951,88.5,2.8617,8,307.0,17.4,391.7
221,N,222.0,Newton,40.0,3732.0,-71.121,42.2166,21.7,21.7,0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307.0,17.4,395.24
222,P,223.0,Newton,40.0,3733.0,-71.125,42.2134,27.5,27.5,0.62356,0.0,6.2,1,0.507,6.879,77.7,3.2721,8,307.0,17.4,390.39
223,P,224.0,Newton,40.0,3734.0,-71.1208,42.2183,30.1,30.1,0.6147,0.0,6.2,0,0.507,6.618,80.8,3.2721,8,307.0,17.4,396.9
224,P,225.0,Newton,40.0,3735.0,-71.11,42.206,44.8,44.8,0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307.0,17.4,385.05
225,P,226.0,Newton,40.0,3736.0,-71.1012,42.1975,50.0,50.0,0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307.0,17.4,382.0
226,P,227.0,Newton,40.0,3737.0,-71.1215,42.2025,37.6,37.6,0.38214,0.0,6.2,0,0.504,8.04,86.5,3.2157,8,307.0,17.4,387.38
227,P,228.0,Newton,40.0,3738.0,-71.116,42.1947,31.6,31.6,0.41238,0.0,6.2,0,0.504,7.163,79.9,3.2157,8,307.0,17.4,372.08
228,P,229.0,Newton,40.0,3739.0,-71.11,42.185,46.7,46.7,0.29819,0.0,6.2,0,0.504,7.686,17.0,3.3751,8,307.0,17.4,377.51
229,P,230.0,Newton,40.0,3740.0,-71.119,42.1807,31.5,31.5,0.44178,0.0,6.2,0,0.504,6.552,21.4,3.3751,8,307.0,17.4,380.34
230,P,231.0,Newton,40.0,3741.0,-71.13,42.188,24.3,24.3,0.537,0.0,6.2,0,0.504,5.981,68.1,3.6715,8,307.0,17.4,378.35
231,P,232.0,Newton,40.0,3742.0,-71.1285,42.193,31.7,31.7,0.46296,0.0,6.2,0,0.504,7.412,76.9,3.6715,8,307.0,17.4,376.14
232,P,233.0,Newton,40.0,3743.0,-71.14,42.1946,41.7,41.7,0.57529,0.0,6.2,0,0.507,8.337,73.3,3.8384,8,307.0,17.4,385.91
233,P,234.0,Newton,40.0,3744.0,-71.134,42.204,48.3,48.3,0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307.0,17.4,378.95
234,P,235.0,Newton,40.0,3745.0,-71.132,42.2142,29.0,29.0,0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307.0,17.4,360.2
235,P,236.0,Newton,40.0,3746.0,-71.138,42.2141,24.0,24.0,0.33045,0.0,6.2,0,0.507,6.086,61.5,3.6519,8,307.0,17.4,376.75
236,P,237.0,Newton,40.0,3747.0,-71.1485,42.211,25.1,25.1,0.52058,0.0,6.2,1,0.507,6.631,76.5,4.148,8,307.0,17.4,388.45
237,P,238.0,Newton,40.0,3748.0,-71.1491,42.203,31.5,31.5,0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307.0,17.4,390.07
238,P,239.0,Natick,41.0,3821.0,-71.2055,42.1875,23.7,23.7,0.08244,30.0,4.93,0,0.428,6.481,18.5,6.1899,6,300.0,16.6,379.41
239,P,240.0,Natick,41.0,3822.0,-71.2035,42.187,23.3,23.3,0.09252,30.0,4.93,0,0.428,6.606,42.2,6.1899,6,300.0,16.6,383.78
240,P,241.0,Natick,41.0,3823.0,-71.1966,42.164,22.0,27.0,0.11329,30.0,4.93,0,0.428,6.897,54.3,6.3361,6,300.0,16.6,391.25
241,P,242.0,Natick,41.0,3824.0,-71.2138,42.1645,20.1,20.1,0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300.0,16.6,394.62
242,P,243.0,Natick,41.0,3825.0,-71.22,42.1782,22.2,22.2,0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300.0,16.6,372.75
243,P,244.0,Natick,41.0,3826.0,-71.232,42.1725,23.7,23.7,0.12757,30.0,4.93,0,0.428,6.393,7.8,7.0355,6,300.0,16.6,374.71
244,P,245.0,Framingham,42.0,3831.0,-71.2435,42.163,17.6,17.6,0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330.0,19.1,372.49
245,N,246.0,Framingham,42.0,3832.0,-71.2575,42.1618,18.5,18.5,0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330.0,19.1,389.13
246,P,247.0,Framingham,42.0,3833.0,-71.262,42.169,24.3,24.3,0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330.0,19.1,390.18
247,P,248.0,Framingham,42.0,3834.0,-71.247,42.1703,20.5,20.5,0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330.0,19.1,376.14
248,P,249.0,Framingham,42.0,3835.0,-71.255,42.1767,24.5,24.5,0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330.0,19.1,374.71
249,P,250.0,Framingham,42.0,3836.0,-71.2475,42.1825,26.2,26.2,0.19073,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330.0,19.1,393.74
250,P,251.0,Framingham,42.0,3837.0,-71.238,42.191,24.4,24.4,0.1403,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330.0,19.1,396.28
251,P,252.0,Framingham,42.0,3838.0,-71.2435,42.1982,24.8,24.8,0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330.0,19.1,377.07
252,P,253.0,Framingham,42.0,3839.0,-71.2685,42.1935,29.6,29.6,0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330.0,19.1,386.09
253,P,254.0,Framingham,42.0,3840.0,-71.2807,42.1727,42.8,42.8,0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330.0,19.1,396.9
254,P,255.0,Ashland,43.0,3851.0,-71.2895,42.1575,21.9,21.9,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315.0,16.4,392.89
255,P,256.0,Ashland,43.0,3852.0,-71.269,42.1482,20.9,20.9,0.03548,80.0,3.64,0,0.392,5.876,19.1,9.2203,1,315.0,16.4,395.18
256,P,257.0,Sherborn,44.0,3861.0,-71.223,42.145,44.0,44.0,0.01538,90.0,3.75,0,0.394,7.454,34.2,6.3361,3,244.0,15.9,386.34
257,P,258.0,Brookline,45.0,4001.0,-71.0679,42.2073,50.0,50.0,0.61154,20.0,3.97,0,0.647,8.704,86.9,1.801,5,264.0,13.0,389.7
258,P,259.0,Brookline,45.0,4002.0,-71.0727,42.2077,36.0,36.0,0.66351,20.0,3.97,0,0.647,7.333,100.0,1.8946,5,264.0,13.0,383.29
259,P,260.0,Brookline,45.0,4003.0,-71.0765,42.2075,30.1,30.1,0.65665,20.0,3.97,0,0.647,6.842,100.0,2.0107,5,264.0,13.0,391.93
260,P,261.0,Brookline,45.0,4004.0,-71.08,42.204,33.8,33.8,0.54011,20.0,3.97,0,0.647,7.203,81.8,2.1121,5,264.0,13.0,392.8
261,P,262.0,Brookline,45.0,4005.0,-71.079,42.202,43.1,43.1,0.53412,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264.0,13.0,388.37
262,P,263.0,Brookline,45.0,4006.0,-71.0835,42.2,48.8,48.8,0.52014,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264.0,13.0,386.86
263,P,264.0,Brookline,45.0,4007.0,-71.075,42.198,31.0,31.0,0.82526,20.0,3.97,0,0.647,7.327,94.5,2.0788,5,264.0,13.0,393.42
264,P,265.0,Brookline,45.0,4008.0,-71.071,42.203,36.5,36.5,0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264.0,13.0,387.89
265,P,266.0,Brookline,45.0,4009.0,-71.07,42.2,22.8,22.8,0.76162,20.0,3.97,0,0.647,5.56,62.8,1.9865,5,264.0,13.0,392.4
266,N,267.0,Brookline,45.0,4010.0,-71.0725,42.1965,30.7,30.7,0.7857,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264.0,13.0,384.07
267,P,268.0,Brookline,45.0,4011.0,-71.085,42.1925,50.0,50.0,0.57834,20.0,3.97,0,0.575,8.297,67.0,2.4216,5,264.0,13.0,384.54
268,P,269.0,Brookline,45.0,4012.0,-71.0925,42.2075,43.5,43.5,0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264.0,13.0,390.3
269,N,270.0,Dedham,46.0,4021.0,-71.098,42.154,20.7,20.7,0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223.0,18.6,391.34
270,N,271.0,Dedham,46.0,4022.0,-71.087,42.141,21.1,21.1,0.29916,20.0,6.96,0,0.464,5.856,42.1,4.429,3,223.0,18.6,388.65
271,P,272.0,Dedham,46.0,4023.0,-71.094,42.1355,25.2,25.2,0.16211,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223.0,18.6,396.9
272,P,273.0,Dedham,46.0,4024.0,-71.0982,42.1445,24.4,24.4,0.1146,20.0,6.96,0,0.464,6.538,58.7,3.9175,3,223.0,18.6,394.96
273,P,274.0,Dedham,46.0,4025.0,-71.117,42.151,35.2,35.2,0.22188,20.0,6.96,1,0.464,7.691,51.8,4.3665,3,223.0,18.6,390.77
274,P,275.0,Needham,47.0,4031.0,-71.1305,42.1675,32.4,32.4,0.05644,40.0,6.41,1,0.447,6.758,32.9,4.0776,4,254.0,17.6,396.9
275,P,276.0,Needham,47.0,4032.0,-71.138,42.1733,32.0,32.0,0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254.0,17.6,396.9
276,P,277.0,Needham,47.0,4033.0,-71.1405,42.1632,33.2,33.2,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254.0,17.6,389.25
277,P,278.0,Needham,47.0,4034.0,-71.1495,42.173,33.1,33.1,0.06127,40.0,6.41,1,0.447,6.826,27.6,4.8628,4,254.0,17.6,393.45
278,P,279.0,Needham,47.0,4035.0,-71.1395,42.1813,29.1,29.1,0.07978,40.0,6.41,0,0.447,6.482,32.1,4.1403,4,254.0,17.6,396.9
279,P,280.0,Wellesley,48.0,4041.0,-71.148,42.188,35.1,35.1,0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216.0,14.9,396.9
280,P,281.0,Wellesley,48.0,4042.0,-71.166,42.187,45.4,45.4,0.03578,20.0,3.33,0,0.4429,7.82,64.5,4.6947,5,216.0,14.9,387.31
281,P,282.0,Wellesley,48.0,4043.0,-71.185,42.1848,35.4,35.4,0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216.0,14.9,392.23
282,P,283.0,Wellesley,48.0,4044.0,-71.1775,42.1735,46.0,46.0,0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216.0,14.9,377.07
283,P,284.0,Dover,49.0,4051.0,-71.173,42.1475,50.0,50.0,0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198.0,13.6,395.52
284,P,285.0,Medfield,50.0,4061.0,-71.18,42.1105,32.2,32.2,0.00906,90.0,2.97,0,0.4,7.088,20.8,7.3073,1,285.0,15.3,394.72
285,P,286.0,Millis,51.0,4071.0,-71.2135,42.1,22.0,22.0,0.01096,55.0,2.25,0,0.389,6.453,31.9,7.3073,1,300.0,15.3,394.72
286,N,287.0,Norfolk,52.0,4091.0,-71.195,42.0675,20.1,20.1,0.01965,80.0,1.76,0,0.385,6.23,31.5,9.0892,1,241.0,18.2,341.6
287,P,288.0,Walpole,53.0,4111.0,-71.148,42.0775,23.2,23.2,0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293.0,16.6,396.9
288,P,289.0,Walpole,53.0,4112.0,-71.1325,42.094,22.3,22.3,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293.0,16.6,396.9
289,P,290.0,Walpole,53.0,4113.0,-71.155,42.098,24.8,24.8,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293.0,16.6,371.72
290,P,291.0,Westwood,54.0,4121.0,-71.1385,42.1235,28.5,28.5,0.03502,80.0,4.95,0,0.411,6.861,27.9,5.1167,4,245.0,19.2,396.9
291,P,292.0,Westwood,54.0,4122.0,-71.133,42.1408,37.3,37.3,0.07886,80.0,4.95,0,0.411,7.148,27.7,5.1167,4,245.0,19.2,396.9
292,P,293.0,Westwood,54.0,4123.0,-71.107,42.1307,27.9,27.9,0.03615,80.0,4.95,0,0.411,6.63,23.4,5.1167,4,245.0,19.2,396.9
293,P,294.0,Norwood,55.0,4131.0,-71.109,42.11,23.9,23.9,0.08265,0.0,13.92,0,0.437,6.127,18.4,5.5027,4,289.0,16.0,396.9
294,P,295.0,Norwood,55.0,4132.0,-71.118,42.1217,21.7,21.7,0.08199,0.0,13.92,0,0.437,6.009,42.3,5.5027,4,289.0,16.0,396.9
295,P,296.0,Norwood,55.0,4133.0,-71.1309,42.1166,28.6,28.6,0.12932,0.0,13.92,0,0.437,6.678,31.1,5.9604,4,289.0,16.0,396.9
296,P,297.0,Norwood,55.0,4134.0,-71.128,42.1108,27.1,27.1,0.05372,0.0,13.92,0,0.437,6.549,51.0,5.9604,4,289.0,16.0,392.85
297,N,298.0,Norwood,55.0,4135.0,-71.121,42.1025,20.3,20.3,0.14103,0.0,13.92,0,0.437,5.79,58.0,6.32,4,289.0,16.0,396.9
298,P,299.0,Sharon,56.0,4141.0,-71.12,42.0725,22.5,22.5,0.06466,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358.0,14.8,368.24
299,P,300.0,Sharon,56.0,4142.0,-71.1,42.059,29.0,29.0,0.05561,70.0,2.24,0,0.4,7.041,10.0,7.8278,5,358.0,14.8,371.58
300,P,301.0,Sharon,56.0,4143.0,-71.1035,42.0735,24.8,24.8,0.04417,70.0,2.24,0,0.4,6.871,47.4,7.8278,5,358.0,14.8,390.86
301,P,302.0,Canton,57.0,4151.0,-71.0875,42.095,22.0,22.0,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329.0,16.1,395.75
302,P,303.0,Canton,57.0,4152.0,-71.0625,42.102,26.4,26.4,0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329.0,16.1,383.61
303,P,304.0,Canton,57.0,4153.0,-71.0865,42.12,33.1,33.1,0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329.0,16.1,390.43
304,P,305.0,Milton,58.0,4161.0,-71.0465,42.145,36.1,36.1,0.05515,33.0,2.18,0,0.472,7.236,41.1,4.022,7,222.0,18.4,393.68
305,P,306.0,Milton,58.0,4162.0,-71.057,42.1525,28.4,28.4,0.05479,33.0,2.18,0,0.472,6.616,58.1,3.37,7,222.0,18.4,393.36
306,P,307.0,Milton,58.0,4163.0,-71.045,42.159,33.4,33.4,0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222.0,18.4,396.9
307,P,308.0,Milton,58.0,4164.0,-71.028,42.1565,28.2,28.2,0.04932,33.0,2.18,0,0.472,6.849,70.3,3.1827,7,222.0,18.4,396.9
308,P,309.0,Quincy,59.0,4171.0,-71.0138,42.1555,22.8,22.8,0.49298,0.0,9.9,0,0.544,6.635,82.5,3.3175,4,304.0,18.4,396.9
309,P,310.0,Quincy,59.0,4172.0,-71.0201,42.16,20.3,20.3,0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304.0,18.4,396.24
310,P,311.0,Quincy,59.0,4173.0,-71.016,42.176,16.1,16.1,2.63548,0.0,9.9,0,0.544,4.973,37.8,2.5194,4,304.0,18.4,350.45
311,P,312.0,Quincy,59.0,4174.0,-71.0075,42.178,22.1,22.1,0.79041,0.0,9.9,0,0.544,6.122,52.8,2.6403,4,304.0,18.4,396.9
312,P,313.0,Quincy,59.0,4175.0,-71.015,42.167,19.4,19.4,0.26169,0.0,9.9,0,0.544,6.023,90.4,2.834,4,304.0,18.4,396.3
313,P,314.0,Quincy,59.0,4176.0,-71.0075,42.1613,21.6,21.6,0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304.0,18.4,393.39
314,P,315.0,Quincy,59.0,4177.0,-71.0,42.153,23.8,23.8,0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304.0,18.4,395.69
315,P,316.0,Quincy,59.0,4178.0,-70.9795,42.158,16.2,16.2,0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304.0,18.4,396.42
316,N,317.0,Quincy,59.0,4179.0,-70.988,42.1485,17.8,17.8,0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304.0,18.4,390.7
317,N,318.0,Quincy,59.0,4180.0,-71.004,42.1425,19.8,19.8,0.24522,0.0,9.9,0,0.544,5.782,71.7,4.0317,4,304.0,18.4,396.9
318,P,319.0,Quincy,59.0,4181.0,-71.01,42.15,23.1,23.1,0.40202,0.0,9.9,0,0.544,6.382,67.2,3.5325,4,304.0,18.4,395.21
319,N,320.0,Quincy,59.0,4182.0,-71.02,42.151,21.0,21.0,0.47547,0.0,9.9,0,0.544,6.113,58.8,4.0019,4,304.0,18.4,396.23
