,binaryClass_cat,climbRate_num,Altitude_num,RollRate_num,curRoll_num,diffClb_num,diffDiffClb_num
1460,N,2.0,-40.0,0.0062,-0.012,0.3,0.0
1461,N,5.7,-30.0,0.005,-0.005,0.2,0.0
1462,P,-2.9,-10.0,-0.0076,0.008,-0.3,0.0
1463,N,-1.8,-20.0,-0.0062,-0.029,0.1,0.01
1464,P,-1.8,-20.0,0.0073,-0.027,0.0,0.0
1465,P,-2.0,-30.0,0.0022,0.008,-0.1,0.0
1466,N,2.9,-20.0,0.0061,0.012,-0.1,0.01
1467,P,-4.2,-20.0,-0.0053,0.015,-0.2,0.0
1468,N,1.4,-30.0,-0.0054,-0.013,0.2,0.0
1469,P,1.1,-30.0,-0.0004,-0.02,-0.1,-0.01
1470,N,1.2,-20.0,0.0093,0.001,0.0,0.0
1471,P,-1.8,-20.0,-0.0006,0.018,-0.1,0.0
1472,N,-2.8,-20.0,-0.0065,0.011,0.0,-0.01
1473,N,-3.6,-30.0,-0.008,0.001,-0.1,0.01
1474,N,-4.5,-50.0,0.0058,-0.007,0.1,0.0
1475,P,-8.8,-70.0,0.0031,0.012,-0.1,-0.03
1476,N,-4.1,-90.0,-0.0055,0.006,0.5,-0.01
1477,N,3.5,-90.0,0.0007,-0.001,0.4,0.0
1478,N,5.6,-40.0,-0.0011,-0.008,0.1,0.0
1479,N,6.6,-30.0,-0.0002,-0.01,0.0,0.0
1480,P,3.1,-10.0,0.0053,-0.003,-0.1,0.0
1481,P,-0.1,-10.0,-0.0052,0.004,0.2,0.0
1482,N,7.5,0.0,0.0061,0.005,0.2,0.0
1483,P,9.4,10.0,0.0069,0.015,0.1,0.0
1484,N,10.3,50.0,-0.003,0.024,-0.2,0.02
1485,P,2.1,70.0,-0.0091,0.007,-0.4,0.0
1486,P,-6.1,60.0,-0.0003,-0.018,-0.1,0.0
1487,N,-7.0,40.0,0.0083,-0.009,0.0,0.0
1488,P,-7.9,30.0,0.0068,0.007,-0.1,0.01
1489,N,1.2,10.0,-0.0058,0.008,0.2,0.0
1490,P,-3.0,10.0,0.0049,0.001,-0.2,-0.01
1491,N,0.0,0.0,0.0002,0.016,0.2,-0.01
1492,N,-1.7,0.0,0.006,0.01,-0.1,-0.01
1493,P,-5.0,-10.0,-0.0023,0.015,0.0,0.0
1494,N,-1.9,-30.0,-0.011,-0.007,0.1,0.0
1495,P,-2.8,-30.0,0.0035,-0.034,-0.1,0.0
1496,N,-3.2,-40.0,0.0097,-0.025,0.1,-0.01
1497,N,-3.1,-40.0,0.0103,-0.007,0.1,0.02
1498,P,-1.9,-50.0,-0.001,0.008,0.0,0.0
1499,P,-2.7,-50.0,-0.0034,0.003,-0.1,0.01
1500,P,-4.1,-70.0,0.0059,-0.011,0.0,-0.02
1501,P,-3.8,-80.0,0.0073,0.008,0.0,0.01
1502,N,7.0,-70.0,-0.0096,0.002,0.1,0.0
1503,N,8.0,-50.0,-0.0072,-0.019,0.0,0.0
1504,P,1.2,-20.0,0.0059,-0.024,-0.1,0.0
1505,N,0.3,-20.0,0.0111,-0.009,0.0,0.02
1506,N,3.4,-20.0,-0.0084,0.006,0.3,-0.01
1507,N,6.5,0.0,-0.0021,-0.018,0.1,0.0
1508,P,-2.9,10.0,-0.0002,-0.013,-0.1,-0.01
1509,P,-3.4,0.0,0.0025,-0.012,0.0,0.0
1510,N,1.2,0.0,0.0049,0.014,0.1,0.0
1511,P,-2.3,0.0,-0.0012,0.021,-0.1,0.0
1512,P,0.4,-10.0,0.0081,0.002,-0.1,0.0
1513,N,0.1,-10.0,-0.0089,0.006,0.0,0.0
1514,N,-1.1,-10.0,-0.0086,-0.012,-0.1,0.01
1515,P,-4.8,-20.0,-0.0003,-0.025,-0.1,0.0
1516,N,-3.5,-30.0,0.0071,-0.017,0.1,0.0
1517,P,-0.5,-30.0,0.0105,0.001,0.1,0.0
1518,P,1.5,-30.0,0.0091,0.015,0.2,-0.01
1519,N,4.4,-30.0,0.0034,0.025,0.2,-0.01
1520,N,5.1,-20.0,-0.0049,0.025,0.0,-0.01
1521,N,3.3,-10.0,-0.0075,0.011,-0.1,0.0
1522,P,-3.2,-10.0,-0.0036,-0.005,-0.3,0.0
1523,N,2.3,-20.0,-0.0015,-0.007,0.2,0.0
1524,N,4.6,-10.0,-0.0012,-0.01,0.1,0.0
1525,N,0.7,0.0,0.0065,-0.002,-0.2,0.0
1526,P,-3.5,-10.0,0.0015,0.014,0.0,0.0
1527,N,-2.6,-20.0,-0.0054,0.007,0.0,0.0
1528,N,5.8,-10.0,0.003,0.012,0.1,0.0
1529,P,-4.0,10.0,-0.0011,-0.005,-0.2,0.0
1530,P,-5.6,0.0,0.0029,-0.004,0.0,-0.01
1531,N,-4.2,-10.0,0.007,0.005,0.1,-0.01
1532,N,0.7,-20.0,-0.008,0.023,0.0,0.0
1533,P,-1.2,-20.0,-0.0076,0.009,-0.3,0.02
1534,N,4.1,-20.0,0.0072,0.02,0.1,-0.01
1535,P,-2.7,-10.0,-0.0047,0.03,-0.2,0.0
1536,N,4.4,-20.0,0.0021,-0.023,0.1,0.0
1537,N,2.5,-10.0,0.0052,-0.011,-0.1,0.0
1538,P,-3.6,-10.0,0.0039,0.007,-0.3,0.01
1539,P,-4.8,-20.0,-0.0051,0.007,0.0,0.0
1540,P,-6.5,-30.0,-0.0043,-0.009,-0.1,0.0
1541,N,-3.9,-50.0,0.0079,-0.003,0.1,0.0
1542,P,-4.3,-60.0,0.0057,0.014,-0.1,0.0
1543,N,5.2,-70.0,-0.0066,0.005,0.3,0.01
1544,N,8.5,-50.0,-0.0049,-0.009,0.1,0.0
1545,N,5.7,-30.0,-0.0027,-0.016,-0.3,0.02
1546,P,-1.1,-30.0,0.0007,-0.018,-0.4,0.01
1547,P,-2.6,-40.0,0.0058,-0.011,0.1,-0.01
1548,N,0.0,-40.0,0.0055,0.011,0.0,0.0
1549,P,-0.4,-40.0,-0.006,0.012,-0.1,0.0
1550,N,6.5,-30.0,0.0019,-0.022,0.1,0.0
1551,N,4.0,0.0,0.0107,0.012,-0.1,0.0
1552,P,-1.6,10.0,0.0001,0.03,-0.3,-0.01
1553,P,-5.5,0.0,-0.0114,0.017,-0.2,0.0
1554,N,-3.0,-20.0,-0.0128,-0.025,0.2,0.01
1555,N,1.7,-10.0,0.0084,-0.009,0.0,0.0
1556,P,-1.9,-10.0,0.0066,0.013,-0.1,0.0
1557,P,-3.3,-10.0,0.0035,0.02,-0.1,-0.01
1558,P,-4.3,-30.0,-0.0089,0.008,0.0,0.0
1559,P,-3.2,-30.0,-0.0089,-0.014,0.0,0.0
1560,N,5.7,-30.0,0.009,-0.014,0.3,0.0
1561,P,-5.0,-20.0,-0.008,0.022,-0.3,0.0
1562,P,-5.3,-30.0,-0.009,0.001,0.3,0.02
1563,N,4.1,-30.0,0.0036,-0.009,0.3,0.0
1564,N,2.9,-10.0,0.006,0.018,-0.2,0.0
1565,N,0.8,-20.0,0.0001,0.013,0.2,0.0
1566,N,3.1,-10.0,0.0003,0.015,0.1,0.0
1567,N,4.5,10.0,0.0026,0.001,0.1,0.0
1568,P,-2.3,30.0,-0.0044,0.009,-0.2,0.0
1569,N,2.6,20.0,0.0069,0.011,0.1,0.0
1570,P,-2.6,30.0,-0.0045,0.025,-0.3,-0.01
1571,P,-2.2,20.0,-0.0072,0.005,0.1,0.01
1572,N,2.1,20.0,-0.0047,-0.006,0.3,-0.01
1573,N,5.1,20.0,-0.0028,-0.011,0.1,0.01
1574,N,7.7,40.0,0.0016,-0.013,0.1,0.0
1575,N,-0.6,10.0,0.0099,-0.003,0.0,0.0
1576,N,-1.3,10.0,0.0087,0.015,-0.1,0.0
1577,P,-5.3,-30.0,-0.0071,0.002,-0.3,0.0
1578,N,0.1,-40.0,0.0037,-0.014,0.2,0.0
1579,N,1.7,-40.0,0.0057,-0.005,0.0,0.01
1580,P,2.3,-30.0,-0.0054,0.006,0.0,0.0
1581,N,3.9,-20.0,-0.002,-0.006,0.1,0.0
1582,N,-0.6,-10.0,0.0066,-0.018,0.2,-0.01
1583,N,-0.2,-10.0,0.0075,0.0,0.0,-0.01
1584,N,-3.1,-10.0,0.0039,0.0,0.0,0.0
1585,N,-2.8,-10.0,0.0067,0.01,0.0,-0.01
1586,N,-0.8,-20.0,-0.0079,0.01,0.1,0.0
1587,P,0.7,-20.0,-0.008,-0.013,0.1,0.0
1588,P,1.4,-20.0,0.0067,-0.017,0.0,0.0
1589,P,-1.7,-20.0,0.0008,0.001,-0.2,0.0
1590,P,-3.6,-20.0,0.0004,-0.001,0.0,0.0
1591,N,2.6,-30.0,0.0047,0.01,0.2,0.0
1592,N,2.5,-20.0,-0.0037,0.013,-0.1,0.0
1593,P,-2.1,-20.0,-0.0044,-0.005,-0.1,0.0
1594,N,0.5,-20.0,0.007,-0.006,0.2,0.0
1595,P,-1.3,-20.0,-0.0022,0.013,-0.1,0.0
1596,N,-2.1,-20.0,-0.0061,0.007,0.1,0.01
1597,P,-2.5,-20.0,-0.0045,-0.001,-0.1,0.0
1598,N,-0.5,-40.0,0.0062,-0.005,0.0,0.0
1599,N,4.8,-30.0,0.0039,0.004,0.1,0.0
1600,P,2.1,-10.0,-0.0031,0.007,0.1,0.0
1601,P,-1.8,0.0,-0.0032,-0.005,-0.2,0.0
1602,P,-3.2,0.0,-0.0049,-0.012,0.0,-0.01
1603,N,-0.1,-10.0,0.0064,-0.008,0.0,0.0
1604,P,-2.6,-20.0,-0.0066,-0.005,0.0,0.0
1605,N,1.9,-20.0,0.0016,-0.022,0.2,0.01
1606,N,1.2,-10.0,0.0097,0.0,-0.2,0.0
1607,P,-2.2,-10.0,0.0047,0.013,-0.2,0.0
1608,P,1.9,0.0,-0.007,-0.014,0.0,0.0
1609,N,-0.4,10.0,0.0025,-0.025,-0.2,-0.01
1610,P,-4.8,0.0,0.0003,-0.021,0.0,0.0
1611,N,-1.9,-10.0,0.0086,-0.003,0.1,0.0
1612,P,-2.1,-20.0,-0.0026,0.015,-0.1,0.0
1613,N,5.4,-10.0,-0.0024,-0.016,0.1,0.0
1614,P,-3.7,0.0,0.0029,-0.014,0.0,-0.01
1615,P,-3.7,-10.0,0.0039,-0.005,0.0,0.0
1616,N,0.7,-20.0,-0.0006,0.002,0.2,0.0
1617,P,-1.5,-10.0,-0.0023,-0.016,-0.1,-0.01
1618,N,0.6,-20.0,0.0049,-0.008,0.1,0.0
1619,N,2.7,-20.0,-0.0007,0.005,0.1,0.0
1620,P,-0.8,-10.0,-0.005,-0.012,-0.1,0.0
1621,P,-2.2,-10.0,-0.0022,-0.022,0.0,-0.01
1622,N,2.0,-10.0,0.0037,-0.014,0.1,0.0
1623,P,-2.6,-10.0,0.0019,-0.002,-0.2,0.0
1624,N,3.1,-20.0,0.0011,0.003,0.2,0.0
1625,P,-2.4,0.0,-0.0018,-0.001,-0.1,0.0
1626,N,2.0,-10.0,0.004,-0.009,0.1,0.0
1627,N,2.4,-20.0,-0.0039,0.018,0.1,0.01
1628,P,1.4,-10.0,-0.0068,0.005,-0.1,0.0
1629,N,2.4,0.0,0.0075,-0.018,0.2,0.01
1630,N,3.3,0.0,0.0071,0.0,0.0,0.0
1631,P,-2.6,10.0,0.0018,0.015,-0.3,0.0
1632,P,-1.8,-10.0,-0.0012,-0.019,-0.1,0.0
1633,N,1.4,-10.0,0.0048,-0.01,0.0,0.0
1634,P,-1.0,-10.0,0.0056,0.001,-0.2,0.0
1635,N,7.5,0.0,0.0019,0.021,0.1,0.01
1636,P,-1.5,10.0,-0.0097,0.005,-0.3,0.0
1637,N,-3.8,10.0,-0.013,-0.018,0.0,-0.02
1638,P,-4.3,0.0,-0.0099,-0.038,0.0,0.0
1639,N,2.1,-10.0,0.0058,-0.046,0.3,0.0
1640,N,5.1,0.0,0.0078,-0.027,0.0,0.0
1641,P,-0.9,10.0,0.0034,-0.009,-0.3,0.0
1642,P,-2.6,-10.0,-0.0019,0.008,-0.1,0.0
1643,P,-2.4,-20.0,-0.0049,-0.002,-0.1,0.0
1644,N,3.4,-20.0,-0.0007,-0.021,0.1,0.0
1645,N,5.2,-20.0,0.0009,-0.021,0.1,0.0
1646,P,-4.1,-10.0,0.0024,-0.011,-0.2,0.0
1647,P,-5.8,-20.0,0.0049,-0.004,0.0,0.0
1648,P,-0.4,-20.0,-0.0068,0.013,-0.1,0.0
1649,P,-0.4,-20.0,-0.0074,0.0,0.0,-0.01
1650,N,1.1,-20.0,0.0041,-0.013,0.0,0.0
1651,P,-1.5,-20.0,0.0041,0.003,-0.1,0.0
1652,N,3.1,-20.0,0.0024,0.012,0.3,0.0
1653,P,-0.4,0.0,-0.0047,0.005,-0.1,0.0
1654,N,2.3,0.0,0.0013,-0.008,0.1,0.0
1655,P,-3.7,0.0,0.0007,0.0,-0.3,0.0
1656,N,0.5,-10.0,0.0013,0.002,0.3,0.01
1657,N,4.5,0.0,0.0008,0.005,0.0,0.0
1658,P,-2.8,10.0,-0.001,0.005,-0.3,0.0
1659,P,-4.2,0.0,-0.0017,0.0,0.0,0.0
1660,N,4.2,-10.0,0.0009,-0.003,0.1,0.0
1661,P,-3.1,10.0,0.001,0.009,-0.1,0.0
1662,P,-3.8,0.0,0.0007,0.01,0.0,-0.01
1663,N,0.7,-10.0,-0.003,0.007,0.2,0.0
1664,N,2.2,0.0,-0.0038,-0.005,0.0,0.01
1665,P,-2.1,0.0,-0.003,-0.014,-0.2,0.0
1666,P,-4.3,-10.0,0.0009,-0.017,0.0,-0.01
1667,N,-1.6,-20.0,0.004,-0.013,0.2,-0.01
1668,N,1.7,-20.0,0.0035,-0.005,0.2,0.0
1669,N,2.2,0.0,-0.0046,-0.013,0.0,0.01
1670,P,-3.5,0.0,0.0037,-0.013,-0.1,0.0
1671,N,-1.5,-20.0,0.0039,0.011,0.1,0.0
1672,N,2.8,-20.0,0.0016,0.012,0.1,0.0
1673,N,-2.3,-10.0,-0.0008,0.016,-0.2,0.0
1674,P,-5.0,-30.0,-0.0048,0.006,0.0,0.0
1675,N,4.4,-30.0,-0.0042,-0.016,0.3,0.0
1676,N,4.0,-10.0,0.005,-0.014,-0.1,0.0
1677,P,-0.1,-10.0,0.0062,-0.002,-0.2,0.01
1678,P,-2.0,-10.0,0.0063,0.006,0.0,-0.01
1679,N,4.0,-10.0,-0.0009,0.007,0.1,0.0
1680,P,-2.2,0.0,0.0009,0.013,-0.2,0.0
1681,N,1.0,0.0,0.0035,0.016,0.1,0.0
1682,N,-0.6,0.0,0.0056,0.029,-0.1,0.0
1683,P,-2.8,-10.0,-0.006,0.028,-0.2,0.01
1684,N,2.8,-20.0,-0.0059,0.006,0.3,0.0
1685,N,6.1,-10.0,-0.0037,-0.002,0.2,0.01
1686,P,-1.7,10.0,0.0004,-0.007,-0.3,0.0
1687,P,-4.7,-10.0,0.0044,0.013,-0.2,0.0
1688,N,5.4,-20.0,-0.0032,-0.01,0.2,0.0
1689,P,-2.3,0.0,0.0004,-0.003,-0.3,0.0
1690,N,3.2,-10.0,0.0024,0.001,0.1,0.0
1691,P,-2.6,10.0,0.0079,-0.006,-0.1,0.0
1692,N,-1.9,0.0,0.008,0.015,0.0,0.0
1693,N,0.0,0.0,-0.0057,0.026,0.2,-0.01
1694,N,0.7,0.0,-0.0126,0.011,-0.2,0.0
1695,P,-2.4,0.0,-0.0112,-0.026,-0.1,0.0
1696,N,4.0,-10.0,0.0072,-0.028,0.2,0.0
1697,N,2.1,0.0,0.0061,-0.005,-0.1,0.0
1698,P,-2.0,0.0,0.001,0.004,-0.2,0.0
1699,N,0.2,0.0,-0.001,0.001,0.2,0.0
1700,P,-3.9,0.0,-0.0003,0.0,-0.2,0.0
1701,N,1.5,-20.0,-0.004,-0.009,0.3,0.0
1702,P,0.7,-10.0,-0.006,-0.02,-0.2,0.02
1703,P,-1.5,-10.0,-0.0042,-0.028,-0.1,-0.01
1704,P,-1.5,-20.0,0.0099,0.017,0.0,0.0
1705,N,-1.2,-30.0,0.0067,0.029,0.1,0.0
1706,P,-1.4,-30.0,-0.001,0.036,-0.1,0.0
1707,N,4.7,-30.0,-0.0064,0.022,0.4,0.02
1708,N,3.8,0.0,-0.0052,-0.004,-0.1,0.0
1709,P,-2.7,0.0,-0.0019,-0.017,-0.2,0.0
1710,N,-1.8,-10.0,0.0066,-0.007,0.1,0.0
1711,N,3.8,-10.0,-0.0042,0.015,0.2,0.0
1712,N,5.9,0.0,-0.0069,0.006,0.1,0.01
1713,N,5.7,10.0,-0.0065,-0.006,-0.2,0.02
1714,P,-4.1,10.0,-0.0037,-0.028,-0.4,0.0
1715,N,-3.4,-10.0,0.0051,-0.025,0.0,0.0
1716,P,0.2,-20.0,0.0022,-0.01,0.2,0.0
1717,N,4.6,-10.0,0.0,-0.007,0.2,0.0
1718,P,-4.4,10.0,-0.0001,-0.013,-0.4,0.0
1719,N,-4.5,-10.0,0.0036,-0.009,0.1,0.01
1720,P,-1.9,-10.0,0.0038,0.002,0.1,-0.01
1721,N,3.3,-10.0,0.0011,0.009,0.2,0.0
1722,N,2.0,0.0,-0.0038,0.005,-0.1,0.0
1723,P,-1.2,0.0,-0.0029,-0.002,-0.2,0.0
1724,P,-3.3,-10.0,-0.0012,0.023,-0.1,0.0
1725,P,-2.7,-30.0,-0.0042,-0.004,0.0,0.0
1726,N,1.7,-30.0,0.0053,-0.003,0.0,0.0
1727,P,-0.9,-30.0,0.0018,0.006,-0.1,0.0
1728,N,4.9,-30.0,-0.0008,0.007,0.3,0.01
1729,P,-2.1,0.0,-0.0033,-0.012,-0.2,0.0
1730,P,-3.1,-10.0,0.0025,-0.014,0.0,0.0
1731,N,-0.8,-10.0,0.0061,-0.006,0.2,-0.01
1732,N,0.1,-10.0,-0.0059,0.009,0.0,0.0
1733,P,-1.2,-10.0,-0.0066,-0.002,-0.1,0.02
1734,P,-0.9,-10.0,-0.0033,-0.011,0.0,-0.01
1735,N,1.6,-10.0,0.0071,-0.005,0.1,0.0
1736,P,-1.3,-10.0,0.0054,0.025,-0.1,0.0
1737,N,3.4,-10.0,-0.0032,0.031,0.2,0.0
1738,N,6.0,0.0,-0.0043,0.021,0.1,-0.01
1739,P,-2.9,20.0,-0.0017,0.007,-0.2,0.0
1740,N,2.2,0.0,0.0011,0.019,0.2,-0.01
1741,P,-2.9,0.0,-0.0038,-0.01,-0.1,0.0
1742,N,0.4,0.0,0.0026,-0.013,0.2,0.0
1743,P,-4.1,0.0,0.0061,0.009,-0.2,0.0
1744,N,-3.8,-10.0,0.0054,0.021,0.1,0.0
1745,N,4.3,-20.0,-0.008,0.021,0.2,0.0
1746,N,7.1,-10.0,-0.0089,0.009,0.2,0.01
1747,P,1.9,10.0,-0.0062,-0.018,-0.3,0.01
1748,P,-2.0,10.0,-0.002,-0.026,-0.2,-0.01
1749,N,1.6,10.0,0.0051,-0.022,0.2,0.01
1750,P,-3.0,10.0,0.004,0.012,-0.2,0.0
1751,P,-3.9,-10.0,-0.009,0.009,0.0,0.0
1752,P,0.4,-20.0,-0.0057,-0.011,0.2,0.0
1753,N,5.8,-10.0,0.0,-0.018,0.2,0.0
1754,P,-3.2,0.0,-0.0024,0.003,-0.2,0.0
1755,N,2.5,-10.0,-0.0015,-0.009,0.2,0.0
1756,N,0.0,0.0,-0.0007,0.006,0.2,-0.01
1757,P,-3.0,-20.0,0.0021,-0.001,-0.1,0.0
1758,N,3.6,-20.0,-0.0018,-0.001,0.2,0.0
1759,P,-2.3,-20.0,-0.0015,-0.019,-0.1,0.0
1760,N,3.8,-20.0,0.0026,-0.017,0.3,0.0
1761,P,-3.7,0.0,-0.0024,-0.003,-0.2,0.0
1762,N,-3.1,-10.0,-0.0048,-0.011,0.1,-0.01
1763,N,4.4,-10.0,0.0023,-0.018,0.2,0.0
1764,P,-3.0,0.0,-0.0016,-0.012,-0.2,0.0
1765,N,-0.5,0.0,-0.0025,-0.016,0.2,0.01
1766,N,3.8,0.0,-0.0019,-0.022,0.2,0.0
1767,N,3.7,20.0,0.0011,-0.025,0.0,0.0
1768,P,-2.7,20.0,0.0066,0.0,-0.1,0.0
1769,N,-2.4,10.0,0.006,0.019,0.1,0.0
1770,P,-4.0,10.0,-0.0012,0.026,-0.1,0.0
1771,N,-1.3,0.0,-0.009,0.014,0.2,0.0
1772,P,-2.1,-10.0,-0.0072,-0.038,-0.1,0.01
1773,N,3.9,-10.0,0.0055,-0.041,0.2,0.01
1774,N,-1.4,0.0,-0.0071,0.004,0.2,0.01
1775,N,3.0,0.0,-0.0074,-0.021,0.2,0.01
1776,P,-3.5,0.0,0.0034,-0.025,-0.1,0.0
1777,N,4.0,0.0,0.006,-0.003,0.2,0.0
1778,P,-2.1,10.0,-0.0004,0.021,-0.2,0.0
1779,P,-3.9,0.0,0.0006,0.02,0.0,0.0
1780,N,-0.4,-10.0,0.0021,0.023,0.3,-0.01
1781,N,4.3,0.0,0.0006,0.027,0.1,-0.01
1782,P,-2.8,10.0,-0.0068,0.007,-0.2,0.0
1783,N,-0.8,0.0,-0.0056,-0.011,0.2,0.0
1784,N,2.7,0.0,0.0004,-0.022,0.1,0.0
1785,P,-3.4,0.0,0.0046,-0.013,-0.2,0.0
1786,P,-3.9,0.0,0.0065,0.0,0.0,0.0
1787,N,2.0,-10.0,0.004,0.024,0.1,0.0
1788,P,-2.0,-10.0,-0.0006,0.031,-0.2,0.0
1789,N,4.7,-10.0,-0.0001,-0.002,0.3,0.0
1790,N,5.6,0.0,0.0022,0.001,0.0,0.0
1791,P,-3.5,10.0,0.0002,0.017,-0.2,0.0
1792,P,-1.3,0.0,-0.0053,0.006,-0.1,0.01
1793,N,2.7,-10.0,0.0014,-0.002,0.1,0.0
1794,P,-1.1,-10.0,0.0008,0.001,-0.2,0.0
1795,N,2.7,-10.0,0.002,0.007,0.1,0.0
1796,P,-1.8,0.0,-0.003,0.011,-0.2,0.0
1797,N,0.2,0.0,-0.0031,0.0,0.2,0.0
1798,P,-1.6,-10.0,0.0028,0.008,-0.1,0.0
1799,N,3.2,-10.0,-0.0027,0.01,0.1,0.0
1800,P,-1.1,0.0,-0.0032,-0.001,-0.2,0.0
1801,N,2.1,0.0,0.0001,-0.012,0.1,0.01
1802,N,0.6,0.0,-0.0019,0.02,0.2,0.0
1803,N,1.6,0.0,-0.0029,-0.007,0.1,0.0
1804,P,-3.5,0.0,0.0025,-0.005,-0.2,-0.01
1805,P,-2.6,-20.0,0.0018,-0.003,0.0,0.0
1806,N,2.1,-20.0,0.0053,0.007,0.3,0.0
1807,N,3.3,-10.0,0.0064,0.016,-0.1,0.02
1808,P,-3.1,-10.0,-0.0047,0.03,-0.1,0.0
1809,N,3.3,-10.0,0.0006,0.021,0.2,0.01
1810,P,-2.4,0.0,0.0013,0.024,-0.4,0.0
1811,N,-0.5,-20.0,-0.0041,0.022,0.3,0.0
1812,P,-1.6,-20.0,-0.0064,-0.013,0.0,0.0
1813,N,2.1,-20.0,0.0011,-0.021,0.2,0.0
1814,P,1.5,-10.0,0.0077,-0.008,-0.1,0.0
1815,P,-1.8,-10.0,-0.0041,0.028,-0.1,0.0
1816,P,-3.5,-10.0,-0.0021,0.018,-0.1,0.0
1817,N,4.2,-10.0,-0.0037,0.005,0.2,0.0
1818,P,-1.0,0.0,-0.0038,-0.008,-0.3,0.0
1819,N,0.0,-20.0,0.006,-0.008,0.1,0.0
1820,N,-1.2,-20.0,0.001,0.011,-0.1,0.0
1821,N,-1.1,-20.0,-0.0091,0.0,0.1,0.01
1822,N,0.3,-20.0,-0.0102,-0.015,0.1,0.02
1823,N,2.6,-10.0,0.01,-0.018,0.0,0.0
1824,P,-1.1,-10.0,0.0071,0.025,-0.1,0.0
1825,N,0.9,-10.0,0.0021,0.039,0.2,0.0
1826,P,-3.1,-10.0,-0.0027,0.032,-0.2,0.01
1827,P,-5.5,-20.0,-0.0092,0.019,-0.1,0.01
1828,P,-4.4,-30.0,-0.0127,0.001,0.2,-0.02
1829,N,2.8,-30.0,-0.0042,-0.023,0.3,0.0
1830,N,5.8,-30.0,0.0013,-0.025,0.1,0.02
1831,N,6.5,-10.0,0.0026,-0.02,0.0,0.0
1832,N,-0.1,0.0,0.0017,-0.014,-0.3,0.0
1833,P,-5.3,0.0,0.0023,-0.011,-0.4,0.0
1834,P,-5.2,-20.0,0.0056,-0.001,0.1,0.0
1835,N,0.4,-30.0,0.0077,0.012,0.3,-0.01
1836,N,3.5,-20.0,0.0048,0.024,0.1,0.02
1837,P,-2.5,-10.0,-0.0084,0.017,-0.2,0.0
1838,N,0.7,-20.0,-0.0023,-0.004,0.2,0.0
1839,N,0.1,-10.0,0.0064,0.018,-0.1,0.0
1840,P,-2.0,-10.0,0.0045,0.032,-0.1,-0.01
1841,N,2.4,-10.0,-0.0064,0.029,0.2,0.0
1842,N,1.1,-10.0,-0.0083,0.001,-0.1,0.0
1843,P,-2.5,-10.0,-0.0043,-0.014,-0.2,0.0
1844,N,-0.8,-10.0,0.0019,-0.018,0.2,0.01
1845,P,-1.6,-10.0,0.0007,0.0,-0.1,0.0
1846,N,3.3,-10.0,0.0026,0.01,0.1,0.0
1847,P,-0.6,-10.0,-0.003,0.011,-0.3,-0.01
1848,N,2.9,-10.0,-0.0014,-0.015,0.2,0.0
1849,P,-5.5,-10.0,0.0009,-0.01,-0.2,0.0
1850,P,-6.8,-20.0,0.0005,-0.009,0.0,-0.01
1851,N,2.9,-40.0,0.0044,0.007,0.2,0.0
1852,N,3.6,-20.0,-0.006,0.006,0.1,0.0
1853,N,7.3,-10.0,-0.0019,-0.005,0.1,0.0
1854,N,6.0,10.0,0.0019,-0.005,-0.1,0.01
1855,P,-3.3,10.0,0.0016,0.005,-0.2,0.0
1856,P,-5.0,10.0,0.0005,0.007,0.0,-0.01
1857,N,0.6,-10.0,0.0042,-0.006,0.0,0.0
1858,P,-1.9,-10.0,0.0006,0.014,-0.2,0.0
1859,N,-0.6,-10.0,-0.0049,0.008,0.1,0.01
1860,N,3.6,-10.0,-0.0012,-0.005,0.1,0.0
1861,N,4.9,0.0,0.0019,-0.004,0.0,0.01
1862,N,5.0,10.0,0.0025,0.0,0.0,0.0
1863,P,-4.7,10.0,0.0006,0.008,-0.2,0.0
1864,N,3.0,-10.0,0.0001,0.004,0.1,0.0
1865,N,3.5,-10.0,0.0004,-0.001,0.1,0.0
1866,N,2.2,-10.0,0.0001,0.0,0.1,0.0
1867,P,-3.4,-10.0,-0.0003,-0.001,-0.1,0.0
1868,P,-4.8,-20.0,-0.0002,-0.001,0.0,0.0
1869,N,3.6,-30.0,0.0006,0.003,0.1,0.0
1870,N,1.3,-20.0,0.0059,0.015,0.1,-0.01
1871,P,-1.9,-20.0,-0.0031,0.022,-0.1,0.0
1872,N,3.5,-10.0,-0.0001,-0.003,0.1,0.0
1873,P,-3.9,0.0,-0.0034,0.003,0.0,0.0
1874,N,2.4,-10.0,0.0032,0.011,0.1,0.0
1875,P,-2.0,0.0,-0.0021,0.017,-0.1,0.0
1876,N,0.4,-10.0,-0.007,0.0,0.1,0.0
1877,N,1.8,0.0,0.0022,-0.041,0.1,0.0
1878,P,-5.9,0.0,0.0082,-0.019,-0.4,0.0
1879,P,-9.4,-20.0,0.0074,-0.005,0.0,-0.02
1880,N,6.0,-40.0,-0.0022,-0.002,0.4,0.0
1881,N,7.5,-10.0,-0.0008,-0.009,-0.1,0.0
1882,P,-3.0,10.0,0.0027,-0.003,-0.3,-0.02
1883,N,-6.2,-10.0,-0.0011,-0.002,0.0,-0.01
1884,P,-6.3,-20.0,-0.0004,-0.004,0.0,0.0
1885,P,-0.4,-30.0,-0.005,0.025,0.1,-0.01
1886,N,3.7,-20.0,-0.0043,0.006,0.1,-0.01
1887,P,-2.6,0.0,-0.0006,0.005,-0.1,0.0
