,binaryClass_cat,symboling_num,normalized-losses_num,make_cat,fuel-type_cat,aspiration_cat,num-of-doors_num,body-style_cat,drive-wheels_cat,engine-location_cat,wheel-base_num,length_num,width_num,height_num,curb-weight_num,engine-type_cat,num-of-cylinders_num,engine-size_num,fuel-system_cat,bore_num,stroke_num,compression-ratio_num,peak-rpm_num,city-mpg_num,highway-mpg_num,price_num
132,N,3.0,150.0,saab,gas,std,2.0,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,4.0,121.0,mpfi,3.54,3.07,9.31,5250.0,21.0,28.0,11850.0
133,N,2.0,104.0,saab,gas,std,4.0,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,4.0,121.0,mpfi,3.54,3.07,9.3,5250.0,21.0,28.0,12170.0
134,N,3.0,150.0,saab,gas,std,2.0,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,4.0,121.0,mpfi,2.54,2.07,9.3,5250.0,21.0,28.0,15040.0
135,N,2.0,104.0,saab,gas,std,4.0,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,4.0,121.0,mpfi,3.54,3.07,9.3,5250.0,21.0,28.0,15510.0
136,N,3.0,150.0,saab,gas,turbo,2.0,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,4.0,121.0,mpfi,3.54,3.07,9.0,5500.0,19.0,26.0,18150.0
137,N,2.0,104.0,saab,gas,turbo,4.0,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,4.0,121.0,mpfi,3.54,3.07,9.0,5500.0,19.0,26.0,18620.0
138,P,2.0,83.0,subaru,gas,std,2.0,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,4.0,97.0,2bbl,3.62,2.36,9.0,4900.0,31.0,36.0,5118.0
139,P,2.0,83.0,subaru,gas,std,2.0,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,4.0,108.0,2bbl,3.62,2.64,8.7,4400.0,26.0,31.0,7053.0
140,P,2.0,83.0,subaru,gas,std,2.0,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,4.0,108.0,2bbl,3.62,2.64,8.7,4400.0,26.0,31.0,7603.0
141,P,0.0,102.0,subaru,gas,std,4.0,sedan,fwd,front,97.2,172.0,65.4,52.5,2145.0,ohcf,4.0,108.0,2bbl,3.62,2.64,9.5,4800.0,32.0,37.0,7126.0
142,P,0.0,102.0,subaru,gas,std,4.0,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,4.0,108.0,2bbl,3.62,2.64,9.5,4400.0,28.0,33.0,7775.0
143,P,0.0,102.0,subaru,gas,std,4.0,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,4.0,108.0,mpfi,3.62,2.64,9.0,5200.0,26.0,32.0,9960.0
144,P,0.0,102.0,subaru,gas,std,4.0,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,4.0,108.0,2bbl,3.62,2.64,9.0,4800.0,24.0,25.0,9233.0
145,N,0.0,102.0,subaru,gas,turbo,4.0,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,4.0,108.0,mpfi,3.62,2.64,7.7,4800.0,24.0,29.0,11259.0
146,P,0.0,89.0,subaru,gas,std,4.0,wagon,fwd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,4.0,108.0,2bbl,3.62,2.64,9.0,4800.0,28.0,32.0,7463.0
147,P,0.0,89.0,subaru,gas,std,4.0,wagon,fwd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,4.0,108.0,mpfi,3.62,2.64,9.0,5200.0,25.0,31.0,10198.0
148,P,0.0,85.0,subaru,gas,std,4.0,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,4.0,108.0,2bbl,3.62,2.64,9.0,4800.0,23.0,29.0,8013.0
149,N,0.0,85.0,subaru,gas,turbo,4.0,wagon,4wd,front,96.9,173.6,65.4,54.9,2650.0,ohcf,4.0,108.0,mpfi,3.62,2.64,7.7,4800.0,23.0,23.0,11694.0
150,P,1.0,87.0,toyota,gas,std,2.0,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,35.0,39.0,5348.0
151,P,1.0,87.0,toyota,gas,std,2.0,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,31.0,38.0,6338.0
152,P,1.0,74.0,toyota,gas,std,4.0,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,31.0,38.0,6488.0
153,P,0.0,77.0,toyota,gas,std,4.0,wagon,fwd,front,95.7,169.7,63.6,59.1,2280.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,31.0,37.0,6918.0
154,P,0.0,81.0,toyota,gas,std,4.0,wagon,4wd,front,95.7,169.7,63.6,59.1,2290.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,27.0,32.0,7898.0
155,P,0.0,91.0,toyota,gas,std,4.0,wagon,4wd,front,95.7,169.7,63.6,59.1,3110.0,ohc,4.0,92.0,2bbl,3.05,3.03,9.0,4800.0,27.0,32.0,8778.0
156,P,0.0,91.0,toyota,gas,std,4.0,sedan,fwd,front,95.7,166.3,64.4,53.0,2081.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,30.0,37.0,6938.0
157,P,0.0,91.0,toyota,gas,std,4.0,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,30.0,37.0,7198.0
158,P,0.0,91.0,toyota,diesel,std,4.0,sedan,fwd,front,95.7,166.3,64.4,53.0,2275.0,ohc,4.0,110.0,idi,3.27,3.35,22.5,4500.0,34.0,36.0,7898.0
159,P,0.0,91.0,toyota,diesel,std,4.0,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275.0,ohc,4.0,110.0,idi,3.27,3.35,22.5,4500.0,38.0,47.0,7788.0
160,P,0.0,91.0,toyota,gas,std,4.0,sedan,fwd,front,95.7,166.3,64.4,53.0,2094.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,38.0,47.0,7738.0
161,P,0.0,91.0,toyota,gas,std,4.0,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,28.0,34.0,8358.0
162,P,0.0,91.0,toyota,gas,std,4.0,sedan,fwd,front,95.7,166.3,64.4,52.8,2140.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,28.0,34.0,9258.0
163,P,1.0,168.0,toyota,gas,std,2.0,sedan,rwd,front,94.5,168.7,64.0,52.6,2169.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,29.0,34.0,8058.0
164,P,1.0,168.0,toyota,gas,std,2.0,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204.0,ohc,4.0,98.0,2bbl,3.19,3.03,9.0,4800.0,29.0,34.0,8238.0
165,N,1.0,168.0,toyota,gas,std,2.0,sedan,rwd,front,94.5,168.7,64.0,52.6,2265.0,dohc,4.0,98.0,mpfi,3.24,3.08,9.4,6600.0,26.0,29.0,9298.0
166,N,1.0,168.0,toyota,gas,std,2.0,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300.0,dohc,4.0,98.0,mpfi,3.24,3.08,9.4,6600.0,26.0,29.0,9538.0
167,N,2.0,134.0,toyota,gas,std,2.0,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,8449.0
168,N,2.0,134.0,toyota,gas,std,2.0,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,9639.0
169,N,2.0,134.0,toyota,gas,std,2.0,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,9989.0
170,N,2.0,134.0,toyota,gas,std,2.0,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,11199.0
171,N,2.0,134.0,toyota,gas,std,2.0,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,11549.0
172,N,2.0,134.0,toyota,gas,std,2.0,convertible,rwd,front,98.4,176.2,65.6,53.0,2975.0,ohc,4.0,146.0,mpfi,3.62,3.5,9.3,4800.0,24.0,30.0,17669.0
173,P,-1.0,65.0,toyota,gas,std,4.0,sedan,fwd,front,102.4,175.6,66.5,54.9,2326.0,ohc,4.0,122.0,mpfi,3.31,3.54,8.7,4200.0,29.0,34.0,8948.0
174,P,-1.0,65.0,toyota,diesel,turbo,4.0,sedan,fwd,front,102.4,175.6,66.5,54.9,2480.0,ohc,4.0,110.0,idi,3.27,3.35,22.5,4500.0,30.0,33.0,10698.0
175,P,-1.0,65.0,toyota,gas,std,4.0,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414.0,ohc,4.0,122.0,mpfi,3.31,3.54,8.7,4200.0,27.0,32.0,9988.0
176,P,-1.0,65.0,toyota,gas,std,4.0,sedan,fwd,front,102.4,175.6,66.5,54.9,2414.0,ohc,4.0,122.0,mpfi,3.31,3.54,8.7,4200.0,27.0,32.0,10898.0
177,P,-1.0,65.0,toyota,gas,std,4.0,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458.0,ohc,4.0,122.0,mpfi,3.31,3.54,8.7,4200.0,27.0,32.0,11248.0
178,N,3.0,197.0,toyota,gas,std,2.0,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976.0,dohc,6.0,171.0,mpfi,3.27,3.35,9.3,5200.0,20.0,24.0,16558.0
179,N,3.0,197.0,toyota,gas,std,2.0,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016.0,dohc,6.0,171.0,mpfi,3.27,3.35,9.3,5200.0,19.0,24.0,15998.0
180,N,-1.0,90.0,toyota,gas,std,4.0,sedan,rwd,front,104.5,187.8,66.5,54.1,3131.0,dohc,6.0,171.0,mpfi,3.27,3.35,9.2,5200.0,20.0,24.0,15690.0
181,N,-1.0,,toyota,gas,std,4.0,wagon,rwd,front,104.5,187.8,66.5,54.1,3151.0,dohc,6.0,161.0,mpfi,3.27,3.35,9.2,5200.0,19.0,24.0,15750.0
182,P,2.0,122.0,volkswagen,diesel,std,2.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2261.0,ohc,4.0,97.0,idi,3.01,3.4,23.0,4800.0,37.0,46.0,7775.0
183,P,2.0,122.0,volkswagen,gas,std,2.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2209.0,ohc,4.0,109.0,mpfi,3.19,3.4,9.0,5250.0,27.0,34.0,7975.0
184,P,2.0,94.0,volkswagen,diesel,std,4.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2264.0,ohc,4.0,97.0,idi,3.01,3.4,23.0,4800.0,37.0,46.0,7995.0
185,P,2.0,94.0,volkswagen,gas,std,4.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2212.0,ohc,4.0,109.0,mpfi,3.19,3.4,9.0,5250.0,27.0,34.0,8195.0
186,P,2.0,94.0,volkswagen,gas,std,4.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2275.0,ohc,4.0,109.0,mpfi,3.19,3.4,9.0,5250.0,27.0,34.0,8495.0
187,P,2.0,94.0,volkswagen,diesel,turbo,4.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2319.0,ohc,4.0,97.0,idi,3.01,3.4,23.0,4500.0,37.0,42.0,9495.0
188,P,2.0,94.0,volkswagen,gas,std,4.0,sedan,fwd,front,97.3,171.7,65.5,55.7,2300.0,ohc,4.0,109.0,mpfi,3.19,3.4,10.0,5500.0,26.0,32.0,9995.0
189,P,3.0,,volkswagen,gas,std,2.0,convertible,fwd,front,94.5,159.3,64.2,55.6,2254.0,ohc,4.0,109.0,mpfi,3.19,3.4,8.5,5500.0,24.0,29.0,11595.0
190,P,3.0,256.0,volkswagen,gas,std,2.0,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221.0,ohc,4.0,109.0,mpfi,3.19,3.4,8.5,5500.0,24.0,29.0,9980.0
191,N,0.0,,volkswagen,gas,std,4.0,sedan,fwd,front,100.4,180.2,66.9,55.1,2661.0,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,5500.0,19.0,24.0,13295.0
192,P,0.0,,volkswagen,diesel,turbo,4.0,sedan,fwd,front,100.4,180.2,66.9,55.1,2579.0,ohc,4.0,97.0,idi,3.01,3.4,23.0,4500.0,33.0,38.0,13845.0
193,P,0.0,,volkswagen,gas,std,4.0,wagon,fwd,front,100.4,183.1,66.9,55.1,2563.0,ohc,4.0,109.0,mpfi,3.19,3.4,9.0,5500.0,25.0,31.0,12290.0
194,N,-2.0,103.0,volvo,gas,std,4.0,sedan,rwd,front,104.3,188.8,67.2,56.2,2912.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,23.0,28.0,12940.0
195,N,-1.0,74.0,volvo,gas,std,4.0,wagon,rwd,front,104.3,188.8,67.2,57.5,3034.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,23.0,28.0,13415.0
196,N,-2.0,103.0,volvo,gas,std,4.0,sedan,rwd,front,104.3,188.8,67.2,56.2,2935.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,24.0,28.0,15985.0
197,N,-1.0,74.0,volvo,gas,std,4.0,wagon,rwd,front,104.3,188.8,67.2,57.5,3042.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,24.0,28.0,16515.0
198,N,-2.0,103.0,volvo,gas,turbo,4.0,sedan,rwd,front,104.3,188.8,67.2,56.2,3045.0,ohc,4.0,130.0,mpfi,3.62,3.15,7.5,5100.0,17.0,22.0,18420.0
199,N,-1.0,74.0,volvo,gas,turbo,4.0,wagon,rwd,front,104.3,188.8,67.2,57.5,3157.0,ohc,4.0,130.0,mpfi,3.62,3.15,7.5,5100.0,17.0,22.0,18950.0
200,N,-1.0,95.0,volvo,gas,std,4.0,sedan,rwd,front,109.1,188.8,68.9,55.5,2952.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,23.0,28.0,16845.0
201,N,-1.0,95.0,volvo,gas,turbo,4.0,sedan,rwd,front,109.1,188.8,68.8,55.5,3049.0,ohc,4.0,141.0,mpfi,3.78,3.15,8.7,5300.0,19.0,25.0,19045.0
202,N,-1.0,95.0,volvo,gas,std,4.0,sedan,rwd,front,109.1,188.8,68.9,55.5,3012.0,ohcv,6.0,173.0,mpfi,3.58,2.87,8.8,5500.0,18.0,23.0,21485.0
203,N,-1.0,95.0,volvo,diesel,turbo,4.0,sedan,rwd,front,109.1,188.8,68.9,55.5,3217.0,ohc,6.0,145.0,idi,3.01,3.4,23.0,4800.0,26.0,27.0,22470.0
204,N,-1.0,95.0,volvo,gas,turbo,4.0,sedan,rwd,front,109.1,188.8,68.9,55.5,3062.0,ohc,4.0,141.0,mpfi,3.78,3.15,9.5,5400.0,19.0,25.0,22625.0
