,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
215,N,1620.0,ID,IIA,466.0,382.0,337.0,368.0,588.0,487.0,433.0,471.0,128.0,99.0,113.0,120.0
216,P,1621.0,ID,IIB,391.0,329.0,292.0,338.0,499.0,425.0,381.0,436.0,39.0,35.0,35.0,1.0
217,P,1624.0,ID,IIB,,,,341.0,,,,448.0,0.0,0.0,0.0,0.0
218,N,1626.0,ID,I,514.0,408.0,373.0,438.0,640.0,514.0,472.0,550.0,217.0,165.0,155.0,9.0
219,P,1633.0,IL,IIB,527.0,425.0,362.0,418.0,648.0,523.0,449.0,517.0,41.0,28.0,50.0,18.0
220,P,1634.0,IL,IIB,434.0,379.0,339.0,372.0,528.0,461.0,402.0,447.0,18.0,16.0,19.0,16.0
221,P,1635.0,IL,IIB,507.0,405.0,333.0,402.0,599.0,473.0,394.0,474.0,9.0,9.0,14.0,0.0
222,P,1639.0,IL,IIB,,,,312.0,,,,370.0,0.0,0.0,0.0,0.0
223,N,1641.0,IL,IIA,570.0,464.0,378.0,442.0,679.0,562.0,449.0,529.0,75.0,88.0,100.0,30.0
224,P,1664.0,IL,IIB,446.0,422.0,345.0,392.0,551.0,524.0,435.0,489.0,12.0,15.0,23.0,0.0
225,P,1665.0,IL,IIB,,,,349.0,,,,446.0,0.0,0.0,0.0,0.0
226,P,1666.0,IL,IIB,399.0,351.0,295.0,351.0,487.0,435.0,374.0,435.0,30.0,23.0,24.0,1.0
227,N,1671.0,IL,IIA,702.0,543.0,427.0,524.0,857.0,681.0,527.0,648.0,120.0,173.0,152.0,55.0
228,N,1674.0,IL,IIA,442.0,373.0,333.0,364.0,515.0,438.0,393.0,428.0,190.0,161.0,120.0,87.0
229,P,1678.0,IL,IIB,,370.0,315.0,355.0,,458.0,390.0,438.0,5.0,16.0,16.0,0.0
230,P,1684.0,IL,IIB,374.0,331.0,292.0,336.0,466.0,424.0,370.0,422.0,27.0,11.0,15.0,4.0
231,P,1688.0,IL,IIB,522.0,424.0,347.0,424.0,621.0,503.0,410.0,502.0,16.0,18.0,14.0,3.0
232,N,1691.0,IL,I,680.0,480.0,452.0,512.0,836.0,606.0,558.0,636.0,93.0,81.0,73.0,11.0
233,N,1692.0,IL,I,548.0,436.0,373.0,460.0,638.0,514.0,445.0,541.0,289.0,187.0,244.0,0.0
234,N,1693.0,IL,IIA,460.0,378.0,359.0,394.0,529.0,439.0,418.0,455.0,139.0,88.0,71.0,0.0
235,N,1694.0,IL,IIA,446.0,369.0,320.0,345.0,509.0,425.0,371.0,399.0,120.0,65.0,77.0,14.0
236,P,1696.0,IL,IIB,570.0,452.0,374.0,445.0,729.0,593.0,477.0,572.0,32.0,42.0,47.0,8.0
237,P,1700.0,IL,IIB,400.0,358.0,305.0,358.0,486.0,445.0,366.0,438.0,10.0,12.0,6.0,1.0
238,P,1703.0,IL,IIB,,357.0,,319.0,,423.0,,377.0,1.0,11.0,3.0,4.0
239,P,1704.0,IL,IIB,508.0,414.0,342.0,432.0,650.0,518.0,416.0,544.0,35.0,17.0,20.0,5.0
240,P,1706.0,IL,IIB,644.0,475.0,402.0,495.0,843.0,650.0,543.0,662.0,26.0,22.0,24.0,5.0
241,P,1707.0,IL,IIA,467.0,392.0,330.0,357.0,561.0,481.0,407.0,437.0,37.0,20.0,29.0,52.0
242,N,1710.0,IL,I,761.0,536.0,433.0,570.0,924.0,664.0,536.0,701.0,164.0,230.0,163.0,6.0
243,P,1717.0,IL,IIB,324.0,263.0,250.0,262.0,393.0,334.0,307.0,318.0,13.0,9.0,16.0,31.0
244,P,1722.0,IL,IIB,433.0,397.0,341.0,381.0,539.0,493.0,407.0,467.0,16.0,10.0,16.0,5.0
245,P,1724.0,IL,IIB,478.0,409.0,313.0,386.0,583.0,501.0,383.0,472.0,34.0,38.0,46.0,6.0
246,P,1725.0,IL,IIB,443.0,339.0,325.0,381.0,544.0,412.0,385.0,464.0,20.0,12.0,11.0,1.0
247,P,1733.0,IL,IIA,490.0,405.0,337.0,348.0,566.0,472.0,394.0,405.0,20.0,51.0,120.0,23.0
248,P,1734.0,IL,IIB,473.0,399.0,348.0,398.0,588.0,501.0,437.0,497.0,24.0,40.0,28.0,5.0
249,P,1735.0,IL,IIB,415.0,337.0,285.0,339.0,540.0,426.0,352.0,431.0,23.0,18.0,18.0,2.0
250,N,1737.0,IL,I,578.0,435.0,375.0,440.0,667.0,509.0,443.0,515.0,314.0,266.0,246.0,112.0
251,N,1739.0,IL,I,860.0,596.0,496.0,712.0,1045.0,735.0,602.0,868.0,460.0,209.0,203.0,0.0
252,P,1741.0,IL,IIA,391.0,335.0,278.0,320.0,476.0,412.0,346.0,395.0,26.0,22.0,36.0,8.0
253,P,1744.0,IL,IIB,465.0,400.0,345.0,395.0,572.0,540.0,414.0,490.0,20.0,9.0,13.0,7.0
254,P,1745.0,IL,IIB,372.0,371.0,285.0,345.0,459.0,462.0,351.0,427.0,18.0,21.0,14.0,2.0
255,P,1749.0,IL,IIA,484.0,405.0,359.0,416.0,610.0,517.0,464.0,531.0,50.0,58.0,42.0,2.0
256,P,1750.0,IL,IIB,448.0,378.0,377.0,382.0,543.0,479.0,454.0,468.0,10.0,25.0,34.0,3.0
257,N,1758.0,IL,I,564.0,436.0,359.0,422.0,657.0,517.0,431.0,500.0,272.0,255.0,313.0,33.0
258,N,1759.0,IL,IIA,531.0,442.0,389.0,453.0,616.0,520.0,462.0,531.0,168.0,126.0,95.0,24.0
259,P,1767.0,IL,IIA,463.0,395.0,315.0,409.0,576.0,493.0,403.0,511.0,38.0,36.0,17.0,0.0
260,P,1768.0,IL,IIA,551.0,452.0,388.0,439.0,667.0,548.0,471.0,531.0,22.0,78.0,53.0,6.0
261,P,1772.0,IL,IIB,,346.0,291.0,320.0,,406.0,347.0,377.0,5.0,11.0,13.0,2.0
262,N,1774.0,IL,I,894.0,586.0,515.0,742.0,1104.0,724.0,636.0,916.0,467.0,138.0,161.0,36.0
263,N,1775.0,IL,I,682.0,493.0,421.0,570.0,783.0,574.0,494.0,659.0,927.0,520.0,393.0,1.0
264,N,1776.0,IL,I,656.0,476.0,411.0,513.0,755.0,555.0,483.0,596.0,401.0,369.0,296.0,20.0
265,N,1780.0,IL,IIA,506.0,427.0,350.0,421.0,587.0,500.0,414.0,493.0,241.0,171.0,123.0,62.0
266,P,1781.0,IL,IIA,510.0,437.0,368.0,452.0,640.0,569.0,461.0,574.0,67.0,54.0,32.0,3.0
267,P,3970.0,IL,IIB,576.0,540.0,396.0,487.0,694.0,660.0,480.0,591.0,15.0,12.0,16.0,4.0
268,P,9333.0,IL,IIA,499.0,437.0,370.0,433.0,594.0,516.0,447.0,516.0,50.0,62.0,46.0,5.0
269,P,1785.0,IN,IIB,415.0,340.0,316.0,347.0,532.0,427.0,389.0,437.0,43.0,45.0,36.0,14.0
270,N,1786.0,IN,I,517.0,410.0,332.0,384.0,666.0,537.0,438.0,501.0,297.0,160.0,350.0,155.0
271,P,1787.0,IN,IIB,,,285.0,295.0,,,363.0,376.0,5.0,4.0,26.0,1.0
272,P,1788.0,IN,IIA,521.0,442.0,366.0,439.0,650.0,551.0,447.0,544.0,72.0,66.0,77.0,3.0
273,P,1792.0,IN,IIB,540.0,433.0,361.0,452.0,695.0,570.0,465.0,587.0,51.0,57.0,38.0,0.0
274,P,1793.0,IN,IIB,514.0,394.0,338.0,445.0,639.0,483.0,414.0,551.0,44.0,13.0,22.0,0.0
275,P,1795.0,IN,IIA,500.0,415.0,351.0,414.0,602.0,505.0,415.0,496.0,57.0,43.0,58.0,4.0
276,P,1798.0,IN,IIB,440.0,363.0,325.0,381.0,549.0,453.0,411.0,477.0,24.0,16.0,20.0,0.0
277,P,1799.0,IN,IIB,388.0,341.0,291.0,345.0,479.0,410.0,344.0,418.0,37.0,19.0,28.0,0.0
278,P,1800.0,IN,IIB,326.0,264.0,228.0,285.0,439.0,372.0,334.0,395.0,14.0,11.0,6.0,0.0
279,P,1801.0,IN,IIB,555.0,437.0,377.0,432.0,682.0,539.0,455.0,524.0,28.0,16.0,35.0,13.0
280,P,1803.0,IN,IIB,438.0,367.0,305.0,358.0,544.0,455.0,379.0,444.0,11.0,11.0,13.0,3.0
281,P,1804.0,IN,IIA,487.0,408.0,358.0,382.0,620.0,515.0,433.0,469.0,16.0,38.0,52.0,19.0
282,P,1808.0,IN,IIA,493.0,421.0,377.0,384.0,636.0,545.0,477.0,491.0,35.0,38.0,58.0,50.0
283,N,1809.0,IN,I,674.0,479.0,399.0,540.0,852.0,615.0,507.0,685.0,624.0,344.0,305.0,1.0
284,P,1811.0,IN,IIB,,405.0,327.0,341.0,,529.0,424.0,443.0,5.0,12.0,24.0,0.0
285,N,1812.0,IN,IIA,498.0,408.0,340.0,385.0,648.0,534.0,444.0,503.0,53.0,106.0,123.0,15.0
286,N,1813.0,IN,IIA,643.0,469.0,405.0,469.0,820.0,604.0,514.0,599.0,170.0,217.0,215.0,1.0
287,P,1814.0,IN,IIB,519.0,432.0,380.0,397.0,665.0,548.0,482.0,504.0,13.0,21.0,29.0,0.0
288,P,1815.0,IN,IIA,544.0,446.0,355.0,410.0,694.0,575.0,449.0,522.0,25.0,63.0,33.0,0.0
289,P,1816.0,IN,IIA,544.0,445.0,391.0,420.0,696.0,571.0,495.0,537.0,32.0,56.0,57.0,0.0
290,P,1817.0,IN,IIA,529.0,408.0,369.0,422.0,679.0,526.0,470.0,540.0,41.0,24.0,42.0,0.0
291,P,1820.0,IN,IIB,412.0,340.0,289.0,340.0,527.0,416.0,348.0,420.0,24.0,22.0,17.0,11.0
292,P,1821.0,IN,IIB,420.0,329.0,303.0,330.0,520.0,411.0,379.0,411.0,15.0,23.0,34.0,5.0
293,P,1822.0,IN,IIB,396.0,342.0,294.0,335.0,492.0,431.0,367.0,418.0,22.0,23.0,34.0,2.0
294,P,1824.0,IN,IIB,,282.0,252.0,269.0,,340.0,314.0,328.0,3.0,11.0,10.0,4.0
295,N,1825.0,IN,I,721.0,485.0,423.0,562.0,920.0,631.0,548.0,722.0,603.0,411.0,400.0,29.0
296,P,1827.0,IN,IIA,519.0,413.0,364.0,405.0,677.0,541.0,479.0,530.0,47.0,105.0,74.0,21.0
297,P,1830.0,IN,IIB,608.0,522.0,447.0,549.0,797.0,679.0,568.0,715.0,51.0,29.0,21.0,0.0
298,P,1832.0,IN,IIB,,334.0,313.0,316.0,,393.0,371.0,373.0,3.0,8.0,21.0,5.0
299,P,1833.0,IN,IIB,373.0,374.0,312.0,344.0,486.0,478.0,400.0,443.0,13.0,12.0,19.0,1.0
300,P,1834.0,IN,IIB,324.0,264.0,235.0,265.0,426.0,350.0,316.0,353.0,6.0,6.0,9.0,2.0
301,P,1835.0,IN,IIB,307.0,234.0,199.0,232.0,382.0,295.0,246.0,290.0,11.0,11.0,18.0,4.0
302,P,1836.0,IN,IIB,524.0,391.0,331.0,388.0,675.0,509.0,435.0,505.0,21.0,43.0,52.0,1.0
303,P,1837.0,IN,IIB,357.0,,,332.0,405.0,,,376.0,6.0,3.0,5.0,1.0
304,P,1838.0,IN,IIB,404.0,352.0,300.0,355.0,555.0,486.0,382.0,480.0,36.0,31.0,25.0,3.0
305,P,1839.0,IN,IIB,395.0,324.0,291.0,340.0,485.0,395.0,356.0,415.0,23.0,28.0,10.0,3.0
306,N,1840.0,IN,I,798.0,562.0,470.0,637.0,985.0,701.0,573.0,787.0,274.0,195.0,164.0,11.0
307,P,1842.0,IN,IIA,559.0,423.0,372.0,446.0,681.0,525.0,459.0,548.0,67.0,58.0,74.0,5.0
308,P,1844.0,IN,IIB,612.0,474.0,371.0,501.0,770.0,602.0,482.0,637.0,31.0,22.0,20.0,1.0
309,N,9563.0,IN,I,500.0,394.0,343.0,423.0,647.0,513.0,438.0,545.0,248.0,133.0,151.0,16.0
310,P,1903.0,KS,IIB,369.0,318.0,288.0,327.0,443.0,396.0,346.0,397.0,18.0,18.0,16.0,0.0
311,P,1904.0,KS,IIB,335.0,280.0,248.0,281.0,415.0,360.0,308.0,350.0,16.0,9.0,24.0,2.0
312,P,1905.0,KS,IIB,325.0,285.0,267.0,285.0,408.0,356.0,336.0,358.0,16.0,19.0,8.0,5.0
313,P,1915.0,KS,IIA,446.0,378.0,325.0,377.0,556.0,475.0,412.0,474.0,84.0,56.0,71.0,21.0
314,N,1926.0,KS,IIA,450.0,381.0,331.0,375.0,567.0,484.0,425.0,477.0,103.0,76.0,70.0,4.0
315,P,1927.0,KS,IIA,435.0,390.0,330.0,367.0,553.0,499.0,427.0,471.0,67.0,67.0,78.0,26.0
316,N,1928.0,KS,I,550.0,419.0,368.0,440.0,686.0,530.0,466.0,554.0,305.0,231.0,259.0,63.0
317,P,1929.0,KS,IIB,337.0,290.0,265.0,293.0,394.0,343.0,299.0,340.0,11.0,14.0,10.0,3.0
318,P,1933.0,KS,IIB,318.0,274.0,254.0,272.0,397.0,353.0,313.0,342.0,7.0,16.0,11.0,3.0
319,P,1937.0,KS,IIB,338.0,292.0,264.0,284.0,410.0,348.0,309.0,338.0,13.0,12.0,22.0,8.0
320,P,1940.0,KS,IIB,340.0,318.0,278.0,311.0,415.0,388.0,341.0,380.0,16.0,10.0,10.0,3.0
321,P,1943.0,KS,IIB,336.0,301.0,261.0,282.0,390.0,358.0,313.0,335.0,10.0,11.0,15.0,5.0
322,P,1946.0,KS,IIB,304.0,,222.0,257.0,385.0,,282.0,326.0,8.0,5.0,8.0,3.0
323,N,1948.0,KS,I,579.0,422.0,367.0,485.0,714.0,529.0,458.0,603.0,474.0,297.0,204.0,6.0
324,P,1949.0,KS,IIA,594.0,438.0,333.0,457.0,719.0,540.0,416.0,561.0,76.0,55.0,59.0,11.0
325,N,1950.0,KS,IIA,555.0,417.0,361.0,415.0,679.0,518.0,450.0,514.0,101.0,154.0,188.0,24.0
326,P,7032.0,KS,IIB,371.0,305.0,265.0,300.0,457.0,378.0,329.0,372.0,18.0,12.0,24.0,6.0
327,P,10256.0,KS,IIB,335.0,316.0,278.0,296.0,374.0,368.0,327.0,342.0,11.0,16.0,16.0,7.0
328,P,1954.0,KY,IIA,473.0,385.0,326.0,394.0,583.0,480.0,396.0,482.0,32.0,18.0,27.0,7.0
329,P,1955.0,KY,IIB,552.0,428.0,355.0,436.0,675.0,518.0,421.0,525.0,32.0,43.0,31.0,6.0
330,P,1958.0,KY,IIB,,322.0,273.0,299.0,,390.0,324.0,357.0,4.0,10.0,14.0,4.0
331,P,1959.0,KY,IIB,342.0,278.0,252.0,277.0,422.0,350.0,318.0,347.0,12.0,11.0,16.0,7.0
332,P,1960.0,KY,IIB,359.0,315.0,289.0,313.0,416.0,370.0,333.0,363.0,15.0,22.0,26.0,3.0
333,P,1961.0,KY,IIB,521.0,418.0,351.0,431.0,653.0,514.0,423.0,532.0,27.0,21.0,21.0,4.0
334,P,1962.0,KY,IIB,354.0,291.0,272.0,286.0,438.0,362.0,337.0,355.0,17.0,23.0,32.0,20.0
335,N,1963.0,KY,IIA,519.0,439.0,371.0,442.0,648.0,551.0,468.0,555.0,237.0,135.0,185.0,29.0
336,P,1964.0,KY,IIB,398.0,338.0,297.0,343.0,493.0,418.0,352.0,420.0,29.0,18.0,19.0,6.0
337,P,1968.0,KY,IIB,460.0,403.0,329.0,377.0,576.0,505.0,416.0,474.0,26.0,35.0,52.0,5.0
338,P,1969.0,KY,IIB,383.0,326.0,292.0,327.0,474.0,404.0,358.0,405.0,17.0,18.0,11.0,5.0
339,P,1972.0,KY,IIB,,359.0,278.0,294.0,,427.0,331.0,349.0,2.0,7.0,11.0,18.0
340,N,1976.0,KY,IIA,478.0,395.0,322.0,373.0,600.0,498.0,410.0,472.0,87.0,89.0,123.0,37.0
341,N,1977.0,KY,IIA,462.0,396.0,342.0,383.0,601.0,520.0,451.0,503.0,95.0,101.0,101.0,7.0
342,P,1980.0,KY,IIB,359.0,314.0,275.0,304.0,434.0,377.0,332.0,367.0,8.0,25.0,15.0,3.0
343,P,1987.0,KY,IIB,447.0,393.0,318.0,384.0,627.0,526.0,424.0,521.0,18.0,25.0,18.0,2.0
344,P,1988.0,KY,IIB,314.0,287.0,255.0,277.0,383.0,353.0,304.0,335.0,11.0,20.0,8.0,9.0
345,N,1989.0,KY,I,634.0,473.0,418.0,521.0,760.0,574.0,504.0,628.0,470.0,416.0,308.0,6.0
346,N,1999.0,KY,I,584.0,442.0,368.0,476.0,715.0,547.0,449.0,584.0,276.0,208.0,169.0,12.0
347,P,2001.0,KY,IIB,352.0,324.0,277.0,312.0,432.0,394.0,345.0,382.0,12.0,30.0,18.0,1.0
348,N,2002.0,KY,IIA,485.0,408.0,347.0,413.0,613.0,517.0,442.0,524.0,223.0,135.0,144.0,43.0
349,N,9275.0,KY,IIA,506.0,427.0,350.0,388.0,623.0,529.0,432.0,478.0,83.0,96.0,90.0,14.0
350,P,2003.0,LA,IIB,499.0,380.0,324.0,412.0,625.0,468.0,396.0,512.0,28.0,20.0,16.0,2.0
351,P,2004.0,LA,IIB,494.0,373.0,342.0,350.0,567.0,437.0,398.0,406.0,8.0,15.0,59.0,10.0
352,N,2005.0,LA,IIB,440.0,361.0,316.0,338.0,535.0,439.0,385.0,412.0,72.0,67.0,82.0,40.0
353,N,2006.0,LA,IIA,442.0,392.0,329.0,349.0,491.0,437.0,369.0,391.0,48.0,48.0,124.0,45.0
354,P,2007.0,LA,IIB,375.0,324.0,308.0,338.0,484.0,427.0,401.0,440.0,25.0,13.0,18.0,4.0
355,N,2008.0,LA,IIA,472.0,408.0,344.0,391.0,549.0,494.0,418.0,467.0,129.0,93.0,131.0,36.0
356,N,2010.0,LA,I,594.0,437.0,379.0,464.0,711.0,527.0,461.0,559.0,561.0,387.0,313.0,178.0
357,P,2013.0,LA,IIA,458.0,414.0,337.0,385.0,539.0,498.0,403.0,458.0,53.0,37.0,48.0,18.0
358,N,2015.0,LA,IIA,512.0,378.0,352.0,404.0,609.0,453.0,423.0,483.0,199.0,128.0,116.0,67.0
359,P,2016.0,LA,IIA,593.0,451.0,393.0,476.0,728.0,560.0,482.0,587.0,77.0,103.0,45.0,2.0
360,N,2017.0,LA,IIA,456.0,374.0,323.0,363.0,554.0,458.0,398.0,446.0,76.0,77.0,104.0,33.0
361,N,2020.0,LA,IIA,459.0,376.0,325.0,343.0,559.0,458.0,396.0,418.0,88.0,102.0,159.0,100.0
362,P,2021.0,LA,IIA,418.0,360.0,312.0,335.0,500.0,432.0,375.0,403.0,44.0,47.0,98.0,34.0
363,P,2023.0,LA,IIB,,306.0,325.0,314.0,,378.0,400.0,385.0,1.0,9.0,9.0,6.0
364,N,2024.0,LA,IIA,468.0,405.0,329.0,348.0,566.0,486.0,398.0,421.0,68.0,68.0,163.0,90.0
365,P,2026.0,LA,IIB,406.0,329.0,298.0,320.0,487.0,397.0,361.0,387.0,23.0,22.0,64.0,11.0
366,N,2029.0,LA,I,713.0,514.0,418.0,564.0,876.0,646.0,514.0,699.0,172.0,166.0,115.0,3.0
367,N,2031.0,LA,I,533.0,409.0,359.0,402.0,633.0,493.0,434.0,483.0,147.0,136.0,167.0,98.0
368,P,2032.0,LA,IIA,459.0,389.0,332.0,352.0,546.0,456.0,386.0,413.0,37.0,41.0,91.0,34.0
369,N,9636.0,LA,IIA,455.0,392.0,336.0,367.0,538.0,464.0,398.0,434.0,100.0,88.0,210.0,48.0
370,P,2115.0,MA,IIB,726.0,516.0,425.0,610.0,917.0,661.0,546.0,774.0,87.0,23.0,43.0,0.0
371,P,2117.0,MA,IIB,407.0,364.0,318.0,341.0,499.0,470.0,377.0,416.0,6.0,9.0,14.0,4.0
372,P,2118.0,MA,IIB,479.0,400.0,325.0,385.0,610.0,518.0,413.0,492.0,22.0,42.0,40.0,3.0
373,P,2120.0,MA,IIB,507.0,393.0,326.0,395.0,652.0,518.0,407.0,510.0,24.0,63.0,38.0,0.0
374,P,2121.0,MA,IIB,787.0,613.0,557.0,633.0,975.0,769.0,700.0,790.0,31.0,45.0,31.0,3.0
375,P,2124.0,MA,IIA,717.0,566.0,493.0,575.0,894.0,708.0,599.0,712.0,48.0,84.0,56.0,10.0
376,P,2126.0,MA,IIB,504.0,402.0,329.0,381.0,605.0,491.0,405.0,466.0,17.0,59.0,61.0,2.0
377,N,2128.0,MA,I,784.0,569.0,496.0,614.0,964.0,717.0,604.0,761.0,165.0,245.0,126.0,10.0
378,P,2132.0,MA,IIB,447.0,352.0,310.0,346.0,557.0,450.0,384.0,435.0,9.0,18.0,8.0,6.0
379,N,2133.0,MA,I,687.0,493.0,403.0,550.0,859.0,619.0,496.0,686.0,142.0,71.0,40.0,3.0
380,P,2139.0,MA,IIA,664.0,469.0,395.0,522.0,822.0,593.0,488.0,651.0,58.0,64.0,38.0,0.0
381,P,2140.0,MA,IIB,431.0,353.0,305.0,342.0,524.0,429.0,371.0,415.0,10.0,18.0,19.0,5.0
382,P,2141.0,MA,IIB,695.0,506.0,406.0,519.0,875.0,627.0,500.0,644.0,44.0,84.0,54.0,4.0
383,P,2146.0,MA,IIA,669.0,502.0,386.0,488.0,874.0,652.0,494.0,632.0,21.0,33.0,35.0,3.0
384,P,2153.0,MA,IIB,432.0,352.0,319.0,381.0,578.0,467.0,424.0,505.0,35.0,18.0,13.0,5.0
385,N,2155.0,MA,I,1009.0,559.0,500.0,793.0,1236.0,723.0,653.0,989.0,654.0,149.0,255.0,8.0
386,P,2158.0,MA,IIB,,336.0,322.0,320.0,,403.0,389.0,387.0,3.0,7.0,13.0,4.0
387,N,2161.0,MA,I,664.0,539.0,464.0,587.0,805.0,662.0,577.0,717.0,223.0,191.0,52.0,10.0
388,N,2178.0,MA,I,903.0,637.0,528.0,757.0,1124.0,806.0,678.0,951.0,583.0,177.0,164.0,36.0
389,P,2183.0,MA,IIA,517.0,440.0,400.0,468.0,672.0,583.0,542.0,617.0,144.0,53.0,41.0,17.0
390,P,2184.0,MA,IIA,512.0,429.0,395.0,444.0,644.0,540.0,501.0,560.0,87.0,56.0,70.0,11.0
391,P,2187.0,MA,IIB,510.0,394.0,361.0,428.0,642.0,507.0,468.0,546.0,34.0,34.0,21.0,2.0
392,P,2189.0,MA,IIA,523.0,419.0,378.0,457.0,662.0,530.0,478.0,578.0,79.0,46.0,44.0,0.0
393,P,2190.0,MA,IIA,528.0,456.0,370.0,463.0,669.0,585.0,483.0,593.0,81.0,44.0,30.0,13.0
394,P,2192.0,MA,IIB,694.0,505.0,400.0,541.0,866.0,645.0,496.0,678.0,73.0,47.0,51.0,3.0
395,N,2199.0,MA,I,688.0,525.0,460.0,543.0,880.0,689.0,599.0,705.0,236.0,260.0,176.0,0.0
396,P,2206.0,MA,IIB,504.0,425.0,345.0,407.0,627.0,542.0,426.0,513.0,9.0,20.0,14.0,1.0
397,P,2208.0,MA,IIA,589.0,471.0,386.0,477.0,724.0,592.0,482.0,593.0,54.0,54.0,53.0,6.0
398,N,2209.0,MA,IIA,732.0,514.0,405.0,591.0,932.0,646.0,502.0,747.0,127.0,70.0,59.0,6.0
399,N,2210.0,MA,IIA,572.0,482.0,420.0,526.0,722.0,611.0,535.0,665.0,203.0,61.0,32.0,1.0
400,P,2211.0,MA,IIA,520.0,404.0,321.0,376.0,643.0,501.0,399.0,467.0,34.0,45.0,78.0,17.0
401,P,2217.0,MA,IIB,513.0,428.0,354.0,423.0,657.0,541.0,458.0,539.0,24.0,56.0,36.0,0.0
402,P,2218.0,MA,IIA,727.0,548.0,484.0,611.0,925.0,706.0,599.0,777.0,111.0,73.0,33.0,15.0
403,N,2219.0,MA,I,735.0,549.0,447.0,592.0,964.0,710.0,607.0,777.0,148.0,157.0,98.0,2.0
404,N,2221.0,MA,I,704.0,537.0,438.0,607.0,880.0,680.0,557.0,762.0,650.0,306.0,146.0,7.0
405,N,2222.0,MA,IIA,656.0,543.0,445.0,549.0,813.0,679.0,563.0,686.0,154.0,186.0,100.0,1.0
406,P,2224.0,MA,IIB,757.0,550.0,453.0,603.0,988.0,712.0,570.0,779.0,97.0,44.0,74.0,4.0
407,P,2226.0,MA,IIA,659.0,497.0,437.0,543.0,823.0,632.0,545.0,682.0,54.0,42.0,29.0,6.0
408,P,2227.0,MA,IIB,602.0,435.0,357.0,486.0,740.0,539.0,448.0,601.0,44.0,16.0,25.0,6.0
409,P,2228.0,MA,IIA,545.0,420.0,362.0,415.0,662.0,518.0,433.0,505.0,8.0,20.0,20.0,1.0
410,P,2229.0,MA,IIB,707.0,503.0,417.0,543.0,923.0,669.0,566.0,719.0,77.0,36.0,88.0,0.0
411,P,2233.0,MA,IIA,659.0,527.0,451.0,546.0,842.0,680.0,557.0,693.0,75.0,70.0,58.0,4.0
412,P,1436.0,MD,IIB,,344.0,,352.0,,406.0,,416.0,5.0,7.0,5.0,0.0
413,P,2062.0,MD,IIA,510.0,433.0,349.0,401.0,647.0,554.0,452.0,515.0,31.0,28.0,51.0,14.0
414,P,2065.0,MD,IIB,443.0,377.0,309.0,362.0,493.0,441.0,365.0,419.0,19.0,25.0,29.0,3.0
415,P,2067.0,MD,IIB,308.0,297.0,293.0,296.0,344.0,329.0,325.0,329.0,17.0,9.0,11.0,5.0
416,P,2068.0,MD,IIB,557.0,435.0,366.0,431.0,707.0,559.0,476.0,554.0,26.0,32.0,36.0,4.0
417,P,2072.0,MD,IIA,498.0,423.0,366.0,416.0,646.0,538.0,468.0,530.0,76.0,56.0,70.0,8.0
418,P,2073.0,MD,IIB,529.0,387.0,358.0,411.0,661.0,489.0,452.0,518.0,21.0,27.0,23.0,4.0
419,P,2076.0,MD,IIA,516.0,425.0,352.0,402.0,665.0,530.0,434.0,502.0,14.0,21.0,40.0,1.0
420,N,2077.0,MD,I,798.0,542.0,435.0,593.0,972.0,677.0,551.0,734.0,330.0,110.0,160.0,52.0
421,P,2078.0,MD,IIA,632.0,500.0,397.0,482.0,802.0,640.0,511.0,617.0,50.0,76.0,89.0,5.0
422,P,2083.0,MD,IIA,594.0,517.0,439.0,450.0,743.0,651.0,558.0,571.0,26.0,41.0,91.0,42.0
423,P,2086.0,MD,IIB,465.0,384.0,311.0,358.0,563.0,487.0,382.0,448.0,14.0,29.0,34.0,4.0
424,P,2091.0,MD,IIA,543.0,445.0,357.0,404.0,679.0,562.0,458.0,513.0,54.0,63.0,78.0,8.0
425,P,2092.0,MD,IIB,,,,437.0,,,,572.0,0.0,0.0,0.0,0.0
426,P,2095.0,MD,IIB,560.0,426.0,347.0,426.0,686.0,533.0,430.0,526.0,24.0,35.0,29.0,9.0
427,N,2099.0,MD,IIA,531.0,433.0,388.0,439.0,692.0,565.0,505.0,573.0,141.0,136.0,169.0,25.0
428,N,2101.0,MD,IIB,595.0,455.0,377.0,492.0,721.0,556.0,466.0,600.0,125.0,100.0,67.0,7.0
429,P,2102.0,MD,IIA,680.0,560.0,490.0,582.0,833.0,693.0,612.0,719.0,62.0,50.0,54.0,0.0
430,N,2103.0,MD,I,703.0,487.0,406.0,539.0,865.0,608.0,505.0,669.0,535.0,388.0,163.0,133.0
431,N,2105.0,MD,I,638.0,455.0,395.0,464.0,783.0,571.0,491.0,577.0,87.0,119.0,104.0,32.0
432,P,2106.0,MD,IIA,500.0,455.0,388.0,379.0,630.0,572.0,493.0,482.0,8.0,33.0,25.0,5.0
433,P,2108.0,MD,IIB,496.0,419.0,348.0,443.0,637.0,532.0,421.0,562.0,33.0,12.0,15.0,0.0
