,binaryClass_cat,buoy_cat,day_cat,latitude_num,longitude_num,zon_winds_num,mer_winds_num,humidity_num,air_temp_num
420,N,33,10,4.97,-169.96,-6.2,-4.5,,27.72
421,N,33,11,4.97,-169.98,-5.7,-3.8,,27.71
422,N,33,12,4.97,-169.98,-4.9,-3.5,,27.84
423,N,33,13,4.97,-169.98,-4.2,-1.2,,27.61
424,N,33,14,4.97,-169.98,-6.2,2.2,,26.86
425,N,34,1,1.97,-170.02,-4.8,-3.5,94.9,27.85
426,P,34,2,1.98,-170.02,-5.7,-3.1,96.9,28.05
427,P,34,3,1.98,-170.01,-6.1,-0.4,95.7,27.97
428,P,34,4,1.98,-170.01,-4.9,-0.6,98.6,27.78
429,P,34,5,1.97,-170.01,-4.7,-0.3,99.0,27.85
430,P,34,6,1.98,-170.01,-4.4,-0.9,97.4,27.89
431,P,34,7,1.98,-170.0,-4.7,-3.1,96.9,28.01
432,P,34,8,1.98,-170.01,-3.5,-1.3,96.5,27.66
433,N,34,9,1.97,-170.0,-3.2,-0.9,99.4,26.99
434,N,34,10,1.97,-170.0,-3.7,-4.4,94.9,27.66
435,N,34,11,1.97,-170.0,-3.8,-3.4,94.9,27.74
436,N,34,12,1.97,-170.0,-3.7,-3.2,94.9,27.97
437,N,34,13,1.98,-170.01,-3.9,-1.8,92.5,28.2
438,N,34,14,1.97,-170.0,-6.3,0.4,89.7,28.24
439,P,35,1,-0.03,-170.02,-4.5,-2.6,90.4,27.72
440,P,35,2,-0.03,-170.03,-4.9,-2.7,89.6,28.15
441,N,35,3,-0.03,-170.02,-5.0,-1.9,88.3,28.23
442,P,35,4,-0.03,-170.03,-5.6,-1.8,87.9,28.15
443,P,35,5,-0.03,-170.02,-4.8,-0.5,88.7,28.07
444,N,35,6,-0.03,-170.02,-4.4,-2.2,88.3,28.15
445,N,35,7,-0.03,-170.02,-4.9,-2.3,86.2,28.34
446,N,35,8,-0.03,-170.02,-3.5,-1.3,85.3,28.38
447,N,35,9,-0.03,-170.02,-3.0,-0.6,82.8,28.58
448,N,35,10,-0.03,-170.02,-3.2,-4.4,84.5,28.23
449,N,35,11,-0.03,-170.02,-3.4,-3.2,85.7,28.19
450,N,35,12,-0.03,-170.02,-3.9,-3.9,84.9,28.23
451,P,35,13,-0.04,-170.03,-4.3,-2.6,85.3,28.11
452,P,35,14,-0.03,-170.03,-6.0,-1.7,85.7,27.99
453,N,36,1,-2.15,-170.02,-4.3,-2.3,87.1,28.97
454,N,36,2,-2.16,-170.02,-4.3,-1.7,94.2,27.97
455,N,36,3,-2.15,-170.02,-4.1,-2.1,91.1,28.65
456,N,36,4,-2.15,-170.02,-4.2,-2.5,90.7,28.81
457,N,36,5,-2.15,-170.02,-3.2,-1.1,89.9,28.69
458,N,36,6,-2.15,-170.01,-4.7,-2.0,90.3,28.57
459,N,36,7,-2.16,-170.01,-3.7,-4.6,87.1,29.13
460,N,36,8,-2.16,-170.01,-0.6,-1.2,90.7,28.13
461,N,36,9,-2.16,-170.01,-0.7,-0.1,87.1,28.49
462,N,36,10,-2.16,-170.01,-2.8,-0.6,86.7,28.65
463,N,36,11,-2.16,-170.01,-3.0,-1.3,89.9,28.37
464,N,36,12,-2.16,-170.01,-4.5,-3.5,94.2,27.61
465,N,36,13,-2.16,-170.01,-4.0,-4.1,86.3,28.49
466,N,36,14,-2.16,-170.01,-7.1,-1.0,82.8,29.21
467,N,37,1,-5.01,-169.99,,,83.3,28.56
468,N,37,2,-5.01,-169.99,,,80.9,28.84
469,N,37,3,-5.01,-169.99,,,79.7,29.11
470,N,37,4,-5.01,-169.99,,,82.5,29.07
471,N,37,5,-5.01,-169.98,,,83.3,28.95
472,N,37,6,-5.01,-169.99,,,84.1,28.56
473,N,37,7,-5.02,-169.98,,,85.3,28.49
474,N,37,8,-5.01,-169.99,,,82.5,28.87
475,N,37,9,-5.01,-169.99,,,81.3,28.29
476,N,37,10,-5.01,-169.99,,,80.5,28.72
477,N,37,11,-5.01,-169.99,,,80.9,29.15
478,N,37,12,-5.01,-169.99,,,82.9,29.15
479,N,37,13,-5.02,-169.99,,,81.7,28.95
480,N,37,14,-5.01,-169.99,,,77.3,29.34
481,N,38,1,-7.98,-170.03,,,,28.18
482,N,38,2,-7.98,-170.03,,,,28.34
483,N,38,3,-7.98,-170.03,-6.1,1.8,82.5,28.06
484,N,38,4,-7.98,-170.03,,,,28.02
485,N,38,5,-7.98,-170.03,,,,
486,N,38,6,-7.98,-170.03,-6.2,0.0,81.7,28.7
487,N,38,7,-8.0,-170.0,,,,
488,N,38,8,-8.0,-170.0,-3.1,1.1,82.9,28.3
489,N,38,9,-8.0,-170.0,-3.4,0.5,80.0,
490,N,38,10,-8.0,-170.0,-2.7,0.0,79.1,28.46
491,N,38,11,-8.0,-170.0,,,,
492,N,38,12,-8.0,-170.0,,,,
493,N,38,13,-8.0,-170.0,,,,27.89
494,P,39,1,7.97,-155.01,,,,
495,P,39,2,7.97,-155.0,,,,
496,P,39,3,7.97,-155.01,,,,
497,P,39,4,7.98,-155.0,,,,
498,P,39,5,7.97,-155.0,,,,
499,P,39,6,7.98,-155.01,,,,
500,P,39,7,7.97,-155.0,,,,
501,P,39,8,7.97,-155.0,,,,
502,P,39,9,7.97,-155.0,,,,
503,P,39,10,7.98,-155.0,,,,
504,P,39,11,7.97,-155.01,,,,
505,P,39,12,7.97,-155.0,,,,
506,P,39,13,7.98,-155.01,,,,
507,P,39,14,7.98,-155.0,,,,
508,P,40,1,4.98,-154.94,-6.2,-1.8,89.2,26.67
509,P,40,2,4.97,-154.94,-7.0,-2.2,91.8,26.71
510,P,40,3,4.98,-154.93,-6.9,-4.1,90.9,27.39
511,P,40,4,4.98,-154.94,-6.9,-2.9,91.4,27.67
512,P,40,5,4.98,-154.93,-6.8,-1.9,91.4,27.47
513,P,40,6,4.98,-154.93,-5.8,-2.2,92.2,26.95
514,P,40,7,4.98,-154.94,-3.1,-3.0,87.5,27.27
515,N,40,8,4.98,-154.93,-3.3,-1.9,85.0,27.39
516,N,40,9,4.98,-154.93,0.5,0.3,81.6,28.07
517,N,40,10,4.99,-154.93,-1.6,0.5,85.4,27.51
518,N,40,11,4.99,-154.93,-4.5,0.1,85.0,27.87
519,N,40,12,4.97,-154.94,-6.2,-0.5,88.8,27.83
520,N,40,13,4.99,-154.93,-8.1,-0.4,90.9,27.59
521,N,40,14,4.98,-154.94,-5.9,-0.3,86.3,27.39
522,P,41,1,1.99,-154.96,-0.9,0.1,,
523,P,41,2,1.98,-154.95,-3.5,-1.8,,
524,P,41,3,1.99,-154.97,-4.5,-1.4,,
525,P,41,4,1.99,-154.96,-4.8,-0.5,,
526,P,41,5,1.99,-154.96,-5.2,1.9,,
527,P,41,6,1.99,-154.96,-4.5,1.4,,
528,P,41,7,1.98,-154.96,-3.7,-1.6,,
529,P,41,8,1.99,-154.96,-2.9,-1.5,,
530,N,41,9,1.98,-154.96,-1.4,1.6,,
531,N,41,10,1.98,-154.95,-3.5,1.6,,
532,P,41,11,1.99,-154.95,-5.4,0.6,,
533,P,41,12,1.99,-154.95,-6.2,1.2,,
534,P,41,13,1.99,-154.95,-7.3,2.8,,
535,P,41,14,1.99,-154.95,-4.2,1.8,,
536,P,42,1,0.0,-154.96,0.0,-0.1,,25.94
537,P,42,2,-0.01,-154.96,-1.8,-1.8,,26.74
538,P,42,3,0.0,-154.95,-3.6,-2.8,,26.98
539,P,42,4,0.0,-154.96,-4.3,-1.9,,26.94
540,P,42,5,0.0,-154.96,-5.3,-0.9,,27.15
541,P,42,6,0.0,-154.96,-3.8,-1.6,,27.15
542,P,42,7,-0.01,-154.96,-3.4,-2.8,,27.02
543,P,42,8,0.0,-154.96,-2.6,-2.7,,26.98
544,P,42,9,0.0,-154.96,-2.5,0.0,,26.98
545,P,42,10,0.0,-154.96,-4.1,-1.1,,26.7
546,P,42,11,-0.01,-154.95,-4.9,-1.8,,26.46
547,P,42,12,0.0,-154.95,-6.0,-1.4,,26.02
548,P,42,13,0.0,-154.96,-6.3,-0.4,,25.82
549,P,42,14,0.0,-154.96,-3.6,-0.6,,25.7
550,N,43,1,-2.0,-154.98,-1.9,1.6,81.5,27.37
551,N,43,2,-2.0,-154.98,-1.3,-0.7,83.3,28.17
552,N,43,3,-1.99,-154.99,-2.2,-3.8,86.4,27.57
553,N,43,4,-2.0,-154.98,-4.0,-4.8,78.4,28.69
554,N,43,5,-2.0,-154.99,-5.9,-2.5,77.6,29.01
555,N,43,6,-2.0,-155.0,-5.3,0.2,79.8,29.09
556,N,43,7,-2.0,-154.99,-4.5,-1.3,81.1,28.69
557,N,43,8,-2.0,-154.98,-4.8,-3.7,77.6,28.57
558,N,43,9,-2.01,-154.99,-3.5,-2.7,76.7,28.49
559,N,43,10,-2.0,-154.98,-3.7,-2.7,74.5,28.33
560,N,43,11,-2.0,-154.99,-4.7,-3.7,75.8,28.13
561,N,43,12,-2.0,-154.99,-6.3,-3.2,72.3,28.01
562,N,43,13,-2.01,-154.99,-6.9,-1.5,74.5,28.53
563,N,43,14,-2.0,-154.99,-4.1,-2.6,81.1,27.89
564,N,44,1,-5.0,-154.99,3.1,1.2,83.4,28.08
565,N,44,2,-4.99,-154.99,-2.7,0.4,86.4,27.97
566,N,44,3,-4.99,-154.99,-4.4,-0.9,85.1,28.6
567,N,44,4,-5.0,-154.99,-4.5,-2.7,88.5,27.85
568,N,44,5,-5.0,-154.99,-5.4,-2.0,82.6,28.56
569,N,44,6,-5.0,-154.99,-5.2,0.6,82.2,28.76
570,N,44,7,-5.0,-154.99,-5.0,-1.0,85.1,28.24
571,N,44,8,-5.0,-154.99,-5.2,-1.8,81.3,28.64
572,N,44,9,-5.0,-154.99,-3.2,-0.5,77.5,28.4
573,N,44,10,-5.0,-154.99,-3.5,-1.1,80.1,28.32
574,N,44,11,-5.01,-154.99,-5.7,0.9,86.0,27.89
575,N,44,12,-4.99,-154.99,-4.5,-2.7,86.0,27.77
576,N,44,13,-5.0,-154.99,-5.8,-0.9,77.1,28.84
577,N,44,14,-5.0,-154.99,-4.2,1.7,82.2,28.8
578,N,45,1,-8.28,-154.97,2.0,-0.1,81.8,27.89
579,N,45,2,-8.27,-154.97,-1.1,-1.2,82.1,28.24
580,N,45,3,-8.28,-154.97,-2.8,-1.3,80.3,28.99
581,N,45,4,-8.28,-154.97,-4.7,-0.5,81.4,29.07
582,N,45,5,-8.28,-154.97,-5.4,-0.8,82.1,29.03
583,N,45,6,-8.28,-154.97,-5.5,0.0,81.4,29.23
584,N,45,7,-8.28,-154.97,-6.2,-2.2,81.8,29.31
585,N,45,8,-8.28,-154.97,-6.2,-0.9,81.4,29.15
586,N,45,9,-8.28,-154.96,-2.9,-1.9,82.1,28.44
587,N,45,10,-8.28,-154.97,-4.2,-2.1,76.7,29.03
588,N,45,11,-8.28,-154.97,-6.2,0.8,75.6,29.11
589,N,45,12,-8.28,-154.96,-5.7,-1.6,77.8,29.03
590,N,45,13,-8.27,-154.97,-5.4,-1.2,82.8,28.48
591,N,45,14,-8.28,-154.97,-6.9,0.9,81.8,28.56
592,N,46,1,2.41,137.41,-3.0,0.4,84.0,28.86
593,N,46,2,2.42,137.41,-4.5,0.0,82.0,28.86
594,N,46,3,2.41,137.41,-3.9,1.0,82.8,29.18
595,N,46,4,2.41,137.41,-3.8,-0.6,82.4,29.18
596,N,46,5,2.42,137.41,-2.2,-1.4,78.8,29.25
597,N,46,6,2.41,137.41,-1.4,-1.9,78.8,29.14
598,N,46,7,2.41,137.41,-3.2,-1.3,78.1,29.41
599,N,46,8,2.42,137.42,-4.4,-1.6,79.6,29.53
600,N,46,9,2.42,137.41,-3.6,-1.3,82.8,28.74
601,N,46,10,2.42,137.41,-1.5,1.2,79.6,28.7
602,N,46,11,2.42,137.41,-1.8,0.1,77.7,
603,N,46,12,2.42,137.41,-2.8,-2.2,86.0,27.78
604,N,46,13,2.42,137.41,-4.3,0.6,80.4,28.9
605,N,46,14,2.42,137.41,0.0,0.4,83.6,28.42
606,N,47,1,4.97,147.0,-5.1,-0.4,80.1,29.04
607,N,47,2,4.97,147.0,-4.2,-2.9,83.4,28.8
608,N,47,3,4.97,146.99,-6.1,-3.2,80.9,29.12
609,N,47,4,4.97,147.0,-4.2,-2.3,82.6,28.8
610,N,47,5,4.97,147.0,-4.7,-0.5,85.1,27.99
611,N,47,6,4.97,147.0,-3.1,-0.8,81.3,28.03
612,N,47,7,4.97,147.0,-4.0,-2.2,83.0,28.52
613,N,47,8,4.97,147.0,-4.8,-1.9,80.5,28.64
614,N,47,9,4.97,147.0,-3.9,-0.7,79.7,28.64
615,N,47,10,4.97,147.01,-4.9,-1.5,81.3,28.39
616,N,47,11,4.97,147.0,-5.1,-4.1,84.3,28.72
617,N,47,12,4.97,147.0,-5.5,-3.6,82.6,29.12
618,N,47,13,4.97,147.01,-5.2,-1.6,83.9,28.64
619,N,47,14,4.97,146.99,,,,28.8
620,N,48,1,-0.01,146.99,-2.3,-0.3,80.5,29.16
621,N,48,2,0.01,146.99,-3.0,-2.6,82.8,29.05
622,N,48,3,0.0,146.99,-6.0,-0.4,87.5,28.48
623,N,48,4,0.0,146.99,-3.2,-1.8,86.7,28.44
624,N,48,5,0.0,146.99,-0.6,3.3,88.2,27.0
625,N,48,6,0.0,147.0,0.5,-0.3,83.6,28.52
626,N,48,7,0.0,147.0,0.1,-1.9,81.7,29.05
627,N,48,8,0.0,146.99,-0.3,-0.5,81.7,28.9
628,N,48,9,0.0,147.0,-2.7,0.0,80.1,29.32
629,N,48,10,0.0,147.0,-2.5,-1.3,81.3,29.2
630,N,48,11,0.0,147.0,-3.0,-3.8,84.0,29.05
631,N,48,12,0.0,147.0,-4.6,-0.5,86.7,28.48
632,N,48,13,0.0,147.01,-3.0,1.2,88.6,27.95
633,N,49,1,8.08,156.01,-6.6,-3.0,84.5,28.53
634,N,49,2,8.08,156.02,-5.5,-4.1,83.7,28.41
635,N,49,3,8.09,156.02,-6.8,-3.4,81.8,28.41
636,N,49,4,8.08,156.02,-5.1,-2.6,88.0,27.81
637,N,49,5,8.08,156.02,-6.8,-3.2,87.3,27.81
638,N,49,6,8.08,156.02,-5.1,-4.2,83.7,28.33
639,N,49,7,8.08,156.02,-5.2,-3.4,82.6,28.09
640,N,49,8,8.07,156.01,-5.2,-2.0,85.3,27.89
641,N,49,9,8.09,156.02,-5.2,-2.0,85.7,28.41
642,N,49,10,8.09,156.02,-4.8,-2.8,87.3,28.41
643,N,49,11,8.07,156.02,-5.3,-3.8,86.9,28.41
644,N,49,12,8.09,156.02,-7.5,-2.5,84.9,28.57
645,N,49,13,8.09,156.01,-5.9,-2.5,87.3,28.29
646,N,49,14,8.08,156.02,-5.5,-0.7,94.3,27.29
647,N,50,1,4.98,156.06,-6.3,-3.5,83.7,28.89
648,N,50,2,4.98,156.07,-5.4,-3.4,79.6,28.97
649,N,50,3,4.98,156.07,-6.2,-2.7,82.5,28.78
650,N,50,4,4.99,156.06,-4.2,-1.3,85.7,28.07
651,N,50,5,4.99,156.06,-4.2,-3.3,86.1,27.99
652,N,50,6,4.99,156.06,-4.0,-4.4,81.2,28.97
653,N,50,7,4.99,156.06,-4.1,-3.5,78.4,28.85
654,N,50,8,4.98,156.06,-4.7,-0.4,78.4,28.85
655,N,50,9,4.99,156.06,-4.6,-2.5,78.8,29.01
656,N,50,10,4.99,156.07,-5.1,-1.8,81.2,28.89
657,N,50,11,4.99,156.07,-5.5,-4.2,80.8,29.17
658,N,50,12,4.99,156.07,-7.2,-1.7,81.2,29.01
659,N,50,13,4.99,156.07,-6.5,-1.8,82.5,28.97
660,N,50,14,4.99,156.08,-3.5,-0.6,85.7,28.23
661,N,51,1,2.08,156.21,-4.5,-3.2,83.0,28.57
662,N,51,2,2.08,156.21,-5.2,-3.5,81.8,28.76
663,N,51,3,2.08,156.2,-5.4,-2.2,84.6,27.93
664,N,51,4,2.08,156.21,-4.3,0.3,83.8,28.05
665,N,51,5,2.08,156.21,-3.0,-2.0,83.0,28.37
666,N,51,6,2.09,156.21,-2.3,-3.1,82.2,28.41
667,N,51,7,2.09,156.22,-3.4,-3.8,80.2,28.6
668,N,51,8,2.08,156.2,-4.1,-1.2,80.6,28.41
669,N,51,9,2.08,156.21,-3.6,0.0,85.4,27.26
670,N,51,10,2.09,156.21,-3.5,-2.5,82.2,28.25
671,N,51,11,2.08,156.2,-5.4,-5.1,83.0,28.64
672,N,51,12,2.08,156.21,-6.3,-2.9,82.6,28.64
673,N,51,13,2.08,156.2,-7.0,-1.4,82.2,28.72
674,N,51,14,2.07,156.2,-4.7,-0.5,80.2,28.64
675,N,52,1,0.06,156.16,-3.0,-2.8,86.7,28.26
676,N,52,2,0.06,156.17,-4.4,-1.9,87.8,27.94
677,N,52,3,0.06,156.16,-3.5,-1.2,86.7,27.98
678,N,52,4,0.06,156.16,-3.5,-0.8,86.3,28.22
679,N,52,5,0.06,156.16,-3.0,-2.2,83.9,28.42
680,N,52,6,0.06,156.17,-0.6,-3.3,83.9,28.26
681,N,52,7,0.06,156.16,-2.4,-2.8,89.4,27.27
682,N,52,8,0.06,156.16,-2.8,1.0,88.6,27.35
683,N,52,9,0.06,156.16,0.2,-0.8,85.1,27.78
684,N,52,10,0.06,156.17,-3.1,-3.3,83.9,28.26
685,N,52,11,0.06,156.16,-5.3,-5.0,87.1,28.45
686,N,52,12,0.06,156.17,-6.1,-1.3,87.1,28.26
687,N,52,13,0.06,156.17,-6.7,-1.4,86.3,28.26
688,N,52,14,0.06,156.16,-3.9,-1.6,85.9,28.18
689,N,53,1,-1.98,155.94,-2.3,-2.6,78.3,28.68
690,N,53,2,-1.99,155.94,-3.0,-0.2,78.3,28.4
691,N,53,3,-1.99,155.94,-3.6,0.1,76.7,28.96
692,N,53,4,-1.99,155.93,-3.6,-0.1,76.3,29.08
693,N,53,5,-1.99,155.94,-2.2,-2.0,78.8,28.84
694,N,53,6,-1.99,155.94,-0.4,-2.7,77.1,28.76
695,N,53,7,-1.99,155.94,0.9,-1.7,82.9,27.65
696,N,53,8,-1.99,155.94,1.8,2.1,82.9,27.65
697,N,53,9,-1.99,155.94,-1.1,-1.2,81.3,28.16
698,N,53,10,-1.99,155.94,-1.3,-1.8,88.3,30.04
699,N,53,11,-1.99,155.94,-4.8,-4.7,,
700,N,53,12,-1.99,155.94,-5.0,-1.4,,
701,N,53,13,-1.99,155.94,-6.2,1.1,,
702,N,53,14,-2.0,155.94,-1.6,0.0,,
703,N,54,1,7.98,165.06,-5.8,-3.4,84.5,28.35
704,N,54,2,7.98,165.07,-5.8,-4.3,83.7,28.44
705,N,54,3,7.99,165.06,-7.0,-2.4,87.7,28.18
706,N,54,4,7.98,165.07,-7.2,-3.9,87.7,28.42
707,N,54,5,7.99,165.06,-5.8,-4.5,81.4,28.5
708,N,54,6,7.99,165.06,-4.4,-4.2,79.8,28.33
709,N,54,7,7.98,165.07,-4.9,-2.5,84.5,28.32
710,N,54,8,7.99,165.07,-4.1,1.2,92.4,27.67
711,N,54,9,7.98,165.06,-1.5,0.1,92.4,26.97
712,N,54,10,7.98,165.07,-6.1,-4.1,85.3,28.46
713,N,54,11,7.98,165.06,-5.8,-3.8,81.4,28.45
714,N,54,12,7.98,165.06,-6.8,-2.4,88.9,28.17
715,N,54,13,7.98,165.08,-6.7,-4.2,90.0,28.28
716,N,54,14,7.98,165.06,-6.2,-4.9,88.9,28.4
717,N,55,1,5.03,165.02,-6.2,-3.5,84.0,28.5
718,N,55,2,5.02,165.03,-6.1,-3.9,84.4,28.44
719,N,55,3,5.02,165.03,-6.2,-0.2,89.3,27.65
720,N,55,4,5.02,165.02,-6.6,-1.8,88.5,28.12
721,N,55,5,5.02,165.02,-5.6,-4.4,86.5,28.13
722,N,55,6,5.02,165.02,-3.9,-5.3,81.2,28.34
723,N,55,7,5.03,165.02,-4.0,-2.9,84.4,28.24
724,N,55,8,5.03,165.03,-2.0,3.3,88.5,27.98
725,N,55,9,5.03,165.02,-3.2,-1.0,84.8,27.97
726,N,55,10,5.03,165.02,-7.2,-3.1,85.3,28.43
727,N,55,11,5.03,165.02,-5.9,-3.8,82.8,28.44
728,N,55,12,5.03,165.02,-6.8,-0.2,84.8,28.55
729,N,55,13,5.02,165.03,-6.6,-0.6,88.5,28.18
730,N,55,14,5.03,165.02,-6.4,-1.6,87.7,28.53
731,N,56,1,0.01,165.01,-1.7,-1.9,,
732,N,56,2,0.0,165.02,-3.5,0.3,,
733,N,56,3,0.0,165.01,-3.8,-0.2,,
734,N,56,4,0.0,165.01,-4.3,-1.5,,
735,N,56,5,0.0,165.01,-2.9,-1.9,,
736,N,56,6,0.0,165.01,-1.1,-2.2,,
737,N,56,7,0.0,165.02,-0.8,-0.9,,
738,N,56,8,0.0,165.02,-2.9,1.5,,
739,N,56,9,0.0,165.01,-3.0,-2.9,,
740,N,56,10,0.0,165.02,-3.9,-5.0,,
741,N,56,11,0.0,165.01,-4.1,-2.1,,
742,N,56,12,0.0,165.01,-4.9,0.0,,
743,N,56,13,0.0,165.01,-4.9,-1.6,,
744,N,56,14,0.0,165.01,-4.0,-1.7,,
745,N,57,1,-1.92,164.41,-1.6,-3.4,81.3,28.44
746,N,57,2,-1.92,164.41,-2.0,-0.9,79.2,28.52
747,N,57,3,-1.92,164.42,-3.3,-0.3,78.0,28.67
748,N,57,4,-1.92,164.42,-3.6,-2.3,82.5,28.48
749,N,57,5,-1.93,164.41,-2.3,-2.9,79.6,28.55
750,N,57,6,-1.92,164.42,-0.2,-2.7,80.1,28.49
751,N,57,7,-1.92,164.42,-3.3,1.1,80.9,28.26
752,N,57,8,-1.92,164.42,-3.0,1.7,80.9,28.45
753,N,57,9,-1.93,164.42,-4.4,-2.3,83.3,28.18
754,N,58,1,-5.0,165.2,0.3,-4.4,88.1,26.82
755,N,58,2,-5.0,165.21,-0.4,-1.2,85.0,27.5
756,N,58,3,-4.99,165.21,-1.3,-0.7,75.9,28.72
757,N,58,4,-5.0,165.21,-2.4,-0.2,79.8,28.67
758,N,58,5,-4.99,165.21,-0.3,-2.0,80.7,28.28
759,N,58,6,-5.0,165.21,3.4,1.7,84.1,27.49
760,N,58,7,-4.99,165.21,-3.4,-0.2,85.5,26.61
761,N,58,8,-4.99,165.2,-3.9,1.1,79.8,28.13
762,N,58,9,-4.99,165.21,-6.3,-0.1,85.9,27.34
763,N,58,10,-4.99,165.21,-2.4,-3.1,82.4,27.6
764,N,58,11,-5.0,165.2,-3.7,0.0,84.1,27.21
765,N,58,12,-5.0,165.2,-4.2,1.6,81.5,28.09
766,N,58,13,-5.0,165.2,-5.1,1.1,83.3,28.16
767,N,58,14,-5.0,165.2,-3.9,-1.0,85.9,27.89
768,N,59,1,-8.03,164.82,,,93.3,27.64
769,N,59,2,-8.03,164.81,,,91.8,28.48
770,N,59,3,-8.03,164.82,,,91.2,28.61
771,N,59,4,-8.03,164.82,,,93.6,28.47
772,N,59,5,-8.03,164.82,,,88.8,28.47
773,N,59,6,-8.03,164.82,,,90.6,27.97
774,N,59,7,-8.03,164.82,,,89.5,27.51
775,N,59,8,-8.04,164.82,,,85.9,27.65
776,N,59,9,-8.03,164.82,,,89.5,28.37
777,N,59,10,-8.04,164.82,,,93.6,26.89
778,N,59,11,-8.04,164.82,,,92.3,27.62
779,N,59,12,-8.03,164.81,,,93.2,28.33
780,N,59,13,-8.04,164.82,,,95.5,28.44
781,N,59,14,-8.04,164.81,,,93.4,28.67
