,binaryClass_cat,year_num,month_num,day_num,RPT_num,VAL_num,ROS_num,KIL_num,SHA_num,BIR_num,DUB_num,CLA_num,MUL_num,CLO_num,BEL_num
1922,N,66.0,4.0,7.0,11.25,7.87,8.04,4.67,9.08,5.17,9.33,10.46,9.87,9.08,12.12
1923,N,66.0,4.0,8.0,15.37,15.71,10.92,7.58,16.66,10.88,11.42,11.92,11.12,10.54,17.62
1924,N,66.0,4.0,9.0,11.38,6.79,14.42,7.87,10.5,9.21,18.63,9.33,12.5,13.17,12.08
1925,N,66.0,4.0,10.0,9.79,11.42,9.54,6.46,11.0,6.25,10.41,8.63,7.21,9.33,11.21
1926,N,66.0,4.0,11.0,12.21,9.96,10.21,7.25,15.09,9.83,14.21,15.25,10.71,11.25,16.88
1927,N,66.0,4.0,12.0,14.96,12.38,14.71,9.71,15.96,12.75,17.71,16.66,13.62,10.92,17.08
1928,N,66.0,4.0,13.0,23.13,22.17,20.3,13.62,20.88,13.59,24.71,21.71,17.5,15.25,23.16
1929,N,66.0,4.0,14.0,28.25,26.96,23.13,14.42,22.54,15.46,21.79,22.37,16.17,18.12,25.84
1930,N,66.0,4.0,15.0,16.33,16.0,16.54,12.08,16.04,11.0,20.62,20.25,15.12,14.5,25.37
1931,N,66.0,4.0,16.0,7.29,9.29,8.79,3.46,6.96,6.67,10.41,13.54,12.12,11.38,19.0
1932,N,66.0,4.0,17.0,15.71,14.29,12.58,5.54,11.58,9.5,10.71,13.67,11.0,10.0,16.92
1933,N,66.0,4.0,18.0,20.46,14.62,15.29,10.13,13.0,9.5,16.66,14.58,12.25,11.34,16.88
1934,P,66.0,4.0,19.0,18.41,14.46,10.5,8.83,12.08,9.21,11.71,10.75,9.67,9.5,15.12
1935,P,66.0,4.0,20.0,12.87,11.38,11.71,9.0,11.75,8.29,11.96,7.62,9.17,10.34,12.08
1936,N,66.0,4.0,21.0,14.33,14.75,10.88,7.29,11.0,9.04,7.87,7.0,7.41,8.75,12.33
1937,N,66.0,4.0,22.0,22.08,21.62,18.41,12.42,15.63,12.75,15.29,16.25,11.63,16.0,23.96
1938,P,66.0,4.0,23.0,19.33,16.5,18.58,12.54,14.29,10.54,12.96,10.75,9.08,12.58,13.21
1939,P,66.0,4.0,24.0,13.62,11.21,10.41,7.41,13.79,7.75,11.08,8.42,9.0,9.42,11.83
1940,P,66.0,4.0,25.0,10.46,12.46,10.0,5.91,9.17,7.17,9.21,10.29,6.21,9.87,15.0
1941,N,66.0,4.0,26.0,23.33,21.84,18.88,16.08,20.5,15.71,13.75,15.09,13.33,17.33,17.5
1942,N,66.0,4.0,27.0,21.71,20.67,16.62,16.21,23.67,18.21,20.88,19.33,17.75,18.96,23.0
1943,N,66.0,4.0,28.0,12.67,15.63,11.75,7.33,12.33,10.5,13.54,14.5,9.5,13.37,23.54
1944,N,66.0,4.0,29.0,14.17,16.54,15.37,11.17,14.33,12.42,13.29,13.17,8.33,15.09,26.12
1945,N,66.0,4.0,30.0,10.34,14.25,7.21,8.54,13.7,8.87,4.75,10.5,8.21,10.58,17.88
1946,P,66.0,5.0,1.0,4.04,5.5,4.75,3.79,6.25,3.75,4.54,5.13,3.29,6.38,11.38
1947,P,66.0,5.0,2.0,7.12,5.91,7.25,2.08,5.71,1.5,1.96,3.46,1.75,4.0,9.62
1948,P,66.0,5.0,3.0,13.25,10.71,11.08,7.12,9.5,6.29,7.38,5.54,5.25,6.17,8.67
1949,N,66.0,5.0,4.0,18.34,14.62,14.79,11.42,18.38,12.92,15.34,15.09,13.54,14.54,19.58
1950,P,66.0,5.0,5.0,20.5,18.91,15.09,10.25,18.84,10.21,11.34,10.0,8.75,8.42,15.29
1951,N,66.0,5.0,6.0,27.25,19.7,19.12,15.75,20.79,13.75,16.0,14.42,12.92,15.92,19.7
1952,P,66.0,5.0,7.0,15.71,12.08,14.21,8.71,10.75,7.58,9.38,7.58,8.67,10.41,14.37
1953,P,66.0,5.0,8.0,16.88,13.67,10.17,5.91,9.33,5.04,5.96,5.54,4.46,6.13,9.46
1954,N,66.0,5.0,9.0,14.54,9.79,12.08,9.59,9.13,9.46,12.62,6.58,10.88,13.88,11.79
1955,N,66.0,5.0,10.0,16.29,15.09,14.67,11.42,13.21,11.87,10.5,13.25,11.75,14.42,23.16
1956,P,66.0,5.0,11.0,10.13,7.87,10.37,5.04,5.88,4.75,6.34,5.17,5.37,8.46,10.08
1957,P,66.0,5.0,12.0,7.29,6.46,5.63,2.5,6.67,3.46,5.79,1.96,4.04,4.83,7.62
1958,N,66.0,5.0,13.0,15.71,16.83,16.08,8.54,16.46,9.46,11.54,14.33,9.87,14.67,24.71
1959,N,66.0,5.0,14.0,13.59,13.46,12.17,7.46,15.21,9.79,11.79,11.08,9.71,12.21,18.84
1960,P,66.0,5.0,15.0,6.21,9.29,5.09,2.92,6.96,4.29,6.25,8.21,4.42,8.12,17.33
1961,N,66.0,5.0,16.0,10.37,14.25,10.29,6.42,12.0,8.33,6.75,9.62,7.08,10.21,21.12
1962,N,66.0,5.0,17.0,8.96,7.71,9.08,6.54,11.38,8.25,9.87,7.5,8.83,8.58,13.75
1963,N,66.0,5.0,18.0,10.0,11.54,10.41,5.21,12.83,8.42,9.17,8.71,7.79,6.92,16.46
1964,N,66.0,5.0,19.0,17.46,14.09,13.42,9.54,15.04,11.38,12.0,10.17,11.25,12.75,17.58
1965,N,66.0,5.0,20.0,8.71,11.79,10.96,6.67,9.13,7.29,9.25,6.46,7.33,8.29,13.83
1966,P,66.0,5.0,21.0,18.08,19.38,18.16,12.04,14.5,12.62,15.96,13.75,10.71,12.67,20.75
1967,N,66.0,5.0,22.0,23.13,19.12,18.08,17.16,22.04,17.5,24.41,19.08,20.25,21.37,25.88
1968,N,66.0,5.0,23.0,14.5,13.33,11.29,9.13,12.75,11.29,15.04,10.79,12.71,13.21,15.87
1969,P,66.0,5.0,24.0,14.92,14.58,12.71,7.08,12.12,9.96,10.75,8.79,9.92,10.29,16.58
1970,N,66.0,5.0,25.0,17.0,15.37,13.37,10.92,18.25,13.0,14.96,13.67,13.33,12.71,18.96
1971,P,66.0,5.0,26.0,13.13,9.17,7.54,8.08,8.67,7.87,11.38,7.41,9.38,11.58,11.54
1972,P,66.0,5.0,27.0,11.67,5.09,10.67,4.58,4.83,4.63,8.17,5.25,7.25,6.71,7.0
1973,P,66.0,5.0,28.0,13.46,13.92,12.08,4.67,8.54,7.54,6.54,6.71,7.87,7.29,9.33
1974,P,66.0,5.0,29.0,15.12,14.46,12.42,5.46,9.38,8.33,5.66,7.67,7.25,8.46,9.08
1975,P,66.0,5.0,30.0,10.92,9.21,7.96,3.37,6.29,4.92,2.62,3.92,4.75,4.79,5.37
1976,P,66.0,5.0,31.0,5.33,3.5,4.12,1.38,2.46,1.58,0.83,2.54,1.79,1.92,5.29
1977,P,66.0,6.0,1.0,7.67,6.25,3.79,4.71,6.0,3.88,4.54,5.37,6.0,8.0,7.25
1978,P,66.0,6.0,2.0,5.66,2.67,7.21,3.04,1.87,3.17,4.79,2.96,5.09,5.71,8.96
1979,P,66.0,6.0,3.0,6.67,10.58,10.83,5.33,4.71,6.63,8.58,8.21,5.75,8.58,13.83
1980,N,66.0,6.0,4.0,21.21,18.29,19.79,11.08,17.21,12.67,16.54,15.75,13.08,16.88,22.21
1981,P,66.0,6.0,5.0,10.63,9.79,9.17,7.58,9.96,8.58,10.41,6.96,8.75,9.71,11.12
1982,P,66.0,6.0,6.0,12.58,10.04,11.58,5.04,6.96,6.0,5.33,2.37,4.88,4.29,6.67
1983,P,66.0,6.0,7.0,7.04,5.13,8.17,2.42,3.25,1.33,2.5,1.54,2.04,4.0,6.92
1984,P,66.0,6.0,8.0,4.79,10.08,7.0,4.46,5.58,5.58,5.04,4.0,5.71,7.71,13.5
1985,P,66.0,6.0,9.0,15.83,18.12,14.62,8.17,11.67,5.88,7.96,10.29,6.54,7.83,16.29
1986,P,66.0,6.0,10.0,20.67,16.08,20.46,11.17,11.5,8.29,12.08,11.0,8.87,9.54,14.54
1987,P,66.0,6.0,11.0,10.92,6.54,16.33,3.96,4.46,7.29,7.04,4.83,7.0,8.5,10.41
1988,P,66.0,6.0,12.0,6.79,1.83,8.75,3.88,0.5,1.38,2.5,1.33,4.04,5.58,5.0
1989,P,66.0,6.0,13.0,8.46,4.71,10.41,3.58,2.58,3.29,2.29,0.75,2.58,2.37,4.92
1990,P,66.0,6.0,14.0,12.29,10.92,10.46,7.33,7.92,6.21,5.17,4.38,6.38,7.87,10.25
1991,P,66.0,6.0,15.0,16.96,17.25,11.87,11.17,13.75,9.33,8.67,10.25,10.04,12.71,12.92
1992,N,66.0,6.0,16.0,16.17,13.54,12.38,10.25,14.21,10.67,10.34,10.41,10.92,12.96,12.79
1993,P,66.0,6.0,17.0,12.79,10.71,11.58,7.29,6.83,7.04,8.63,8.54,7.38,10.34,16.0
1994,P,66.0,6.0,18.0,9.17,8.75,11.42,4.83,8.0,6.5,5.58,7.08,6.46,9.0,13.29
1995,P,66.0,6.0,19.0,8.63,8.04,8.87,5.04,6.5,5.66,6.34,3.88,4.75,7.41,8.42
1996,P,66.0,6.0,20.0,7.5,9.42,7.17,2.58,5.66,3.46,4.21,2.37,3.79,5.25,8.21
1997,P,66.0,6.0,21.0,6.5,6.38,9.33,2.46,4.63,2.46,4.71,2.0,4.29,3.25,9.08
1998,P,66.0,6.0,22.0,7.75,5.75,5.79,3.58,3.46,3.42,3.63,1.58,3.46,2.92,5.66
1999,P,66.0,6.0,23.0,6.71,6.83,10.17,5.09,9.0,5.88,8.92,4.38,6.83,6.54,7.54
2000,N,66.0,6.0,24.0,15.12,11.67,11.34,9.38,13.83,11.0,14.42,10.21,12.08,11.87,13.25
2001,P,66.0,6.0,25.0,10.83,9.67,9.87,5.37,11.5,8.5,9.71,7.87,9.42,9.59,13.75
2002,P,66.0,6.0,26.0,12.33,13.67,13.37,7.41,14.79,9.75,10.75,8.12,9.25,11.08,16.88
2003,N,66.0,6.0,27.0,20.5,14.25,15.21,10.63,16.92,11.87,17.0,11.25,13.59,15.67,16.66
2004,P,66.0,6.0,28.0,9.21,5.41,9.33,6.08,8.29,6.46,11.12,4.04,9.42,11.29,9.17
2005,P,66.0,6.0,29.0,7.75,4.0,7.41,2.58,6.21,2.67,4.46,2.21,4.58,3.25,11.29
2006,P,66.0,6.0,30.0,5.83,5.04,6.21,4.04,8.25,5.37,6.42,4.54,6.63,6.54,11.87
2007,N,66.0,7.0,1.0,9.42,5.91,7.41,3.54,7.12,4.17,3.71,5.29,5.33,6.87,13.33
2008,P,66.0,7.0,2.0,9.25,7.25,8.12,4.12,6.83,4.29,4.83,3.29,6.42,7.21,9.0
2009,P,66.0,7.0,3.0,8.21,3.71,6.0,3.54,3.17,0.58,2.88,1.0,2.04,2.83,8.63
2010,P,66.0,7.0,4.0,2.58,4.08,6.25,1.42,4.12,1.08,1.46,0.96,3.37,3.0,7.67
2011,P,66.0,7.0,5.0,14.83,11.21,4.42,5.0,11.75,5.0,1.63,4.25,5.91,5.75,10.96
2012,P,66.0,7.0,6.0,10.08,10.92,9.46,6.54,7.71,5.66,6.96,4.08,7.33,9.17,9.33
2013,P,66.0,7.0,7.0,8.33,4.21,8.21,4.75,8.33,5.13,6.79,4.29,7.21,6.83,8.38
2014,P,66.0,7.0,8.0,7.92,8.5,7.79,3.79,8.0,4.63,5.83,5.63,6.5,7.33,11.5
2015,N,66.0,7.0,9.0,6.71,6.92,6.96,5.09,10.21,6.08,7.67,6.29,7.21,7.12,14.5
2016,P,66.0,7.0,10.0,15.54,13.7,11.04,7.62,13.42,9.87,7.5,11.38,8.67,11.08,16.0
2017,P,66.0,7.0,11.0,11.42,7.5,12.04,6.54,8.79,5.83,7.58,6.58,7.92,6.54,12.04
2018,N,66.0,7.0,12.0,10.25,10.17,10.34,8.87,16.04,10.29,13.79,10.63,12.29,10.83,17.21
2019,N,66.0,7.0,13.0,18.91,15.0,12.21,10.88,17.83,11.63,14.83,12.58,13.75,14.58,18.25
2020,P,66.0,7.0,14.0,14.25,9.46,10.54,8.46,12.62,8.54,10.08,8.08,10.13,9.92,13.79
2021,P,66.0,7.0,15.0,18.75,13.29,11.34,9.54,15.79,10.46,10.25,10.92,10.37,10.96,15.37
2022,P,66.0,7.0,16.0,18.08,12.83,8.96,8.83,13.17,9.04,6.17,8.08,8.33,7.75,12.42
2023,P,66.0,7.0,17.0,12.71,10.08,9.04,6.29,7.5,4.75,4.75,6.38,6.29,7.38,9.62
2024,P,66.0,7.0,18.0,6.29,4.21,7.29,2.21,5.04,1.0,1.38,1.67,2.08,1.83,5.33
2025,P,66.0,7.0,19.0,10.17,7.33,13.88,5.54,9.54,3.83,5.46,5.75,5.5,5.88,6.92
2026,P,66.0,7.0,20.0,13.5,9.46,23.0,9.71,11.83,6.58,9.38,9.13,8.67,8.58,13.59
2027,P,66.0,7.0,21.0,10.96,8.17,17.33,8.08,8.38,6.38,7.17,8.75,7.41,8.96,13.25
2028,N,66.0,7.0,22.0,12.17,6.54,7.21,7.04,10.92,6.42,7.79,7.71,7.92,7.75,11.38
2029,N,66.0,7.0,23.0,9.5,9.79,10.37,7.96,16.42,9.59,13.21,8.54,12.21,10.46,14.71
2030,N,66.0,7.0,24.0,22.34,14.12,14.25,10.46,18.66,10.04,12.46,9.79,11.5,11.92,14.83
2031,P,66.0,7.0,25.0,12.17,10.5,9.83,6.96,13.29,7.62,9.42,8.46,9.46,8.33,14.21
2032,N,66.0,7.0,26.0,16.92,14.5,11.17,8.79,15.41,7.83,10.04,12.0,10.08,11.0,16.25
2033,P,66.0,7.0,27.0,9.29,6.96,8.63,4.88,7.5,4.17,5.46,6.34,6.42,6.0,10.54
2034,N,66.0,7.0,28.0,14.0,10.79,10.13,7.79,16.04,10.25,11.21,12.75,10.92,11.71,14.33
2035,N,66.0,7.0,29.0,17.92,12.29,9.13,9.46,15.67,10.71,10.71,11.46,13.25,10.88,15.67
2036,N,66.0,7.0,30.0,18.66,12.04,9.96,11.38,16.66,10.37,13.17,9.83,11.96,11.79,12.79
2037,P,66.0,7.0,31.0,8.54,7.25,5.88,3.13,6.25,1.75,3.33,1.42,3.63,2.21,4.33
2038,P,66.0,8.0,1.0,6.54,7.29,8.33,3.83,4.79,2.17,5.41,1.67,4.88,5.96,5.09
2039,P,66.0,8.0,2.0,15.46,11.5,13.29,6.04,10.79,6.0,5.41,6.42,5.66,4.96,10.25
2040,P,66.0,8.0,3.0,10.0,8.42,9.46,6.46,8.38,4.29,7.08,7.04,7.25,7.67,7.96
2041,P,66.0,8.0,4.0,14.46,7.5,9.04,7.96,11.79,7.12,10.63,9.21,10.63,9.04,11.54
2042,P,66.0,8.0,5.0,8.5,6.5,9.13,5.96,9.46,6.92,9.5,8.33,8.0,7.29,9.54
2043,P,66.0,8.0,6.0,6.13,6.0,6.96,1.71,5.63,1.79,3.17,1.83,2.17,2.71,5.09
2044,P,66.0,8.0,7.0,10.29,6.5,6.54,5.71,7.96,3.92,5.83,4.17,5.71,2.54,9.33
2045,P,66.0,8.0,8.0,9.96,10.71,9.54,3.88,12.29,6.83,8.25,8.58,8.29,7.54,13.21
2046,N,66.0,8.0,9.0,20.08,17.46,16.38,9.79,18.79,12.92,12.79,14.88,12.29,13.13,18.12
2047,N,66.0,8.0,10.0,14.42,10.25,15.12,7.92,15.29,9.33,17.46,11.42,13.46,13.21,17.67
2048,P,66.0,8.0,11.0,13.21,9.75,12.25,7.41,10.13,6.34,8.58,4.79,5.46,3.54,7.75
2049,P,66.0,8.0,12.0,6.46,3.54,4.42,3.46,6.75,2.42,6.54,3.75,3.83,2.67,6.63
2050,P,66.0,8.0,13.0,12.87,5.33,9.96,6.79,8.58,3.04,9.67,5.29,6.21,5.09,11.42
2051,P,66.0,8.0,14.0,12.25,8.17,6.04,2.96,10.92,2.46,2.88,5.66,3.29,1.92,8.63
2052,P,66.0,8.0,15.0,6.75,6.29,7.5,2.79,4.21,1.87,4.17,3.5,2.96,2.08,11.21
2053,N,66.0,8.0,16.0,9.04,14.96,12.42,5.25,9.92,6.96,8.87,11.83,7.25,9.29,21.46
2054,P,66.0,8.0,17.0,8.38,9.92,10.79,4.71,6.34,4.29,7.0,3.67,5.21,4.0,9.08
2055,P,66.0,8.0,18.0,4.75,4.08,3.58,2.42,3.21,0.37,3.08,1.58,0.96,1.29,9.96
2056,P,66.0,8.0,19.0,4.08,7.41,5.5,4.04,4.54,3.29,4.63,4.33,5.0,6.08,8.0
2057,P,66.0,8.0,20.0,7.29,8.0,8.04,3.21,8.25,3.88,3.46,5.88,4.38,6.46,11.83
2058,P,66.0,8.0,21.0,9.87,10.08,17.37,6.58,9.25,5.91,8.46,8.79,6.46,8.63,14.58
2059,P,66.0,8.0,22.0,9.83,6.46,18.41,4.92,6.96,4.38,6.58,3.79,5.75,6.71,10.67
2060,P,66.0,8.0,23.0,4.96,4.25,8.71,1.87,4.75,0.71,3.21,2.0,1.67,3.67,4.08
2061,P,66.0,8.0,24.0,4.0,10.46,3.58,2.58,7.67,3.13,5.09,1.79,2.08,4.38,8.54
2062,P,66.0,8.0,25.0,10.58,12.96,7.33,4.12,10.21,3.79,6.38,7.29,7.21,8.0,12.92
2063,N,66.0,8.0,26.0,13.29,12.17,11.0,5.96,14.0,6.54,9.17,10.17,8.83,10.17,12.75
2064,N,66.0,8.0,27.0,16.13,15.09,11.12,7.33,15.34,9.0,8.17,11.5,8.75,9.33,13.67
2065,N,66.0,8.0,28.0,15.46,12.12,11.08,6.79,13.96,8.96,8.96,9.62,9.46,10.34,12.0
2066,N,66.0,8.0,29.0,11.42,7.83,11.71,8.29,11.96,9.04,10.25,12.25,9.38,10.13,14.04
2067,P,66.0,8.0,30.0,16.92,12.46,11.25,7.75,11.83,5.5,6.58,8.33,5.79,7.0,12.25
2068,P,66.0,8.0,31.0,14.33,8.25,8.63,7.54,9.67,5.25,6.13,5.29,6.04,6.0,8.79
2069,P,66.0,9.0,1.0,17.41,16.54,15.04,7.83,11.83,7.62,7.62,10.96,6.67,7.0,13.54
2070,P,66.0,9.0,2.0,14.71,11.83,12.96,10.88,16.66,9.96,12.5,10.08,10.88,8.54,11.75
2071,N,66.0,9.0,3.0,19.0,18.84,15.12,10.46,15.96,11.38,14.37,12.21,10.25,14.21,19.41
2072,N,66.0,9.0,4.0,16.46,13.42,15.79,10.29,17.0,11.08,14.67,12.21,11.87,13.5,18.66
2073,N,66.0,9.0,5.0,17.04,16.66,16.38,9.75,16.54,11.63,15.67,15.46,12.83,15.5,24.17
2074,N,66.0,9.0,6.0,10.04,8.96,9.71,7.71,15.75,10.34,16.38,11.63,14.0,13.17,20.25
2075,N,66.0,9.0,7.0,5.63,4.42,2.29,1.96,6.42,3.71,6.75,4.17,4.92,6.75,9.59
2076,P,66.0,9.0,8.0,6.17,6.71,6.75,3.17,4.83,1.29,3.83,0.92,2.54,4.08,7.62
2077,P,66.0,9.0,9.0,10.96,12.62,10.04,6.63,12.25,8.58,7.96,10.71,7.58,10.29,17.83
2078,P,66.0,9.0,10.0,16.88,12.04,14.88,7.04,11.17,8.25,11.96,9.79,7.79,12.21,15.41
2079,P,66.0,9.0,11.0,10.34,5.41,12.58,5.04,6.0,3.54,3.96,6.21,3.54,4.17,15.16
2080,N,66.0,9.0,12.0,15.63,17.04,14.62,8.96,18.29,11.0,13.04,11.34,11.83,12.17,17.79
2081,N,66.0,9.0,13.0,16.5,13.13,9.83,9.0,16.46,10.5,15.41,11.71,11.75,11.25,16.42
2082,N,66.0,9.0,14.0,18.16,16.58,17.5,10.04,20.62,12.33,18.21,16.08,14.04,15.96,22.92
2083,N,66.0,9.0,15.0,17.96,14.96,13.13,11.17,13.88,9.75,16.29,11.67,11.17,15.04,16.25
2084,N,66.0,9.0,16.0,7.75,7.08,6.38,2.62,5.83,4.46,6.13,8.58,5.0,8.38,15.83
2085,P,66.0,9.0,17.0,6.13,7.38,7.08,3.33,8.04,4.92,2.04,5.71,3.71,6.46,10.83
2086,P,66.0,9.0,18.0,8.63,6.21,8.42,1.79,4.67,1.5,1.71,0.63,1.29,1.75,4.92
2087,P,66.0,9.0,19.0,8.0,5.25,5.09,1.63,5.04,1.83,1.21,1.67,0.75,2.25,6.38
2088,P,66.0,9.0,20.0,5.09,3.0,4.0,0.46,3.46,0.58,1.71,0.37,0.79,2.42,6.25
2089,P,66.0,9.0,21.0,5.71,1.83,11.17,0.75,3.37,1.21,1.83,1.17,2.08,3.08,5.25
2090,P,66.0,9.0,22.0,13.0,4.96,13.0,1.5,4.54,1.92,2.71,5.54,6.04,4.38,9.62
2091,P,66.0,9.0,23.0,8.54,9.92,5.91,1.42,7.5,2.33,3.63,3.71,4.5,5.25,7.79
2092,P,66.0,9.0,24.0,6.5,9.54,4.79,2.54,8.12,1.92,2.33,2.92,2.5,1.92,4.5
2093,P,66.0,9.0,25.0,10.96,9.83,5.71,1.83,7.87,2.96,3.88,4.71,4.29,5.13,6.67
2094,P,66.0,9.0,26.0,10.0,9.04,8.04,1.75,8.79,3.17,1.87,5.04,4.0,3.17,6.29
2095,P,66.0,9.0,27.0,12.04,8.38,7.96,2.58,8.75,2.37,4.79,3.75,3.42,4.38,6.17
2096,P,66.0,9.0,28.0,7.83,1.38,8.12,1.17,7.62,2.83,3.88,0.67,1.13,2.92,5.54
2097,P,66.0,9.0,29.0,3.37,3.29,4.38,0.96,5.91,2.25,0.42,1.87,1.5,3.67,7.87
2098,P,66.0,9.0,30.0,5.13,4.92,2.25,2.17,6.08,2.04,2.33,3.0,2.08,5.5,8.83
2099,P,66.0,10.0,1.0,8.0,3.63,9.17,4.04,7.29,2.33,4.25,0.42,2.17,2.0,5.04
2100,P,66.0,10.0,2.0,6.75,6.83,6.13,2.25,7.46,1.75,4.33,2.21,1.54,3.83,6.67
2101,N,66.0,10.0,3.0,16.96,24.17,12.33,12.46,23.38,13.13,21.29,15.79,14.62,17.41,25.25
2102,N,66.0,10.0,4.0,20.17,17.33,29.54,12.87,14.37,11.0,17.79,11.79,11.38,13.67,18.5
2103,N,66.0,10.0,5.0,11.79,9.25,11.12,4.12,9.33,4.83,7.58,7.58,6.04,10.0,12.96
2104,P,66.0,10.0,6.0,13.33,9.13,13.96,6.67,9.04,6.38,9.71,5.25,6.83,8.25,10.0
2105,P,66.0,10.0,7.0,8.92,7.04,7.87,1.79,7.5,3.04,2.0,2.21,2.71,2.75,6.58
2106,P,66.0,10.0,8.0,9.0,5.66,7.62,3.83,6.17,2.13,4.42,2.04,3.29,3.58,6.67
2107,P,66.0,10.0,9.0,11.25,10.46,8.5,3.71,10.71,5.83,3.79,5.71,4.21,6.42,12.08
2108,P,66.0,10.0,10.0,12.87,8.96,10.04,3.96,9.13,4.25,2.83,3.83,3.71,6.04,13.08
2109,P,66.0,10.0,11.0,7.71,10.79,8.83,4.25,10.54,6.21,7.12,7.08,5.5,7.87,14.12
2110,N,66.0,10.0,12.0,22.54,18.91,15.59,11.63,18.96,12.42,13.17,13.17,11.58,13.92,17.46
2111,P,66.0,10.0,13.0,13.67,9.5,9.54,5.04,9.75,5.5,4.75,6.75,5.09,5.0,10.25
2112,P,66.0,10.0,14.0,12.54,8.29,12.17,4.67,8.46,4.5,2.83,3.08,4.0,3.04,5.29
2113,P,66.0,10.0,15.0,11.79,6.38,15.04,7.17,8.04,2.58,5.79,5.17,4.96,6.21,8.79
2114,P,66.0,10.0,16.0,11.67,9.5,7.87,3.67,11.08,5.75,5.63,5.46,4.42,5.5,8.75
2115,P,66.0,10.0,17.0,17.67,12.29,16.42,7.08,14.92,9.33,11.96,10.96,8.29,9.96,15.0
2116,N,66.0,10.0,18.0,11.83,7.92,13.37,6.17,7.96,3.71,10.13,3.88,7.25,10.83,9.04
2117,N,66.0,10.0,19.0,13.79,9.83,8.75,8.0,8.38,6.17,5.88,5.21,5.5,8.17,9.42
2118,P,66.0,10.0,20.0,5.41,6.63,4.21,1.25,6.42,2.75,8.5,3.33,3.88,5.79,7.79
2119,N,66.0,10.0,21.0,8.75,5.88,6.5,3.79,7.75,5.58,9.67,5.33,7.29,7.29,12.96
2120,P,66.0,10.0,22.0,4.75,3.0,3.96,0.71,4.88,2.62,5.91,0.67,1.96,6.04,8.12
2121,N,66.0,10.0,23.0,9.04,6.58,7.58,3.58,5.79,2.79,8.12,2.83,5.58,7.79,10.25
2122,N,66.0,10.0,24.0,12.67,11.5,18.63,7.04,6.04,1.71,7.62,4.75,4.38,6.96,13.37
2123,P,66.0,10.0,25.0,12.29,6.87,14.33,5.83,7.08,1.96,6.0,2.46,3.92,3.75,8.83
2124,N,66.0,10.0,26.0,14.54,13.59,11.21,6.29,9.59,5.54,11.08,7.71,9.46,10.13,18.54
2125,N,66.0,10.0,27.0,19.75,17.16,22.54,12.62,12.87,9.29,14.79,9.67,9.79,14.21,19.62
2126,P,66.0,10.0,28.0,12.38,9.21,18.54,8.17,6.58,2.33,7.75,2.58,4.29,5.09,6.71
2127,P,66.0,10.0,29.0,9.08,2.96,10.46,4.75,5.63,1.08,5.88,1.08,4.0,5.46,3.83
2128,P,66.0,10.0,30.0,6.71,3.79,7.46,1.67,4.5,1.0,5.46,1.5,2.62,3.79,8.42
2129,N,66.0,10.0,31.0,9.71,8.38,8.38,4.42,9.67,6.5,9.92,7.79,7.38,8.63,15.41
2130,N,66.0,11.0,1.0,22.71,21.25,25.75,15.34,18.0,11.92,18.58,15.34,12.75,16.13,27.04
2131,P,66.0,11.0,2.0,16.38,13.75,27.37,10.96,11.38,7.38,13.79,7.79,6.63,8.79,10.37
2132,N,66.0,11.0,3.0,10.67,4.83,7.25,2.42,6.63,3.17,5.17,5.46,3.58,5.58,7.96
2133,N,66.0,11.0,4.0,7.75,11.17,10.75,1.96,9.17,5.04,5.63,6.04,4.75,8.54,8.33
2134,N,66.0,11.0,5.0,13.08,17.67,18.12,9.67,14.88,10.79,17.67,16.29,11.54,14.33,25.08
2135,N,66.0,11.0,6.0,21.09,19.41,26.83,14.0,13.42,13.46,19.87,14.67,10.79,15.75,25.25
2136,P,66.0,11.0,7.0,13.7,10.0,10.37,5.79,7.71,4.96,6.17,5.71,4.46,8.25,11.75
2137,P,66.0,11.0,8.0,7.83,4.21,5.91,2.5,6.5,3.29,7.38,2.79,4.29,5.58,10.58
2138,N,66.0,11.0,9.0,9.0,7.67,6.96,3.17,7.79,4.33,8.71,3.71,7.83,7.38,12.04
2139,P,66.0,11.0,10.0,4.29,5.09,4.42,0.63,5.54,3.54,6.75,1.54,3.33,4.71,6.83
2140,N,66.0,11.0,11.0,13.5,11.46,10.75,3.75,9.79,7.62,7.96,11.17,6.63,10.96,18.91
2141,P,66.0,11.0,12.0,14.58,8.21,12.12,5.17,6.67,6.96,11.17,8.38,6.87,10.17,8.54
2142,N,66.0,11.0,13.0,11.5,8.58,11.96,5.63,7.92,7.5,11.42,7.83,7.33,11.67,16.33
2143,N,66.0,11.0,14.0,12.08,13.08,7.96,6.13,13.88,8.38,12.12,8.71,9.92,10.63,17.62
2144,N,66.0,11.0,15.0,25.62,21.67,17.46,18.12,27.58,18.12,23.09,21.29,20.33,22.88,31.96
2145,N,66.0,11.0,16.0,28.33,24.41,27.04,19.04,23.0,18.12,21.87,19.21,20.46,23.83,27.12
2146,N,66.0,11.0,17.0,22.92,16.83,20.75,12.17,13.04,9.71,13.92,9.59,12.46,15.37,18.75
2147,P,66.0,11.0,18.0,12.96,8.75,16.62,8.08,6.5,0.79,8.42,2.92,5.25,6.38,7.17
2148,P,66.0,11.0,19.0,7.46,4.33,9.54,2.29,4.46,0.17,2.92,1.21,2.79,4.08,6.54
2149,P,66.0,11.0,20.0,10.21,12.75,9.08,3.67,7.62,2.42,3.54,4.92,3.04,4.46,9.5
