,Type_school_cat,Sex_cat,DVRT_num,Educational_level_cat,Leaving_Certificate_cat,Prestige_score_num
368,secondary,female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
369,secondary,female,102,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
370,secondary,female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,35.0
371,secondary,female,83,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
372,secondary,female,113,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
373,secondary,female,117,3rd_level_complete,taken,57.0
374,secondary,female,111,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
375,secondary,female,100,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
376,secondary,female,91,3rd_level_complete,taken,58.0
377,secondary,female,97,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
378,secondary,female,109,3rd_level_incomplete,taken,43.0
379,secondary,female,100,Junior_cycle_incomplete-secondary_school,not_taken,37.0
380,secondary,female,98,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
381,secondary,female,85,Senior_cycle_incomplete-secondary_school,not_taken,35.0
382,primary_terminal_leaver,female,91,Primary_terminal_leaver,not_taken,18.0
383,secondary,female,85,Junior_cycle_terminal_leaver-secondary_school,not_taken,31.0
384,secondary,female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
385,secondary,female,87,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
386,secondary,female,95,3rd_level_complete,taken,37.0
387,secondary,female,102,Junior_cycle_incomplete-secondary_school,not_taken,37.0
388,primary_terminal_leaver,female,94,Primary_terminal_leaver,not_taken,38.0
389,secondary,female,89,Senior_cycle_incomplete-secondary_school,not_taken,37.0
390,vocational,female,112,Junior_cycle_incomplete-vocational_school,not_taken,37.0
391,secondary,female,118,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
392,secondary,female,70,Senior_cycle_incomplete-secondary_school,not_taken,37.0
393,secondary,female,103,3rd_level_complete,taken,37.0
394,secondary,female,90,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
395,secondary,female,97,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
396,vocational,female,104,Senior_cycle_incomplete-vocational_school,not_taken,37.0
397,vocational,female,91,Junior_cycle_incomplete-vocational_school,not_taken,37.0
398,vocational,female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
399,secondary,female,107,Junior_cycle_incomplete-secondary_school,not_taken,57.0
400,secondary,female,90,Junior_cycle_incomplete-secondary_school,not_taken,37.0
401,secondary,female,70,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
402,vocational,female,97,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
403,secondary,female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
404,secondary,female,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
405,vocational,female,81,Junior_cycle_incomplete-vocational_school,not_taken,18.0
406,secondary,female,114,Senior_cycle_terminal_leaver-secondary_school,taken,28.0
407,vocational,female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
408,secondary,female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
409,vocational,female,92,Junior_cycle_incomplete-vocational_school,not_taken,28.0
410,secondary,female,96,Senior_cycle_terminal_leaver-secondary_school,taken,38.0
411,vocational,female,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
412,vocational,female,89,Junior_cycle_incomplete-vocational_school,not_taken,18.0
413,secondary,female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
414,vocational,female,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
415,vocational,female,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
416,secondary,female,104,Junior_cycle_incomplete-secondary_school,not_taken,37.0
417,vocational,female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,31.0
418,vocational,female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,35.0
419,vocational,female,90,Junior_cycle_incomplete-vocational_school,not_taken,18.0
420,secondary,female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
421,secondary,female,102,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
422,secondary,female,86,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
423,secondary,female,73,Senior_cycle_terminal_leaver-secondary_school,taken,35.0
424,secondary,female,81,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
425,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,57.0
426,secondary,female,111,Senior_cycle_incomplete-secondary_school,not_taken,37.0
427,secondary,female,104,Junior_cycle_incomplete-secondary_school,not_taken,18.0
428,secondary,female,105,Junior_cycle_terminal_leaver-secondary_school,not_taken,28.0
429,secondary,female,73,Junior_cycle_terminal_leaver-secondary_school,not_taken,37.0
430,secondary,female,85,Senior_cycle_terminal_leaver-secondary_school,taken,28.0
431,secondary,female,107,3rd_level_complete,taken,61.0
432,secondary,female,112,3rd_level_complete,taken,62.0
433,secondary,male,127,3rd_level_complete,taken,40.0
434,secondary,male,114,Junior_cycle_terminal_leaver-secondary_school,not_taken,66.0
435,secondary,male,114,Senior_cycle_terminal_leaver-secondary_school,taken,71.0
436,vocational,male,109,Junior_cycle_incomplete-vocational_school,not_taken,18.0
437,secondary,male,93,Senior_cycle_terminal_leaver-secondary_school,taken,51.0
438,secondary,female,114,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
439,secondary,female,100,Senior_cycle_terminal_leaver-secondary_school,taken,31.0
440,secondary,female,92,Junior_cycle_incomplete-secondary_school,not_taken,18.0
441,secondary,female,110,Senior_cycle_terminal_leaver-secondary_school,taken,61.0
442,vocational,female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,37.0
443,vocational,female,96,Junior_cycle_incomplete-vocational_school,not_taken,43.0
444,secondary,male,120,,not_taken,75.0
445,secondary,male,114,3rd_level_complete,taken,75.0
446,secondary,male,127,3rd_level_complete,taken,40.0
447,secondary,male,106,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
448,secondary,male,110,Senior_cycle_terminal_leaver-secondary_school,taken,53.0
449,vocational,male,92,Senior_cycle_incomplete-vocational_school,not_taken,38.0
450,secondary,male,125,3rd_level_complete,taken,71.0
451,secondary,male,108,Senior_cycle_terminal_leaver-secondary_school,taken,71.0
452,secondary,female,112,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
453,secondary,female,93,Senior_cycle_terminal_leaver-secondary_school,taken,69.0
454,secondary,female,114,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
455,secondary,female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
456,secondary,female,92,Senior_cycle_terminal_leaver-secondary_school,taken,75.0
457,secondary,female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,43.0
458,secondary,female,109,Senior_cycle_terminal_leaver-secondary_school,taken,71.0
459,secondary,female,109,3rd_level_complete,taken,40.0
460,secondary,female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
461,vocational,male,123,Senior_cycle_incomplete-vocational_school,not_taken,36.0
462,secondary,male,125,3rd_level_complete,taken,31.0
463,secondary,male,127,3rd_level_complete,taken,37.0
464,secondary,male,129,3rd_level_complete,taken,43.0
465,secondary,male,119,3rd_level_incomplete,taken,69.0
466,vocational,male,125,Junior_cycle_terminal_leaver-vocational_school,not_taken,71.0
467,secondary,male,121,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
468,secondary,male,124,Senior_cycle_terminal_leaver-secondary_school,taken,36.0
469,secondary,male,125,Senior_cycle_terminal_leaver-secondary_school,taken,18.0
470,secondary,male,129,Junior_cycle_terminal_leaver-secondary_school,not_taken,18.0
471,secondary,male,122,Senior_cycle_terminal_leaver-secondary_school,taken,62.0
472,secondary,male,121,3rd_level_incomplete,taken,37.0
473,secondary,male,129,3rd_level_incomplete,taken,
474,secondary,male,122,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
475,vocational,male,126,Junior_cycle_terminal_leaver-vocational_school,not_taken,51.0
476,secondary,male,122,3rd_level_complete,taken,35.0
477,secondary,male,123,Senior_cycle_terminal_leaver-secondary_school,taken,65.0
478,secondary,male,119,3rd_level_complete,taken,71.0
479,secondary,female,120,3rd_level_complete,taken,40.0
480,vocational,female,127,Junior_cycle_incomplete-vocational_school,not_taken,35.0
481,secondary,female,127,Senior_cycle_terminal_leaver-secondary_school,taken,62.0
482,secondary,female,120,Senior_cycle_terminal_leaver-secondary_school,taken,61.0
483,secondary,female,127,Senior_cycle_terminal_leaver-secondary_school,taken,58.0
484,secondary,female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
485,secondary,female,120,3rd_level_complete,taken,37.0
486,secondary,female,123,Senior_cycle_terminal_leaver-secondary_school,taken,37.0
487,vocational,female,122,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
488,secondary,female,119,3rd_level_complete,taken,37.0
489,vocational,male,130,Senior_cycle_incomplete-vocational_school,not_taken,
490,secondary,male,134,3rd_level_incomplete,taken,62.0
491,secondary,male,136,3rd_level_complete,taken,61.0
492,secondary,male,135,3rd_level_complete,taken,61.0
493,secondary,male,140,3rd_level_complete,taken,71.0
494,secondary,male,131,Senior_cycle_terminal_leaver-secondary_school,taken,30.0
495,secondary,male,137,3rd_level_complete,taken,62.0
496,secondary,male,136,3rd_level_complete,taken,18.0
497,secondary,male,132,3rd_level_complete,taken,37.0
498,secondary,female,135,3rd_level_complete,taken,62.0
499,secondary,female,134,3rd_level_complete,taken,
