,binaryClass_cat,pm10_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
397,N,2.83321,7.55799,12.0,4.4,0.2,274.2,20.0
398,P,2.19722,6.51471,4.4,2.0,0.7,205.0,6.0
399,P,2.89037,6.21461,4.5,3.5,0.0,55.0,9.0
400,N,3.4012,6.63988,0.2,0.5,1.4,84.8,24.0
401,N,2.99573,6.02345,-18.6,2.3,0.1,79.4,7.0
402,P,3.73767,7.62413,0.1,2.6,1.5,230.0,19.0
403,N,2.94444,5.84064,7.4,4.3,0.3,189.6,1.0
404,N,3.58352,8.32579,7.6,4.2,0.0,224.1,8.0
405,N,3.29584,7.32053,8.6,2.6,-0.1,189.2,22.0
406,P,4.8752,7.91571,-2.5,3.6,0.0,64.0,15.0
407,P,4.33073,7.7424,10.6,1.8,-1.6,245.0,14.0
408,P,3.29584,6.91771,-1.6,1.1,0.0,282.0,23.0
409,N,3.78419,7.78239,5.0,3.1,-0.4,230.0,16.0
410,P,3.61092,5.18739,5.2,4.4,0.8,206.0,4.0
411,N,2.83321,6.14204,5.3,2.3,1.2,153.1,1.0
412,N,3.7612,5.48064,-13.1,1.1,1.3,62.9,5.0
413,N,3.58352,5.2933,3.3,2.2,0.5,77.1,2.0
414,N,3.17805,5.4848,-0.8,3.5,0.0,176.8,5.0
415,N,3.52636,5.03044,-4.0,1.5,-0.1,108.2,2.0
416,P,4.21951,7.6406,1.7,2.3,-0.3,85.0,15.0
417,P,3.93183,8.29255,6.1,4.2,0.3,23.0,17.0
418,P,2.30259,5.70378,5.8,2.8,0.0,43.0,7.0
419,P,3.2581,5.4848,5.7,3.3,0.5,228.0,5.0
420,N,2.70805,7.02997,14.9,2.8,-5.0,255.5,10.0
421,P,3.55535,5.31321,-5.7,2.2,0.6,82.0,5.0
422,P,1.94591,6.14419,0.2,3.1,0.1,73.0,9.0
423,P,4.36945,5.14749,-9.0,1.3,0.4,77.0,2.0
424,P,4.70048,7.66388,16.8,6.0,-1.1,272.0,14.0
425,N,2.48491,5.8944,2.8,4.7,0.0,66.0,2.0
426,N,1.60944,7.61085,-0.1,6.6,-0.3,205.2,14.0
427,N,3.78419,7.52294,-12.5,0.8,-0.4,232.0,19.0
428,N,1.94591,4.82831,-7.8,3.7,0.1,58.4,4.0
429,N,3.09104,7.54908,0.9,1.0,-0.6,213.1,12.0
430,P,3.21888,7.75833,-4.2,4.6,-0.1,78.0,10.0
431,N,2.48491,7.50659,21.9,3.6,-2.5,264.1,19.0
432,P,2.19722,6.07764,-10.1,2.8,0.0,73.0,1.0
433,N,4.93447,7.01571,-9.4,1.2,0.0,73.8,23.0
434,P,4.04305,7.59488,11.2,1.7,-2.0,236.0,12.0
435,N,4.51086,8.20576,1.8,3.2,0.2,216.6,8.0
436,P,1.94591,4.59512,0.5,5.5,0.1,354.0,4.0
437,N,3.09104,8.23297,-2.2,1.6,-0.3,211.7,16.0
438,N,4.60517,8.31532,-0.1,5.2,-0.8,79.0,8.0
439,P,3.63759,7.57096,8.4,5.4,-1.8,240.0,11.0
440,P,3.46574,7.61036,0.9,3.0,-0.7,340.0,12.0
441,N,3.8712,8.21528,-2.9,1.4,-0.2,113.4,8.0
442,P,5.15329,8.19146,2.3,2.5,0.6,16.0,17.0
443,N,3.04452,7.67322,-1.4,4.4,-0.1,38.1,14.0
444,P,3.49651,7.78655,0.4,1.5,-0.1,110.0,13.0
445,P,2.56495,4.69135,-11.3,2.5,1.2,82.0,5.0
446,N,3.85015,7.629,0.1,3.9,-0.2,70.7,14.0
447,N,2.48491,5.49717,-5.0,4.0,-0.1,75.4,5.0
448,N,2.07944,6.57368,1.6,2.0,1.2,212.7,6.0
449,N,2.99573,7.90618,-2.8,2.3,-0.1,205.0,20.0
450,N,1.38629,6.55251,-3.5,3.9,-0.1,46.3,24.0
451,P,3.17805,8.22013,2.0,3.5,-0.2,82.0,8.0
452,P,2.19722,5.42935,2.4,3.6,0.1,125.0,5.0
453,N,3.55535,7.89096,7.1,3.4,-0.3,82.5,19.0
454,P,3.8712,8.02453,-2.7,1.4,1.6,66.0,9.0
455,P,3.4012,7.14283,-1.3,1.2,0.6,66.0,21.0
456,P,3.04452,7.97039,5.5,3.9,-0.5,231.0,14.0
457,P,4.34381,6.65801,5.5,1.1,0.9,138.0,24.0
458,N,2.3979,7.10003,-4.0,5.8,-0.4,78.4,11.0
459,P,2.63906,7.65681,-0.2,2.4,0.0,41.0,19.0
460,N,2.56495,4.70953,-2.8,1.8,1.4,198.9,3.0
461,P,3.3322,5.60212,3.8,3.9,-0.2,85.0,5.0
462,P,2.56495,7.85127,0.2,2.8,0.1,78.0,17.0
463,N,3.68888,7.89655,12.8,6.8,-0.6,227.7,15.0
464,N,2.3979,7.20638,-0.8,1.6,1.7,192.6,22.0
465,N,2.3979,4.89035,-10.8,1.5,0.2,57.0,3.0
466,N,4.68213,7.56735,-10.2,0.6,2.4,110.8,10.0
467,N,3.04452,7.61135,0.8,3.1,-0.1,65.6,19.0
468,N,3.04452,6.66823,4.1,1.4,0.2,139.8,24.0
469,P,2.19722,5.0689,4.3,4.9,0.1,82.0,2.0
470,P,3.17805,7.46107,-2.8,1.4,-0.1,243.0,20.0
471,P,4.48864,7.68018,-0.4,0.8,2.6,147.0,21.0
472,N,2.30259,7.80344,2.4,3.9,0.2,14.3,20.0
473,P,3.29584,8.26256,3.4,0.9,0.3,228.0,16.0
474,P,3.17805,7.6695,12.1,2.8,-3.2,256.0,13.0
475,N,4.06044,5.33272,-2.5,2.0,1.3,80.7,3.0
476,P,4.15888,6.30992,-4.5,2.0,0.3,90.0,24.0
477,N,3.09104,6.67456,2.2,7.1,0.1,37.9,6.0
478,N,4.41884,8.09316,-4.7,1.4,1.2,276.8,18.0
479,N,2.89037,6.56667,0.1,2.1,-0.2,247.4,6.0
480,P,1.09861,5.83481,-5.8,7.7,0.1,47.0,7.0
481,P,3.43399,7.794,3.3,4.3,0.8,217.0,17.0
482,P,3.52636,7.76089,2.0,1.7,1.1,234.0,15.0
483,P,3.13549,7.67276,1.3,4.2,0.2,169.0,10.0
484,N,2.19722,7.979,1.4,5.0,-0.1,40.7,9.0
485,P,3.13549,7.78406,6.1,1.9,0.4,171.0,21.0
486,N,2.07944,5.95842,-3.1,4.2,-0.1,52.5,2.0
487,N,3.63759,4.54329,-11.5,1.7,3.7,90.4,4.0
488,N,3.73767,5.62762,-6.6,1.0,-0.1,200.0,2.0
489,P,2.48491,5.66643,-3.8,2.1,0.6,73.0,3.0
490,P,1.94591,7.54539,6.5,9.4,-0.9,250.0,11.0
491,N,1.94591,6.23832,-0.4,3.3,0.3,215.1,24.0
492,P,2.77259,4.56435,-6.3,2.0,2.3,223.0,3.0
493,N,2.70805,6.58203,2.2,1.8,0.1,64.2,6.0
494,P,1.79176,5.31321,-4.9,4.2,0.3,353.0,2.0
495,N,2.30259,5.61677,-1.3,2.8,-0.1,65.2,1.0
496,P,4.11087,7.7111,-5.1,0.7,0.3,60.0,10.0
497,P,3.4012,6.2519,0.1,1.0,0.2,87.0,24.0
498,P,3.68888,7.85516,6.5,5.2,-0.2,69.0,19.0
499,N,4.17439,8.24512,8.6,1.6,-1.0,258.8,15.0
