,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
1718,N,-0.0062,0.0015,0.013,0.005,-0.00016
1719,N,-0.0064,0.0002,0.012,-0.011,9e-05
1720,P,0.0042,0.0006,0.01,-0.018,0.00029
1721,P,0.006,-0.0021,0.01,-0.003,1e-05
1722,N,-0.0058,0.0006,0.008,-0.002,-0.00013
1723,N,-0.0048,0.001,0.009,-0.013,0.00013
1724,P,0.0091,0.0013,0.011,-0.005,0.00032
1725,P,0.0103,0.0008,0.011,0.013,-5e-05
1726,P,0.0027,0.0012,0.012,0.03,-0.00056
1727,N,-0.0095,-0.0018,0.01,0.023,-0.00059
1728,N,0.0003,-0.0004,0.001,-0.009,0.00032
1729,P,0.0088,0.0009,0.0,0.0,0.00036
1730,P,0.0084,0.0028,0.004,0.015,-0.00018
1731,N,0.0045,0.0044,0.01,0.025,-0.00032
1732,P,0.0036,0.0061,0.016,0.031,-0.00035
1733,N,-0.0098,-0.0001,0.018,0.019,-0.00029
1734,N,-0.0129,-0.0022,0.013,0.003,-0.00017
1735,P,0.0088,0.0019,0.005,0.001,0.0001
1736,N,0.0048,0.0023,0.011,0.026,-0.00017
1737,P,-0.006,0.0006,0.003,0.025,-0.00015
1738,N,-0.0036,0.0016,0.018,-0.011,-6e-05
1739,P,0.008,-0.0019,0.01,-0.006,0.00032
1740,P,0.0077,-0.0002,0.008,0.01,-0.00018
1741,N,0.0038,0.0027,0.011,0.018,-0.00034
1742,N,-0.0067,-0.0003,0.002,0.012,-0.00022
1743,P,0.0054,-0.0025,0.01,-0.021,0.00034
1744,P,0.0093,0.0011,0.01,0.005,4e-05
1745,P,0.0076,-0.0002,0.009,0.019,-0.00013
1746,P,0.0044,0.0005,0.009,0.028,-0.00028
1747,N,-0.0105,0.0013,0.011,0.021,-0.00054
1748,P,0.0067,0.0028,0.006,-0.01,0.00039
1749,P,0.0041,0.0025,0.012,0.017,-0.0002
1750,P,0.0083,-0.0012,0.022,-0.002,0.00027
1751,P,0.006,0.001,0.02,0.029,-0.00017
1752,N,-0.0063,0.0009,0.02,0.024,-0.00014
1753,P,0.0077,0.0007,0.013,0.01,0.00011
1754,N,-0.0061,-0.0012,0.014,0.023,-0.00017
1755,P,0.004,0.0032,0.011,0.002,0.00022
1756,P,0.005,0.0,0.016,0.021,-4e-05
1757,N,-0.0037,0.0015,0.018,0.025,-0.00019
1758,N,-0.0038,0.0036,0.012,0.007,-0.00018
1759,N,-0.0026,0.0,0.017,-0.013,8e-05
1760,P,0.0042,0.0013,0.014,-0.007,6e-05
1761,N,-0.0042,0.0022,0.013,-0.01,-2e-05
1762,P,0.0086,0.0015,0.012,0.015,4e-05
1763,N,-0.0104,0.0007,0.017,0.012,-0.00018
1764,P,0.0052,0.0025,0.013,0.014,1e-05
1765,P,0.004,0.0031,0.016,0.024,-8e-05
1766,N,-0.0062,0.0007,0.014,0.019,-0.00019
1767,P,0.0056,0.0013,0.01,-0.007,0.00021
1768,N,-0.0044,0.0012,0.009,0.008,-0.00011
1769,N,-0.0108,0.0014,0.005,-0.013,-0.00017
1770,N,-0.0053,0.0017,0.004,-0.039,0.00029
1771,P,0.0092,0.0039,0.012,-0.019,0.00011
1772,N,-0.0047,0.0041,0.022,-0.002,-0.00056
1773,N,-0.0109,0.0002,0.022,-0.015,-0.00024
1774,N,-0.006,-0.0003,0.018,-0.038,0.00047
1775,P,0.0078,-0.0004,0.01,-0.035,0.00049
1776,P,0.0132,0.0011,0.008,-0.021,0.00032
1777,N,0.0087,0.0034,0.013,0.018,-0.00036
1778,N,-0.0062,0.0006,0.008,0.022,-0.00025
1779,P,0.0051,0.0002,0.007,0.003,0.00015
1780,P,0.0051,0.0026,0.008,0.01,-8e-05
1781,N,-0.004,0.0018,0.009,0.013,-0.00018
1782,N,-0.0057,0.0018,0.009,0.005,-7e-05
1783,P,0.0086,0.0025,0.005,0.012,0.00014
1784,P,0.0052,0.0037,0.009,0.025,-0.00031
1785,N,-0.0143,0.0009,0.017,0.003,-0.00031
1786,N,-0.0014,0.0037,0.032,-0.01,0.00022
1787,P,0.0063,0.0017,0.029,-0.006,0.00039
1788,P,0.0021,0.0036,0.016,0.01,7e-05
1789,N,-0.0044,0.0048,0.02,0.006,-0.00018
1790,N,-0.0059,0.0031,0.021,-0.001,-6e-05
1791,N,-0.0035,0.0046,0.022,-0.01,0.00026
1792,N,0.0036,0.0049,0.024,-0.011,0.00033
1793,P,0.0082,0.0019,0.022,-0.002,0.00016
1794,P,0.0038,0.0027,0.018,0.028,-0.00013
1795,N,-0.0052,0.0035,0.02,0.026,-0.00023
1796,N,-0.0066,0.0063,0.019,-0.012,-0.00013
1797,P,0.0057,0.0038,0.019,-0.019,0.0003
1798,P,0.0066,0.0025,0.018,0.027,-6e-05
1799,N,-0.0085,0.0021,0.017,0.023,-0.00026
1800,P,0.0028,0.0042,0.017,-0.004,0.00028
1801,P,0.0062,0.0025,0.016,0.014,1e-05
1802,P,-0.0002,0.0021,0.012,0.029,-0.00015
1803,N,-0.0049,0.0025,0.011,0.025,-0.00027
1804,P,0.0011,0.0031,0.014,0.009,1e-05
1805,P,0.0038,0.0014,0.008,0.007,0.00014
1806,N,-0.0044,0.0024,0.014,0.003,-4e-05
1807,N,-0.0034,0.0045,0.017,-0.01,-6e-05
1808,P,0.0079,0.003,0.017,-0.003,0.00022
1809,N,-0.0084,0.0022,0.009,0.006,-0.00015
1810,N,-0.0043,0.0029,0.008,-0.013,0.00024
1811,P,0.0065,0.0038,0.01,-0.009,0.00028
1812,P,0.0051,0.0054,0.016,0.011,-0.00015
1813,N,-0.0035,0.0019,0.014,0.014,-0.00023
1814,N,-0.0007,0.0037,0.013,-0.009,1e-05
1815,P,0.0032,0.0024,0.012,-0.007,0.00014
1816,N,-0.0081,0.0025,0.012,-0.019,-0.00015
1817,N,-0.0033,0.0017,0.009,-0.032,0.00045
1818,P,0.0092,0.0013,0.004,-0.025,0.00047
1819,P,0.0102,0.0053,0.009,0.018,-0.00013
1820,N,-0.0076,0.0034,0.021,0.023,-0.00024
1821,P,0.005,0.0004,0.004,0.012,0.0
1822,P,-0.0041,0.0048,0.008,0.014,-0.0001
1823,N,-0.0085,0.0043,0.014,-0.01,-7e-05
1824,P,0.0056,0.0034,0.013,-0.022,0.00034
1825,N,-0.0043,0.0016,0.013,0.004,-0.0002
1826,P,0.0094,0.0009,0.006,0.01,0.00039
1827,P,0.0091,0.0034,0.008,0.028,-0.00015
1828,N,-0.004,0.0026,0.014,0.036,-8e-05
1829,P,-0.0012,0.0006,0.011,0.028,0.00016
1830,N,-0.0048,0.0025,0.01,0.018,-0.0001
1831,P,0.0027,0.0033,0.001,-0.004,7e-05
1832,P,0.0022,0.0029,0.015,0.01,3e-05
1833,N,-0.0057,0.0034,0.019,0.004,-0.00015
1834,N,0.0045,0.0014,0.013,-0.011,0.00031
1835,P,0.0055,0.0011,0.007,0.013,-0.00013
1836,N,-0.0066,0.0032,0.006,0.004,-7e-05
1837,P,0.0061,0.0025,0.014,-0.015,0.00036
1838,P,0.008,0.003,0.014,-0.003,2e-05
1839,P,0.0062,0.0005,0.013,0.013,-6e-05
1840,N,-0.0055,0.0048,0.016,-0.002,-0.00018
1841,N,-0.0066,0.0021,0.017,-0.011,-3e-05
1842,P,0.0082,0.0007,0.012,-0.014,0.00043
1843,P,0.0095,0.0005,0.006,0.013,-0.00017
1844,P,0.002,0.001,0.002,0.027,-0.00034
1845,N,-0.0073,0.0031,0.002,0.023,-0.00061
1846,N,-0.0093,0.0047,0.007,0.005,-1e-05
1847,P,0.0058,0.0027,0.013,-0.007,0.00026
1848,P,0.0039,0.0021,0.012,0.014,-0.00014
1849,P,0.0054,0.0012,0.005,0.027,4e-05
1850,N,-0.0058,0.0045,0.016,0.025,-9e-05
1851,N,-0.0036,0.002,0.005,0.001,-0.00016
1852,N,-0.0055,0.003,0.005,-0.012,-4e-05
1853,P,0.0056,0.0025,0.013,-0.006,0.00013
1854,P,0.002,0.0029,0.015,0.009,-0.00014
1855,N,-0.0036,0.002,0.014,0.008,-0.00026
1856,P,0.0048,0.0004,0.004,0.009,4e-05
1857,P,0.004,0.0021,0.003,0.016,-0.00034
1858,N,-0.009,0.0043,0.006,0.005,-0.00026
1859,N,-0.0055,0.0043,0.011,-0.035,0.0004
1860,P,0.0053,0.0042,0.012,-0.036,0.00047
1861,P,0.0108,0.0034,0.012,-0.024,0.00034
1862,P,0.0048,0.0005,0.013,0.011,-4e-05
1863,P,0.0062,0.002,-0.001,0.018,0.0002
1864,P,0.0056,0.0021,-0.001,0.029,-0.00014
1865,N,-0.0039,0.0039,0.004,0.033,-0.00029
1866,N,-0.0063,0.0014,0.009,-0.011,-0.00017
1867,P,0.0052,0.0047,0.014,-0.007,3e-05
1868,N,-0.0058,0.0012,0.009,-0.012,-8e-05
1869,P,0.006,0.0065,0.004,-0.001,0.0
1870,N,-0.0076,0.0056,0.013,0.0,-0.00047
1871,P,0.0085,0.0022,0.009,-0.024,0.00043
1872,P,0.0075,0.003,0.002,0.012,0.00013
1873,N,-0.009,0.005,0.011,0.006,-1e-05
1874,P,0.005,-0.0009,0.015,-0.017,0.00046
1875,P,0.0069,0.0021,0.015,0.011,7e-05
1876,N,-0.0044,0.0,0.014,0.023,-2e-05
1877,P,0.0004,0.0,0.011,0.011,0.00011
1878,P,0.0037,0.0001,0.007,0.013,0.0
1879,N,-0.0076,0.0009,0.01,-0.005,-8e-05
1880,P,0.0054,0.0008,0.011,-0.024,0.00014
1881,N,-0.0066,0.0008,0.007,-0.017,-5e-05
1882,P,0.0082,0.001,0.017,-0.016,9e-05
1883,N,-0.0079,0.0011,-0.001,0.002,-0.00012
1884,N,-0.005,0.0034,0.007,-0.034,0.00016
1885,N,0.0051,0.0033,0.022,-0.032,0.00015
1886,P,0.0093,-0.0018,0.016,-0.004,5e-05
1887,P,0.0084,-0.0017,0.012,0.014,-9e-05
1888,N,-0.0076,0.0012,0.004,0.017,-0.00018
1889,P,0.0093,0.0013,0.007,0.002,0.00015
1890,P,0.0094,0.0023,0.009,0.017,-9e-05
1891,N,-0.0077,0.0008,0.017,0.023,-0.00025
1892,N,-0.0092,0.0001,0.017,0.009,-3e-05
1893,P,0.0062,-0.0005,0.003,-0.005,0.00021
1894,P,0.0077,-0.0001,0.002,0.01,0.0
1895,P,0.007,0.0022,0.004,0.021,-5e-05
1896,N,-0.0033,0.0017,0.011,0.032,-0.00033
1897,N,-0.0082,0.0013,0.016,-0.002,-1e-05
1898,P,0.0035,-0.0012,0.009,-0.021,0.00025
1899,P,0.0075,0.0009,0.01,-0.004,8e-05
1900,N,-0.0071,-0.0014,0.013,-0.002,-5e-05
1901,N,-0.0059,-0.0016,0.01,-0.013,0.00012
1902,P,0.007,0.001,0.006,-0.003,8e-05
1903,N,-0.0036,0.0016,0.013,0.012,-0.0002
1904,N,-0.0058,0.0007,0.013,0.003,-9e-05
1905,P,0.0076,-0.0012,0.004,0.001,0.00015
1906,P,0.0066,-0.0009,0.003,0.015,-0.00019
1907,N,-0.0094,0.0019,0.009,0.007,-0.00026
1908,N,-0.0046,0.0003,0.011,-0.03,0.00024
1909,P,0.0069,0.0017,0.011,-0.024,0.00022
1910,P,0.0086,0.0022,0.013,-0.013,6e-05
1911,P,0.0058,-0.0005,0.012,0.015,-0.00018
1912,N,-0.0079,0.001,0.007,0.004,-0.00013
1913,N,-0.0082,0.0012,0.009,-0.012,7e-05
1914,P,0.0061,0.0008,0.011,-0.02,0.00025
1915,P,0.0087,0.0011,0.012,-0.001,2e-05
1916,P,0.008,0.0011,0.014,0.014,-7e-05
1917,N,-0.0042,-0.0006,0.008,0.029,-0.00013
1918,P,0.0008,0.0012,0.004,0.011,-6e-05
1919,N,-0.0045,0.0017,0.009,0.004,-0.00011
1920,P,0.0053,-0.0001,0.01,0.002,0.00015
1921,P,0.0071,0.0,0.009,0.014,7e-05
1922,P,0.0036,0.0005,0.01,0.028,-0.00017
1923,N,-0.007,0.0009,0.012,0.022,-0.00026
1924,P,0.0069,-0.0007,0.017,0.011,4e-05
1925,N,-0.0043,-0.0006,0.003,0.023,-0.00011
1926,P,0.0052,0.002,0.012,0.017,0.0001
1927,N,-0.0088,-0.0002,0.013,0.009,-0.00013
1928,P,0.0123,-0.0027,0.007,0.009,0.00012
1929,P,0.0084,0.0023,0.003,0.036,-0.00028
1930,N,-0.0091,0.0014,0.012,0.03,-0.00011
1931,N,-0.0057,0.0009,0.008,0.0,-0.00014
1932,P,0.0066,0.0001,0.012,-0.004,0.00013
1933,P,0.0039,0.0005,0.013,0.021,-0.0001
1934,P,0.0037,0.0004,0.002,-0.006,0.00012
1935,N,-0.0042,0.002,0.009,-0.002,-0.0001
1936,N,-0.0022,0.0016,0.013,-0.015,8e-05
1937,P,0.0065,-0.0007,0.011,0.0,9e-05
1938,P,0.0065,-0.0005,0.01,0.011,-3e-05
1939,P,0.0016,0.0004,0.009,0.011,3e-05
1940,N,-0.0033,0.0,0.01,0.003,-5e-05
1941,P,0.0042,0.0004,0.011,0.011,2e-05
1942,N,-0.0054,-0.0002,0.006,0.002,-3e-05
1943,N,-0.0041,0.0007,0.007,-0.01,8e-05
1944,P,0.0053,0.0003,0.009,-0.007,0.00015
1945,N,0.0031,0.0018,0.014,0.01,-0.00012
1946,P,0.004,0.0005,0.008,0.019,-1e-05
1947,N,-0.0054,0.0036,0.022,-0.043,0.00031
1948,P,0.0086,-0.0014,0.022,-0.036,0.00027
1949,N,-0.0077,0.0016,0.017,0.008,-0.00017
1950,N,-0.0094,-0.0028,0.013,-0.005,-0.0001
1951,P,0.007,0.0004,0.009,-0.02,9e-05
1952,P,0.001,0.0022,0.019,0.01,-0.00012
1953,N,-0.0034,-0.0003,0.017,0.007,-0.00017
1954,N,0.0035,-0.0022,0.014,0.008,1e-05
1955,N,-0.0053,-0.0002,0.013,0.007,-8e-05
1956,P,0.0034,-0.0005,0.015,-0.006,0.00012
1957,P,0.0009,0.0008,0.012,0.01,-9e-05
1958,N,-0.0033,0.0011,0.013,0.007,-0.00017
1959,P,0.0039,0.0002,0.011,0.021,-6e-05
1960,P,0.0002,0.0005,0.012,0.028,-0.00012
1961,N,-0.0061,0.0,0.01,0.017,-0.00014
1962,P,0.0056,0.001,0.011,-0.003,0.00011
1963,P,0.0029,0.001,0.012,0.01,-0.00029
1964,N,-0.0067,-0.0006,0.01,0.005,-0.00033
1965,P,0.0067,0.0014,0.01,-0.005,0.00018
1966,P,0.0049,0.0022,0.013,0.01,-0.00021
1967,N,-0.0068,-0.0003,0.011,0.005,-0.00022
1968,P,0.0078,-0.0001,0.006,0.002,0.00015
1969,P,0.0083,-0.0004,0.006,0.014,-0.0001
1970,N,-0.0041,0.0019,0.011,0.023,-0.00033
1971,N,-0.0098,0.0012,0.013,0.003,-0.00016
1972,N,-0.0089,0.0005,0.013,-0.01,0.00022
1973,P,0.0109,0.0013,0.014,0.0,0.00018
1974,P,0.0091,-0.0017,0.016,0.021,-0.00032
1975,N,-0.0056,-0.0011,0.01,0.029,-0.00044
1976,P,0.0043,0.0008,0.011,-0.025,0.00029
1977,P,0.0079,-0.0009,0.008,-0.009,7e-05
1978,P,0.0039,-0.0003,0.007,0.013,-0.00021
1979,N,-0.0051,0.0029,0.014,0.009,-0.00018
1980,P,0.0045,-0.0009,0.007,-0.001,0.00021
1981,P,0.0058,0.0003,0.005,0.018,-1e-05
1982,P,0.0029,0.0006,0.008,0.028,-0.00022
1983,N,-0.0054,0.0014,0.011,0.024,-0.00028
1984,N,0.0066,-0.0001,0.012,-0.012,0.00012
1985,P,0.0085,0.0,0.01,0.016,-3e-05
1986,N,-0.0053,-0.0003,0.007,0.028,-0.00023
1987,P,0.0051,-0.0001,0.01,0.004,0.00018
1988,P,0.006,0.0007,0.01,0.017,-0.0001
1989,P,0.0018,-0.0003,0.008,0.028,-0.00016
1990,N,-0.0039,-0.001,0.005,0.026,-0.00022
1991,P,0.0041,0.0,0.013,0.011,0.00019
1992,N,-0.0061,-0.0009,0.008,0.011,-0.00016
1993,N,-0.0041,0.0016,0.009,-0.012,0.00013
1994,P,0.0083,0.0011,0.013,0.0,0.00016
1995,P,0.0075,0.0019,0.014,0.016,-0.00033
1996,N,-0.0071,-0.0015,0.007,0.015,-0.00028
1997,P,0.0076,0.0012,0.009,-0.006,0.00019
1998,P,0.0056,-0.001,0.008,0.021,-0.00015
1999,N,-0.0077,0.0013,0.008,0.018,-0.00032
2000,N,-0.0008,0.0048,0.037,-0.009,-1e-05
2001,N,0.0037,0.0028,0.037,-0.008,0.00018
2002,P,0.0062,-0.0008,0.035,-0.001,0.00013
2003,P,-0.0035,0.0042,0.019,-0.016,-4e-05
2004,N,-0.004,0.0051,0.021,-0.022,-3e-05
2005,N,-0.0002,0.0051,0.027,-0.03,0.00011
2006,N,0.0034,0.0052,0.031,-0.028,0.00022
2007,P,0.0041,-0.0012,0.024,0.012,-8e-05
2008,N,-0.0038,0.0024,0.02,0.007,-6e-05
2009,P,-0.0017,-0.0001,0.021,-0.009,7e-05
2010,P,0.0051,0.0055,0.019,-0.005,0.00018
2011,N,-0.0086,-0.0009,0.023,-0.001,-0.00013
2012,P,0.0035,0.0025,0.02,-0.024,0.00021
2013,N,0.0049,0.003,0.021,-0.013,0.0
2014,N,-0.0027,0.0028,0.015,-0.011,5e-05
2015,P,0.0052,0.0009,0.01,-0.008,0.0002
2016,P,0.0067,0.0105,0.017,0.001,5e-05
2017,N,0.0014,0.0084,0.027,0.009,-0.00043
2018,N,-0.0075,0.0012,0.028,-0.002,-0.00022
2019,P,0.009,0.0006,0.021,-0.008,0.00036
2020,N,0.0046,0.002,0.021,0.016,-0.00032
2021,N,-0.0053,-0.0008,0.012,0.02,-0.00021
2022,N,-0.0015,0.0035,0.017,-0.01,5e-05
2023,P,0.0064,0.0001,0.016,-0.002,0.0002
2024,N,-0.0051,0.0017,0.014,0.01,-0.00013
2025,N,-0.0031,0.002,0.014,-0.012,0.0001
2026,P,0.0057,0.0022,0.015,-0.005,0.00013
2027,P,0.0039,0.0017,0.015,0.012,-9e-05
2028,N,-0.006,0.0003,0.013,0.01,-0.00029
2029,N,-0.0039,0.0011,0.01,-0.01,0.00014
2030,P,0.0051,0.0024,0.012,-0.009,0.00017
2031,P,0.0045,0.0017,0.016,0.007,0.00022
2032,P,0.0066,-0.0016,0.014,0.015,0.0001
2033,N,-0.0056,0.0028,0.014,0.021,-0.00025
2034,P,0.0003,0.0031,0.015,0.009,-7e-05
2035,N,-0.0085,0.0018,0.017,0.0,-0.00032
2036,P,0.0044,0.0012,0.013,-0.006,3e-05
2037,P,0.0057,0.0002,0.01,0.012,0.00013
2038,N,-0.0085,-0.0002,0.008,0.004,-0.00019
2039,P,0.0082,0.0012,0.014,-0.023,0.00031
2040,P,0.0094,-0.002,0.004,0.015,-7e-05
2041,N,-0.0044,0.0034,0.013,0.03,-0.00031
2042,N,-0.0072,-0.002,0.013,0.022,-2e-05
2043,P,0.0005,0.0016,0.018,0.009,-0.00012
2044,N,-0.0044,0.0018,0.018,0.006,-0.00029
2045,P,0.0054,-0.0019,0.012,0.0,0.00027
2046,P,0.0077,-0.0015,0.006,0.015,4e-05
2047,P,0.005,0.0009,0.001,0.034,-0.00015
2048,P,0.0027,0.0017,0.002,0.039,-0.00017
2049,N,-0.0099,0.0033,0.012,0.02,-0.00019
2050,N,-0.0112,0.0026,0.013,0.003,-3e-05
2051,P,0.011,0.0019,0.01,0.005,0.00011
2052,P,0.0094,0.0023,0.011,0.022,-0.00018
2053,P,0.0035,0.0029,0.014,0.033,-0.00047
2054,N,-0.0158,0.0009,0.013,0.019,-0.00078
2055,P,0.0052,-0.0002,0.009,-0.033,0.00053
2056,P,0.0092,0.0016,0.009,-0.017,2e-05
2057,P,0.0081,-0.0016,0.011,-0.012,0.00036
2058,P,0.0037,-0.0011,0.002,-0.001,0.0002
2059,P,0.0072,0.0027,0.006,0.016,8e-05
2060,N,-0.0038,-0.0024,0.009,0.023,-6e-05
2061,N,-0.0045,0.007,0.016,0.009,-0.00019
2062,N,-0.0097,0.0016,0.019,-0.012,-0.00017
2063,P,0.008,-0.0026,0.002,-0.023,0.00048
2064,P,0.0133,0.0026,0.003,-0.006,0.00024
2065,N,-0.0053,-0.0016,0.001,-0.001,-6e-05
2066,P,0.0089,-0.0002,0.009,-0.026,0.00028
2067,P,0.0121,0.0024,0.01,-0.004,9e-05
2068,P,0.0087,0.0033,0.014,0.016,-0.00027
2069,P,0.0074,0.0025,0.009,-0.016,0.0002
2070,P,0.0068,0.0023,0.016,0.016,-0.0001
2071,N,0.0045,0.0005,0.018,0.025,-0.00016
2072,P,0.004,-0.001,0.002,0.01,7e-05
2073,P,-0.0039,0.0032,0.017,0.012,-5e-05
2074,N,-0.0059,-0.0014,0.022,0.001,-3e-05
2075,P,0.0063,0.0003,0.002,0.0,3e-05
2076,P,0.0046,0.003,0.003,0.013,-0.00011
2077,N,-0.0075,0.0017,0.01,0.004,-0.00016
2078,N,-0.0069,0.0,0.009,-0.011,0.0001
2079,P,0.0075,0.004,0.014,-0.006,0.00013
2080,P,0.0058,-0.0008,0.023,0.01,-0.00011
2081,N,-0.0039,-0.0008,0.007,0.007,-2e-05
2082,P,0.0045,0.0031,0.004,0.011,5e-05
2083,N,-0.0052,-0.0002,0.021,0.002,-2e-05
2084,P,0.0045,-0.0025,0.004,-0.002,0.00016
2085,P,0.0081,-0.0005,0.001,0.022,4e-05
2086,P,0.006,0.0,0.0,0.033,-0.00019
2087,N,-0.0087,0.0016,0.005,0.023,-0.00019
2088,P,0.0057,0.0015,0.01,-0.023,0.00026
2089,P,0.0089,0.0025,0.015,-0.003,6e-05
2090,N,-0.0036,-0.0023,0.007,0.026,-1e-05
2091,P,0.0035,0.0043,0.007,0.028,3e-05
2092,N,-0.0074,0.0013,0.022,0.008,-5e-05
2093,N,-0.0051,-0.0027,0.013,-0.013,0.00017
2094,P,0.0081,0.0044,0.0,0.004,7e-05
2095,P,0.0069,0.0026,0.005,0.017,-0.00023
2096,N,-0.005,0.0029,0.017,0.02,-0.00024
2097,N,-0.0081,0.0017,0.02,0.005,-0.0001
2098,P,0.0079,-0.0006,0.004,-0.003,0.00012
2099,P,0.0069,0.0008,0.005,0.014,-0.0001
2100,N,-0.0099,0.0014,0.01,0.007,-0.00026
2101,P,0.0075,-0.0002,0.001,-0.04,0.00037
2102,P,0.0121,0.0073,0.003,-0.01,4e-05
2103,N,-0.004,0.0,0.021,0.017,-0.00014
2104,P,0.0052,-0.0009,0.0,0.005,0.00011
2105,P,0.0065,0.0019,0.0,0.015,-2e-05
2106,P,0.004,0.0017,0.005,0.032,-0.00011
2107,P,0.0008,0.0027,0.009,0.035,-0.00026
2108,N,-0.0066,0.0032,0.017,0.027,-0.00025
2109,P,0.0056,0.0037,0.019,0.028,-7e-05
2110,N,-0.0015,-0.0018,0.0,-0.01,0.0
2111,P,0.0044,0.0014,-0.001,-0.002,9e-05
2112,P,0.0039,0.0037,0.008,0.01,-5e-05
2113,N,-0.0043,0.0,0.016,0.003,-5e-05
2114,N,-0.002,-0.0002,0.013,-0.011,8e-05
2115,P,0.0056,0.0023,0.005,0.0,8e-05
2116,N,-0.0067,0.001,0.014,0.006,-0.00028
2117,N,-0.007,-0.0011,0.011,-0.014,8e-05
2118,P,0.0043,0.0017,0.004,-0.023,0.00016
2119,N,-0.0042,0.0012,0.008,-0.011,-1e-05
2120,P,0.0061,-0.0003,0.013,0.018,-1e-05
2121,P,0.0045,0.0016,0.013,-0.005,0.00014
2122,N,-0.005,-0.0006,0.005,-0.012,-4e-05
2123,P,0.0057,-0.0014,0.012,-0.007,7e-05
2124,N,-0.0064,-0.0002,0.011,0.005,-0.0002
2125,N,-0.0067,0.0001,0.01,-0.011,6e-05
2126,P,0.0062,0.0019,0.01,-0.005,5e-05
2127,P,0.0041,-0.0003,0.014,0.015,-8e-05
2128,N,-0.0037,-0.0008,0.012,0.015,-0.00014
2129,N,-0.0053,-0.0008,0.01,0.004,-4e-05
2130,P,0.0064,0.0018,0.012,0.028,-6e-05
2131,P,0.005,0.0011,0.013,0.036,-0.00012
2132,P,-0.0061,-0.0009,0.011,0.03,-0.00012
2133,P,0.0061,0.0019,0.008,0.011,-1e-05
2134,P,0.0016,0.0001,0.011,0.029,-0.00011
2135,P,0.0014,0.0,0.006,0.01,4e-05
2136,P,0.0047,-0.0002,0.009,0.012,5e-05
2137,N,-0.007,0.0004,0.013,0.002,-8e-05
2138,P,0.0083,-0.0003,0.009,-0.004,0.00016
2139,P,0.0089,0.001,0.01,0.01,-2e-05
2140,N,-0.0058,0.0008,0.0,0.022,-0.00016
2141,N,-0.0069,0.0016,0.009,0.0,-9e-05
2142,P,0.0074,0.002,0.016,-0.004,8e-05
2143,N,0.0071,0.0008,0.019,0.011,-5e-05
2144,P,0.0068,0.0002,0.018,0.02,-3e-05
2145,P,0.0054,0.0002,0.018,0.029,-0.00013
2146,N,-0.0063,-0.0023,0.006,0.023,-0.00013
2147,P,0.0042,0.0001,0.017,0.011,2e-05
2148,P,0.0043,0.0011,0.005,0.012,1e-05
2149,N,-0.0038,0.0003,0.011,0.014,-9e-05
2150,N,-0.0051,-0.0005,0.009,0.004,-4e-05
2151,P,0.0058,0.001,0.01,0.013,4e-05
2152,N,0.004,0.0014,0.012,0.021,-0.00016
2153,P,0.0035,-0.0007,0.012,0.013,2e-05
2154,N,-0.0036,0.0005,0.013,0.015,-9e-05
2155,N,-0.005,-0.0022,0.005,0.0,-1e-05
2156,P,0.0042,0.0024,0.004,-0.004,0.0001
2157,P,0.0038,0.0024,0.012,0.014,-4e-05
2158,N,-0.0041,0.0006,0.01,0.002,-5e-05
2159,N,-0.0036,-0.001,0.002,-0.012,0.0001
2160,P,0.0049,0.0022,0.005,-0.003,9e-05
2161,P,0.0043,0.0017,0.012,0.014,-4e-05
2162,P,-0.0039,-0.0003,0.004,0.012,-8e-05
2163,N,-0.0049,0.0005,0.005,0.006,-6e-05
2164,N,-0.0031,0.0005,0.005,-0.01,8e-05
2165,P,0.0057,0.0013,0.009,0.001,8e-05
2166,P,0.0054,0.0004,0.01,0.013,-4e-05
2167,N,-0.0043,0.0019,0.017,0.017,-0.00022
2168,N,-0.0068,-0.0001,0.017,0.007,-9e-05
2169,N,-0.0042,-0.0006,0.014,-0.012,0.00014
2170,P,0.0076,-0.0003,0.002,-0.002,0.00016
2171,P,0.0086,0.0013,0.004,0.015,1e-05
2172,P,0.0046,0.0015,0.008,0.035,-0.00016
2173,N,-0.0015,0.0016,0.012,0.04,-0.0002
2174,P,0.0058,-0.002,0.011,0.018,4e-05
2175,P,0.0001,-0.0003,0.008,0.032,-0.00016
2176,N,-0.0056,0.0008,0.01,0.023,-0.00016
2177,P,0.0056,-0.0005,0.007,-0.006,8e-05
2178,N,-0.0048,0.0009,0.01,0.006,-0.00011
2179,N,-0.003,-0.0001,0.009,-0.011,9e-05
2180,P,0.0045,0.0028,0.004,-0.004,6e-05
2181,P,0.0039,0.0016,0.009,0.016,-4e-05
2182,N,-0.0048,-0.0011,0.009,0.005,-4e-05
2183,P,0.007,0.0034,0.012,0.021,3e-05
2184,N,-0.0055,-0.0022,0.021,0.027,-0.00015
2185,P,-0.0078,-0.0045,0.005,0.005,-3e-05
2186,N,0.0031,0.0075,0.032,-0.005,0.00019
2187,P,0.0078,0.0038,0.03,0.012,8e-05
2188,P,0.0065,0.0034,0.031,0.029,-0.0001
2189,N,-0.0072,0.004,0.027,0.024,-0.00016
2190,N,-0.0087,0.0046,0.027,0.003,-2e-05
2191,N,-0.0052,0.0033,0.023,-0.014,0.0002
