,counts_for_sons_current_occupation_num,fathers_occupation_cat,sons_occupation_cat,family_structure_cat,race_cat,counts_for_sons_first_occupation_num
398,8.2,Salesman-Retail,Craftsman-Manufacturing,nonintact,white,2.3
399,6.5,Salesman-Retail,Craftsmen-Other,nonintact,white,5.5
400,2.8,Salesman-Retail,Craftsman-Construction,nonintact,white,2.3
401,7.2,Salesman-Retail,Service_Worker,nonintact,white,4.0
402,7.2,Salesman-Retail,Operative-Nonmanufacturing,nonintact,white,10.6
403,5.9,Salesman-Retail,Operative-Manufacturing,nonintact,white,8.4
404,0.7,Salesman-Retail,Laborer-Manufacturing,nonintact,white,1.6
405,0.8,Salesman-Retail,Laborer-Nonmanufacturing,nonintact,white,6.8
406,0.7,Salesman-Retail,Farmer/Farm_Manager,nonintact,white,0.0
407,0.0,Salesman-Retail,Farm_Laborer,nonintact,white,0.0
408,0.8,Craftsman-Manufacturing,Professional_Self-Employed,nonintact,white,0.0
409,12.2,Craftsman-Manufacturing,Professional-Salaried,nonintact,white,10.6
410,12.3,Craftsman-Manufacturing,Manager,nonintact,white,2.6
411,2.6,Craftsman-Manufacturing,Salesman-Nonretail,nonintact,white,0.8
412,1.6,Craftsman-Manufacturing,Proprietor,nonintact,white,0.0
413,7.5,Craftsman-Manufacturing,Clerk,nonintact,white,9.6
414,0.7,Craftsman-Manufacturing,Salesman-Retail,nonintact,white,3.7
415,7.9,Craftsman-Manufacturing,Craftsman-Manufacturing,nonintact,white,7.0
416,6.5,Craftsman-Manufacturing,Craftsmen-Other,nonintact,white,3.4
417,5.1,Craftsman-Manufacturing,Craftsman-Construction,nonintact,white,2.5
418,6.2,Craftsman-Manufacturing,Service_Worker,nonintact,white,4.8
419,6.0,Craftsman-Manufacturing,Operative-Nonmanufacturing,nonintact,white,9.2
420,12.7,Craftsman-Manufacturing,Operative-Manufacturing,nonintact,white,16.8
421,0.8,Craftsman-Manufacturing,Laborer-Manufacturing,nonintact,white,3.2
422,0.8,Craftsman-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,3.1
423,0.9,Craftsman-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.7
424,0.0,Craftsman-Manufacturing,Farm_Laborer,nonintact,white,3.1
425,0.0,Craftsmen-Other,Professional_Self-Employed,nonintact,white,0.0
426,17.0,Craftsmen-Other,Professional-Salaried,nonintact,white,15.1
427,11.1,Craftsmen-Other,Manager,nonintact,white,4.1
428,3.2,Craftsmen-Other,Salesman-Nonretail,nonintact,white,1.7
429,2.5,Craftsmen-Other,Proprietor,nonintact,white,0.8
430,6.6,Craftsmen-Other,Clerk,nonintact,white,8.8
431,0.9,Craftsmen-Other,Salesman-Retail,nonintact,white,4.2
432,10.4,Craftsmen-Other,Craftsman-Manufacturing,nonintact,white,3.9
433,14.6,Craftsmen-Other,Craftsmen-Other,nonintact,white,8.6
434,6.4,Craftsmen-Other,Craftsman-Construction,nonintact,white,4.3
435,7.1,Craftsmen-Other,Service_Worker,nonintact,white,6.5
436,11.2,Craftsmen-Other,Operative-Nonmanufacturing,nonintact,white,18.3
437,8.7,Craftsmen-Other,Operative-Manufacturing,nonintact,white,11.5
438,0.0,Craftsmen-Other,Laborer-Manufacturing,nonintact,white,5.8
439,4.6,Craftsmen-Other,Laborer-Nonmanufacturing,nonintact,white,6.0
440,0.8,Craftsmen-Other,Farmer/Farm_Manager,nonintact,white,0.0
441,0.8,Craftsmen-Other,Farm_Laborer,nonintact,white,5.0
442,0.0,Craftsman-Construction,Professional_Self-Employed,nonintact,white,0.0
443,10.0,Craftsman-Construction,Professional-Salaried,nonintact,white,4.6
444,11.4,Craftsman-Construction,Manager,nonintact,white,1.9
445,4.8,Craftsman-Construction,Salesman-Nonretail,nonintact,white,0.9
446,1.7,Craftsman-Construction,Proprietor,nonintact,white,0.8
447,6.8,Craftsman-Construction,Clerk,nonintact,white,10.4
448,0.8,Craftsman-Construction,Salesman-Retail,nonintact,white,2.3
449,2.8,Craftsman-Construction,Craftsman-Manufacturing,nonintact,white,6.6
450,9.3,Craftsman-Construction,Craftsmen-Other,nonintact,white,5.8
451,14.6,Craftsman-Construction,Craftsman-Construction,nonintact,white,8.1
452,4.2,Craftsman-Construction,Service_Worker,nonintact,white,3.8
453,10.1,Craftsman-Construction,Operative-Nonmanufacturing,nonintact,white,12.8
454,8.8,Craftsman-Construction,Operative-Manufacturing,nonintact,white,13.0
455,0.0,Craftsman-Construction,Laborer-Manufacturing,nonintact,white,0.9
456,2.9,Craftsman-Construction,Laborer-Nonmanufacturing,nonintact,white,14.0
457,0.7,Craftsman-Construction,Farmer/Farm_Manager,nonintact,white,0.0
458,0.5,Craftsman-Construction,Farm_Laborer,nonintact,white,4.4
459,3.0,Service_Worker,Professional_Self-Employed,nonintact,white,4.2
460,32.9,Service_Worker,Professional-Salaried,nonintact,white,30.5
461,48.5,Service_Worker,Manager,nonintact,white,13.3
462,11.9,Service_Worker,Salesman-Nonretail,nonintact,white,3.0
463,13.9,Service_Worker,Proprietor,nonintact,white,0.9
464,19.1,Service_Worker,Clerk,nonintact,white,40.7
465,6.7,Service_Worker,Salesman-Retail,nonintact,white,15.6
466,20.6,Service_Worker,Craftsman-Manufacturing,nonintact,white,13.7
467,36.5,Service_Worker,Craftsmen-Other,nonintact,white,22.9
468,19.2,Service_Worker,Craftsman-Construction,nonintact,white,13.1
469,31.2,Service_Worker,Service_Worker,nonintact,white,21.5
470,28.9,Service_Worker,Operative-Nonmanufacturing,nonintact,white,37.5
471,39.0,Service_Worker,Operative-Manufacturing,nonintact,white,39.3
472,6.3,Service_Worker,Laborer-Manufacturing,nonintact,white,13.0
473,19.2,Service_Worker,Laborer-Nonmanufacturing,nonintact,white,36.2
474,0.8,Service_Worker,Farmer/Farm_Manager,nonintact,white,0.9
475,3.0,Service_Worker,Farm_Laborer,nonintact,white,18.9
476,1.5,Operative-Nonmanufacturing,Professional_Self-Employed,nonintact,white,0.7
477,14.0,Operative-Nonmanufacturing,Professional-Salaried,nonintact,white,12.5
478,19.4,Operative-Nonmanufacturing,Manager,nonintact,white,6.0
479,4.0,Operative-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.8
480,6.2,Operative-Nonmanufacturing,Proprietor,nonintact,white,0.0
481,14.1,Operative-Nonmanufacturing,Clerk,nonintact,white,19.5
482,2.6,Operative-Nonmanufacturing,Salesman-Retail,nonintact,white,8.4
483,16.5,Operative-Nonmanufacturing,Craftsman-Manufacturing,nonintact,white,8.0
484,23.4,Operative-Nonmanufacturing,Craftsmen-Other,nonintact,white,11.1
485,13.5,Operative-Nonmanufacturing,Craftsman-Construction,nonintact,white,4.1
486,10.9,Operative-Nonmanufacturing,Service_Worker,nonintact,white,11.1
487,30.7,Operative-Nonmanufacturing,Operative-Nonmanufacturing,nonintact,white,51.5
488,18.3,Operative-Nonmanufacturing,Operative-Manufacturing,nonintact,white,23.0
489,2.0,Operative-Nonmanufacturing,Laborer-Manufacturing,nonintact,white,8.2
490,10.5,Operative-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,13.0
491,0.8,Operative-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,1.7
492,2.2,Operative-Nonmanufacturing,Farm_Laborer,nonintact,white,7.1
493,2.0,Operative-Manufacturing,Professional_Self-Employed,nonintact,white,1.6
494,25.0,Operative-Manufacturing,Professional-Salaried,nonintact,white,25.7
495,24.7,Operative-Manufacturing,Manager,nonintact,white,8.0
496,12.1,Operative-Manufacturing,Salesman-Nonretail,nonintact,white,5.6
497,10.1,Operative-Manufacturing,Proprietor,nonintact,white,0.7
498,22.6,Operative-Manufacturing,Clerk,nonintact,white,29.7
499,5.6,Operative-Manufacturing,Salesman-Retail,nonintact,white,6.2
500,34.0,Operative-Manufacturing,Craftsman-Manufacturing,nonintact,white,14.1
501,22.7,Operative-Manufacturing,Craftsmen-Other,nonintact,white,14.4
502,17.5,Operative-Manufacturing,Craftsman-Construction,nonintact,white,7.0
503,10.5,Operative-Manufacturing,Service_Worker,nonintact,white,10.8
504,20.2,Operative-Manufacturing,Operative-Nonmanufacturing,nonintact,white,30.4
505,49.9,Operative-Manufacturing,Operative-Manufacturing,nonintact,white,68.3
506,8.9,Operative-Manufacturing,Laborer-Manufacturing,nonintact,white,13.4
507,10.2,Operative-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,22.3
508,1.0,Operative-Manufacturing,Farmer/Farm_Manager,nonintact,white,3.3
509,0.0,Operative-Manufacturing,Farm_Laborer,nonintact,white,3.2
510,0.0,Laborer-Manufacturing,Professional_Self-Employed,nonintact,white,0.0
511,2.3,Laborer-Manufacturing,Professional-Salaried,nonintact,white,1.8
512,4.2,Laborer-Manufacturing,Manager,nonintact,white,0.8
513,1.7,Laborer-Manufacturing,Salesman-Nonretail,nonintact,white,1.0
514,0.0,Laborer-Manufacturing,Proprietor,nonintact,white,0.0
515,0.9,Laborer-Manufacturing,Clerk,nonintact,white,2.3
516,0.7,Laborer-Manufacturing,Salesman-Retail,nonintact,white,2.4
517,4.0,Laborer-Manufacturing,Craftsman-Manufacturing,nonintact,white,0.4
518,4.8,Laborer-Manufacturing,Craftsmen-Other,nonintact,white,1.5
519,4.8,Laborer-Manufacturing,Craftsman-Construction,nonintact,white,0.8
520,1.7,Laborer-Manufacturing,Service_Worker,nonintact,white,2.5
521,2.0,Laborer-Manufacturing,Operative-Nonmanufacturing,nonintact,white,3.0
522,3.5,Laborer-Manufacturing,Operative-Manufacturing,nonintact,white,8.8
523,0.9,Laborer-Manufacturing,Laborer-Manufacturing,nonintact,white,5.2
524,1.7,Laborer-Manufacturing,Laborer-Nonmanufacturing,nonintact,white,1.4
525,0.0,Laborer-Manufacturing,Farmer/Farm_Manager,nonintact,white,0.0
526,0.0,Laborer-Manufacturing,Farm_Laborer,nonintact,white,0.4
527,0.9,Laborer-Nonmanufacturing,Professional_Self-Employed,nonintact,white,0.0
528,4.2,Laborer-Nonmanufacturing,Professional-Salaried,nonintact,white,2.6
529,6.1,Laborer-Nonmanufacturing,Manager,nonintact,white,0.0
530,0.7,Laborer-Nonmanufacturing,Salesman-Nonretail,nonintact,white,0.0
531,3.7,Laborer-Nonmanufacturing,Proprietor,nonintact,white,0.0
532,3.7,Laborer-Nonmanufacturing,Clerk,nonintact,white,5.4
533,0.7,Laborer-Nonmanufacturing,Salesman-Retail,nonintact,white,1.6
534,6.8,Laborer-Nonmanufacturing,Craftsman-Manufacturing,nonintact,white,6.6
535,7.8,Laborer-Nonmanufacturing,Craftsmen-Other,nonintact,white,0.8
536,2.0,Laborer-Nonmanufacturing,Craftsman-Construction,nonintact,white,1.6
537,2.2,Laborer-Nonmanufacturing,Service_Worker,nonintact,white,0.7
538,8.9,Laborer-Nonmanufacturing,Operative-Nonmanufacturing,nonintact,white,6.9
539,7.2,Laborer-Nonmanufacturing,Operative-Manufacturing,nonintact,white,7.3
540,0.0,Laborer-Nonmanufacturing,Laborer-Manufacturing,nonintact,white,2.4
541,3.6,Laborer-Nonmanufacturing,Laborer-Nonmanufacturing,nonintact,white,15.0
542,0.8,Laborer-Nonmanufacturing,Farmer/Farm_Manager,nonintact,white,0.0
543,1.2,Laborer-Nonmanufacturing,Farm_Laborer,nonintact,white,3.4
544,0.8,Farmer/Farm_Manager,Professional_Self-Employed,nonintact,white,0.8
545,17.6,Farmer/Farm_Manager,Professional-Salaried,nonintact,white,16.9
546,23.2,Farmer/Farm_Manager,Manager,nonintact,white,5.1
547,4.8,Farmer/Farm_Manager,Salesman-Nonretail,nonintact,white,4.1
548,16.1,Farmer/Farm_Manager,Proprietor,nonintact,white,0.8
549,8.6,Farmer/Farm_Manager,Clerk,nonintact,white,8.6
550,4.0,Farmer/Farm_Manager,Salesman-Retail,nonintact,white,8.7
551,25.5,Farmer/Farm_Manager,Craftsman-Manufacturing,nonintact,white,6.2
552,25.6,Farmer/Farm_Manager,Craftsmen-Other,nonintact,white,12.8
553,31.1,Farmer/Farm_Manager,Craftsman-Construction,nonintact,white,14.7
554,29.9,Farmer/Farm_Manager,Service_Worker,nonintact,white,10.1
555,31.9,Farmer/Farm_Manager,Operative-Nonmanufacturing,nonintact,white,29.7
556,39.8,Farmer/Farm_Manager,Operative-Manufacturing,nonintact,white,37.1
557,7.5,Farmer/Farm_Manager,Laborer-Manufacturing,nonintact,white,17.0
558,12.5,Farmer/Farm_Manager,Laborer-Nonmanufacturing,nonintact,white,28.0
559,30.6,Farmer/Farm_Manager,Farmer/Farm_Manager,nonintact,white,29.0
560,10.3,Farmer/Farm_Manager,Farm_Laborer,nonintact,white,88.6
561,0.0,Farm_Laborer,Professional_Self-Employed,nonintact,white,0.0
562,3.2,Farm_Laborer,Professional-Salaried,nonintact,white,5.5
563,5.1,Farm_Laborer,Manager,nonintact,white,0.0
564,3.2,Farm_Laborer,Salesman-Nonretail,nonintact,white,0.0
565,3.2,Farm_Laborer,Proprietor,nonintact,white,0.0
566,2.8,Farm_Laborer,Clerk,nonintact,white,5.7
567,0.9,Farm_Laborer,Salesman-Retail,nonintact,white,2.1
568,10.9,Farm_Laborer,Craftsman-Manufacturing,nonintact,white,3.7
569,13.3,Farm_Laborer,Craftsmen-Other,nonintact,white,8.8
570,9.1,Farm_Laborer,Craftsman-Construction,nonintact,white,0.7
571,7.4,Farm_Laborer,Service_Worker,nonintact,white,2.4
572,13.6,Farm_Laborer,Operative-Nonmanufacturing,nonintact,white,5.1
573,18.3,Farm_Laborer,Operative-Manufacturing,nonintact,white,9.3
574,3.5,Farm_Laborer,Laborer-Manufacturing,nonintact,white,8.1
575,4.8,Farm_Laborer,Laborer-Nonmanufacturing,nonintact,white,9.4
576,5.6,Farm_Laborer,Farmer/Farm_Manager,nonintact,white,2.0
577,7.9,Farm_Laborer,Farm_Laborer,nonintact,white,46.2
578,1.4,Professional_Self-Employed,Professional_Self-Employed,intact,black,1.2
579,0.5,Professional_Self-Employed,Professional-Salaried,intact,black,0.9
580,0.0,Professional_Self-Employed,Manager,intact,black,0.5
581,0.5,Professional_Self-Employed,Salesman-Nonretail,intact,black,0.0
582,0.0,Professional_Self-Employed,Proprietor,intact,black,0.0
583,0.8,Professional_Self-Employed,Clerk,intact,black,1.1
584,0.0,Professional_Self-Employed,Salesman-Retail,intact,black,0.6
585,0.3,Professional_Self-Employed,Craftsman-Manufacturing,intact,black,0.0
586,0.5,Professional_Self-Employed,Craftsmen-Other,intact,black,0.0
587,0.0,Professional_Self-Employed,Craftsman-Construction,intact,black,0.0
588,0.5,Professional_Self-Employed,Service_Worker,intact,black,0.0
589,0.6,Professional_Self-Employed,Operative-Nonmanufacturing,intact,black,0.0
590,1.0,Professional_Self-Employed,Operative-Manufacturing,intact,black,0.4
591,0.0,Professional_Self-Employed,Laborer-Manufacturing,intact,black,0.0
592,0.0,Professional_Self-Employed,Laborer-Nonmanufacturing,intact,black,0.0
593,0.0,Professional_Self-Employed,Farmer/Farm_Manager,intact,black,0.0
594,0.0,Professional_Self-Employed,Farm_Laborer,intact,black,0.5
595,1.7,Professional-Salaried,Professional_Self-Employed,intact,black,0.6
596,8.3,Professional-Salaried,Professional-Salaried,intact,black,8.6
597,3.1,Professional-Salaried,Manager,intact,black,2.0
598,2.8,Professional-Salaried,Salesman-Nonretail,intact,black,0.9
599,0.0,Professional-Salaried,Proprietor,intact,black,0.0
600,3.0,Professional-Salaried,Clerk,intact,black,2.6
601,1.9,Professional-Salaried,Salesman-Retail,intact,black,1.0
602,0.0,Professional-Salaried,Craftsman-Manufacturing,intact,black,0.6
603,0.3,Professional-Salaried,Craftsmen-Other,intact,black,0.0
604,0.0,Professional-Salaried,Craftsman-Construction,intact,black,0.0
605,3.1,Professional-Salaried,Service_Worker,intact,black,3.6
606,1.9,Professional-Salaried,Operative-Nonmanufacturing,intact,black,1.7
607,2.4,Professional-Salaried,Operative-Manufacturing,intact,black,1.8
608,0.9,Professional-Salaried,Laborer-Manufacturing,intact,black,1.1
609,2.4,Professional-Salaried,Laborer-Nonmanufacturing,intact,black,0.9
610,0.0,Professional-Salaried,Farmer/Farm_Manager,intact,black,0.0
611,0.0,Professional-Salaried,Farm_Laborer,intact,black,0.7
612,0.0,Manager,Professional_Self-Employed,intact,black,0.0
613,1.2,Manager,Professional-Salaried,intact,black,2.2
614,2.7,Manager,Manager,intact,black,0.0
615,0.0,Manager,Salesman-Nonretail,intact,black,0.0
616,0.0,Manager,Proprietor,intact,black,0.0
617,2.2,Manager,Clerk,intact,black,2.4
618,0.5,Manager,Salesman-Retail,intact,black,1.3
619,1.4,Manager,Craftsman-Manufacturing,intact,black,0.0
620,0.0,Manager,Craftsmen-Other,intact,black,0.6
621,0.0,Manager,Craftsman-Construction,intact,black,0.0
622,0.0,Manager,Service_Worker,intact,black,0.7
623,1.2,Manager,Operative-Nonmanufacturing,intact,black,0.5
624,1.8,Manager,Operative-Manufacturing,intact,black,0.4
625,0.0,Manager,Laborer-Manufacturing,intact,black,0.0
626,1.2,Manager,Laborer-Nonmanufacturing,intact,black,1.2
627,0.0,Manager,Farmer/Farm_Manager,intact,black,0.0
628,0.0,Manager,Farm_Laborer,intact,black,0.0
629,0.0,Salesman-Nonretail,Professional_Self-Employed,intact,black,0.0
630,2.3,Salesman-Nonretail,Professional-Salaried,intact,black,1.3
631,0.7,Salesman-Nonretail,Manager,intact,black,0.7
632,0.0,Salesman-Nonretail,Salesman-Nonretail,intact,black,0.0
633,0.0,Salesman-Nonretail,Proprietor,intact,black,0.0
634,0.0,Salesman-Nonretail,Clerk,intact,black,0.5
635,0.0,Salesman-Nonretail,Salesman-Retail,intact,black,0.0
636,0.0,Salesman-Nonretail,Craftsman-Manufacturing,intact,black,0.0
637,0.6,Salesman-Nonretail,Craftsmen-Other,intact,black,0.0
638,0.0,Salesman-Nonretail,Craftsman-Construction,intact,black,0.0
639,0.0,Salesman-Nonretail,Service_Worker,intact,black,0.0
640,0.5,Salesman-Nonretail,Operative-Nonmanufacturing,intact,black,0.6
641,0.0,Salesman-Nonretail,Operative-Manufacturing,intact,black,0.0
642,0.0,Salesman-Nonretail,Laborer-Manufacturing,intact,black,0.0
643,0.0,Salesman-Nonretail,Laborer-Nonmanufacturing,intact,black,0.0
644,0.0,Salesman-Nonretail,Farmer/Farm_Manager,intact,black,0.0
645,0.0,Salesman-Nonretail,Farm_Laborer,intact,black,0.0
646,0.0,Proprietor,Professional_Self-Employed,intact,black,0.0
647,2.6,Proprietor,Professional-Salaried,intact,black,1.3
648,0.5,Proprietor,Manager,intact,black,0.6
649,0.0,Proprietor,Salesman-Nonretail,intact,black,0.5
650,0.0,Proprietor,Proprietor,intact,black,0.5
651,2.1,Proprietor,Clerk,intact,black,1.1
652,0.6,Proprietor,Salesman-Retail,intact,black,0.0
653,1.0,Proprietor,Craftsman-Manufacturing,intact,black,0.4
654,0.9,Proprietor,Craftsmen-Other,intact,black,0.6
655,0.5,Proprietor,Craftsman-Construction,intact,black,0.9
656,2.2,Proprietor,Service_Worker,intact,black,2.0
657,2.7,Proprietor,Operative-Nonmanufacturing,intact,black,0.8
658,0.0,Proprietor,Operative-Manufacturing,intact,black,2.9
659,0.0,Proprietor,Laborer-Manufacturing,intact,black,0.0
660,0.8,Proprietor,Laborer-Nonmanufacturing,intact,black,0.4
661,0.0,Proprietor,Farmer/Farm_Manager,intact,black,0.0
662,0.0,Proprietor,Farm_Laborer,intact,black,0.0
663,0.0,Clerk,Professional_Self-Employed,intact,black,0.4
664,5.5,Clerk,Professional-Salaried,intact,black,3.6
665,2.1,Clerk,Manager,intact,black,0.6
666,0.0,Clerk,Salesman-Nonretail,intact,black,0.0
667,0.0,Clerk,Proprietor,intact,black,0.0
668,5.8,Clerk,Clerk,intact,black,6.3
669,0.0,Clerk,Salesman-Retail,intact,black,0.4
670,2.5,Clerk,Craftsman-Manufacturing,intact,black,1.3
671,2.8,Clerk,Craftsmen-Other,intact,black,2.9
672,0.6,Clerk,Craftsman-Construction,intact,black,0.0
673,3.1,Clerk,Service_Worker,intact,black,4.3
674,2.0,Clerk,Operative-Nonmanufacturing,intact,black,2.9
675,10.5,Clerk,Operative-Manufacturing,intact,black,5.7
676,1.3,Clerk,Laborer-Manufacturing,intact,black,1.8
677,1.6,Clerk,Laborer-Nonmanufacturing,intact,black,0.0
678,0.0,Clerk,Farmer/Farm_Manager,intact,black,0.0
679,0.6,Clerk,Farm_Laborer,intact,black,0.9
680,0.0,Salesman-Retail,Professional_Self-Employed,intact,black,0.0
681,0.4,Salesman-Retail,Professional-Salaried,intact,black,0.0
682,0.0,Salesman-Retail,Manager,intact,black,0.0
683,0.0,Salesman-Retail,Salesman-Nonretail,intact,black,0.0
684,1.1,Salesman-Retail,Proprietor,intact,black,0.0
685,0.9,Salesman-Retail,Clerk,intact,black,0.5
686,0.0,Salesman-Retail,Salesman-Retail,intact,black,0.6
687,0.0,Salesman-Retail,Craftsman-Manufacturing,intact,black,0.0
688,0.0,Salesman-Retail,Craftsmen-Other,intact,black,0.5
689,0.0,Salesman-Retail,Craftsman-Construction,intact,black,0.0
690,1.4,Salesman-Retail,Service_Worker,intact,black,0.0
691,0.0,Salesman-Retail,Operative-Nonmanufacturing,intact,black,0.5
692,0.0,Salesman-Retail,Operative-Manufacturing,intact,black,0.8
693,0.0,Salesman-Retail,Laborer-Manufacturing,intact,black,0.0
694,0.8,Salesman-Retail,Laborer-Nonmanufacturing,intact,black,1.4
695,0.0,Salesman-Retail,Farmer/Farm_Manager,intact,black,0.0
696,0.0,Salesman-Retail,Farm_Laborer,intact,black,0.0
697,0.3,Craftsman-Manufacturing,Professional_Self-Employed,intact,black,0.0
698,4.3,Craftsman-Manufacturing,Professional-Salaried,intact,black,3.2
699,1.4,Craftsman-Manufacturing,Manager,intact,black,0.0
700,0.0,Craftsman-Manufacturing,Salesman-Nonretail,intact,black,0.8
701,0.0,Craftsman-Manufacturing,Proprietor,intact,black,0.0
702,5.1,Craftsman-Manufacturing,Clerk,intact,black,6.5
703,0.6,Craftsman-Manufacturing,Salesman-Retail,intact,black,1.9
704,3.7,Craftsman-Manufacturing,Craftsman-Manufacturing,intact,black,1.5
705,1.9,Craftsman-Manufacturing,Craftsmen-Other,intact,black,0.6
706,0.0,Craftsman-Manufacturing,Craftsman-Construction,intact,black,1.0
707,4.5,Craftsman-Manufacturing,Service_Worker,intact,black,2.7
708,5.2,Craftsman-Manufacturing,Operative-Nonmanufacturing,intact,black,2.0
709,8.5,Craftsman-Manufacturing,Operative-Manufacturing,intact,black,7.5
710,1.3,Craftsman-Manufacturing,Laborer-Manufacturing,intact,black,3.7
711,2.6,Craftsman-Manufacturing,Laborer-Nonmanufacturing,intact,black,5.2
712,0.0,Craftsman-Manufacturing,Farmer/Farm_Manager,intact,black,0.0
713,0.0,Craftsman-Manufacturing,Farm_Laborer,intact,black,0.0
714,0.5,Craftsmen-Other,Professional_Self-Employed,intact,black,0.0
715,6.1,Craftsmen-Other,Professional-Salaried,intact,black,5.1
716,2.3,Craftsmen-Other,Manager,intact,black,2.2
717,0.5,Craftsmen-Other,Salesman-Nonretail,intact,black,1.0
718,0.0,Craftsmen-Other,Proprietor,intact,black,0.6
719,7.5,Craftsmen-Other,Clerk,intact,black,6.8
720,2.3,Craftsmen-Other,Salesman-Retail,intact,black,1.0
721,2.0,Craftsmen-Other,Craftsman-Manufacturing,intact,black,1.5
722,3.4,Craftsmen-Other,Craftsmen-Other,intact,black,2.6
723,3.2,Craftsmen-Other,Craftsman-Construction,intact,black,1.1
724,11.1,Craftsmen-Other,Service_Worker,intact,black,5.1
725,7.2,Craftsmen-Other,Operative-Nonmanufacturing,intact,black,8.4
726,9.8,Craftsmen-Other,Operative-Manufacturing,intact,black,9.3
727,2.2,Craftsmen-Other,Laborer-Manufacturing,intact,black,3.5
728,5.6,Craftsmen-Other,Laborer-Nonmanufacturing,intact,black,4.0
729,0.0,Craftsmen-Other,Farmer/Farm_Manager,intact,black,0.0
730,0.4,Craftsmen-Other,Farm_Laborer,intact,black,2.1
731,0.0,Craftsman-Construction,Professional_Self-Employed,intact,black,0.5
732,5.0,Craftsman-Construction,Professional-Salaried,intact,black,4.1
733,3.1,Craftsman-Construction,Manager,intact,black,3.0
734,1.9,Craftsman-Construction,Salesman-Nonretail,intact,black,1.1
735,0.4,Craftsman-Construction,Proprietor,intact,black,0.0
736,5.8,Craftsman-Construction,Clerk,intact,black,5.2
737,0.4,Craftsman-Construction,Salesman-Retail,intact,black,0.0
738,2.5,Craftsman-Construction,Craftsman-Manufacturing,intact,black,1.1
739,3.3,Craftsman-Construction,Craftsmen-Other,intact,black,0.0
740,4.0,Craftsman-Construction,Craftsman-Construction,intact,black,6.7
741,4.9,Craftsman-Construction,Service_Worker,intact,black,4.2
742,4.8,Craftsman-Construction,Operative-Nonmanufacturing,intact,black,8.3
743,8.7,Craftsman-Construction,Operative-Manufacturing,intact,black,10.5
744,4.7,Craftsman-Construction,Laborer-Manufacturing,intact,black,4.0
745,6.2,Craftsman-Construction,Laborer-Nonmanufacturing,intact,black,6.2
746,0.0,Craftsman-Construction,Farmer/Farm_Manager,intact,black,0.0
747,0.0,Craftsman-Construction,Farm_Laborer,intact,black,1.4
748,0.5,Service_Worker,Professional_Self-Employed,intact,black,0.5
749,11.4,Service_Worker,Professional-Salaried,intact,black,6.4
750,4.1,Service_Worker,Manager,intact,black,1.6
751,1.2,Service_Worker,Salesman-Nonretail,intact,black,0.4
752,1.5,Service_Worker,Proprietor,intact,black,0.0
753,11.1,Service_Worker,Clerk,intact,black,10.2
754,0.0,Service_Worker,Salesman-Retail,intact,black,0.9
755,2.9,Service_Worker,Craftsman-Manufacturing,intact,black,1.0
756,3.7,Service_Worker,Craftsmen-Other,intact,black,5.4
757,1.4,Service_Worker,Craftsman-Construction,intact,black,2.7
758,12.3,Service_Worker,Service_Worker,intact,black,13.7
759,12.2,Service_Worker,Operative-Nonmanufacturing,intact,black,10.8
760,14.7,Service_Worker,Operative-Manufacturing,intact,black,11.3
761,3.3,Service_Worker,Laborer-Manufacturing,intact,black,3.7
762,3.1,Service_Worker,Laborer-Nonmanufacturing,intact,black,10.4
763,0.0,Service_Worker,Farmer/Farm_Manager,intact,black,0.0
764,1.4,Service_Worker,Farm_Laborer,intact,black,2.0
765,1.6,Operative-Nonmanufacturing,Professional_Self-Employed,intact,black,0.0
766,7.8,Operative-Nonmanufacturing,Professional-Salaried,intact,black,8.7
767,3.3,Operative-Nonmanufacturing,Manager,intact,black,2.1
768,0.0,Operative-Nonmanufacturing,Salesman-Nonretail,intact,black,1.8
769,2.3,Operative-Nonmanufacturing,Proprietor,intact,black,0.5
770,10.4,Operative-Nonmanufacturing,Clerk,intact,black,11.3
771,1.1,Operative-Nonmanufacturing,Salesman-Retail,intact,black,2.8
772,5.2,Operative-Nonmanufacturing,Craftsman-Manufacturing,intact,black,3.9
773,7.3,Operative-Nonmanufacturing,Craftsmen-Other,intact,black,5.0
774,3.4,Operative-Nonmanufacturing,Craftsman-Construction,intact,black,2.2
775,12.5,Operative-Nonmanufacturing,Service_Worker,intact,black,13.0
776,17.7,Operative-Nonmanufacturing,Operative-Nonmanufacturing,intact,black,20.4
777,15.0,Operative-Nonmanufacturing,Operative-Manufacturing,intact,black,13.2
778,3.7,Operative-Nonmanufacturing,Laborer-Manufacturing,intact,black,3.5
779,10.2,Operative-Nonmanufacturing,Laborer-Nonmanufacturing,intact,black,10.5
780,0.0,Operative-Nonmanufacturing,Farmer/Farm_Manager,intact,black,0.0
781,1.0,Operative-Nonmanufacturing,Farm_Laborer,intact,black,3.9
782,0.0,Operative-Manufacturing,Professional_Self-Employed,intact,black,0.0
783,8.3,Operative-Manufacturing,Professional-Salaried,intact,black,4.2
