,binaryClass_cat,no2_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
397,P,3.81331,7.57763,-0.2,2.8,-0.1,85.0,16.0
398,N,3.77046,8.06746,19.6,2.6,-2.8,244.4,14.0
399,N,2.76632,5.66643,1.3,2.1,1.8,226.8,6.0
400,P,3.21084,5.49717,4.2,4.4,1.5,254.0,5.0
401,N,3.37417,8.07527,3.4,5.3,-0.9,10.5,9.0
402,P,3.72086,8.02027,-5.2,4.3,-0.1,17.0,16.0
403,P,4.76217,7.6024,-3.9,2.8,0.0,76.0,10.0
404,P,4.01458,8.25635,8.4,3.1,-0.5,225.0,17.0
405,N,4.30407,7.24708,-10.6,5.5,0.0,62.5,10.0
406,N,3.17805,7.93272,-3.9,4.0,-0.3,78.4,15.0
407,P,1.36098,4.39445,1.3,4.4,0.0,115.0,4.0
408,N,4.40916,7.66856,-2.9,1.6,0.7,65.3,20.0
409,P,4.02892,7.26613,0.9,0.9,0.4,90.0,21.0
410,N,2.89037,7.70616,2.1,6.3,0.0,44.4,13.0
411,N,3.88156,8.11851,0.6,7.1,-0.2,74.6,8.0
412,N,4.51852,7.75319,-5.6,1.5,0.1,238.8,10.0
413,N,4.01096,7.65207,-4.5,4.2,-0.2,100.0,19.0
414,N,3.74242,7.66011,6.4,3.5,-0.2,90.8,20.0
415,P,3.71601,7.59035,11.7,6.4,-0.2,235.0,13.0
416,N,2.85071,6.70564,-5.6,2.4,-0.4,75.5,10.0
417,P,4.51305,8.17132,-5.6,3.5,0.6,79.0,8.0
418,P,3.99452,7.76217,12.2,6.2,-2.1,221.0,14.0
419,P,2.40695,7.22621,-6.5,3.8,-0.1,52.0,21.0
420,P,3.91202,7.53423,1.6,1.7,-1.5,336.0,11.0
421,N,4.45899,7.49165,-9.5,2.0,-0.1,77.3,20.0
422,N,3.78872,7.83953,11.5,2.5,-2.7,243.6,15.0
423,P,3.92197,7.61874,-12.6,2.1,0.5,81.0,15.0
424,N,3.16969,7.82724,17.8,3.5,-1.7,254.1,17.0
425,N,4.46245,7.59589,-2.7,1.3,1.2,159.1,19.0
426,N,2.92852,4.81218,2.7,1.9,0.3,204.2,2.0
427,P,5.78105,7.87284,1.7,1.2,1.4,97.0,15.0
428,N,1.28093,5.65948,-5.1,3.9,0.0,46.5,7.0
429,P,4.09101,8.04206,6.2,1.2,1.3,261.0,18.0
430,P,3.62966,7.15774,-1.1,1.6,-0.1,65.0,22.0
431,N,3.37759,6.24417,2.7,1.5,0.4,196.9,24.0
432,P,5.54713,8.14206,-5.1,1.5,1.5,237.0,8.0
433,P,2.63906,4.49981,3.9,3.6,0.1,68.0,3.0
434,P,3.99268,6.57508,6.2,1.3,1.1,226.0,24.0
435,P,3.66099,4.64439,-3.3,1.9,1.3,88.0,3.0
436,P,2.82731,4.98361,-5.6,4.3,-0.1,78.0,5.0
437,N,4.29592,7.72356,-5.1,0.7,-0.2,216.6,11.0
438,N,4.94876,7.76132,0.0,0.7,0.6,147.7,18.0
439,P,2.68785,6.18002,8.9,4.8,1.0,215.0,1.0
440,N,4.0483,7.21598,8.8,2.1,0.7,90.1,21.0
441,N,3.32863,5.50939,10.3,2.2,1.4,37.4,4.0
442,P,4.13996,4.99043,1.3,2.3,2.2,277.0,2.0
443,P,3.74242,7.04229,-5.2,2.5,-0.3,73.0,11.0
444,P,4.28082,7.35308,2.4,1.1,0.9,77.0,21.0
445,N,2.79728,4.12713,2.5,5.6,0.3,213.5,3.0
446,N,3.65584,7.7698,6.1,2.5,-1.0,237.2,13.0
447,P,4.02535,7.58731,2.1,3.4,-0.7,354.0,11.0
448,P,3.44042,5.63835,-13.8,1.0,1.8,61.0,7.0
449,N,4.42485,7.64204,10.2,2.6,-2.1,249.5,14.0
450,P,3.94352,5.26269,-0.9,1.1,2.1,271.0,5.0
451,P,4.21804,7.25205,7.1,2.4,0.4,63.0,21.0
452,P,3.44999,5.19296,-18.6,2.7,0.8,86.0,5.0
453,N,2.52573,7.31986,16.8,3.4,-0.3,41.5,17.0
454,N,4.4705,7.68064,0.3,1.3,1.4,221.8,19.0
455,N,4.18205,8.1568,-0.7,5.1,0.0,57.2,16.0
456,P,3.17388,6.94794,-3.4,0.6,-0.5,97.0,11.0
457,P,4.62399,7.14204,-1.6,2.1,2.0,85.0,22.0
458,N,2.73437,5.0626,-2.1,2.5,-0.1,81.7,4.0
459,N,3.2581,6.13123,3.5,8.4,0.6,209.9,7.0
460,P,3.22684,6.85857,-4.8,3.1,-0.1,86.0,23.0
461,P,2.98062,5.39816,0.7,1.3,0.8,208.0,6.0
462,P,3.84374,5.14749,-9.0,1.3,0.4,77.0,2.0
463,P,4.26127,8.16707,6.3,4.8,-0.3,61.0,15.0
464,P,3.39786,6.6174,2.2,3.9,0.0,67.0,6.0
465,N,3.39451,7.43248,8.9,2.0,-2.4,201.4,12.0
466,N,4.36437,7.76302,12.3,2.0,-3.7,273.4,11.0
467,P,2.26176,5.42495,1.1,3.8,-0.1,79.0,5.0
468,P,3.44042,7.12769,0.1,4.2,1.0,235.0,22.0
469,P,4.12713,7.41998,-4.6,3.0,-0.1,82.0,20.0
470,P,2.98062,6.89163,0.1,1.0,0.5,334.0,23.0
471,P,3.65066,7.97247,-4.8,3.7,0.0,16.0,18.0
472,N,4.25135,7.75018,9.9,1.8,-1.3,266.3,14.0
473,N,3.65842,7.42536,4.0,5.8,0.2,184.6,20.0
474,N,3.99083,7.63723,-5.4,4.1,-0.2,72.5,17.0
475,N,4.44147,6.55108,-12.0,2.8,0.4,82.5,6.0
476,P,2.28238,4.98361,1.8,3.5,0.3,121.0,4.0
477,N,3.9279,6.57508,5.0,0.8,0.3,262.7,6.0
478,P,3.3569,7.09257,4.6,3.4,0.2,194.0,22.0
479,N,4.18814,7.83201,-0.2,0.6,-0.3,99.7,7.0
480,P,4.2017,7.55329,-0.9,1.1,-0.3,92.0,13.0
481,P,2.41591,7.23778,11.9,4.2,-1.3,233.0,15.0
482,P,4.33336,8.20084,-9.0,2.4,0.0,84.0,8.0
483,P,1.58924,5.81711,1.3,3.8,0.3,33.0,5.0
484,N,4.0483,8.26462,7.7,2.6,-0.8,69.1,16.0
485,P,2.65324,5.05625,-7.0,3.2,-0.1,67.0,20.0
486,N,4.06732,7.73193,2.6,4.2,-0.2,77.9,14.0
487,N,3.86283,5.99396,1.6,1.7,1.5,209.1,1.0
488,P,3.98155,7.64108,6.7,2.3,-0.4,247.0,10.0
489,P,3.81331,7.74587,1.6,2.1,-0.1,146.0,17.0
490,P,4.31615,5.14749,-6.5,1.7,0.8,184.0,5.0
491,N,3.33932,5.66643,6.7,2.4,-0.1,66.1,5.0
492,P,3.96651,7.34923,-0.4,1.9,1.0,77.0,21.0
493,P,3.86073,4.45435,-13.8,4.2,0.2,80.0,4.0
494,P,2.56495,4.58497,1.8,2.3,0.1,59.0,4.0
495,P,4.30946,7.68202,3.5,5.0,-1.0,78.0,11.0
496,P,2.94444,6.52942,9.5,6.5,-0.8,210.0,10.0
497,P,4.17439,7.75791,5.2,4.6,-0.8,214.0,14.0
498,N,2.95491,5.78996,8.4,0.5,-2.6,108.5,7.0
499,P,4.03247,8.16223,4.7,5.9,0.4,207.0,17.0
