,binaryClass_cat,Occasion_cat,Judges_cat,Interval_cat,Sittings_cat,Position_cat,Squares_cat,Rows_cat,Columns_cat,Halfplot_cat,Trellis_cat,Method_cat
531,N,2,6,1,1,4,2,2,4,1,3,1
532,N,2,6,1,2,1,2,2,1,1,2,1
533,P,2,6,1,2,2,2,2,1,2,2,2
534,P,2,6,1,2,3,2,2,1,1,2,1
535,N,2,6,1,2,4,2,2,1,2,2,2
536,N,2,6,1,3,1,2,2,2,1,1,1
537,N,2,6,1,3,2,2,2,2,2,1,2
538,N,2,6,1,3,3,2,2,2,1,1,1
539,N,2,6,1,3,4,2,2,2,2,1,2
540,N,2,6,1,4,1,2,2,3,1,4,1
541,P,2,6,1,4,2,2,2,3,1,4,1
542,N,2,6,1,4,3,2,2,3,2,4,2
543,N,2,6,1,4,4,2,2,3,2,4,2
544,P,2,6,2,1,1,2,1,4,1,1,1
545,N,2,6,2,1,2,2,1,4,2,1,2
546,P,2,6,2,1,3,2,1,4,2,1,2
547,P,2,6,2,1,4,2,1,4,1,1,1
548,P,2,6,2,2,1,2,1,1,1,4,1
549,N,2,6,2,2,2,2,1,1,1,4,1
550,P,2,6,2,2,3,2,1,1,2,4,2
551,N,2,6,2,2,4,2,1,1,2,4,2
552,P,2,6,2,3,1,2,1,3,2,2,2
553,P,2,6,2,3,2,2,1,3,2,2,2
554,P,2,6,2,3,3,2,1,3,1,2,1
555,P,2,6,2,3,4,2,1,3,1,2,1
556,N,2,6,2,4,1,2,1,2,1,3,1
557,P,2,6,2,4,2,2,1,2,1,3,1
558,P,2,6,2,4,3,2,1,2,2,3,2
559,N,2,6,2,4,4,2,1,2,2,3,2
560,N,2,6,3,1,1,2,3,3,2,3,2
561,P,2,6,3,1,2,2,3,3,1,3,1
562,P,2,6,3,1,3,2,3,3,2,3,2
563,P,2,6,3,1,4,2,3,3,1,3,1
564,P,2,6,3,2,1,2,3,2,1,4,1
565,P,2,6,3,2,2,2,3,2,2,4,2
566,P,2,6,3,2,3,2,3,2,2,4,2
567,P,2,6,3,2,4,2,3,2,1,4,1
568,P,2,6,3,3,1,2,3,1,1,1,1
569,P,2,6,3,3,2,2,3,1,1,1,1
570,P,2,6,3,3,3,2,3,1,2,1,2
571,P,2,6,3,3,4,2,3,1,2,1,2
572,N,2,6,3,4,1,2,3,4,1,2,1
573,N,2,6,3,4,2,2,3,4,1,2,1
574,P,2,6,3,4,3,2,3,4,2,2,2
575,P,2,6,3,4,4,2,3,4,2,2,2
