,MARR_cat,EDUCATION_num,SOUTH_cat,SEX_cat,EXPERIENCE_num,UNION_cat,WAGE_num,AGE_num,RACE_cat,OCCUPATION_cat,SECTOR_cat
408,Unmarried,16,no,male,3,not_member,5.77,25,White,Service,Manufacturing
409,Unmarried,14,no,male,4,member,25.0,24,Hispanic,Service,Other
410,Married,14,no,male,34,member,6.85,54,Other,Service,Other
411,Married,11,yes,male,39,not_member,6.5,56,White,Service,Other
412,Married,12,yes,female,17,not_member,3.75,35,White,Service,Other
413,Married,9,no,male,47,member,3.5,62,White,Service,Other
414,Unmarried,11,no,male,2,not_member,4.5,19,White,Service,Other
415,Unmarried,13,yes,male,0,not_member,2.01,19,White,Service,Other
416,Unmarried,14,no,female,24,not_member,4.17,44,White,Service,Other
417,Married,12,no,male,25,member,13.0,43,Other,Service,Other
418,Unmarried,14,no,female,6,not_member,3.98,26,White,Service,Other
419,Unmarried,12,no,female,10,not_member,7.5,28,White,Service,Other
420,Married,12,no,female,33,not_member,13.12,51,Other,Service,Other
421,Unmarried,12,no,male,12,not_member,4.0,30,White,Service,Other
422,Married,12,yes,female,9,not_member,3.95,27,White,Service,Other
423,Married,11,yes,male,18,member,13.0,35,White,Service,Other
424,Married,12,no,male,10,not_member,9.0,28,White,Service,Other
425,Unmarried,8,yes,female,45,not_member,4.55,59,White,Service,Other
426,Married,9,no,female,46,member,9.5,61,White,Service,Other
427,Married,7,yes,male,14,not_member,4.5,27,Hispanic,Service,Other
428,Unmarried,11,no,female,36,not_member,8.75,53,White,Service,Other
429,Married,13,no,male,34,member,10.0,53,White,Professional,Construction
430,Married,18,no,male,15,not_member,18.0,39,White,Professional,Other
431,Married,17,no,male,31,not_member,24.98,54,White,Professional,Manufacturing
432,Unmarried,16,no,female,6,not_member,12.05,28,White,Professional,Manufacturing
433,Married,14,yes,male,15,not_member,22.0,35,White,Professional,Other
434,Married,12,no,male,30,not_member,8.75,48,White,Professional,Other
435,Married,18,no,male,8,not_member,22.2,32,White,Professional,Other
436,Married,18,no,male,5,not_member,17.25,29,White,Professional,Manufacturing
437,Unmarried,17,no,female,3,member,6.0,26,White,Professional,Other
438,Married,13,yes,male,17,not_member,8.06,36,White,Professional,Other
439,Married,16,no,male,5,member,9.24,27,Other,Professional,Manufacturing
440,Married,14,no,female,10,not_member,12.0,30,White,Professional,Other
441,Unmarried,15,no,female,33,not_member,10.61,54,White,Professional,Other
442,Married,18,no,male,3,not_member,5.71,27,White,Professional,Other
443,Unmarried,16,no,female,0,not_member,10.0,18,White,Professional,Other
444,Married,16,yes,male,13,not_member,17.5,35,Other,Professional,Other
445,Married,18,no,male,12,not_member,15.0,36,White,Professional,Other
446,Married,16,no,female,6,not_member,7.78,28,White,Professional,Other
447,Married,17,no,male,7,not_member,7.8,30,White,Professional,Other
448,Married,16,yes,male,14,member,10.0,36,White,Professional,Other
449,Unmarried,17,no,female,5,not_member,24.98,28,White,Professional,Other
450,Married,15,yes,female,10,not_member,10.28,31,White,Professional,Other
451,Married,18,no,female,11,not_member,15.0,35,White,Professional,Other
452,Married,17,no,female,24,not_member,12.0,47,White,Professional,Other
453,Unmarried,16,no,male,9,not_member,10.58,31,White,Professional,Manufacturing
454,Married,18,yes,male,12,not_member,5.85,36,White,Professional,Other
455,Married,18,no,male,19,not_member,11.22,43,White,Professional,Other
456,Married,14,no,female,14,not_member,8.56,34,White,Professional,Other
457,Unmarried,16,no,female,17,not_member,13.89,39,White,Professional,Manufacturing
458,Unmarried,18,yes,male,7,not_member,5.71,31,White,Professional,Other
459,Married,18,no,male,7,not_member,15.79,31,White,Professional,Other
460,Married,16,no,female,22,not_member,7.5,44,White,Professional,Other
461,Married,12,no,female,28,not_member,11.25,46,White,Professional,Other
462,Unmarried,16,no,female,16,not_member,6.15,38,White,Professional,Other
463,Unmarried,16,yes,male,16,not_member,13.45,38,Other,Professional,Other
464,Married,16,no,female,7,not_member,6.25,29,White,Professional,Other
465,Unmarried,12,no,female,11,not_member,6.5,29,White,Professional,Other
466,Married,12,no,female,11,not_member,12.0,29,White,Professional,Other
467,Unmarried,12,no,female,16,not_member,8.5,34,White,Professional,Other
468,Unmarried,18,no,male,33,member,8.0,57,White,Professional,Other
469,Married,12,yes,female,21,not_member,5.75,39,White,Professional,Other
470,Married,16,no,male,4,not_member,15.73,26,White,Professional,Manufacturing
471,Married,15,no,male,13,not_member,9.86,34,White,Professional,Other
472,Married,18,no,male,14,member,13.51,38,White,Professional,Other
473,Married,16,no,female,10,not_member,5.4,32,White,Professional,Other
474,Married,18,yes,male,14,not_member,6.25,38,White,Professional,Other
475,Married,16,yes,male,29,not_member,5.5,51,White,Professional,Other
476,Unmarried,12,no,male,4,not_member,5.0,22,Hispanic,Professional,Other
477,Married,18,no,male,27,not_member,6.25,51,Other,Professional,Other
478,Married,12,no,male,3,not_member,5.75,21,White,Professional,Other
479,Married,16,yes,male,14,member,20.5,36,White,Professional,Other
480,Married,14,no,male,0,not_member,5.0,20,White,Professional,Construction
481,Married,18,no,male,33,not_member,7.0,57,White,Professional,Other
482,Married,16,yes,male,38,not_member,18.0,60,White,Professional,Other
483,Married,18,no,female,18,member,12.0,42,White,Professional,Other
484,Unmarried,17,no,male,3,not_member,20.4,26,White,Professional,Manufacturing
485,Unmarried,18,no,female,40,not_member,22.2,64,White,Professional,Other
486,Unmarried,14,no,male,19,not_member,16.42,39,White,Professional,Manufacturing
487,Unmarried,14,no,female,4,not_member,8.63,24,White,Professional,Other
488,Married,16,no,female,11,not_member,19.38,33,White,Professional,Other
489,Married,16,no,female,16,not_member,14.0,38,White,Professional,Other
490,Married,14,no,male,22,not_member,10.0,42,White,Professional,Other
491,Unmarried,17,no,female,13,member,15.95,36,White,Professional,Other
492,Married,16,yes,female,28,member,20.0,50,White,Professional,Other
493,Married,16,no,female,10,not_member,10.0,32,White,Professional,Other
494,Unmarried,16,yes,female,5,not_member,24.98,27,White,Professional,Other
495,Unmarried,15,no,male,5,not_member,11.25,26,White,Professional,Other
496,Unmarried,18,no,female,37,not_member,22.83,61,White,Professional,Manufacturing
497,Married,17,no,female,26,member,10.2,49,White,Professional,Other
498,Married,16,yes,female,4,not_member,10.0,26,White,Professional,Other
499,Unmarried,18,no,female,31,member,14.0,55,White,Professional,Other
500,Married,17,no,female,13,member,12.5,36,White,Professional,Other
501,Married,12,no,female,42,not_member,5.79,60,White,Professional,Other
502,Married,17,no,male,18,not_member,24.98,41,Hispanic,Professional,Other
503,Married,12,no,female,3,not_member,4.35,21,White,Professional,Other
504,Unmarried,17,no,female,10,not_member,11.25,33,White,Professional,Other
505,Unmarried,16,no,female,10,member,6.67,32,White,Professional,Other
506,Married,16,no,female,17,not_member,8.0,39,Hispanic,Professional,Other
507,Married,18,no,male,7,not_member,18.16,31,White,Professional,Other
508,Married,16,no,female,14,not_member,12.0,36,White,Professional,Other
509,Married,16,no,female,22,member,8.89,44,White,Professional,Other
510,Married,17,no,female,14,not_member,9.5,37,White,Professional,Other
511,Married,16,no,male,11,not_member,13.65,33,White,Professional,Other
512,Married,18,no,male,23,member,12.0,47,White,Professional,Other
513,Married,12,no,male,39,member,15.0,57,White,Professional,Other
514,Married,16,no,male,15,not_member,12.67,37,White,Professional,Other
515,Unmarried,14,no,female,15,not_member,7.38,35,Hispanic,Professional,Other
516,Unmarried,16,no,male,10,not_member,15.56,32,White,Professional,Other
517,Unmarried,12,yes,female,25,not_member,7.45,43,White,Professional,Other
518,Married,14,no,female,12,not_member,6.25,32,White,Professional,Other
519,Married,16,yes,female,7,not_member,6.25,29,Hispanic,Professional,Other
520,Married,17,no,male,7,member,9.37,30,White,Professional,Other
521,Married,16,no,male,17,not_member,22.5,39,White,Professional,Manufacturing
522,Married,16,no,male,10,member,7.5,32,White,Professional,Other
523,Married,17,yes,male,2,not_member,7.0,25,White,Professional,Other
524,Married,9,yes,female,34,member,5.75,49,Other,Professional,Other
525,Married,15,no,female,11,not_member,7.67,32,White,Professional,Other
526,Unmarried,15,no,male,10,not_member,12.5,31,White,Professional,Other
527,Married,12,yes,male,12,not_member,16.0,30,White,Professional,Other
528,Unmarried,16,no,female,6,member,11.79,28,White,Professional,Other
529,Unmarried,18,no,male,5,not_member,11.36,29,White,Professional,Other
530,Married,12,no,female,33,not_member,6.1,51,Other,Professional,Other
531,Married,17,no,female,25,member,23.25,48,Other,Professional,Other
532,Married,12,yes,male,13,member,19.88,31,White,Professional,Other
533,Married,16,no,male,33,not_member,15.38,55,White,Professional,Manufacturing
